@relation german-weka.filters.unsupervised.instance.Randomize-S42

@attribute attr1 numeric
@attribute attr2 numeric
@attribute attr3 numeric
@attribute attr4 numeric
@attribute attr5 numeric
@attribute attr6 numeric
@attribute attr7 numeric
@attribute attr8 numeric
@attribute attr9 numeric
@attribute attr10 numeric
@attribute attr11 numeric
@attribute attr12 numeric
@attribute attr13 numeric
@attribute attr14 numeric
@attribute attr15 numeric
@attribute attr16 numeric
@attribute attr17 numeric
@attribute attr18 numeric
@attribute attr19 numeric
@attribute attr20 numeric
@attribute class {class1,class2}

@data
1.1315,-0.7383,1.3433,-0.028632,-0.18537,-0.69936,1.3374,-0.86975,-0.96317,-0.30353,1.0465,1.5635,1.886,-2.3739,2.0159,2.7577,-1.3831,-0.42808,-0.82291,-0.19592,class2
-1.2539,1.0032,1.3433,-0.12839,0.35772,0.56645,-0.3178,-1.7636,-0.96317,-0.30353,1.0465,0.61131,-1.1029,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class1
-0.4588,-0.7383,-0.50318,-0.10345,-0.93748,-0.69936,-1.1454,0.91802,1.8614,3.8831,-1.6716,-1.2931,-0.83917,-2.3739,0.13364,-0.70457,-1.3831,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.98708,-0.50318,-0.17828,0.10831,-0.066455,-0.3178,-1.7636,0.4491,3.8831,-0.76559,-1.2931,-0.83917,0.4606,-1.7487,-0.70457,0.14688,2.3337,-0.82291,5.0991,class2
-1.2539,-0.7383,-0.50318,-0.12839,-0.90808,-0.69936,-0.3178,-0.86975,0.4491,3.8831,0.14043,-0.34088,0.21573,0.4606,0.13364,-0.70457,-1.3831,2.3337,-0.82291,-0.19592,class2
-0.4588,-1.1529,-0.50318,-0.10345,-0.33381,-0.69936,-1.1454,-1.7636,-0.96317,3.8831,-1.6716,-1.2931,0.83109,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.82123,-0.50318,0.04619,-0.40006,1.1993,1.3374,-1.7636,-2.3754,-0.30353,-0.76559,-1.2931,-0.66336,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
1.1315,-0.7383,-0.50318,-0.15333,0.4973,1.8323,-1.1454,-1.7636,-0.96317,-0.30353,1.0465,0.61131,-1.3666,0.4606,-1.7487,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,-0.50318,-0.17828,-0.64804,-0.69936,0.5098,0.91802,-0.96317,-0.30353,1.0465,0.61131,-1.1029,0.4606,-1.7487,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,-0.48952,-0.50318,-0.078513,-0.84927,1.8323,-1.1454,0.91802,-0.96317,-0.30353,-1.6716,-1.2931,-1.015,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,1.2519,0.42008,-0.15333,2.0107,1.8323,0.5098,0.024135,0.4491,-0.30353,-0.76559,0.61131,-0.39963,-0.95663,0.13364,-0.70457,1.6768,2.3337,1.214,-0.19592,class2
-0.4588,-0.24074,-2.3497,-0.17828,-0.35188,-0.066455,-1.1454,0.024135,-0.96317,-0.30353,0.14043,0.61131,-0.66336,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class1
1.1315,0.25682,0.42008,0.04619,0.20963,-0.69936,-0.3178,-1.7636,0.4491,-0.30353,-0.76559,1.5635,-0.31172,0.4606,2.0159,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,0.25682,1.3433,-0.15333,1.1151,-0.69936,1.3374,-0.86975,-0.96317,-0.30353,1.0465,1.5635,0.74318,0.4606,2.0159,1.0266,1.6768,2.3337,1.214,-0.19592,class2
-1.2539,-0.48952,1.3433,-0.12839,-0.65123,-0.69936,-0.3178,0.91802,-0.96317,-0.30353,0.14043,-0.34088,-0.92708,0.4606,-1.7487,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,-0.7383,-0.50318,-0.17828,-0.48827,-0.69936,-0.3178,0.91802,-0.96317,3.8831,1.0465,-0.34088,-0.57545,0.4606,0.13364,-0.70457,0.14688,-0.42808,1.214,-0.19592,class2
-0.4588,0.75439,0.42008,0.04619,-0.27217,-0.066455,1.3374,0.91802,0.4491,-0.30353,-0.76559,-0.34088,0.47945,-0.95663,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,1.5007,-0.50318,-0.15333,-0.24879,0.56645,-0.3178,0.91802,0.4491,-0.30353,1.0465,0.61131,-1.015,0.4606,0.13364,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
1.1315,-0.48952,1.3433,-0.10345,-0.51094,-0.69936,1.3374,0.91802,0.4491,-0.30353,1.0465,0.61131,0.919,0.4606,0.13364,1.0266,0.14688,-0.42808,1.214,-0.19592,class2
1.1315,-0.7383,-2.3497,-0.12839,-0.18148,-0.69936,1.3374,-0.86975,0.4491,-0.30353,1.0465,-0.34088,-0.13591,0.4606,0.13364,1.0266,0.14688,-0.42808,-0.82291,-0.19592,class2
0.33634,1.7495,1.3433,-0.15333,0.54016,-0.69936,1.3374,0.91802,0.4491,-0.30353,1.0465,1.5635,1.7981,0.4606,2.0159,-0.70457,0.14688,-0.42808,-0.82291,-0.19592,class2
-1.2539,-0.24074,1.3433,-0.053572,-0.73732,-0.69936,-1.973,-0.86975,-0.96317,-0.30353,1.0465,1.5635,1.7102,0.4606,2.0159,2.7577,-2.913,2.3337,-0.82291,-0.19592,class1
