"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
453,85.8719646799117,92.4944812362031,86.9757174392936,92.2737306843267,88.0794701986755,87.6379690949227,86.0927152317881,87.8587196467991,87.8587196467991,86.5342163355408
906,88.5209713024283,92.7152317880795,88.5209713024283,93.046357615894,89.514348785872,89.514348785872,88.3002207505519,89.6247240618102,89.7350993377484,88.6313465783664
1359,91.1,94.3,90.9,94,91,91.3,91.1,91.1,91.7,91
1812,91.1,95.7,92.8,94.6,90.8,90.6,91.3,91.3,92.2,92.5
2265,86.8,93.4,90.2,92.5,88.7,88.4,86.3,90.4,90.4,89.5
2718,83.3,92.1,86.2,91.5,84.3,84.3,83.1,87.1,87.9,86.2
3171,87.8,93.5,88.5,94.3,86.9,87.8,87.5,89.6,90.6,87.9
3624,91.4,93,90.6,94.4,89.9,90.4,91.1,91.5,91.3,89.7
4077,89.6,93.8,90.2,93.3,88.7,89.6,89.4,92.3,91.6,89.5
4530,87.1,94.6,90.3,91.7,88.6,89.6,87.5,92.3,92,89.2
4983,84.7,92.3,89.7,90.3,87.6,88.1,85.2,89.7,90.4,87.9
5436,83,89.3,85.6,90,83.9,85.1,82.1,86.4,86.8,84.3
5889,83.4,89.7,85.4,88.1,84.7,86.3,81,85.2,85.9,84
6342,86.4,89.6,87.6,88.3,89,90.3,84.3,87.6,89.1,85.7
6795,88.2,87.8,87.6,89.3,88.5,88.2,87.7,88.5,88.8,85.3
7248,86.7,87.6,88.6,89.6,88.4,87.7,84.7,87.6,87.7,87.4
7701,87,89.9,90.3,91.2,87.8,88,84.9,89.5,89.1,88.9
8154,85.1,91,89.5,90.7,87.7,87.2,83.9,89.7,89.5,87.4
8607,87,90.2,89,90.9,88.9,87.8,87.3,90,90.7,87.4
9060,89.5,90.9,90.6,91.6,90.1,89.8,89.4,91.2,91.3,90.1
9513,85.4,90.3,89.7,89.4,86.1,86.8,85.5,89,88.9,89.3
9966,84.5,88.1,88.3,88.2,86.1,87.1,84.3,87.9,88.4,88.2
10419,88.6,91.7,91,91.7,90.7,91.2,88.5,90.1,91.3,90.6
10872,91.3,94.4,92.3,93.3,91.1,91.5,91.5,90.9,92.6,91.5
11325,88.4,92.6,88.9,92.7,89.1,89.5,88.5,88.2,89.7,89.3
11778,86.1,92.7,88.2,92.2,85.9,86.3,85.7,88.4,88.9,87.9
12231,83.7,89.8,86.1,89.5,84.2,85.9,84.1,86.1,86.8,85.9
12684,81,89.5,86.4,88.2,83.7,84.6,81.3,86.6,87.4,86.1
13137,85.7,91.2,88.2,89.5,86.9,87.5,84.6,87.9,88.2,86.7
13590,90.4,91.5,89.7,92.1,89.5,90.6,88.7,89.2,89.7,87.5
14043,90.5,93.1,91.2,91.5,90.3,90.2,89.8,90.7,91.2,89.9
14496,87.6,91.5,88.6,89.3,87.9,88,86.1,88.7,89.1,88.7
14949,84.5,90.1,88.8,89.9,88.1,87.9,80.9,88.6,88.8,88.7
15402,82,89.1,88.8,88.3,89.7,89,76.3,88.6,89.5,88.4
15855,70.3,88,85.4,85.1,82.9,81.9,66.5,86.5,86.5,85
16308,73.6,89.4,87.1,86,83,82.4,69.6,86.6,86.9,86.6
16761,79,86.8,85.8,85,87.8,85.7,75.8,84.8,85,84.4
17214,82.9,88.7,86.3,86.8,86.9,86.4,80.4,87.2,86.3,84.5
17667,83.4,91.5,86.3,86.9,85.5,85.2,82.4,87.8,87.7,84.8
18120,85.4,90.7,85.8,87.7,88,87.6,85.5,86.5,87.6,84.6
18573,87.1,90,85.9,88.9,87.6,88.6,87.6,86.2,87.1,84.7
