"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
190,78.9473684210526,80,78.9473684210526,80,75.7894736842105,76.8421052631579,78.9473684210526,75.7894736842105,76.8421052631579,78.9473684210526
380,78.1578947368421,79.2105263157895,78.1578947368421,79.2105263157895,76.5789473684211,77.1052631578947,78.1578947368421,76.5789473684211,77.1052631578947,78.1578947368421
570,77.1929824561403,79.2982456140351,77.1929824561403,77.8947368421053,76.140350877193,76.4912280701754,77.0175438596491,76.140350877193,76.4912280701754,77.0175438596491
760,77.3684210526316,79.8684210526316,77.3684210526316,76.9736842105263,76.5789473684211,76.8421052631579,77.2368421052632,76.5789473684211,76.8421052631579,77.2368421052632
950,76.4210526315789,79.4736842105263,76.4210526315789,76.6315789473684,75.6842105263158,75.8947368421053,76.2105263157895,75.6842105263158,75.8947368421053,76.2105263157895
1140,74.2,78.7,74.2,76.3,73.8,73.8,74,73.8,73.8,74
1330,72.7,79.1,72.7,75.3,72.4,72.5,72.5,72.4,72.5,72.5
1520,73.1,79.9,73.1,75.7,72.8,72.9,72.9,72.8,72.9,72.9
1710,71.5,79.4,71.5,76.5,71.2,71.3,71.3,71.2,71.3,71.3
1900,72.4,80.2,72.4,76.9,72.2,72.3,72.3,72.2,72.3,72.3
2090,73,80.3,73,77.7,72.9,73,72.9,72.9,73,72.9
2280,74,80.7,74,78.5,73.9,73.9,74,73.9,73.9,74
2470,72.5,78.9,72.5,76.8,72.4,72.3,72.4,72.4,72.3,72.4
2660,72.9,78.8,72.9,76.8,72.8,72.7,72.8,72.8,72.7,72.8
2850,72.4,78.9,72.4,76.1,72.3,72.2,72.4,72.3,72.2,72.4
3040,71.7,79.6,71.7,78,71.7,71.6,71.7,71.7,71.6,71.7
3230,70.1,79.8,70.1,77.2,70.3,70.1,70.1,70.3,70.1,70.1
3420,70.2,80.7,70.2,78.1,70.5,70.3,70.2,70.5,70.3,70.2
3610,71.1,79.9,71.1,77.2,71.3,71.1,71.1,71.3,71.1,71.1
3800,71.3,78.6,71.3,76.1,72.2,71.8,71,72.2,71.8,71
3990,72.2,78,72.2,75,73.6,73,71.8,73.6,73,71.8
4180,73.8,78.8,73.8,75.4,75.3,74.9,72.9,75.3,74.9,72.9
4370,75.8,78.9,75.8,76.3,76.6,76.5,74.8,76.6,76.5,74.8
4560,76.6,80.9,76.6,77.7,77.1,77.1,75.4,77.1,77.1,75.4
4750,76.5,80.9,76.5,76.9,75.9,76.5,75.2,75.9,76.5,75.2
4940,77.9,81.4,77.9,77.5,76.6,77.4,76.9,76.6,77.4,76.9
5130,79.3,81.9,79.3,77.5,77.5,78.1,78.6,77.5,78.1,78.6
5320,79.8,82.8,79.8,77.8,78.2,79.1,79.2,78.2,79.1,79.2
5510,79.2,81.9,79.2,77.8,77.9,78.5,78.6,77.9,78.5,78.6
5700,80,81.7,80,77.2,79,79.5,79.4,79,79.5,79.4
5890,80.7,81.9,80.7,79,79.7,80.2,79.8,79.7,80.2,79.8
6080,81.8,82.7,81.8,80.3,80.9,81.3,80.9,80.9,81.3,80.9
6270,81.3,81.7,81.3,80.1,80.8,81.1,80.1,80.8,81.1,80.1
6460,81.7,81.7,81.7,80.3,81.8,81.8,81,81.8,81.8,81
6650,81.7,81.7,81.7,81.6,81.8,81.5,80.5,81.8,81.5,80.5
6840,81,82.1,81,82,81.5,81.1,80,81.5,81.1,80
7030,80.7,82.6,80.7,81.6,81.6,81.4,79.7,81.6,81.4,79.7
7220,80.5,82.5,80.5,79.9,81,80.5,79.2,81,80.5,79.2
7410,80.4,82.9,80.4,80.9,80.9,80.3,78.9,80.9,80.3,78.9
7600,80.1,83.1,80.1,79.9,81,80,78.8,81,80,78.8
7790,80.2,82.4,80.2,79,81.1,80.4,79.3,81.1,80.4,79.3
7980,80.2,82.1,80.2,78.6,81.5,80.8,79,81.5,80.8,79
8170,80.8,81.8,80.8,79.6,82.4,81.7,80.1,82.4,81.7,80.1
8360,79.4,80.9,79.4,78.4,81,80.6,79,81,80.6,79
8550,79.7,80.3,79.7,78.5,81.9,82.2,79.2,81.9,82.2,79.2
8740,79.5,80.9,79.5,77.6,80.8,81,78.8,80.8,81,78.8
8930,79.2,81.3,79.2,77.5,80.3,80.2,78.2,80.3,80.2,78.2
9120,79.2,82,79.2,77.1,79.8,79.6,78.5,79.8,79.6,78.5
9310,79.5,82.7,79.5,77.9,80.3,79.9,78.9,80.3,79.9,78.9
9500,80.5,83.4,80.5,78.1,80.3,79.8,80.3,80.3,79.8,80.3
9690,80.7,84.2,80.7,78.5,80.3,80.2,80.6,80.3,80.2,80.6
9880,79.5,83.6,79.5,79.4,79.3,79.1,79.7,79.3,79.1,79.7
10070,79.7,83.8,79.7,80,79.9,79.4,79.9,79.9,79.4,79.9
10260,81.3,84.7,81.3,81.6,80.7,80.8,81.5,80.7,80.8,81.5
10450,81,84.8,81,82.1,80.9,81,80.8,80.9,81,80.8
10640,81.6,85.2,81.6,83.3,81.8,81.5,81.1,81.8,81.5,81.1
10830,83.6,85.9,83.6,83.4,83.7,83.6,83.4,83.7,83.6,83.4
11020,82.9,85.4,82.9,83.2,83,83.2,82.8,83,83.2,82.8
11210,81,83.9,81,81.4,81.4,81.5,80.8,81.4,81.5,80.8
11400,81.2,83.4,81.2,80.6,81.8,81.7,81.2,81.8,81.7,81.2
11590,81.7,83.7,81.7,80.9,82.4,82.5,81.7,82.4,82.5,81.7
11780,80.4,83.5,80.4,80.3,81.3,81.2,80.2,81.3,81.2,80.2
11970,81.3,84,81.3,80.6,81.2,81.6,81.4,81.2,81.6,81.4
12160,82,84.9,82,81.6,82,82.2,82,82,82.2,82
12350,81.3,84.9,81.3,82.3,80.9,81.3,81.5,80.9,81.3,81.5
12540,81.8,85.5,81.8,82.6,81.2,81.5,82.1,81.2,81.5,82.1
12730,82.8,85.9,82.8,82.7,82.5,82.7,83.3,82.5,82.7,83.3
12920,83.1,86.2,83.1,82.6,83.2,83.1,83.4,83.2,83.1,83.4
13110,82.9,85.6,82.9,81.6,83.4,83.4,83.1,83.4,83.4,83.1
13300,83.7,85.8,83.7,81.9,84.7,84.5,83.9,84.7,84.5,83.9
13490,83.2,85.3,83.2,81.3,83.8,83.8,83.2,83.8,83.8,83.2
13680,82.2,85,82.2,80.2,82,82.1,82.2,82,82.1,82.2
13870,82.3,84.8,82.3,80.3,81.8,81.9,82.1,81.8,81.9,82.1
14060,82.5,84,82.5,79.4,81.8,81.8,82.1,81.8,81.8,82.1
14250,81.9,83.4,81.9,79.3,80.7,80.8,81.6,80.7,80.8,81.6
14440,82.2,84.5,82.2,80,81.3,81.4,81.9,81.3,81.4,81.9
14630,83.1,84.7,83.1,80.8,82.6,82.5,82.7,82.6,82.5,82.7
14820,83.1,84.3,83.1,80.2,82.7,82.6,82.5,82.7,82.6,82.5
15010,84.1,84.6,84.1,81.4,83.9,83.6,83.4,83.9,83.6,83.4
15200,84.3,84.9,84.3,81.7,84.5,84,83.8,84.5,84,83.8
15390,85.5,85.1,85.5,81.4,85.7,85.1,84.9,85.7,85.1,84.9
15580,85.1,84.7,85.1,81,85,84.7,84.9,85,84.7,84.9
15770,85.3,85.6,85.3,82.1,85.1,85,85.3,85.1,85,85.3
15960,83.2,83.8,83.2,81.5,83.2,83,83,83.2,83,83
16150,83.1,84.1,83.1,81,82.8,82.9,83,82.8,82.9,83
16340,81.6,83.2,81.6,80.6,81.2,81.3,81.5,81.2,81.3,81.5
16530,82,83.1,82,80,81.8,81.7,81.9,81.8,81.7,81.9
16720,82.9,83.6,82.9,80.7,82.8,82.7,82.5,82.8,82.7,82.5
16910,82.9,84.7,82.9,81.3,83,82.8,82.9,83,82.8,82.9
17100,82,84.9,82,81.1,82.1,81.9,82.2,82.1,81.9,82.2
17290,82.7,85.6,82.7,80.8,83,82.7,82.7,83,82.7,82.7
17480,82.9,86.3,82.9,82.2,83.2,82.9,82.5,83.2,82.9,82.5
17670,82.2,85.8,82.2,81.6,82.6,82.3,81.7,82.6,82.3,81.7
17860,83.7,86.6,83.7,82.5,83.4,83.5,82.9,83.4,83.5,82.9
18050,83.8,86.5,83.8,81.9,83.7,83.9,83.1,83.7,83.9,83.1
