"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
181,70.7182320441989,68.5082872928177,70.7182320441989,68.5082872928177,72.3756906077348,71.8232044198895,72.3756906077348,72.3756906077348,71.8232044198895,72.3756906077348
362,73.4806629834254,72.6519337016575,73.4806629834254,72.6519337016575,74.585635359116,74.3093922651934,74.585635359116,74.585635359116,74.3093922651934,74.585635359116
543,74.2173112338858,74.0331491712707,74.2173112338858,74.4014732965009,74.9539594843462,74.4014732965009,75.3222836095764,74.9539594843462,74.4014732965009,75.3222836095764
724,72.0994475138122,74.171270718232,72.0994475138122,75,73.7569060773481,72.9281767955801,72.6519337016575,73.7569060773481,72.9281767955801,72.6519337016575
905,73.4806629834254,75.6906077348066,73.4806629834254,75.4696132596685,74.8066298342542,73.9226519337017,73.8121546961326,74.585635359116,74.0331491712707,73.8121546961326
1086,71.4,75.7,71.5,74.6,71.7,71.9,71.7,71.7,72,71.7
1267,72.8,78.4,73.4,76,73.4,73.5,72.8,73.3,73.6,73
1448,68.2,76.1,69.8,73.2,69.3,68.8,68.1,68.8,69.8,68.3
1629,68.9,77,71.2,74.8,69.6,69.4,68.7,70,70.7,69
1810,65.5,77.4,69.1,73.8,65.7,66.3,65.5,69.8,70.6,65.8
1991,68.6,78.4,71.9,74.8,68.5,69.1,68.4,72.5,73,68.7
2172,64.8,77,69,74.2,64.5,64.7,64.5,71.5,71.6,64.8
2353,68.6,79,72.9,76.5,67.2,68.5,68.3,76.4,76.2,68.8
2534,65.1,79.1,69.8,74.4,64.8,65.4,64.8,74.4,73.8,66.4
2715,70.3,80.3,73.6,75,69.4,70.5,70.1,76.5,76.5,71.5
2896,65.8,77.5,69.9,71.2,66.1,66.1,65.6,72.4,72.3,68.3
3077,69.9,79.1,73.4,72.6,70,70,69.7,74.5,74.3,72.5
3258,67.1,78.1,71.5,71.2,67.7,67.7,67.2,71.7,71.6,70.6
3439,72.4,80.3,76.4,74.6,71.9,72.6,72.7,74.7,74.9,75.7
3620,67.8,77.9,72.1,72.2,67.8,68.2,68.3,69.7,70.6,71.3
3801,70.9,78,75.7,74.3,70.8,71.4,71.5,73.1,74,74.7
3982,67.9,74.4,72.6,72.8,68.3,68.5,68.2,70.4,71.4,71.3
4163,69.9,75,74.7,75,69.9,70.2,69.8,72.7,73.9,73.4
4344,67.6,71.3,73,73.5,68.4,67.8,65.7,70.8,71.9,71.6
4525,71.2,71.5,76.2,74.6,71,71.1,69.3,73.9,75.1,74.9
4706,69.2,69.2,74.8,74.2,70.4,69.7,66.3,73.5,73.7,72.5
4887,71.5,72,76.5,76.4,71.9,71.6,68.8,75.3,75.5,74.7
5068,70.6,71.1,75.2,74.9,71.9,71.4,66,73.6,73.8,71.9
