"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
10000,86.3,84.8,86.3,82.1,85.1,85.1,86,85.1,85.1,86
20000,89,89.4,89,86.8,88.6,88.7,89.3,88.6,88.7,89.3
30000,87.9,86.9,87.9,83.8,88.3,88.3,88,88.3,88.3,88
40000,89,88.5,89,85.9,88.8,88.7,88.6,88.8,88.7,88.6
50000,87.6,87.8,87.6,83.5,87.4,87.5,87.4,87.4,87.5,87.4
60000,88.9,88.5,88.9,85,88.8,88.8,88.9,88.8,88.8,88.9
70000,87.6,87.3,87.6,84.6,87.4,87.6,87.3,87.4,87.6,87.3
80000,87.8,87.7,87.8,84.3,87.7,87.7,87.3,87.7,87.7,87.3
90000,89.3,88.8,89.3,86.6,89.3,89.3,88.9,89.3,89.3,88.9
1e+05,89.3,88.9,89.3,86.6,89.5,89.5,89.5,89.5,89.5,89.5
110000,88.7,88.4,88.7,84.8,88.8,88.7,88.7,88.8,88.7,88.7
120000,90.8,90.8,90.8,87.8,90.8,90.8,90.7,90.8,90.8,90.7
130000,89.4,89.1,89.4,84.4,89.4,89.3,89.3,89.4,89.3,89.3
140000,90,89.8,90,86.9,89.8,89.9,90.1,89.8,89.9,90.1
150000,91.6,92,91.6,87.6,91.5,91.5,91.6,91.5,91.5,91.6
160000,87.2,87,87.2,85,87.3,87.4,87.4,87.3,87.4,87.4
170000,88.9,89.2,88.9,84.3,88.9,88.9,88.9,88.9,88.9,88.9
180000,90,89.6,90,86.7,90,90,89.8,90,90,89.8
190000,89.1,89,89.1,85.9,89.2,89.2,89.2,89.2,89.2,89.2
2e+05,90.3,90.4,90.3,86.6,90.4,90.4,90.1,90.4,90.4,90.1
210000,90,89.7,90,87.5,89.9,89.9,89.8,89.9,89.9,89.8
220000,90.5,90.5,90.5,87.5,90.7,90.7,90.6,90.7,90.7,90.6
230000,89.9,90,89.9,86.9,89.8,89.8,89.8,89.8,89.8,89.8
240000,90.5,90.9,90.5,88.3,90.5,90.5,90.5,90.5,90.5,90.5
250000,89.3,89.3,89.3,87,89.2,89.2,89.2,89.2,89.2,89.2
260000,81.1,81.4,82.2,82.1,81.6,81.1,81.2,86.2,86.1,81.4
270000,83.2,84.1,85,82.8,85,83.2,83.2,86.9,86.9,83.8
280000,86.1,87.3,87.7,84.3,87.4,86.8,85.8,89.9,89.9,87.4
290000,83.3,85.8,85.8,83.1,84.2,83.1,83.4,87.6,87.6,84.5
3e+05,83.4,86,85.4,81.8,84.9,84.3,83.1,87.7,87.7,83.9
310000,85.5,87.3,87,83.2,85.4,85.4,85,87.1,87.1,86.2
320000,84.7,86.2,86.9,82.6,85.4,85.2,83.9,86.9,87.7,86.3
330000,87.4,89.5,89,84.7,87.2,87,86.6,89.5,89.6,88.4
340000,88.1,90.3,90.1,86.5,88.5,88.7,87.3,90.2,90.1,90
350000,87.4,88.9,88.9,83.9,87.4,87.4,87,88.2,88.3,88.7
360000,89.5,89.8,90.2,86.3,88.8,88.8,88.6,90,89.9,89.6
370000,88,90.1,90.2,84.6,87.8,87.8,87.9,90.1,90.1,89.9
380000,87.6,88.6,88.5,84.7,87.3,87.4,87.2,88.5,88.5,88.1
390000,89.2,89.5,90.1,84.7,88.9,88.7,89.3,89.9,89.9,89.8
4e+05,87.4,87.7,87.8,82.2,88,87.6,87.5,87.5,87.5,87.8
410000,88.2,87.8,88.3,84.7,88.4,88.2,88.4,87.8,87.8,88.3
420000,89.1,89.6,89.6,85.7,89.1,88.9,88.6,89.1,89.1,89.2
430000,87,87.2,87.7,84,87.6,87.7,87,87.4,87.4,87.8
440000,90.8,91.2,91.2,88,90.1,90,90.8,91,91,91.5
450000,91.2,91.4,91.4,89.6,91.3,91,91.2,90.7,90.8,91.5
460000,92.2,91.9,92.3,88,91.7,91.9,92.1,91.8,91.9,92.2
470000,91.7,91.9,91.9,88.9,91.5,91.5,91.8,91.8,91.9,92.1
480000,88.8,88.3,88.8,85.5,88.3,88.5,88.7,88.7,88.6,88.7
490000,89.8,89.4,89.6,87,89.9,90.1,89.8,89.7,89.8,89.7
5e+05,87.5,87.4,87.5,83.6,87.5,87.5,87.6,87.3,87.4,87.7
510000,82,82,82.9,80.8,81.5,81.9,81.9,84.9,85.4,82.8
520000,82.7,83.4,84.4,82.8,83,83,82.6,89.4,89.4,84.3
530000,80.3,81.3,83.2,80.1,81,81,80.1,86.6,86.6,82.9
540000,83.2,83.9,86.1,82.1,84.5,84.5,83,89.1,89.1,85.7
550000,81.1,81.6,86.5,80.7,82.6,82.6,80.8,87.8,87.8,84.6
560000,83.2,84.2,88.2,82.7,83.3,83.3,82.7,89,89.3,86.8
570000,82,84.3,87.1,82.8,82.9,82.9,81.7,88.7,88.8,86.2
580000,83.3,85.8,88,83.4,83.9,83.9,83.2,88.8,88.8,86.9
590000,82.9,85.1,87.1,83,83.5,83.7,82.8,87.9,88,86.3
6e+05,84.1,87.7,90.7,83.2,85.8,85.7,84.2,91.1,91.1,89.4
610000,81.9,86.4,87.8,83.1,82.6,82.3,81.3,88.7,88.7,86.8
620000,84.1,88,88.9,84.7,84.7,84.6,83.8,89.2,89.2,87.8
630000,84.2,88.4,89,84.7,85.3,84.8,83.6,89.1,89.1,87.7
640000,85.3,90.1,90.7,85.5,85.5,85.6,84.5,90.8,90.8,89.1
650000,83.7,89.6,89.7,84.5,83.9,83.7,82.8,89.6,89.6,89.5
660000,82.9,88.2,88.6,83.1,83.8,83.4,82.5,88.9,88.9,87.1
670000,84.7,91.1,90.2,86.4,85.2,85.2,84.4,90.9,90.9,88.8
680000,83.7,88.2,88,82.7,84.3,84.3,82.9,88,88,87
690000,83.5,88.9,89,83.8,84.4,84.4,82.6,88.6,88.6,87.7
7e+05,84,90.4,90,83.9,82.9,83.2,83,89.5,89.5,89.2
710000,83.7,88.6,88.8,82.6,83.5,83.8,83.6,88.6,88.6,88.3
