"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
3,1.16648995429277e-10,1.25747810999552e-10,1.59993376392457e-10,1.36594491476814e-10,1.34999013936354e-10,1.35121479502155e-10,1.37636050246656e-10,1.81956896930933e-10,1.82103200480342e-10,1.8473402351141e-10
6,1.60772786625971e-09,1.63854400620278e-09,1.81816733275851e-09,1.8069785699745e-09,1.42398260601693e-09,1.44626731190003e-09,1.45308258526648e-09,1.64887657468104e-09,1.66412096645683e-09,1.68065601997077e-09
9,2.04536419484764e-09,2.1005699206185e-09,2.3187607518004e-09,2.33605841084073e-09,1.9287881585314e-09,1.97193019436051e-09,1.96533650674547e-09,2.16176561666032e-09,2.17759653691202e-09,2.20169965756229e-09
12,2.30389083539032e-09,2.38020585334963e-09,2.60298860308197e-09,2.66977737995485e-09,2.19351751812837e-09,2.24628310137739e-09,2.23714223616446e-09,2.44168177900215e-09,2.4605978630359e-09,2.47710797779055e-09
15,2.53311787917796e-09,2.61836912502017e-09,2.84705178935081e-09,2.94718893003133e-09,2.36708087733429e-09,2.42397403026207e-09,2.41160616392684e-09,2.65445953028897e-09,2.68210908247779e-09,2.69491399389795e-09
18,2.76987966828462e-09,2.84957918807036e-09,3.09808959823102e-09,3.21145007150869e-09,2.54583519192826e-09,2.60365126224442e-09,2.59191630652588e-09,2.87764804854575e-09,2.91328909288264e-09,2.91630202996234e-09
21,2.9966263673827e-09,3.07049102351069e-09,3.36044093251228e-09,3.47490952792267e-09,2.73027397709381e-09,2.79176681729241e-09,2.77887728036485e-09,3.10829653676599e-09,3.1476210079963e-09,3.14824789597756e-09
24,3.20461810730398e-09,3.29486054987543e-09,3.61977725234297e-09,3.7463097923249e-09,2.9132835290105e-09,2.97470642585721e-09,2.96004370177165e-09,3.28727831694815e-09,3.33547193216781e-09,3.33138933921854e-09
27,3.42370475377887e-09,3.52480951520304e-09,3.84323905870318e-09,4.01615134814133e-09,3.06787424104702e-09,3.15459986548043e-09,3.11428905105632e-09,3.47070599022839e-09,3.52637388591965e-09,3.51505303526918e-09
30,3.63618855046315e-09,3.72729948307491e-09,4.07158104910619e-09,4.2575255546843e-09,3.21163287546693e-09,3.29734540414065e-09,3.25602602814014e-09,3.65595065410766e-09,3.7185426521798e-09,3.70226293052236e-09
33,3.84136093574266e-09,3.92516679535723e-09,4.30311061782969e-09,4.50241687456767e-09,3.36806222965113e-09,3.45277839279009e-09,3.41053828365066e-09,3.85004108942631e-09,3.91772850227853e-09,3.89527575403452e-09
36,4.05517840305964e-09,4.1249713123507e-09,4.55176802924938e-09,4.74894583772868e-09,3.5238455627424e-09,3.60664120952702e-09,3.56489167519535e-09,4.02890214983374e-09,4.10257152244035e-09,4.0753859804819e-09
39,4.2762940962447e-09,4.32429694428212e-09,4.78587290169464e-09,5.00616485159016e-09,3.68267734657352e-09,3.76445922027445e-09,3.72220450796808e-09,4.22362193920132e-09,4.30575818077972e-09,4.26985233975781e-09
42,4.49198356840345e-09,4.52648571233782e-09,5.0175066413896e-09,5.25505455779119e-09,3.83797452341144e-09,3.9185173372469e-09,3.87661765821899e-09,4.40511302922749e-09,4.49402510894256e-09,4.45018655460742e-09
45,4.69137979942891e-09,4.7246031421009e-09,5.25046936059164e-09,5.49684628222138e-09,3.97890638054866e-09,4.0584290563191e-09,4.0175159857567e-09,4.58358683690015e-09,4.67906846863942e-09,4.62975122046140e-09
48,4.89505110431048e-09,4.91965720357994e-09,5.47709401132746e-09,5.73639092377077e-09,4.13016934551919e-09,4.2082966846683e-09,4.16862272165509e-09,4.76064899816695e-09,4.86163813819902e-09,4.80514756787982e-09
51,5.09302085649636e-09,5.12701407669733e-09,5.70472819741815e-09,5.97950443673879e-09,4.28473195093994e-09,4.36248073502961e-09,4.32341457018215e-09,4.94645876504067e-09,5.05189526466446e-09,4.98865162965324e-09
54,5.29886634252137e-09,5.334351425382e-09,5.94269163905333e-09,6.23568292633113e-09,4.44497752859981e-09,4.52291611424337e-09,4.48284511558505e-09,5.14001833900395e-09,5.2504380812289e-09,5.17845505487588e-09
57,5.49459421585417e-09,5.53214446699868e-09,6.1915081438298e-09,6.47793667411225e-09,4.59836768821089e-09,4.67871766460025e-09,4.63664937321718e-09,5.30957925950901e-09,5.42330445883589e-09,5.34524986140844e-09
60,5.69398607860423e-09,5.72771170378145e-09,6.4211484160564e-09,6.73614405965226e-09,4.73554146604612e-09,4.81613336065163e-09,4.77357061135479e-09,5.49497715952082e-09,5.61351044226024e-09,5.52796571565585e-09
63,5.88883567626691e-09,5.91711600160019e-09,6.64480239055637e-09,6.9707232301972e-09,4.87906262723315e-09,4.96049526101185e-09,4.91866993601744e-09,5.67420353765703e-09,5.79608358788822e-09,5.70420988266667e-09
66,6.08910140324798e-09,6.11420143168833e-09,6.88073784458555e-09,7.22122200446824e-09,5.02757124081047e-09,5.11095961377025e-09,5.06928309615908e-09,5.86882318649855e-09,5.99817084680829e-09,5.89300033017993e-09
69,6.28754589638776e-09,6.30617364927298e-09,7.10420195344008e-09,7.45453901828991e-09,5.17511038578012e-09,5.25980402376089e-09,5.21779570897213e-09,6.0441070415121e-09,6.17841930282199e-09,6.06424931000918e-09
72,6.48857199677163e-09,6.4985727196849e-09,7.3314193413448e-09,7.6900466416445e-09,5.32334166792739e-09,5.40794939726591e-09,5.36356488375407e-09,6.2197616735018e-09,6.36445384762767e-09,6.2377347124368e-09
75,6.68355801978045e-09,6.69091866114901e-09,7.55373333617217e-09,7.92007557512985e-09,5.45684626110105e-09,5.54190895037519e-09,5.4968601182455e-09,6.3769119400531e-09,6.5286627536474e-09,6.39345436507629e-09
78,6.89432408122553e-09,6.88518200702965e-09,7.78243682542195e-09,8.1616584886031e-09,5.60451858006625e-09,5.68878940070669e-09,5.64521084626723e-09,6.55680451489985e-09,6.71490703567449e-09,6.57132835187018e-09
81,7.08377225745055e-09,7.08815341463519e-09,8.01389239081906e-09,8.40978769572245e-09,5.74955384889617e-09,5.83383052302731e-09,5.7916980962476e-09,6.7345737186157e-09,6.89984940900985e-09,6.74589098487463e-09
84,7.26759759445985e-09,7.26999235303038e-09,8.22699447392589e-09,8.64495724211136e-09,5.89276193248108e-09,5.97893010331525e-09,5.93578272965012e-09,6.90480720813076e-09,7.07804988137136e-09,6.92113910083142e-09
87,7.45041371511916e-09,7.44899352402737e-09,8.43821392843293e-09,8.87165239215311e-09,6.02968428710476e-09,6.12087398125066e-09,6.0773138176298e-09,7.06955561286045e-09,7.24813099987391e-09,7.08658637904459e-09
90,7.6340214564941e-09,7.63742423586133e-09,8.65471829774479e-09,9.11004947325008e-09,6.16303696043168e-09,6.2567718787036e-09,6.21425983319059e-09,7.23707688231849e-09,7.4222704124906e-09,7.25251488769634e-09
93,7.81776290203548e-09,7.81897836274985e-09,8.87241331022647e-09,9.34261647928092e-09,6.28296302298912e-09,6.37974396378216e-09,6.33802448785346e-09,7.40429731256018e-09,7.59534737368011e-09,7.41790859741883e-09
96,7.99850296063555e-09,8.00339474480185e-09,9.09704870973196e-09,9.58191599454316e-09,6.41347337898074e-09,6.51119512445397e-09,6.46967585035703e-09,7.56279194409649e-09,7.76180688927571e-09,7.57779132952707e-09
99,8.18051279217832e-09,8.18884441408846e-09,9.31839623472757e-09,9.81329261912654e-09,6.55129677564526e-09,6.65095454591016e-09,6.60700059424051e-09,7.72717010882994e-09,7.93435887130598e-09,7.74254002862093e-09
102,8.36430964368085e-09,8.37870291493005e-09,9.5551387164452e-09,1.00695062766845e-08,6.68863308725051e-09,6.78994652513829e-09,6.74794560733976e-09,7.89499605221053e-09,8.10959612585604e-09,7.91116445777731e-09
105,8.54316711588866e-09,8.56527983476718e-09,9.77342918812815e-09,1.03038809619057e-08,6.82144633138138e-09,6.92336366233726e-09,6.88403928740364e-09,8.057053538089e-09,8.27951468043029e-09,8.07555645309803e-09
108,8.72453713135587e-09,8.7478625515807e-09,9.99527241718852e-09,1.05340431859303e-08,6.94577473448175e-09,7.04952697140475e-09,7.01073209619563e-09,8.2232239211599e-09,8.45378925246497e-09,8.24333316111316e-09
