"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
1,4.52166114569952e-09,3.78192923314869e-09,4.52309129342437e-09,3.95693575898806e-09,4.46738884110625e-09,4.50265776459749e-09,4.49564058778187e-09,4.63375670861039e-09,4.62759915601048e-09,4.61568244756096e-09
2,9.07527377845099e-09,7.31973154929363e-09,9.18726600478921e-09,7.75052259412905e-09,8.78618321322732e-09,8.87683202625356e-09,8.89317222937941e-09,9.21075903979027e-09,9.10035966651307e-09,9.25872383722208e-09
3,9.77896707088997e-09,9.21296116018047e-09,9.90749329439882e-09,9.72399793076019e-09,9.56183403080536e-09,9.67388259218178e-09,9.67741539344191e-09,1.00414249694554e-08,9.93502757543491e-09,1.00887368663007e-08
4,1.04011363876984e-08,9.7848125741548e-09,1.05551362032899e-08,1.03214446406315e-08,1.00721007064357e-08,1.01973999286671e-08,1.02008664143085e-08,1.05958906395568e-08,1.04944101374389e-08,1.0638958120344e-08
5,1.16752526816767e-08,1.10237999225408e-08,1.18427675921594e-08,1.16074688467342e-08,1.12217279425801e-08,1.13627293815071e-08,1.1350639909837e-08,1.17897696099389e-08,1.16877694392246e-08,1.1819318849939e-08
6,1.24153114257629e-08,1.17083256075366e-08,1.25812027239427e-08,1.23297949102893e-08,1.17864916582778e-08,1.19388302571513e-08,1.19081486185723e-08,1.23915780266333e-08,1.2293448713575e-08,1.24379957369446e-08
7,1.31233776221714e-08,1.2364097213207e-08,1.32843149324134e-08,1.30434541295386e-08,1.23405963268007e-08,1.25042787689405e-08,1.24575910478913e-08,1.29696103212113e-08,1.28848810080894e-08,1.29877665375152e-08
8,1.380278051152e-08,1.30174316818102e-08,1.3945873208762e-08,1.37072142035183e-08,1.28295277185366e-08,1.29977847197134e-08,1.29440786948883e-08,1.35117091047143e-08,1.3445275402127e-08,1.35339723574722e-08
9,1.44563789524717e-08,1.36471872214062e-08,1.46121022671171e-08,1.43735280515833e-08,1.3338020784768e-08,1.3513351673755e-08,1.34471442626375e-08,1.40313591880227e-08,1.39801215275336e-08,1.40537734490985e-08
10,1.51281061659588e-08,1.42919192589654e-08,1.52770027713353e-08,1.5052523300209e-08,1.3814694832046e-08,1.39947280468481e-08,1.39208458462192e-08,1.45547261309789e-08,1.45207151649644e-08,1.45784796347738e-08
11,1.57977009326965e-08,1.49111100918137e-08,1.59090058689068e-08,1.57068360514359e-08,1.43297960608246e-08,1.45117811541694e-08,1.44358953811559e-08,1.50727495543659e-08,1.5055372750221e-08,1.50862146525768e-08
12,1.64712600091596e-08,1.55531252329631e-08,1.65724037955826e-08,1.6383849702138e-08,1.48103066639064e-08,1.49976802081884e-08,1.49118393181099e-08,1.56014940467311e-08,1.55995374798361e-08,1.56164043012282e-08
13,1.71495693588754e-08,1.61941823859264e-08,1.72285241105076e-08,1.70853702577038e-08,1.5311984284516e-08,1.5508227344919e-08,1.54083369967673e-08,1.61053264367663e-08,1.61195579135004e-08,1.61169020294915e-08
14,1.78065067378349e-08,1.68457766212606e-08,1.7882372404101e-08,1.77698211462879e-08,1.57911773650803e-08,1.59926408203795e-08,1.5880621070481e-08,1.66287683246368e-08,1.66613718905631e-08,1.66439728983264e-08
15,1.84740065967043e-08,1.74780348560959e-08,1.85393363224508e-08,1.84361598344396e-08,1.62922588749685e-08,1.65004152218025e-08,1.63812681688865e-08,1.71243857685559e-08,1.71743410230014e-08,1.71398542866628e-08
16,1.91068850085636e-08,1.81253416980141e-08,1.91945495306618e-08,1.91008640386661e-08,1.67540941687135e-08,1.69693558611741e-08,1.68376598397146e-08,1.76472127472195e-08,1.77164204688619e-08,1.76675532626216e-08
17,1.97683179660431e-08,1.8761490201859e-08,1.98496279351744e-08,1.97794645956821e-08,1.72525852861628e-08,1.74722120542638e-08,1.73312965810092e-08,1.81562863497519e-08,1.82415830348556e-08,1.81690722038452e-08
18,2.0429216966062e-08,1.93704361619469e-08,2.04906997928189e-08,2.0460267437415e-08,1.77275605710141e-08,1.79493879500673e-08,1.77991260736187e-08,1.86863414099316e-08,1.87913174798174e-08,1.86976407079626e-08
19,2.10858242547057e-08,1.99670248953129e-08,2.11041636319376e-08,2.11013065310485e-08,1.82027264440432e-08,1.8433029795941e-08,1.82717960777216e-08,1.91988301372859e-08,1.93233009660078e-08,1.92037238513575e-08
20,2.17437077354102e-08,2.05483056046607e-08,2.17499448796279e-08,2.17505686597029e-08,1.86576298389211e-08,1.88961979335443e-08,1.87238348838687e-08,1.9742231959535e-08,1.98737586514735e-08,1.9748967006817e-08
21,2.24041994743587e-08,2.11502805807028e-08,2.23923358616854e-08,2.23982622483745e-08,1.91338686309465e-08,1.93772212282051e-08,1.9199624156033e-08,2.02286013391697e-08,2.0376855612778e-08,2.0233408339808e-08
22,2.30161976150961e-08,2.17534561629221e-08,2.30659292976227e-08,2.30436524179081e-08,1.9584937339007e-08,1.98335408606525e-08,1.96422545952929e-08,2.07338847177558e-08,2.09020356688235e-08,2.07398943511293e-08
23,2.3668509681378e-08,2.23577844262247e-08,2.3712383904722e-08,2.36900532432894e-08,2.00409713712997e-08,2.02952993752124e-08,2.00896181194194e-08,2.12201435221939e-08,2.14080524621738e-08,2.12248066585532e-08
24,2.43055679082829e-08,2.29631267493094e-08,2.43577648300429e-08,2.43371429495265e-08,2.05165527727993e-08,2.07778090737657e-08,2.05656539995058e-08,2.17317849917048e-08,2.1938487645607e-08,2.17348073390892e-08
25,2.49358707773065e-08,2.35627153451617e-08,2.49954135787735e-08,2.49557287270783e-08,2.09671850823404e-08,2.12338247332618e-08,2.10125708448225e-08,2.22108528507377e-08,2.24721587534228e-08,2.22126709373937e-08
26,2.55661752640953e-08,2.4158956475618e-08,2.56341459632913e-08,2.55954437920989e-08,2.14403351177068e-08,2.17105901653464e-08,2.14823433904433e-08,2.27309964259279e-08,2.29934588158565e-08,2.27309815232808e-08
27,2.61996929711186e-08,2.47427914002165e-08,2.62818220973263e-08,2.62420475667922e-08,2.19014420499446e-08,2.21793682358559e-08,2.19445593294584e-08,2.3217703249767e-08,2.34966286812495e-08,2.3211462654192e-08
