"time","bagging","boosting","bagging_adwin","boosting_adwin","pame1","pame2","pame3","pame1adwin","pame2adwin","pame3adwin"
10000,1.76857071669772e-09,2.18636679319044e-09,5.91305926025742e-09,5.89894998433689e-09,2.1812639052545e-09,2.22233889356049e-09,2.24605533384408e-09,6.90797251139043e-09,6.89255488713996e-09,7.14734439603777e-09
20000,2.54537085900083e-09,3.32238226416003e-09,9.2202474306441e-09,9.09482999447733e-09,3.27474957582437e-09,3.31357769927424e-09,3.36043612441048e-09,1.10099319075069e-08,1.09978335206832e-08,1.12820189888837e-08
30000,3.20097250146791e-09,4.34485130595871e-09,1.23779548888819e-08,1.2004346995391e-08,4.27148111686524e-09,4.30933140492481e-09,4.38262173720739e-09,1.50621744858453e-08,1.50602873304321e-08,1.53734867474085e-08
40000,3.80224407887086e-09,5.31097004583519e-09,1.53648706681944e-08,1.45812293242539e-08,5.25008795467102e-09,5.28220436444506e-09,5.38114957069978e-09,1.89819506782438e-08,1.89928844716979e-08,1.9323917121496e-08
50000,4.38613748045638e-09,6.26331558712862e-09,1.84777493705269e-08,1.72985311170212e-08,6.1948592266192e-09,6.22279053597607e-09,6.35106375517324e-09,2.30490026073965e-08,2.30643456332572e-08,2.3415877533673e-08
60000,4.95961289456114e-09,7.20267447313294e-09,2.15136042876624e-08,2.0051970167338e-08,7.13053642368979e-09,7.15232461861024e-09,7.31164449627408e-09,2.7038670663935e-08,2.70581492862706e-08,2.74502173400277e-08
70000,5.53255574399605e-09,8.14312549885155e-09,2.45590917334374e-08,2.27187640642292e-08,8.05401103979184e-09,8.07475764799035e-09,8.2912682996504e-09,3.10317401877604e-08,3.10589545147928e-08,3.1473956200408e-08
80000,6.09478519594297e-09,9.07726331386922e-09,2.7604348042152e-08,2.55800452829566e-08,8.99183796590401e-09,9.01309395227167e-09,9.24056462069559e-09,3.50213514575424e-08,3.50541916286676e-08,3.55071471559608e-08
90000,6.6515854444541e-09,1.00004170624932e-08,3.07880636224233e-08,2.84263527051277e-08,9.9177058097389e-09,9.93590862854901e-09,1.01906169429194e-08,3.92020442769097e-08,3.92500143107813e-08,3.97823655202592e-08
1e+05,7.2136057462357e-09,1.09266000204885e-08,3.39921217974234e-08,3.13607890883192e-08,1.08392115338602e-08,1.08553660458554e-08,1.11397310895431e-08,4.33842741580556e-08,4.3444549807931e-08,4.41006564992728e-08
110000,7.77385441163555e-09,1.18389712136218e-08,3.71516257964323e-08,3.42388607290118e-08,1.17471243554188e-08,1.17555676995901e-08,1.20681554943696e-08,4.75261973303225e-08,4.75880028107804e-08,4.83645330474567e-08
120000,8.32204096348956e-09,1.27507256434837e-08,4.03192577479573e-08,3.71819125069533e-08,1.26578592669136e-08,1.26533493021772e-08,1.2997228797223e-08,5.16882256846585e-08,5.17624262471456e-08,5.26507245223141e-08
