learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
13.0,0.036710248,1.2113571872976091E-9,13.0,46.15384615384615,-28.169014084507026,13.0,127552.0,10.0,0.0,0.0,0.0
26.0,0.061032539,2.0245100121655397E-9,26.0,50.0,-3.68098159509202,26.0,129232.0,10.0,0.0,0.0,0.0
39.0,0.075395324,2.5109348542698555E-9,39.0,56.41025641025641,7.272727272727271,39.0,130912.0,10.0,0.0,0.0,0.0
52.0,0.088195247,2.944430205221805E-9,52.0,61.53846153846154,22.734026745913827,52.0,130912.0,10.0,0.0,0.0,0.0
65.0,0.100669811,3.366906613802744E-9,65.0,63.07692307692307,25.996204933586338,65.0,130912.0,10.0,0.0,0.0,0.0
78.0,0.111017331,3.7218435738111532E-9,78.0,62.82051282051282,25.543120473996055,78.0,132592.0,10.0,0.0,0.0,0.0
91.0,0.121851918,4.09348773325483E-9,91.0,63.73626373626373,26.91652470187393,91.0,132592.0,10.0,0.0,0.0,0.0
104.0,0.132073164,4.4440932873139775E-9,104.0,67.3076923076923,34.250650799553746,104.0,132592.0,10.0,0.0,0.0,0.0
117.0,0.138353671,4.659525010267065E-9,117.0,67.52136752136752,34.73282442748092,117.0,132592.0,10.0,0.0,0.0,0.0
130.0,0.144625566,4.874661327451467E-9,130.0,64.61538461538461,28.978622327790976,130.0,132592.0,10.0,0.0,0.0,0.0
143.0,0.151749507,5.119024224244058E-9,143.0,63.63636363636363,27.112330915506753,143.0,132592.0,10.0,0.0,0.0,0.0
156.0,0.157968356,5.335043795104656E-9,156.0,62.82051282051282,25.444957152274227,156.0,134272.0,10.0,0.0,0.0,0.0
169.0,0.164297229,5.55488518850257E-9,169.0,61.53846153846154,23.025716487982635,169.0,134272.0,10.0,0.0,0.0,0.0
182.0,0.177044145,5.997665407819052E-9,182.0,60.43956043956044,20.687568091030133,182.0,134272.0,10.0,0.0,0.0,0.0
195.0,0.18486676,6.26939381532785E-9,195.0,62.05128205128205,23.779843650961332,195.0,134272.0,10.0,0.0,0.0,0.0
208.0,0.191360199,6.494951616488397E-9,208.0,62.019230769230774,23.614726664187433,208.0,134272.0,10.0,0.0,0.0,0.0
221.0,0.196788951,6.683526170613865E-9,221.0,61.085972850678736,21.62474226804125,221.0,134272.0,10.0,0.0,0.0,0.0
234.0,0.202438004,6.87975315808836E-9,234.0,61.53846153846154,22.596295207291988,234.0,134272.0,10.0,0.0,0.0,0.0
247.0,0.208163974,7.078651954659986E-9,247.0,62.34817813765182,24.305532672092784,247.0,134272.0,10.0,0.0,0.0,0.0
260.0,0.214056666,7.283342050376038E-9,260.0,61.92307692307693,23.438429506246283,260.0,134272.0,10.0,0.0,0.0,0.0
273.0,0.219453524,7.470808726147645E-9,273.0,63.003663003663,25.500526870389876,273.0,134272.0,10.0,0.0,0.0,0.0
286.0,0.225393033,7.677125069461764E-9,286.0,63.286713286713294,25.811551954147944,286.0,134272.0,10.0,0.0,0.0,0.0
299.0,0.230719102,7.862132799952396E-9,299.0,62.87625418060201,24.852258575795307,299.0,134272.0,10.0,0.0,0.0,0.0
312.0,0.23567367,8.034235974214972E-9,312.0,63.141025641025635,25.36195706440339,312.0,134272.0,10.0,0.0,0.0,0.0
