learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
13.0,0.037076836,1.18117311048011E-9,13.0,46.15384615384615,-28.169014084507026,13.0,123144.0,10.0,0.0
26.0,0.061315016,1.953339496602615E-9,26.0,50.0,-3.68098159509202,26.0,123144.0,10.0,0.0
39.0,0.075373587,2.4012095909379424E-9,39.0,56.41025641025641,7.272727272727271,39.0,123144.0,10.0,0.0
52.0,0.088433406,2.817262002490461E-9,52.0,61.53846153846154,22.734026745913827,52.0,123144.0,10.0,0.0
65.0,0.101296957,3.2270618178385E-9,65.0,63.07692307692307,25.996204933586338,65.0,123144.0,10.0,0.0
78.0,0.111304293,3.54586993271485E-9,78.0,62.82051282051282,25.543120473996055,78.0,123144.0,10.0,0.0
91.0,0.121178205,3.860427500400692E-9,91.0,63.73626373626373,26.91652470187393,91.0,123144.0,10.0,0.0
104.0,0.132225079,4.212352635643135E-9,104.0,67.3076923076923,34.250650799553746,104.0,123144.0,10.0,0.0
117.0,0.138134878,4.40062370783339E-9,117.0,67.52136752136752,34.73282442748092,117.0,123144.0,10.0,0.0
130.0,0.143844015,4.5825022022239865E-9,130.0,64.61538461538461,28.978622327790976,130.0,123144.0,10.0,0.0
143.0,0.150015269,4.77910256161665E-9,143.0,63.63636363636363,27.112330915506753,143.0,123144.0,10.0,0.0
156.0,0.156154113,4.9746704213507474E-9,156.0,63.46153846153846,26.706231454005934,156.0,123144.0,10.0,0.0
169.0,0.162018564,5.161496822312474E-9,169.0,62.1301775147929,24.204625087596337,169.0,123144.0,10.0,0.0
182.0,0.173741426,5.534957205293079E-9,182.0,60.98901098901099,21.770190095653245,182.0,123144.0,10.0,0.0
195.0,0.181542746,5.783487295893331E-9,195.0,62.56410256410256,24.78203434610304,195.0,123144.0,10.0,0.0
208.0,0.187057134,5.959161585532129E-9,208.0,62.5,24.553571428571427,208.0,123144.0,10.0,0.0
221.0,0.192075626,6.119037897673746E-9,221.0,61.53846153846154,22.500928256116183,221.0,123144.0,10.0,0.0
234.0,0.197645028,6.296464792564511E-9,234.0,61.965811965811966,23.42819324950365,234.0,123144.0,10.0,0.0
247.0,0.202393486,6.447738512518505E-9,247.0,62.75303643724697,25.09723778759313,247.0,123144.0,10.0,0.0
260.0,0.207569178,6.6126228143647316E-9,260.0,62.30769230769231,24.189229396013097,260.0,123144.0,10.0,0.0
273.0,0.212454549,6.768258232120425E-9,273.0,63.369963369963365,26.212227687983138,273.0,123144.0,10.0,0.0
286.0,0.218228378,6.95219764807572E-9,286.0,63.63636363636363,26.481783578031536,286.0,123144.0,10.0,0.0
299.0,0.223065215,7.106286896796276E-9,299.0,63.21070234113713,25.49383834722726,299.0,123144.0,10.0,0.0
312.0,0.227646052,7.252220640654366E-9,312.0,63.46153846153846,25.97402597402597,312.0,123144.0,10.0,0.0
325.0,0.232140775,7.3954110128494606E-9,325.0,62.76923076923077,24.876306187556104,325.0,123144.0,10.0,0.0
338.0,0.237284498,7.559276864168545E-9,338.0,62.1301775147929,23.564538355535134,338.0,123144.0,10.0,0.0
351.0,0.241955847,7.70809408871457E-9,351.0,62.67806267806267,24.78776478285759,351.0,123144.0,10.0,0.0
364.0,0.246345676,7.84794280650715E-9,364.0,61.26373626373627,21.976284584980238,364.0,123144.0,10.0,0.0
377.0,0.25171618,8.01903332012395E-9,377.0,60.742705570291776,20.83203269105253,377.0,123144.0,10.0,0.0
390.0,0.257385258,8.199635637290776E-9,390.0,60.51282051282051,20.397614314115298,390.0,123144.0,10.0,0.0
403.0,0.262061078,8.348595296454926E-9,403.0,60.7940446650124,20.882206759443335,403.0,123144.0,10.0,0.0
416.0,0.267018614,8.506529706430933E-9,416.0,60.09615384615385,19.47761194029851,416.0,123144.0,10.0,0.0
429.0,0.272289977,8.674461841502539E-9,429.0,59.20745920745921,17.7106967873467,429.0,123144.0,10.0,0.0
442.0,0.277020018,8.825148842968048E-9,442.0,58.371040723981906,16.1584297230985,442.0,123144.0,10.0,0.0
455.0,0.281404095,8.96481431676075E-9,455.0,58.681318681318686,16.86428488123468,455.0,123144.0,10.0,0.0
468.0,0.286017345,9.111780655849727E-9,468.0,58.76068376068376,17.04871060171919,468.0,123144.0,10.0,0.0
481.0,0.291043649,9.271905838319413E-9,481.0,58.41995841995842,16.478555304740404,481.0,123144.0,10.0,0.0
494.0,0.295400846,9.410714984101556E-9,494.0,58.502024291497975,16.62138352352254,494.0,123144.0,10.0,0.0
507.0,0.299692412,9.547433294182025E-9,507.0,58.38264299802761,16.369989915335733,507.0,123144.0,10.0,0.0
520.0,0.30400949,9.684964351293943E-9,520.0,58.65384615384615,16.90450707575217,520.0,123144.0,10.0,0.0
533.0,0.308858883,9.839453602042051E-9,533.0,58.16135084427767,16.003674781809817,533.0,123144.0,10.0,0.0
546.0,0.313630552,9.991466765056056E-9,546.0,58.97435897435898,17.77219002541383,546.0,123144.0,10.0,0.0
559.0,0.31820087,1.0137065400493644E-8,559.0,59.2128801431127,18.40565421697547,559.0,123144.0,10.0,0.0
572.0,0.323797153,1.031534865525241E-8,572.0,59.44055944055944,18.91779599916903,572.0,123144.0,10.0,0.0
585.0,0.328634305,1.046944793906684E-8,585.0,59.31623931623932,18.61416696868022,585.0,123144.0,10.0,0.0
