learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
5393.0,0.590096712,2.3901426855375372E-8,5393.0,62.2,22.89742501876571,5393.0,156568.0,10.0,2.0
10786.0,1.129271061,4.695547289503118E-8,10786.0,63.9,27.798267158411804,10786.0,165280.0,10.0,1.0
16179.0,1.536143807,6.453697231210355E-8,16179.0,67.5,35.02806787467815,16179.0,167032.0,10.0,4.0
21572.0,1.916869105,8.105952217841314E-8,21572.0,72.1,8.76628472767228,21572.0,167752.0,10.0,2.0
26965.0,2.298228383,9.764746987180991E-8,26965.0,70.8,24.909866123548962,26965.0,168136.0,10.0,3.0
32358.0,2.678606401,1.1421792723444601E-7,32358.0,67.7,27.589515499878956,32358.0,168392.0,10.0,3.0
37751.0,3.061392695,1.3091706314066634E-7,37751.0,81.8,7.089765580331623,37751.0,168632.0,10.0,2.0
43144.0,3.446081525,1.4770238221335743E-7,43144.0,72.89999999999999,25.139775916554346,43144.0,168664.0,10.0,3.0
48537.0,3.828980233,1.6441276179980073E-7,48537.0,67.9,26.639303050525182,48537.0,168696.0,10.0,3.0
53930.0,4.214145405,1.81237996700969E-7,53930.0,71.1,15.885674369870179,53930.0,168856.0,10.0,2.0
59323.0,4.596461457,1.9794431171905662E-7,59323.0,68.10000000000001,15.072840347589054,59323.0,168912.0,10.0,2.0
64716.0,4.978771608,2.1466698473407369E-7,64716.0,68.7,27.387624809769505,64716.0,169080.0,10.0,3.0
70109.0,5.36019706,2.3137701023651701E-7,70109.0,81.3,1.279668890953618,70109.0,169344.0,10.0,1.0
75502.0,5.741791724,2.4809444881750684E-7,75502.0,62.1,11.06626619110193,75502.0,169344.0,10.0,3.0
80895.0,6.123232606,2.648114657570608E-7,80895.0,64.0,27.247153544882448,80895.0,169408.0,10.0,2.0
86288.0,6.506638918,2.816146195743171E-7,86288.0,80.60000000000001,1.3034055412541359,86288.0,169408.0,10.0,1.0
91681.0,6.890282282,2.98428162425593E-7,91681.0,64.60000000000001,23.90369733447979,91681.0,169408.0,10.0,2.0
97074.0,7.272753238,3.1519032335814714E-7,97074.0,64.8,25.421200718668445,97074.0,169408.0,10.0,4.0
102467.0,7.657220042,3.3203995426678207E-7,102467.0,57.9,15.210543699801002,102467.0,169408.0,10.0,2.0
107860.0,8.038606182,3.487545720850449E-7,107860.0,74.5,12.141675854465285,107860.0,169408.0,10.0,1.0
113253.0,8.424521272,3.656676755335617E-7,113253.0,70.7,12.874372576539686,113253.0,169408.0,10.0,2.0
118646.0,8.807245064,3.8244091724925783E-7,118646.0,65.8,8.224875888903787,118646.0,169408.0,10.0,3.0
124039.0,9.189375532,3.991881559646813E-7,124039.0,72.2,17.643782698084475,124039.0,169408.0,10.0,2.0
129432.0,9.563275108,4.1557466784801963E-7,129432.0,70.5,25.28694876964067,129432.0,169408.0,10.0,4.0
134825.0,9.939181828,4.3204914476560436E-7,134825.0,68.2,30.533710810527424,134825.0,169408.0,10.0,2.0
140218.0,10.309251132,4.4826779126028434E-7,140218.0,76.8,6.767400739430947,140218.0,169408.0,10.0,2.0
145611.0,10.681175402,4.645677334406331E-7,145611.0,70.19999999999999,24.826065678810533,145611.0,169408.0,10.0,3.0
151004.0,11.051342466,4.807906643622142E-7,151004.0,65.60000000000001,28.75280121617312,151004.0,169408.0,10.0,2.0
156397.0,11.42243107,4.970585907114733E-7,156397.0,69.1,13.638904415874778,156397.0,169456.0,10.0,4.0
161790.0,11.793093394,5.133078296325294E-7,161790.0,67.60000000000001,19.09061850727185,161790.0,169456.0,10.0,2.0
167183.0,12.162921052,5.295204781413016E-7,167183.0,67.5,28.17362093352193,167183.0,169456.0,10.0,1.0
172576.0,12.53412689,5.457935438401852E-7,172576.0,69.3,35.107759167350096,172576.0,169456.0,10.0,4.0
177969.0,12.905209376,5.620619699806203E-7,177969.0,74.1,21.294776890444737,177969.0,169464.0,10.0,3.0
183362.0,13.27930013,5.784622799679492E-7,183362.0,65.4,19.628712526306494,183362.0,169464.0,10.0,3.0
188755.0,13.65960857,5.951383245112851E-7,188755.0,71.1,6.241889436802501,188755.0,169496.0,10.0,3.0
194148.0,14.041202434,6.118786307612248E-7,194148.0,61.7,12.987768306646553,194148.0,169576.0,10.0,3.0
199541.0,14.421835786,6.285767998948383E-7,199541.0,50.2,1.6374014892650495,199541.0,169576.0,10.0,2.0
204934.0,14.805057084,6.4538850075075E-7,204934.0,57.99999999999999,17.509574781498564,204934.0,169576.0,10.0,3.0
210327.0,15.186564538,6.621250162430295E-7,210327.0,56.89999999999999,13.79999999999999,210327.0,169576.0,10.0,3.0
215720.0,15.56754919,6.788385967082718E-7,215720.0,56.49999999999999,16.265640038498546,215720.0,169576.0,10.0,5.0
221113.0,15.945546514,6.954211247895349E-7,221113.0,61.9,24.36274120543159,221113.0,169576.0,10.0,3.0
226506.0,16.320095702,7.118523851013785E-7,226506.0,66.3,5.532382490132753,226506.0,169576.0,10.0,4.0
231899.0,16.694501372,7.282773493600121E-7,231899.0,61.8,15.772948564171319,231899.0,169576.0,10.0,2.0
237292.0,17.068833068,7.446990684212476E-7,237292.0,64.2,26.1124411788987,237292.0,169576.0,10.0,2.0
242685.0,17.428345853,7.604706902670034E-7,242685.0,73.9,13.576158940397361,242685.0,169576.0,10.0,3.0
248078.0,17.756831338,7.748811620705017E-7,248078.0,67.10000000000001,30.50392050831418,248078.0,169576.0,10.0,2.0
253471.0,18.085999532,7.893215839303762E-7,253471.0,63.800000000000004,29.23052862058179,253471.0,169576.0,10.0,1.0
258864.0,18.441379371,8.049118957806587E-7,258864.0,68.30000000000001,20.595956154940602,258864.0,169576.0,10.0,1.0
264257.0,18.818703431,8.214648881523354E-7,264257.0,63.5,21.001142777989404,264257.0,169576.0,10.0,2.0
269650.0,19.191938107,8.37851613195311E-7,269650.0,52.900000000000006,12.044160927439234,269650.0,169712.0,10.0,3.0
275043.0,19.565549703,8.542757639408734E-7,275043.0,53.7,11.79272242331873,275043.0,169928.0,10.0,4.0
280436.0,19.940334923,8.707515077785693E-7,280436.0,63.7,19.355555358079123,280436.0,169928.0,10.0,1.0
285829.0,20.314517543,8.872108283582869E-7,285829.0,59.8,25.55197102082693,285829.0,170032.0,10.0,3.0
291222.0,20.687325539,9.036220278512481E-7,291222.0,61.0,26.60343270099367,291222.0,170160.0,10.0,5.0
296615.0,21.063278727,9.201716803117139E-7,296615.0,71.39999999999999,7.302369299581869,296615.0,170160.0,10.0,4.0
302008.0,21.438433785,9.366893043718033E-7,302008.0,55.400000000000006,17.81407553734117,302008.0,170192.0,10.0,8.0
307401.0,21.813409391,9.532005794804089E-7,307401.0,59.4,25.32784020893491,307401.0,170208.0,10.0,3.0
312794.0,22.188647175,9.697233990548842E-7,312794.0,72.7,13.28378120830953,312794.0,170208.0,10.0,3.0
318187.0,22.566549361,9.863635400596551E-7,318187.0,60.6,20.436187399030686,318187.0,170208.0,10.0,4.0
323580.0,22.945375499,1.003045149400135E-6,323580.0,64.0,29.329731767070793,323580.0,170216.0,10.0,3.0
328973.0,23.322721661,1.019662368953849E-6,328973.0,63.5,26.039099987031506,328973.0,170224.0,10.0,4.0
334366.0,23.699457149,1.0362526962135485E-6,334366.0,67.9,32.17488315486103,334366.0,170224.0,10.0,2.0
339759.0,24.076002401,1.0528346460370969E-6,339759.0,64.1,30.345362824990296,339759.0,170224.0,10.0,2.0
345152.0,24.451966063,1.0693909843407904E-6,345152.0,66.0,31.27842344618495,345152.0,170224.0,10.0,3.0
350545.0,24.827326423,1.0859207549917534E-6,350545.0,61.9,16.15316901408451,350545.0,170224.0,10.0,4.0
355938.0,25.202274495,1.1024323696869778E-6,355938.0,56.10000000000001,17.812425113826986,355938.0,170224.0,10.0,5.0
361331.0,25.586563403,1.1193600993951659E-6,361331.0,59.8,23.766612051702165,361331.0,170272.0,10.0,3.0
