learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
5393.0,0.835276425,3.7429657980178796E-8,5393.0,61.0,20.34053400437923,5393.0,173216.0,10.0,0.0,0.0
10786.0,1.553512617,7.164661267099282E-8,10786.0,67.0,34.01293346504086,10786.0,184152.0,10.0,0.0,0.0
16179.0,2.138582348,1.0009464356191872E-7,16179.0,65.60000000000001,31.18899023843816,16179.0,187952.0,10.0,0.0,0.0
21572.0,2.688850097,1.243074630063255E-7,21572.0,73.7,7.635035470955989,21572.0,170088.0,10.0,0.0,0.0
26965.0,3.221669215,1.4946063154880167E-7,26965.0,69.0,21.880906181488264,26965.0,182480.0,10.0,0.0,0.0
32358.0,3.762225301,1.753761965846043E-7,32358.0,68.5,28.491650548911725,32358.0,185320.0,10.0,0.0,0.0
37751.0,4.314046322,2.0120826946596308E-7,37751.0,83.1,0.5835568732646849,37751.0,180952.0,10.0,0.0,0.0
43144.0,4.856452358,2.2598219254282617E-7,43144.0,71.89999999999999,23.175346121038483,43144.0,176552.0,10.0,0.0,0.0
48537.0,5.397396348,2.510643841027469E-7,48537.0,68.0,27.082811139923535,48537.0,179232.0,10.0,0.0,0.0
53930.0,5.934902174,2.769872269714086E-7,53930.0,76.0,25.523661753297137,53930.0,186424.0,10.0,0.0,0.0
59323.0,6.47756812,3.014405822652496E-7,59323.0,68.4,14.564576743180032,59323.0,174184.0,10.0,0.0,0.0
64716.0,7.006111334,3.265286296941134E-7,64716.0,68.4,29.026085159713784,64716.0,183480.0,10.0,0.0,0.0
70109.0,7.543611608,3.523310641274271E-7,70109.0,82.8,1.3139021171609984,70109.0,185560.0,10.0,0.0,0.0
75502.0,8.07248985,3.76675382943497E-7,75502.0,64.8,22.223007848405572,75502.0,177928.0,10.0,0.0,0.0
80895.0,8.600046702,4.0192078439702184E-7,80895.0,65.8,31.46814471042286,80895.0,184976.0,10.0,0.0,0.0
86288.0,9.140051772,4.269829101832295E-7,86288.0,80.9,0.0,86288.0,179400.0,10.0,0.0,0.0
91681.0,9.64936841,4.5060600078117114E-7,91681.0,64.8,27.30637060533968,91681.0,179288.0,10.0,0.0,0.0
97074.0,10.181725112,4.7502008844678614E-7,97074.0,61.0,19.23191623314224,97074.0,177272.0,10.0,0.0,0.0
