learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
5393.0,0.534906316,4.533903501882322E-8,5393.0,61.8,18.623674971880423,5393.0,327640.0,10.0,0.0,0.0,0.0
10786.0,1.291504711,1.1328171634597497E-7,10786.0,65.4,30.830158051089736,10786.0,347120.0,10.0,0.0,0.0,0.0
16179.0,1.965181825,1.9011024845285134E-7,16179.0,65.3,30.57889598437925,16179.0,440832.0,10.0,0.0,0.0,0.0
21572.0,2.456670074,2.3713479847534663E-7,21572.0,72.89999999999999,0.0,21572.0,369840.0,10.0,0.0,0.0,0.0
26965.0,2.939907887,3.063725344131928E-7,26965.0,69.6,19.268744788319438,26965.0,553840.0,10.0,0.0,0.0,0.0
32358.0,3.480226066,3.9442766551574483E-7,32358.0,68.30000000000001,23.29358473034187,32358.0,629952.0,10.0,0.0,0.0,0.0
37751.0,3.981275506,4.887685207774283E-7,37751.0,82.89999999999999,4.622729909419519,37751.0,727816.0,10.0,0.0,0.0,0.0
43144.0,4.435359993,5.637053074623457E-7,43144.0,72.6,20.59996290801185,43144.0,637912.0,10.0,0.0,0.0,0.0
48537.0,4.926119597,6.56619611793953E-7,48537.0,68.8,25.854456099659203,48537.0,731840.0,10.0,0.0,0.0,0.0
53930.0,5.436209461,7.572147703202046E-7,53930.0,77.8,24.92543269328318,53930.0,762312.0,10.0,0.0,0.0,0.0
59323.0,5.889711776,8.211586730102406E-7,59323.0,69.39999999999999,16.35093244107657,59323.0,545032.0,10.0,0.0,0.0,0.0
64716.0,6.399506474,9.152364584818315E-7,64716.0,70.6,32.362481882807636,64716.0,713336.0,10.0,0.0,0.0,0.0
70109.0,6.855249685,1.0186432641336382E-6,70109.0,82.89999999999999,0.0,70109.0,877064.0,10.0,0.0,0.0,0.0
75502.0,7.30635602,1.0853582620393896E-6,75502.0,63.9,13.603293126555643,75502.0,571672.0,10.0,0.0,0.0,0.0
80895.0,7.895101161,1.162078026779335E-6,80895.0,63.6,26.415590191440753,80895.0,503712.0,10.0,0.0,0.0,0.0
86288.0,8.508116724,1.211250321396767E-6,86288.0,81.10000000000001,5.335283393104053,86288.0,310064.0,10.0,0.0,0.0,0.0
91681.0,9.012160252,1.2513070588090973E-6,91681.0,63.7,21.361166714326572,91681.0,307192.0,10.0,0.0,0.0,0.0
97074.0,9.577735144,1.3035285056901432E-6,97074.0,63.9,20.79859587538396,97074.0,356912.0,10.0,0.0,0.0,0.0
102467.0,10.175956427,1.3560269047902006E-6,102467.0,61.5,21.781671312361336,102467.0,339224.0,10.0,0.0,0.0,0.0
107860.0,10.639257014,1.4021590741265792E-6,107860.0,73.8,-0.398528510116466,107860.0,384896.0,10.0,0.0,0.0,0.0
113253.0,11.088106911,1.4647279837444133E-6,113253.0,73.2,4.044454628780925,113253.0,538840.0,10.0,0.0,0.0,0.0
118646.0,11.56939189,1.5545854637686038E-6,118646.0,73.5,16.719044626021375,118646.0,721696.0,10.0,0.0,0.0,0.0
124039.0,12.028780984,1.6521956044527764E-6,124039.0,78.7,3.3557777818109042,124039.0,821328.0,10.0,0.0,0.0,0.0
129432.0,12.470267567,1.748528242112719E-6,129432.0,73.9,25.981804569276502,129432.0,843448.0,10.0,0.0,0.0,0.0
134825.0,12.955885316,1.833253889156671E-6,134825.0,68.2,25.955591982713667,134825.0,674408.0,10.0,0.0,0.0,0.0
140218.0,13.450341092,1.9183375142078516E-6,140218.0,82.3,0.9202660038960047,140218.0,665152.0,10.0,0.0,0.0,0.0
145611.0,13.897174741,1.979608115871373E-6,145611.0,70.39999999999999,23.345056015082342,145611.0,530040.0,10.0,0.0,0.0,0.0
151004.0,14.453400419,2.0485918490165825E-6,151004.0,66.4,30.33815022909627,151004.0,479400.0,10.0,0.0,0.0,0.0
156397.0,15.044965317,2.0984700794271484E-6,156397.0,68.10000000000001,9.754441552563078,156397.0,325920.0,10.0,0.0,0.0,0.0
161790.0,15.465239144,2.140424936300835E-6,161790.0,68.2,18.256971292259625,161790.0,385880.0,10.0,0.0,0.0,0.0
167183.0,16.098348702,2.1914868270620167E-6,167183.0,68.4,32.70868824531517,167183.0,311760.0,10.0,0.0,0.0,0.0
172576.0,16.581416276,2.2538318241787745E-6,172576.0,71.5,38.50071209701781,172576.0,498880.0,10.0,0.0,0.0,0.0
177969.0,17.022319441,2.3181728093877624E-6,177969.0,75.6,7.3560791877710034,177969.0,564088.0,10.0,0.0,0.0,0.0
183362.0,17.566324491,2.3887292042955117E-6,183362.0,68.2,26.37286817038894,183362.0,501344.0,10.0,0.0,0.0,0.0
188755.0,18.072480308,2.477256013550076E-6,188755.0,74.6,15.403830141548713,188755.0,676072.0,10.0,0.0,0.0,0.0
194148.0,18.543193364,2.531933425838662E-6,194148.0,60.8,2.785493214824225,194148.0,449008.0,10.0,0.0,0.0,0.0
199541.0,19.212393575,2.6044842488256223E-6,199541.0,65.7,30.59883292731291,199541.0,419072.0,10.0,0.0,0.0,0.0
204934.0,19.883168401,2.6940423501363525E-6,204934.0,68.4,34.04987999582595,204934.0,516096.0,10.0,0.0,0.0,0.0
210327.0,20.420918636,2.7405361540475947E-6,210327.0,60.9,21.799999999999997,210327.0,334208.0,10.0,0.0,0.0,0.0
215720.0,21.085612019,2.8268171245336E-6,215720.0,67.9,33.10771949420268,215720.0,501760.0,10.0,0.0,0.0,0.0
221113.0,21.68434934,2.9316566650973843E-6,221113.0,67.80000000000001,35.35175072277546,221113.0,676848.0,10.0,0.0,0.0,0.0
226506.0,22.212028136,3.013075031327142E-6,226506.0,67.60000000000001,0.0,226506.0,596424.0,10.0,0.0,0.0,0.0
231899.0,22.761981649,3.0818533915556393E-6,231899.0,64.0,23.172792925067867,231899.0,483424.0,10.0,0.0,0.0,0.0
237292.0,23.389153332,3.152602076180466E-6,237292.0,66.4,32.41068554876087,237292.0,436048.0,10.0,0.0,0.0,0.0
242685.0,23.978192015,3.2319360040220975E-6,242685.0,78.0,11.129064835386778,242685.0,520616.0,10.0,0.0,0.0,0.0
248078.0,24.469937414,3.285312317199662E-6,248078.0,67.0,30.13684709708015,248078.0,419576.0,10.0,0.0,0.0,0.0
253471.0,25.095211177,3.3394186845476163E-6,253471.0,66.0,31.965166165076518,253471.0,334488.0,10.0,0.0,0.0,0.0
258864.0,25.699298115,3.3861007157063507E-6,258864.0,68.4,23.419930205506024,258864.0,298712.0,10.0,0.0,0.0,0.0
264257.0,26.201663314,3.4344445881986598E-6,264257.0,62.4,18.402777777777775,264257.0,371984.0,10.0,0.0,0.0,0.0
269650.0,26.865433494,3.5070249027300026E-6,269650.0,64.4,20.29374888053019,269650.0,422672.0,10.0,0.0,0.0,0.0
275043.0,27.415333076,3.584648468079921E-6,275043.0,68.8,20.89730848021417,275043.0,545648.0,10.0,0.0,0.0,0.0
280436.0,27.856169269,3.6280629810269262E-6,280436.0,63.1,19.556667858419736,280436.0,380680.0,10.0,0.0,0.0,0.0
285829.0,28.534635002,3.6934334898066256E-6,285829.0,62.3,23.48781893605448,285829.0,372440.0,10.0,0.0,0.0,0.0
291222.0,29.126876201,3.7504288082920494E-6,291222.0,63.9,22.412310866574973,291222.0,372000.0,10.0,0.0,0.0,0.0
296615.0,29.699606131,3.812554069525879E-6,296615.0,70.5,6.00904862040403,296615.0,419296.0,10.0,0.0,0.0,0.0
302008.0,30.32115533,3.8680374257501855E-6,302008.0,63.4,23.937620536011185,302008.0,345056.0,10.0,0.0,0.0,0.0
307401.0,30.943350963,3.944564127766689E-6,307401.0,70.0,28.604406536028577,307401.0,475432.0,10.0,0.0,0.0,0.0
312794.0,31.557630605,3.996765661208766E-6,312794.0,73.7,6.399031959570111,312794.0,328488.0,10.0,0.0,0.0,0.0
318187.0,32.154565707,4.046561747336975E-6,318187.0,65.4,30.683548361246903,318187.0,322456.0,10.0,0.0,0.0,0.0
323580.0,32.830579207,4.1156609789631924E-6,323580.0,65.60000000000001,32.51514485702627,323580.0,395112.0,10.0,0.0,0.0,0.0
328973.0,33.455906805,4.163356746711656E-6,328973.0,58.599999999999994,17.7817761519488,328973.0,294832.0,10.0,0.0,0.0,0.0
334366.0,33.952995362,4.2149993107010135E-6,334366.0,66.2,28.996071676154866,334366.0,401584.0,10.0,0.0,0.0,0.0
339759.0,34.653856318,4.2948757665415816E-6,339759.0,68.4,36.7025218837009,339759.0,440544.0,10.0,0.0,0.0,0.0
345152.0,35.296127439,4.366369369505749E-6,345152.0,67.7,29.216339410939714,345152.0,430280.0,10.0,0.0,0.0,0.0
350545.0,35.873473426,4.4177778245810065E-6,350545.0,62.0,19.636248281696094,350545.0,344192.0,10.0,0.0,0.0,0.0
355938.0,36.550624379,4.481047031057172E-6,355938.0,67.2,32.64914723142822,355938.0,361168.0,10.0,0.0,0.0,0.0
361331.0,37.180325453,4.552558029242747E-6,361331.0,66.3,26.148316970547004,361331.0,438976.0,10.0,0.0,0.0,0.0
366724.0,37.779041707,4.602326745219402E-6,366724.0,73.7,35.11171640612662,366724.0,321320.0,10.0,0.0,0.0,0.0
372117.0,38.369098024,4.657292233890354E-6,372117.0,64.4,28.277862841486023,372117.0,360080.0,10.0,0.0,0.0,0.0
377510.0,39.00557863,4.722423030345748E-6,377510.0,68.0,25.35607484919596,377510.0,395552.0,10.0,0.0,0.0,0.0
382903.0,39.597162917,4.797438723554343E-6,382903.0,70.8,36.06054103292882,382903.0,490160.0,10.0,0.0,0.0,0.0
388296.0,40.101360864,4.846615321828946E-6,388296.0,70.1,31.637767047117343,388296.0,377016.0,10.0,0.0,0.0,0.0
393689.0,40.679214814,4.900152317092716E-6,393689.0,64.7,30.248733411844675,393689.0,358128.0,10.0,0.0,0.0,0.0
399082.0,41.318394133,4.954133823400704E-6,399082.0,67.4,34.28479277535883,399082.0,326456.0,10.0,0.0,0.0,0.0
404475.0,41.908017798,5.020579753087999E-6,404475.0,77.0,0.0,404475.0,435608.0,10.0,0.0,0.0,0.0
409868.0,42.417544537,5.078988531138025E-6,409868.0,64.60000000000001,22.580645161290334,409868.0,443112.0,10.0,0.0,0.0,0.0
415261.0,43.043417565,5.145379665669448E-6,415261.0,67.10000000000001,33.717997276192484,415261.0,410040.0,10.0,0.0,0.0,0.0
420654.0,43.55646547,5.2249111245595346E-6,420654.0,70.89999999999999,10.79967630398,420654.0,599216.0,10.0,0.0,0.0,0.0
426047.0,44.080496709,5.296839857138815E-6,426047.0,65.9,28.96306912872476,426047.0,530576.0,10.0,0.0,0.0,0.0
431440.0,44.74364369,5.350077300707186E-6,431440.0,61.3,22.620428206953367,431440.0,310320.0,10.0,0.0,0.0,0.0
436833.0,45.274254185,5.421432086710847E-6,436833.0,64.9,29.759541495901637,436833.0,519816.0,10.0,0.0,0.0,0.0
442226.0,45.959222664,5.509023662749918E-6,442226.0,63.5,25.816023738872406,442226.0,494304.0,10.0,0.0,0.0,0.0
447619.0,46.661010687,5.628751372183932E-6,447619.0,71.2,42.29913889478808,447619.0,659464.0,10.0,0.0,0.0,0.0
453012.0,47.250608689,5.7329765584897315E-6,453012.0,68.0,16.765940622902896,453012.0,683312.0,10.0,0.0,0.0,0.0
458405.0,47.837660166,5.804729967101931E-6,458405.0,65.7,30.552743470338132,458405.0,472464.0,10.0,0.0,0.0,0.0
463798.0,48.506012598,5.88985231297177E-6,463798.0,64.5,28.940309860282643,463798.0,492312.0,10.0,0.0,0.0,0.0
469191.0,49.160599528,5.9766868811962245E-6,469191.0,65.5,20.972338027652807,469191.0,512776.0,10.0,0.0,0.0,0.0
474584.0,49.742716445,6.029323722757967E-6,474584.0,62.6,25.22751627401116,474584.0,349528.0,10.0,0.0,0.0,0.0
479977.0,50.391302437,6.096368443934243E-6,479977.0,66.0,29.11379737387469,479977.0,399576.0,10.0,0.0,0.0,0.0
485370.0,50.996836092,6.180954252243297E-6,485370.0,71.1,36.397968256203946,485370.0,539960.0,10.0,0.0,0.0,0.0
490763.0,51.589439323,6.2452327607523094E-6,490763.0,65.10000000000001,29.597353344630044,490763.0,419280.0,10.0,0.0,0.0,0.0
496156.0,52.213563432,6.3022609107568515E-6,496156.0,66.0,28.399044759020676,496156.0,353200.0,10.0,0.0,0.0,0.0
501549.0,52.719643061,6.361697931514174E-6,501549.0,65.9,-0.3992415588086092,501549.0,453984.0,10.0,0.0,0.0,0.0
506942.0,53.216044438,6.429547546360407E-6,506942.0,65.5,22.62492150354357,506942.0,528344.0,10.0,0.0,0.0,0.0
512335.0,53.843186317,6.51296592013086E-6,512335.0,69.69999999999999,37.454587489266125,512335.0,514160.0,10.0,0.0,0.0,0.0
517728.0,54.494559096,6.62801013145202E-6,517728.0,68.60000000000001,30.197403521252014,517728.0,682712.0,10.0,0.0,0.0,0.0
523121.0,55.096413342,6.730199236749645E-6,523121.0,72.39999999999999,35.83066736105945,523121.0,656320.0,10.0,0.0,0.0,0.0
528514.0,55.645654755,6.790813329867085E-6,528514.0,60.0,18.65686210711263,528514.0,426592.0,10.0,0.0,0.0,0.0
533907.0,56.340487876,6.892377117238144E-6,533907.0,68.8,38.671531010189945,533907.0,565016.0,10.0,0.0,0.0,0.0
539300.0,56.996716197,6.9684054522696385E-6,539300.0,65.10000000000001,29.04485016061481,539300.0,447840.0,10.0,0.0,0.0,0.0
539383.0,57.010838253,6.970061955930268E-6,539383.0,64.7,26.59657644769019,539383.0,453416.0,10.0,0.0,0.0,0.0
