learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.154016249,4.636261077608085E-9,7.0,71.42857142857143,0.0,7.0,116360.0,10.0,7.199999999999999,0.8537498983243798,5136.0,55.88559742903354,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.272344517,8.213900875956233E-9,14.0,71.42857142857143,31.70731707317072,14.0,116872.0,10.0,14.0,1.3416407864998736,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.295839253,8.924261164211978E-9,21.0,71.42857142857143,30.000000000000004,21.0,116872.0,10.0,21.200000000000003,1.830604029032797,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.315485677,9.51826823949193E-9,28.0,71.42857142857143,38.121546961325976,28.0,116872.0,10.0,27.4,1.499629583893599,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.334945309,1.010662768293793E-8,35.0,74.28571428571429,44.44444444444445,35.0,116872.0,10.0,33.4,2.050474199897293,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.353968049,1.0681777753567116E-8,42.0,76.19047619047619,44.88188976377951,42.0,116872.0,10.0,41.599999999999994,1.9731531449264985,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.371481539,1.1211295846673764E-8,49.0,79.59183673469387,53.94736842105263,49.0,116872.0,10.0,47.7,2.1031722072463137,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.388105059,1.171390581254123E-8,56.0,82.14285714285714,59.30232558139533,56.0,116872.0,10.0,55.2,2.244994432064365,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.403744527,1.2186763094131732E-8,63.0,84.12698412698413,61.3022113022113,63.0,116872.0,10.0,60.900000000000006,2.258071940591993,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.418631981,1.263688333020649E-8,70.0,81.42857142857143,55.69620253164557,70.0,116872.0,10.0,69.2,2.8237091446063154,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.434237819,1.3108723813119448E-8,77.0,83.11688311688312,59.58821154622528,77.0,116872.0,10.0,77.0,3.3499585403736303,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,0.448894053,1.3551853142556632E-8,84.0,84.52380952380952,64.453125,84.0,116872.0,10.0,84.10000000000001,3.4073450074801643,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91.0,0.464308455,1.4017905582899435E-8,91.0,84.61538461538461,64.88423373759647,91.0,116872.0,10.0,91.3,3.7328868780669526,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,0.478992581,1.4461878223330197E-8,98.0,85.71428571428571,67.22408026755852,98.0,116872.0,10.0,98.0,3.8528488738133038,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105.0,0.494489589,1.4930428245342854E-8,105.0,85.71428571428571,67.88990825688073,105.0,116872.0,10.0,105.69999999999999,4.582696925513524,5187.2,28.800000000000004,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
