learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.032309761,9.733373943219583E-10,7.0,71.42857142857143,0.0,7.0,116448.0,10.0,5.0,0.6992058987801011,4840.8,59.22702086041472,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.057314089,1.7322379500418903E-9,14.0,64.28571428571429,0.0,14.0,117320.0,10.0,12.8,1.133333333333333,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.071502428,2.1628649339721436E-9,21.0,76.19047619047619,22.22222222222221,21.0,117320.0,10.0,18.400000000000002,1.024152766382481,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.085004992,2.572678120043129E-9,28.0,75.0,37.17948717948718,28.0,117320.0,10.0,23.7,1.5849991237291652,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.097342262,2.947123738380356E-9,35.0,77.14285714285715,44.22310756972113,35.0,117320.0,10.0,29.000000000000004,2.0000000000000004,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.109479878,3.3155097045025068E-9,42.0,78.57142857142857,42.900302114803615,42.0,117320.0,10.0,32.300000000000004,2.3048258550750034,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.121114391,3.668626108239923E-9,49.0,81.63265306122449,54.01459854014598,49.0,117320.0,10.0,38.0,2.6624967396954475,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.128576041,3.895092915569743E-9,56.0,83.92857142857143,59.87261146496815,56.0,117320.0,10.0,42.800000000000004,3.3559234529741913,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.134819317,4.084581136405468E-9,63.0,85.71428571428571,61.5071283095723,63.0,117320.0,10.0,45.199999999999996,3.811677962379415,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.141662874,4.292288346549289E-9,70.0,82.85714285714286,55.17609391675562,70.0,117320.0,10.0,56.1,3.397548135543238,4928.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
