learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
7.0,0.076356608,1.0303430345323352E-10,7.0,71.42857142857143,0.0,7.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
14.0,0.088716212,1.1971214211649366E-10,14.0,71.42857142857143,31.70731707317072,14.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
21.0,0.098003654,1.3224445781773993E-10,21.0,71.42857142857143,30.000000000000004,21.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
28.0,0.107338588,1.4484085841311352E-10,28.0,71.42857142857143,38.121546961325976,28.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
35.0,0.117562864,1.586373219225142E-10,35.0,74.28571428571429,44.44444444444445,35.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
42.0,0.127048752,1.7143741726875308E-10,42.0,76.19047619047619,44.88188976377951,42.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
49.0,0.136416652,1.8407830162180797E-10,49.0,79.59183673469387,53.94736842105263,49.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
56.0,0.144155902,1.9452151346537805E-10,56.0,82.14285714285714,59.30232558139533,56.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
63.0,0.15235778,2.0558898763524165E-10,63.0,84.12698412698413,61.3022113022113,63.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
70.0,0.159786694,2.1561343737774429E-10,70.0,81.42857142857143,55.69620253164557,70.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77.0,0.167375588,2.258537614014414E-10,77.0,83.11688311688312,59.58821154622528,77.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
84.0,0.175644816,2.3701211651166285E-10,84.0,84.52380952380952,64.453125,84.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
91.0,0.182551022,2.4633123300141763E-10,91.0,84.61538461538461,64.88423373759647,91.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
98.0,0.186291606,2.5137871320048975E-10,98.0,85.71428571428571,67.22408026755852,98.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
105.0,0.189770134,2.560725795063708E-10,105.0,85.71428571428571,67.88990825688073,105.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
112.0,0.193318154,2.608602171308465E-10,112.0,86.60714285714286,70.1492537313433,112.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
119.0,0.196697888,2.6542077249950837E-10,119.0,86.5546218487395,69.72972972972974,119.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
126.0,0.199914736,2.6976153228018023E-10,126.0,87.3015873015873,70.9090909090909,126.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
133.0,0.203066404,2.740143392814531E-10,133.0,87.21804511278195,70.83709531794143,133.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
140.0,0.206206316,2.7825128293699695E-10,140.0,87.14285714285714,71.33757961783441,140.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
147.0,0.210302962,2.8377922712100885E-10,147.0,87.75510204081633,72.30479380364244,147.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
154.0,0.213387484,2.8794142845604164E-10,154.0,88.31168831168831,73.4736842105263,154.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
161.0,0.216320298,2.918989176054797E-10,161.0,88.81987577639751,75.25192143467122,161.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
168.0,0.218982746,2.9549157948957563E-10,168.0,89.28571428571429,76.19647355163728,168.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
175.0,0.221482682,2.988649504548975E-10,175.0,89.71428571428571,77.25631768953069,175.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
182.0,0.22391173,3.02142666363054E-10,182.0,90.10989010989012,78.05760214333557,182.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
189.0,0.22640411,3.055058413909543E-10,189.0,90.47619047619048,79.11089279135453,189.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
196.0,0.228779804,3.0871156232224586E-10,196.0,90.3061224489796,78.89367490364995,196.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
203.0,0.237644208,3.2067303776741046E-10,203.0,90.64039408866995,79.28237632271579,203.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
210.0,0.240122078,3.240166332489916E-10,210.0,90.95238095238095,80.29629629629629,210.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
217.0,0.242280812,3.269295920597184E-10,217.0,91.24423963133641,80.87396205408916,217.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
224.0,0.244511068,3.299390614363884E-10,224.0,91.51785714285714,81.52457023788851,224.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
231.0,0.246604862,3.3276439131961944E-10,231.0,91.77489177489177,82.03364853248189,231.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
238.0,0.248671034,3.3555244854754886E-10,238.0,91.59663865546219,81.6527906259636,238.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
245.0,0.2512941,3.390919690330825E-10,245.0,91.83673469387756,82.12983223924142,245.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
252.0,0.253191832,3.416527362002268E-10,252.0,91.66666666666666,81.76681367144431,252.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
259.0,0.255018918,3.441181748608749E-10,259.0,91.8918918918919,82.21560997940033,259.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
266.0,0.25685489,3.46595604138242E-10,266.0,92.10526315789474,82.46153846153845,266.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
273.0,0.258787296,3.492031598091127E-10,273.0,92.3076923076923,82.78326676476773,273.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
280.0,0.260626406,3.516848234501151E-10,280.0,92.14285714285714,82.42009132420091,280.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
287.0,0.262351924,3.540132079852953E-10,287.0,92.33449477351915,82.98846858497681,287.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
294.0,0.264438702,3.5682907059788717E-10,294.0,92.51700680272108,83.44001228941575,294.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
301.0,0.266102948,3.590747757421601E-10,301.0,92.69102990033223,83.79344101811061,301.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
308.0,0.267742824,3.612875964244208E-10,308.0,92.85714285714286,84.20365535248042,308.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
315.0,0.269380316,3.634972001777756E-10,315.0,93.01587301587301,84.65863809439476,315.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
322.0,0.271006118,3.6569102964467484E-10,322.0,93.16770186335404,84.90002984183825,322.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
329.0,0.27264776,3.679062333371905E-10,329.0,93.3130699088146,85.19473081328752,329.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
336.0,0.27429615,3.701305426657201E-10,336.0,93.15476190476191,84.91449988287656,336.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
343.0,0.27582649,3.7219555733932397E-10,343.0,93.29446064139941,85.19637462235649,343.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
350.0,0.277330274,3.7422473779983E-10,350.0,93.42857142857143,85.52418629742851,350.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
357.0,0.279660612,3.7736925611893347E-10,357.0,93.27731092436974,85.1908185840708,357.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
364.0,0.281254588,3.7952014012469195E-10,364.0,93.4065934065934,85.39667680786333,364.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
371.0,0.282893286,3.8173137123386074E-10,371.0,93.26145552560648,85.19151246148198,371.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
378.0,0.284350484,3.836976893411743E-10,378.0,93.38624338624338,85.44227747481283,378.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
385.0,0.285789798,3.8563987508416184E-10,385.0,93.5064935064935,85.78265557836895,385.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
392.0,0.287209824,3.8755603392918913E-10,392.0,93.62244897959184,85.96712297382439,392.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
399.0,0.288631914,3.8947497790058464E-10,399.0,93.48370927318295,85.56881729404891,399.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
406.0,0.292414736,3.945794533358681E-10,406.0,93.59605911330048,85.84569175896377,406.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
413.0,0.293834806,3.9649567155374434E-10,413.0,93.7046004842615,86.15701946628852,413.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
420.0,0.295248604,3.9840342644188153E-10,420.0,93.80952380952381,86.41114982578398,420.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
427.0,0.296699214,4.003608548144501E-10,427.0,93.91100702576112,86.73564481827523,427.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
434.0,0.298131162,4.022931010027728E-10,434.0,94.00921658986175,87.00509017205243,434.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
441.0,0.299645756,4.0433686829275566E-10,441.0,93.42403628117914,85.69703069954706,441.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
448.0,0.301052918,4.0623566867576716E-10,448.0,93.52678571428571,85.8604327195159,448.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
455.0,0.302475338,4.0815505794352967E-10,455.0,93.62637362637362,86.09779482262704,455.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
462.0,0.304555066,4.109614074064627E-10,462.0,93.72294372294373,86.25141097998973,462.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
469.0,0.305950686,4.128446332116923E-10,469.0,93.81663113006397,86.47622077934992,469.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
476.0,0.30736884,4.14758266011874E-10,476.0,93.90756302521008,86.693657219973,476.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
483.0,0.30879124,4.166776282919779E-10,483.0,93.7888198757764,86.40049555130082,483.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
490.0,0.310204072,4.185840796762044E-10,490.0,93.87755102040816,86.64801627670397,490.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
497.0,0.311701272,4.2060437579949707E-10,497.0,93.96378269617706,86.81930693069307,497.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
504.0,0.313214634,4.226464806497098E-10,504.0,93.84920634920636,86.5021770682148,504.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
511.0,0.314735604,4.246988516052565E-10,511.0,93.9334637964775,86.73893934954584,511.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
518.0,0.316249292,4.2674139635430454E-10,518.0,93.82239382239382,86.53168012740304,518.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
525.0,0.317767818,4.287904694179695E-10,525.0,93.9047619047619,86.75851632328136,525.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
532.0,0.31928345,4.308356373674341E-10,532.0,93.98496240601504,86.94718763417775,532.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
539.0,0.320911452,4.3303243547678007E-10,539.0,93.87755102040816,86.71511475924088,539.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
546.0,0.322317261,4.3492941014468684E-10,546.0,93.77289377289377,86.48908296943232,546.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
553.0,0.323606803,4.3666949610743274E-10,553.0,93.85171790235081,86.70297029702971,553.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
560.0,0.325000893,4.3855065735677893E-10,560.0,93.92857142857143,86.85373398144056,560.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
567.0,0.326466123,4.4052781370778896E-10,567.0,94.00352733686067,86.97291599091794,567.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
574.0,0.328689755,4.435283447719284E-10,574.0,93.90243902439023,86.75448659625248,574.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
581.0,0.330156381,4.4550738486150916E-10,581.0,93.97590361445783,86.9272852339717,581.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
588.0,0.331734637,4.4763705656760283E-10,588.0,94.04761904761905,87.14810281517748,588.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
595.0,0.333328271,4.4978747908439915E-10,595.0,94.11764705882352,87.31041794882731,595.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
602.0,0.337124933,4.549106299794384E-10,602.0,94.18604651162791,87.46862696118664,602.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
609.0,0.338657631,4.5697882649799203E-10,609.0,94.25287356321839,87.59912265901805,609.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
616.0,0.340110793,4.589396984957988E-10,616.0,94.31818181818183,87.72684837306738,616.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
623.0,0.341549361,4.608808775991203E-10,623.0,94.3820224719101,87.8518939457249,623.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
630.0,0.342982601,4.62814867190189E-10,630.0,94.44444444444444,87.99712584237858,630.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
637.0,0.344445989,4.6478953797784137E-10,637.0,94.5054945054945,88.09428450895265,637.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
644.0,0.345884039,4.66730018100805E-10,644.0,94.09937888198758,87.21795086077219,644.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
651.0,0.347348973,4.687067750344676E-10,651.0,94.16282642089094,87.34266592988273,651.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
658.0,0.348784643,4.70644043626057E-10,658.0,94.22492401215806,87.41747181964573,658.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
665.0,0.350326927,4.727251753293808E-10,665.0,94.28571428571428,87.51408186256101,665.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
672.0,0.351790575,4.747001969565951E-10,672.0,94.34523809523809,87.67936235296388,672.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
679.0,0.353223491,4.766337493475944E-10,679.0,94.2562592047128,87.52972644605916,679.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
686.0,0.355422517,4.796010774953501E-10,686.0,94.31486880466473,87.66744415455106,686.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
693.0,0.356864953,4.815474760118461E-10,693.0,94.22799422799423,87.45485649116137,693.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
699.0,0.358162633,4.83298543252879E-10,699.0,94.27753934191702,87.60253624794927,699.0,5216.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
