learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.032291176,9.784580680562391E-10,7.0,71.42857142857143,0.0,7.0,117128.0,10.0,0.0
14.0,0.053701463,1.6300491536470752E-9,14.0,64.28571428571429,10.256410256410241,14.0,117640.0,10.0,0.0
21.0,0.065841772,1.9995218805058137E-9,21.0,66.66666666666666,3.921568627450953,21.0,117640.0,10.0,0.0
28.0,0.0765745,2.3261569176200364E-9,28.0,67.85714285714286,24.096385542168676,28.0,117640.0,10.0,0.0
35.0,0.087108856,2.646754790130589E-9,35.0,71.42857142857143,33.71212121212121,35.0,117640.0,10.0,0.0
42.0,0.096497511,2.9324849115291405E-9,42.0,73.80952380952381,34.1880341880342,42.0,117640.0,10.0,0.0
49.0,0.106717303,3.2435094841466182E-9,49.0,77.55102040816327,46.153846153846146,49.0,117640.0,10.0,0.0
56.0,0.116225139,3.5328667067218986E-9,56.0,80.35714285714286,52.76073619631904,56.0,117640.0,10.0,0.0
63.0,0.123596814,3.757212962139812E-9,63.0,82.53968253968253,54.853420195439725,63.0,117640.0,10.0,0.0
70.0,0.128494909,3.906279391673291E-9,70.0,82.85714285714286,55.17609391675562,70.0,117640.0,10.0,0.0
77.0,0.133427171,4.056385644382487E-9,77.0,84.4155844155844,59.50920245398772,77.0,117640.0,10.0,0.0
84.0,0.138864471,4.221861997393685E-9,84.0,85.71428571428571,65.02428868841082,84.0,117640.0,10.0,0.0
91.0,0.143714143,4.369454743032241E-9,91.0,85.71428571428571,65.43967280163598,91.0,117640.0,10.0,0.0
98.0,0.148643824,4.519482446743383E-9,98.0,86.73469387755102,67.87695410993445,98.0,117640.0,10.0,0.0
105.0,0.153749256,4.674858877675401E-9,105.0,86.66666666666667,68.58974358974359,105.0,117640.0,10.0,0.0
112.0,0.15859061,4.822198477027317E-9,112.0,87.5,70.95220452019267,112.0,117640.0,10.0,0.0
119.0,0.163074296,4.958652968655031E-9,119.0,87.39495798319328,70.4225352112676,119.0,117640.0,10.0,0.0
126.0,0.167768109,5.101502371291734E-9,126.0,88.09523809523809,71.57894736842105,126.0,117640.0,10.0,0.0
