learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
7.0,0.161265392,5.062407639821371E-9,7.0,71.42857142857143,0.0,7.0,121344.0,10.0,0.0,0.0,0.0
14.0,0.27779678,8.735970424016317E-9,14.0,64.28571428571429,10.256410256410241,14.0,121856.0,10.0,0.0,0.0,0.0
21.0,0.30640007,9.650098722949625E-9,21.0,66.66666666666666,3.921568627450953,21.0,123536.0,10.0,0.0,0.0,0.0
28.0,0.323694258,1.0202801109908356E-8,28.0,67.85714285714286,24.096385542168676,28.0,123536.0,10.0,0.0,0.0,0.0
35.0,0.34079371,1.0749279957951772E-8,35.0,71.42857142857143,33.71212121212121,35.0,123536.0,10.0,0.0,0.0,0.0
42.0,0.359560167,1.1357190596345399E-8,42.0,73.80952380952381,34.1880341880342,42.0,125216.0,10.0,0.0,0.0,0.0
49.0,0.374761067,1.184960047548016E-8,49.0,77.55102040816327,46.153846153846146,49.0,125216.0,10.0,0.0,0.0,0.0
56.0,0.388994299,1.2310664231495726E-8,56.0,80.35714285714286,52.76073619631904,56.0,125216.0,10.0,0.0,0.0,0.0
63.0,0.402670747,1.275369182240632E-8,63.0,82.53968253968253,54.853420195439725,63.0,125216.0,10.0,0.0,0.0,0.0
70.0,0.417114809,1.3221585093438627E-8,70.0,82.85714285714286,55.17609391675562,70.0,125216.0,10.0,0.0,0.0,0.0
77.0,0.431695399,1.3700237955194382E-8,77.0,84.4155844155844,59.50920245398772,77.0,126896.0,10.0,0.0,0.0,0.0
84.0,0.445547263,1.4154968137186437E-8,84.0,85.71428571428571,65.02428868841082,84.0,126896.0,10.0,0.0,0.0,0.0
91.0,0.459222773,1.4603908954908453E-8,91.0,85.71428571428571,65.43967280163598,91.0,126896.0,10.0,0.0,0.0,0.0
98.0,0.474117053,1.5092859658946598E-8,98.0,86.73469387755102,67.87695410993445,98.0,126896.0,10.0,0.0,0.0,0.0
105.0,0.487991855,1.5548342851574226E-8,105.0,86.66666666666667,68.58974358974359,105.0,126896.0,10.0,0.0,0.0,0.0
112.0,0.502135194,1.6012641599919238E-8,112.0,87.5,70.95220452019267,112.0,126896.0,10.0,0.0,0.0,0.0
119.0,0.515943238,1.646593325518486E-8,119.0,87.39495798319328,70.4225352112676,119.0,126896.0,10.0,0.0,0.0,0.0
126.0,0.530445008,1.694199860720585E-8,126.0,88.09523809523809,71.57894736842105,126.0,126896.0,10.0,0.0,0.0,0.0
133.0,0.54472406,1.7410752553579713E-8,133.0,87.96992481203007,71.46688120139449,133.0,126896.0,10.0,0.0,0.0,0.0
140.0,0.558461564,1.7861728515662257E-8,140.0,87.85714285714286,72.03947368421053,140.0,126896.0,10.0,0.0,0.0,0.0
147.0,0.572457416,1.8321185548094415E-8,147.0,88.43537414965986,72.98086279597794,147.0,126896.0,10.0,0.0,0.0,0.0
154.0,0.586045802,1.876726625165592E-8,154.0,88.96103896103897,74.15597235932874,154.0,126896.0,10.0,0.0,0.0,0.0
161.0,0.600300834,1.9241427149520156E-8,161.0,89.44099378881988,76.00175361683472,161.0,128576.0,10.0,0.0,0.0,0.0
168.0,0.614326776,1.9707967894718883E-8,168.0,89.88095238095238,76.93798449612403,168.0,128576.0,10.0,0.0,0.0,0.0
175.0,0.635370508,2.040793930548347E-8,175.0,90.28571428571428,78.00369685767097,175.0,128576.0,10.0,0.0,0.0,0.0
182.0,0.650841374,2.0922542128774033E-8,182.0,90.65934065934066,78.79369431117203,182.0,128576.0,10.0,0.0,0.0,0.0
189.0,0.666289593,2.1436391651626268E-8,189.0,91.005291005291,79.85706225315026,189.0,128576.0,10.0,0.0,0.0,0.0
196.0,0.685055379,2.206059242079242E-8,196.0,90.81632653061224,79.6116504854369,196.0,128576.0,10.0,0.0,0.0,0.0
203.0,0.700173721,2.256346934291638E-8,203.0,91.13300492610837,79.96930161166539,203.0,128576.0,10.0,0.0,0.0,0.0
210.0,0.715258708,2.3065236787576648E-8,210.0,91.42857142857143,80.99547511312217,210.0,128576.0,10.0,0.0,0.0,0.0
217.0,0.731215983,2.3596018889045557E-8,217.0,91.70506912442397,81.55981493721085,217.0,128576.0,10.0,0.0,0.0,0.0
224.0,0.747203017,2.412779085529762E-8,224.0,91.96428571428571,82.20338983050847,224.0,128576.0,10.0,0.0,0.0,0.0
231.0,0.760123783,2.4557570459275616E-8,231.0,92.20779220779221,82.69950902887575,231.0,128576.0,10.0,0.0,0.0,0.0
238.0,0.773709367,2.5009463707038933E-8,238.0,92.01680672268907,82.29027962716377,238.0,128576.0,10.0,0.0,0.0,0.0
245.0,0.786437163,2.5432824607189338E-8,245.0,92.24489795918367,82.75606593813669,245.0,128576.0,10.0,0.0,0.0,0.0
252.0,0.801511793,2.5934247550033042E-8,252.0,92.06349206349206,82.36775818639798,252.0,128576.0,10.0,0.0,0.0,0.0
259.0,0.815629125,2.6403828173672996E-8,259.0,92.27799227799228,82.80669144981414,259.0,128576.0,10.0,0.0,0.0,0.0
266.0,0.828510573,2.683229995468839E-8,266.0,92.4812030075188,83.03571428571429,266.0,128576.0,10.0,0.0,0.0,0.0
273.0,0.841302249,2.7257785676316262E-8,273.0,92.67399267399267,83.34553440702783,273.0,128576.0,10.0,0.0,0.0,0.0
280.0,0.854361347,2.7692166576546936E-8,280.0,92.5,82.96639629200465,280.0,128576.0,10.0,0.0,0.0,0.0
287.0,0.868242555,2.8153893077667397E-8,287.0,92.6829268292683,83.53323679680884,287.0,128576.0,10.0,0.0,0.0,0.0
294.0,0.882180193,2.8617496593126827E-8,294.0,92.85714285714286,83.97944885567493,294.0,128576.0,10.0,0.0,0.0,0.0
301.0,0.895018377,2.9044529296552976E-8,301.0,93.02325581395348,84.3248605083695,301.0,128576.0,10.0,0.0,0.0,0.0
308.0,0.908596255,2.949616622192579E-8,308.0,93.18181818181817,84.729436207385,308.0,128576.0,10.0,0.0,0.0,0.0
315.0,0.921584217,2.992818094650491E-8,315.0,93.33333333333333,85.18045567578466,315.0,128576.0,10.0,0.0,0.0,0.0
322.0,0.934969089,3.037921526620372E-8,322.0,93.47826086956522,85.41226215644822,322.0,130256.0,10.0,0.0,0.0,0.0
329.0,0.947744415,3.080970951906923E-8,329.0,93.61702127659575,85.69950116945749,329.0,130256.0,10.0,0.0,0.0,0.0
336.0,0.961432902,3.1270974850687717E-8,336.0,93.45238095238095,85.40514926551887,336.0,130256.0,10.0,0.0,0.0,0.0
343.0,0.974071174,3.169685075100925E-8,343.0,93.58600583090379,85.68012752391073,343.0,130256.0,10.0,0.0,0.0,0.0
350.0,0.986928066,3.213009355950686E-8,350.0,93.71428571428572,86.00254499181968,350.0,130256.0,10.0,0.0,0.0,0.0
357.0,1.00103398,3.260542506246931E-8,357.0,93.55742296918767,85.65789243856003,357.0,130256.0,10.0,0.0,0.0,0.0
364.0,1.013852952,3.303739006857905E-8,364.0,93.68131868131869,85.8561967833491,364.0,130256.0,10.0,0.0,0.0,0.0
371.0,1.028845605,3.3542602299696036E-8,371.0,93.53099730458221,85.64056250806348,371.0,130256.0,10.0,0.0,0.0,0.0
378.0,1.046457171,3.413606488115671E-8,378.0,93.65079365079364,85.88542801132651,378.0,130256.0,10.0,0.0,0.0,0.0
385.0,1.059815977,3.458622084650314E-8,385.0,93.76623376623377,86.22211618752236,385.0,130256.0,10.0,0.0,0.0,0.0
392.0,1.075843465,3.512630424413002E-8,392.0,93.87755102040816,86.39990748236383,392.0,130256.0,10.0,0.0,0.0,0.0
399.0,1.089136719,3.557425128273252E-8,399.0,93.734335839599,85.98839740978494,399.0,130256.0,10.0,0.0,0.0,0.0
