learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
7.0,0.008360575,8.788241368408005E-11,7.0,71.42857142857143,0.0,7.0,40632.0,10.0,0.0,0.0,0.0
14.0,0.02083152,2.2062293059296079E-10,14.0,64.28571428571429,10.256410256410241,14.0,41144.0,10.0,0.0,0.0,0.0
21.0,0.028313085,3.035081923111445E-10,21.0,66.66666666666666,3.921568627450953,21.0,42824.0,10.0,0.0,0.0,0.0
28.0,0.033759096,3.6384236665235624E-10,28.0,67.85714285714286,24.096385542168676,28.0,42824.0,10.0,0.0,0.0,0.0
35.0,0.038997512,4.218766791456275E-10,35.0,71.42857142857143,33.71212121212121,35.0,42824.0,10.0,0.0,0.0,0.0
42.0,0.043892262,4.782309962353772E-10,42.0,73.80952380952381,34.1880341880342,42.0,44504.0,10.0,0.0,0.0,0.0
49.0,0.048998724,5.370227994438674E-10,49.0,77.55102040816327,46.153846153846146,49.0,44504.0,10.0,0.0,0.0,0.0
56.0,0.053363639,5.872770114015373E-10,56.0,80.35714285714286,52.76073619631904,56.0,44504.0,10.0,0.0,0.0,0.0
63.0,0.057616152,6.362371147837902E-10,63.0,82.53968253968253,54.853420195439725,63.0,44504.0,10.0,0.0,0.0,0.0
70.0,0.06163311,6.82485222423242E-10,70.0,81.42857142857143,52.35602094240838,70.0,44504.0,10.0,0.0,0.0,0.0
77.0,0.064521298,7.169928127154706E-10,77.0,83.11688311688312,56.87203791469195,77.0,46184.0,10.0,0.0,0.0,0.0
84.0,0.066870963,7.450662196903591E-10,84.0,84.52380952380952,62.60273972602739,84.0,46184.0,10.0,0.0,0.0,0.0
91.0,0.069695561,7.788140472293726E-10,91.0,84.61538461538461,63.22170900692841,91.0,46184.0,10.0,0.0,0.0,0.0
98.0,0.072590151,8.133981275537774E-10,98.0,85.71428571428571,65.785536159601,98.0,46184.0,10.0,0.0,0.0,0.0
105.0,0.074835518,8.402253993559213E-10,105.0,85.71428571428571,66.66666666666666,105.0,46184.0,10.0,0.0,0.0,0.0
112.0,0.077538868,8.725245759387809E-10,112.0,86.60714285714286,69.14033798677444,112.0,46184.0,10.0,0.0,0.0,0.0
119.0,0.079641407,8.976453625307314E-10,119.0,86.5546218487395,68.71508379888269,119.0,46184.0,10.0,0.0,0.0,0.0
126.0,0.082288768,9.292755918453136E-10,126.0,87.3015873015873,69.937369519833,126.0,46184.0,10.0,0.0,0.0,0.0
133.0,0.084483561,9.554986138993667E-10,133.0,87.21804511278195,69.92151124118664,133.0,46184.0,10.0,0.0,0.0,0.0
140.0,0.087156187,9.874307052356502E-10,140.0,87.85714285714286,72.40259740259741,140.0,46184.0,10.0,0.0,0.0,0.0
147.0,0.089301851,1.013066742161496E-9,147.0,88.43537414965986,73.3326219186853,147.0,46184.0,10.0,0.0,0.0,0.0
154.0,0.09189342,1.0440303779310652E-9,154.0,88.96103896103897,74.4784558393449,154.0,46184.0,10.0,0.0,0.0,0.0
161.0,0.09411921,1.071591113611228E-9,161.0,89.44099378881988,76.25574737572656,161.0,47864.0,10.0,0.0,0.0,0.0
168.0,0.096709099,1.1036602873293063E-9,168.0,89.88095238095238,77.17391304347827,168.0,47864.0,10.0,0.0,0.0,0.0
175.0,0.098739797,1.1288053058729405E-9,175.0,90.28571428571428,78.21310875137311,175.0,47864.0,10.0,0.0,0.0,0.0
182.0,0.101310344,1.1606349782231782E-9,182.0,90.65934065934066,78.98954230612522,182.0,47864.0,10.0,0.0,0.0,0.0
189.0,0.103385807,1.1863342971872126E-9,189.0,91.005291005291,80.02486788933788,189.0,47864.0,10.0,0.0,0.0,0.0
196.0,0.106051089,1.2193370210358667E-9,196.0,90.81632653061224,79.77064220183486,196.0,47864.0,10.0,0.0,0.0,0.0
203.0,0.108084339,1.2445136395945317E-9,203.0,91.13300492610837,80.1326663766855,203.0,47864.0,10.0,0.0,0.0,0.0
210.0,0.110677585,1.2766243812007209E-9,210.0,91.42857142857143,81.1320754716981,210.0,47864.0,10.0,0.0,0.0,0.0
217.0,0.112725243,1.3019794061138399E-9,217.0,91.70506912442397,81.68948059253704,217.0,47864.0,10.0,0.0,0.0,0.0
224.0,0.115367663,1.3346990423670247E-9,224.0,91.96428571428571,82.32199228340932,224.0,47864.0,10.0,0.0,0.0,0.0
231.0,0.117345873,1.3591941308209467E-9,231.0,92.20779220779221,82.81249999999999,231.0,47864.0,10.0,0.0,0.0,0.0
238.0,0.119847043,1.3901647458660108E-9,238.0,92.01680672268907,82.40329986769397,238.0,47864.0,10.0,0.0,0.0,0.0
245.0,0.121807232,1.4144366901699042E-9,245.0,92.24489795918367,82.86397938523835,245.0,47864.0,10.0,0.0,0.0,0.0
252.0,0.12437935,1.4462858153507116E-9,252.0,92.06349206349206,82.47566063977746,252.0,47864.0,10.0,0.0,0.0,0.0
