learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
16.0,0.00951096,1.3995279371738435E-11,16.0,50.0,-14.285714285714285,16.0,5688.0
32.0,0.027099126,3.987608391791582E-11,32.0,56.25,-16.666666666666664,32.0,5688.0
48.0,0.039903306,5.871730249375105E-11,48.0,66.66666666666666,5.651105651105654,48.0,5688.0
64.0,0.052590014,7.738566223531962E-11,64.0,70.3125,5.88235294117647,64.0,5688.0
80.0,0.065164562,9.588897969573736E-11,80.0,72.5,14.811229428848025,80.0,5688.0
96.0,0.07557562,1.1120874397456647E-10,96.0,71.875,14.285714285714285,96.0,5688.0
112.0,0.085803846,1.2625947285443546E-10,112.0,71.42857142857143,18.545454545454565,112.0,5688.0
128.0,0.09664532,1.4221258983016015E-10,128.0,73.4375,24.861878453038674,128.0,5688.0
144.0,0.10784993,1.5870005767792464E-10,144.0,75.0,29.92700729927008,144.0,5688.0
160.0,0.113916172,1.676264701038599E-10,160.0,76.875,36.15185504745471,160.0,5688.0
176.0,0.120056604,1.7666205234825613E-10,176.0,78.97727272727273,37.81512605042017,176.0,5688.0
192.0,0.126347444,1.859189584106207E-10,192.0,78.64583333333334,38.59594383775352,192.0,5688.0
208.0,0.131582618,1.9362246286123992E-10,208.0,79.8076923076923,41.88398084087281,208.0,5688.0
224.0,0.136667672,2.0110506728291512E-10,224.0,80.80357142857143,44.707233065442026,224.0,5688.0
240.0,0.142025826,2.0898953553289176E-10,240.0,80.83333333333333,44.86065328139048,240.0,5688.0
256.0,0.146505218,2.1558091457933188E-10,256.0,81.640625,47.14461430328589,256.0,5688.0
272.0,0.151234152,2.2253949210047722E-10,272.0,82.35294117647058,49.67234600262122,272.0,5688.0
288.0,0.155811218,2.2927459742873907E-10,288.0,82.98611111111111,52.941176470588246,288.0,5688.0
304.0,0.159221108,2.342922153323889E-10,304.0,83.88157894736842,54.607508532423196,304.0,5688.0
320.0,0.162547922,2.391875877603889E-10,320.0,84.0625,55.28767123287669,320.0,5688.0
336.0,0.165832212,2.440203865617514E-10,336.0,83.92857142857143,53.93988627132412,336.0,5688.0
352.0,0.168933192,2.4858344659209254E-10,352.0,84.0909090909091,54.555514570269295,352.0,5688.0
368.0,0.171917082,2.5297420989722017E-10,368.0,84.78260869565217,56.288974674415634,368.0,5688.0
384.0,0.174925848,2.574015779793263E-10,384.0,85.15625,57.30337078651685,384.0,5688.0
400.0,0.177773056,2.6159121513366707E-10,400.0,85.25,56.662259438813,400.0,5688.0
416.0,0.180541484,2.6566492833197125E-10,416.0,85.33653846153845,57.120648867860744,416.0,5688.0
432.0,0.183084814,2.694074121490122E-10,432.0,85.18518518518519,56.686301541546555,432.0,5688.0
448.0,0.186194566,2.739833800867201E-10,448.0,85.26785714285714,56.76055102219881,448.0,5688.0
464.0,0.188690216,2.776557032763959E-10,464.0,85.5603448275862,57.60418939559242,464.0,5688.0
480.0,0.191373654,2.816043545678259E-10,480.0,85.83333333333333,58.12700449005773,480.0,5688.0
496.0,0.193973678,2.854302630200983E-10,496.0,85.68548387096774,57.151895653866724,496.0,5688.0
512.0,0.196224426,2.887422154471279E-10,512.0,85.7421875,57.51761764037281,512.0,5688.0
528.0,0.198424568,2.9197970166802415E-10,528.0,85.41666666666666,56.45244215938301,528.0,5688.0
544.0,0.200700172,2.953282294422389E-10,544.0,85.84558823529412,57.61868145210245,544.0,5688.0
560.0,0.203081362,2.9883212592452777E-10,560.0,85.89285714285714,57.913162601316635,560.0,5688.0
576.0,0.20520093,3.0195104833692324E-10,576.0,85.9375,57.93876888680537,576.0,5688.0
592.0,0.20793308,3.059713788330556E-10,592.0,85.8108108108108,57.61625528433111,592.0,5688.0
608.0,0.209994972,3.090054316073657E-10,608.0,85.69078947368422,57.52826310380268,608.0,5688.0
624.0,0.212072662,3.120627309754492E-10,624.0,85.73717948717949,57.584089451012744,624.0,5688.0
