learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
16.0,0.009276981,7.071246915186446E-11,16.0,68.75,9.090909090909092,16.0,29464.0,10.0,0.0,0.0,0.0
32.0,0.022153543,1.6939522100198601E-10,32.0,65.625,4.3478260869565215,32.0,29624.0,10.0,0.0,0.0,0.0
48.0,0.027977774,2.1670662856764265E-10,48.0,72.91666666666666,20.81218274111673,48.0,31400.0,10.0,0.0,0.0,0.0
64.0,0.033714463,2.633425327969922E-10,64.0,75.0,18.471337579617835,64.0,31424.0,10.0,0.0,0.0,0.0
80.0,0.038037142,3.0036207884136175E-10,80.0,75.0,19.273461150353207,80.0,33104.0,10.0,0.0,0.0,0.0
96.0,0.041899475,3.334472021398445E-10,96.0,75.0,22.580645161290313,96.0,33112.0,10.0,0.0,0.0,0.0
112.0,0.045866535,3.67437637442102E-10,112.0,75.89285714285714,28.746465598492005,112.0,33120.0,10.0,0.0,0.0,0.0
128.0,0.049565528,3.9913122973715265E-10,128.0,77.34375,33.856022808268,128.0,33120.0,10.0,0.0,0.0,0.0
144.0,0.053225879,4.30493730896463E-10,144.0,78.47222222222221,38.000000000000014,144.0,33120.0,10.0,0.0,0.0,0.0
160.0,0.057253886,4.667570114446183E-10,160.0,79.375,41.22885129118431,160.0,34800.0,10.0,0.0,0.0,0.0
176.0,0.060515459,4.961202515599628E-10,176.0,81.25,42.60869565217393,176.0,34800.0,10.0,0.0,0.0,0.0
192.0,0.063928668,5.268486379645765E-10,192.0,80.72916666666666,42.94892386765178,192.0,34800.0,10.0,0.0,0.0,0.0
208.0,0.067674023,5.60567263358583E-10,208.0,81.73076923076923,45.981410606888986,208.0,34800.0,10.0,0.0,0.0,0.0
224.0,0.070153193,5.828866975692411E-10,224.0,82.58928571428571,48.57546503414172,224.0,34800.0,10.0,0.0,0.0,0.0
240.0,0.071913064,5.987304376127818E-10,240.0,82.5,48.48206071757127,240.0,34800.0,10.0,1.0,0.0,0.0
256.0,0.073932363,6.169097521342336E-10,256.0,83.203125,50.58358771772311,256.0,34800.0,10.0,1.0,0.0,0.0
272.0,0.076691412,6.417488767765462E-10,272.0,83.82352941176471,52.92266540791443,272.0,34800.0,10.0,1.0,0.0,0.0
288.0,0.078472616,6.577846732301016E-10,288.0,84.375,56.0081466395112,288.0,34800.0,10.0,1.0,0.0,0.0
304.0,0.08008423,6.722936873945097E-10,304.0,84.86842105263158,56.4307078763709,304.0,34800.0,10.0,0.0,0.0,0.0
320.0,0.082235216,6.92593407165259E-10,320.0,85.0,57.03496503496501,320.0,36480.0,10.0,0.0,0.0,0.0
336.0,0.083713693,7.065463890942434E-10,336.0,84.82142857142857,55.57399149642227,336.0,36480.0,10.0,1.0,0.0,0.0
352.0,0.085363637,7.221175740472971E-10,352.0,84.94318181818183,56.1200489227585,352.0,36480.0,10.0,0.0,0.0,0.0
368.0,0.08750208,7.422989204836387E-10,368.0,85.59782608695652,57.81642010554546,368.0,36480.0,10.0,1.0,0.0,0.0
384.0,0.0890978,7.573583717457949E-10,384.0,85.9375,58.77862595419848,384.0,36480.0,10.0,0.0,0.0,0.0
400.0,0.09051941,7.707746769301592E-10,400.0,86.0,58.07284842586006,400.0,36480.0,10.0,0.0,0.0,0.0
416.0,0.09266092,7.909849678787092E-10,416.0,86.0576923076923,58.485891259463195,416.0,36480.0,10.0,0.0,0.0,0.0
432.0,0.094174356,8.052678719473381E-10,432.0,85.41666666666666,56.615443473825145,432.0,36480.0,10.0,1.0,0.0,0.0
448.0,0.095657328,8.192632749987145E-10,448.0,85.49107142857143,56.6872917658258,448.0,36480.0,10.0,1.0,0.0,0.0
464.0,0.097596224,8.375614161603152E-10,464.0,85.5603448275862,57.041786424939225,464.0,36480.0,10.0,1.0,0.0,0.0
480.0,0.099234905,8.530263076536357E-10,480.0,85.83333333333333,57.582846003898624,480.0,36480.0,10.0,1.0,0.0,0.0
496.0,0.101335639,8.728517790945867E-10,496.0,85.88709677419355,57.350628930817614,496.0,36480.0,10.0,0.0,0.0,0.0
512.0,0.102985652,8.884236152283847E-10,512.0,86.1328125,58.430152776507185,512.0,36480.0,10.0,0.0,0.0,0.0
528.0,0.10440145,9.017850702318052E-10,528.0,85.79545454545455,57.333103477998506,528.0,36480.0,10.0,0.0,0.0,0.0
544.0,0.106651392,9.230186775637169E-10,544.0,86.21323529411765,58.480888997435606,544.0,36480.0,10.0,0.0,0.0,0.0
560.0,0.108104972,9.367366964928806E-10,560.0,86.42857142857143,59.17114351496547,560.0,36480.0,10.0,0.0,0.0,0.0
576.0,0.109728012,9.520539775801201E-10,576.0,86.63194444444444,59.57563163075575,576.0,36480.0,10.0,0.0,0.0,0.0
592.0,0.111713025,9.707873434138795E-10,592.0,86.48648648648648,59.20617420066156,592.0,36480.0,10.0,0.0,0.0,0.0
608.0,0.113222887,9.850365182074408E-10,608.0,86.51315789473685,59.66408310545137,608.0,36480.0,10.0,0.0,0.0,0.0
624.0,0.114595112,9.979867572896183E-10,624.0,86.53846153846155,59.86831023658221,624.0,36480.0,10.0,1.0,0.0,0.0
640.0,0.116635879,1.0181332484818995E-9,640.0,86.71875,60.848662809108454,640.0,38160.0,10.0,0.0,0.0,0.0
656.0,0.118134958,1.0329321852885187E-9,656.0,86.73780487804879,61.006804952037406,656.0,38160.0,10.0,0.0,0.0,0.0
672.0,0.120361336,1.0549110318534076E-9,672.0,86.45833333333334,60.106466259589794,672.0,38160.0,10.0,0.0,0.0,0.0
688.0,0.121742134,1.068542296346277E-9,688.0,86.48255813953489,60.467587672688616,688.0,38160.0,10.0,0.0,0.0,0.0
704.0,0.123258779,1.0835146450437606E-9,704.0,86.64772727272727,61.1374073595565,704.0,38160.0,10.0,0.0,0.0,0.0
720.0,0.125165339,1.1023362421430648E-9,720.0,86.80555555555556,61.941643853909326,720.0,38160.0,10.0,0.0,0.0,0.0
736.0,0.126804647,1.118519522342831E-9,736.0,86.82065217391305,62.233648617194625,736.0,38160.0,10.0,0.0,0.0,0.0
752.0,0.128226384,1.1325549374334516E-9,752.0,86.70212765957447,61.84793968727485,752.0,38160.0,10.0,0.0,0.0,0.0
768.0,0.130447101,1.1544778984971345E-9,768.0,86.328125,61.241204291152386,768.0,38160.0,10.0,0.0,0.0,0.0
784.0,0.131944238,1.1692576638422906E-9,784.0,86.35204081632652,61.22041420118342,784.0,38160.0,10.0,0.0,0.0,0.0
800.0,0.133506992,1.1846852014772595E-9,800.0,86.25,60.743727918346956,800.0,38160.0,10.0,0.0,0.0,0.0
816.0,0.13539883,1.2033614627085628E-9,816.0,86.27450980392157,60.86733120953654,816.0,38160.0,10.0,0.0,0.0,0.0
832.0,0.136634509,1.2155601096339525E-9,832.0,86.53846153846155,61.67034124189674,832.0,38160.0,10.0,0.0,0.0,0.0
848.0,0.138280508,1.2318094435147941E-9,848.0,86.32075471698113,60.956093069039696,848.0,38160.0,10.0,0.0,0.0,0.0
864.0,0.139493847,1.2437875495292246E-9,864.0,86.45833333333334,61.18091610088785,864.0,38160.0,10.0,0.0,0.0,0.0
880.0,0.140629013,1.2549939301796257E-9,880.0,86.70454545454545,61.80158789048008,880.0,38160.0,10.0,0.0,0.0,0.0
896.0,0.142525012,1.2737112688831984E-9,896.0,86.60714285714286,61.66134185303515,896.0,38160.0,10.0,0.0,0.0,0.0
912.0,0.143715533,1.2854641151614488E-9,912.0,86.8421052631579,61.98653689848489,912.0,38160.0,10.0,1.0,0.0,0.0
928.0,0.145033452,1.2984746369533242E-9,928.0,86.96120689655173,62.444480119869425,928.0,38160.0,10.0,1.0,0.0,0.0
944.0,0.146649081,1.3144241576083005E-9,944.0,86.97033898305084,62.895927601809944,944.0,38160.0,10.0,1.0,0.0,0.0
960.0,0.147790618,1.3256934328936041E-9,960.0,86.97916666666666,63.09282155379221,960.0,38160.0,10.0,1.0,0.0,0.0
