learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
16.0,0.021445814,4.91113157549666E-10,16.0,62.5,0.0,16.0,88520.0,10.0,0.0
32.0,0.039774001,9.115907152597274E-10,32.0,65.625,4.3478260869565215,32.0,88680.0,10.0,0.0
48.0,0.048983474,1.1230992912542487E-9,48.0,70.83333333333334,5.35211267605638,48.0,88776.0,10.0,0.0
64.0,0.057389083,1.3161981821598275E-9,64.0,73.4375,5.2264808362369335,64.0,88800.0,10.0,0.0
80.0,0.065882356,1.5113109451325402E-9,80.0,73.75,9.482758620689646,80.0,88800.0,10.0,0.0
96.0,0.073087125,1.6768383018568985E-9,96.0,72.91666666666666,10.344827586206895,96.0,88808.0,10.0,0.0
112.0,0.077949498,1.7885598925273451E-9,112.0,73.21428571428571,17.808219178082165,112.0,88816.0,10.0,0.0
128.0,0.081944935,1.880362100433558E-9,128.0,75.0,24.594992636229748,128.0,88816.0,10.0,0.0
144.0,0.085403158,1.959820869732648E-9,144.0,74.30555555555556,23.18339100346023,144.0,88816.0,10.0,0.0
160.0,0.08916077,2.0461586290453043E-9,160.0,75.625,28.242870285188594,160.0,88816.0,10.0,0.0
176.0,0.093354584,2.14251889820935E-9,176.0,77.8409090909091,29.72972972972973,176.0,88816.0,10.0,0.0
192.0,0.097795922,2.2445664675885605E-9,192.0,77.08333333333334,29.553035356904612,192.0,88816.0,10.0,0.0
208.0,0.101823429,2.33710554027516E-9,208.0,77.40384615384616,30.823662609680152,208.0,88816.0,10.0,0.0
224.0,0.10580675,2.4286293617242743E-9,224.0,78.57142857142857,34.63035019455252,224.0,88816.0,10.0,0.0
240.0,0.109016023,2.5023680659445628E-9,240.0,78.75,35.56538218572329,240.0,88816.0,10.0,0.0
256.0,0.11288163,2.591187200747017E-9,256.0,79.296875,37.727189278501925,256.0,88816.0,10.0,0.0
272.0,0.117045852,2.686867541548693E-9,272.0,80.14705882352942,41.01678580033732,272.0,88816.0,10.0,0.0
288.0,0.120759624,2.772197999583765E-9,288.0,80.90277777777779,45.25093322272915,288.0,88816.0,10.0,0.0
304.0,0.124550212,2.8592934406238306E-9,304.0,81.9078947368421,47.195553309752405,304.0,88816.0,10.0,0.0
320.0,0.128161337,2.9422654028961237E-9,320.0,82.8125,50.56179775280899,320.0,88816.0,10.0,0.0
336.0,0.131817728,3.026277431309638E-9,336.0,82.73809523809523,49.26057071443448,336.0,88816.0,10.0,0.0
