learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
16.0,0.025571462,1.800964383325643E-10,16.0,75.0,33.33333333333333,16.0,27224.0,10.0,0.0,0.0
32.0,0.080360644,5.68237269860175E-10,32.0,71.875,21.73913043478261,32.0,27384.0,10.0,0.0,0.0
48.0,0.11604921,8.374615639489558E-10,48.0,77.08333333333334,32.99492385786802,48.0,29160.0,10.0,0.0,0.0
64.0,0.13757201,9.99957018101381E-10,64.0,78.125,28.662420382165603,64.0,29184.0,10.0,0.0,0.0
80.0,0.151129946,1.1082108851315246E-9,80.0,77.5,27.346115035317897,80.0,30864.0,10.0,0.0,0.0
96.0,0.163887156,1.210097726682822E-9,96.0,77.08333333333334,29.03225806451613,96.0,30872.0,10.0,0.0,0.0
112.0,0.172882312,1.2819571322864956E-9,112.0,77.67857142857143,34.024505183788904,112.0,30880.0,10.0,0.0,0.0
128.0,0.181579362,1.3514350650211174E-9,128.0,78.90625,38.41767640769779,128.0,30880.0,10.0,0.0,0.0
144.0,0.188869762,1.4096757237282062E-9,144.0,79.86111111111111,42.00000000000003,144.0,30880.0,10.0,0.0,0.0
160.0,0.196583316,1.4746492667744554E-9,160.0,80.625,44.79073909171862,160.0,32560.0,10.0,0.0,0.0
176.0,0.204613928,1.5422934829774828E-9,176.0,82.38636363636364,46.08695652173914,176.0,32560.0,10.0,0.0,0.0
192.0,0.212085514,1.6052288581099772E-9,192.0,81.77083333333334,46.032765820751706,192.0,32560.0,10.0,0.0,0.0
208.0,0.21872838,1.6611836799730855E-9,208.0,82.6923076923077,48.82449425915797,208.0,32560.0,10.0,0.0,0.0
224.0,0.226645226,1.7278696115646095E-9,224.0,83.48214285714286,51.21262067341653,224.0,32560.0,10.0,0.0,0.0
240.0,0.233375696,1.7845623477879495E-9,240.0,83.33333333333334,50.93529592149647,240.0,32560.0,10.0,0.0,0.0
256.0,0.240560416,1.84508136589494E-9,256.0,83.984375,52.88202549829413,256.0,32560.0,10.0,0.0,0.0
