learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
14.0,0.023116388,2.1021690814031498E-10,14.0,35.714285714285715,-6.779661016949151,14.0,35152.0,10.0,14.0,1.3416407864998736,2774.4,4.266666666666655
28.0,0.10423558,9.514280523525344E-10,28.0,53.57142857142857,18.749999999999993,28.0,35320.0,10.0,27.4,1.499629583893599,2791.2000000000003,2.515728301881742
42.0,0.136765316,1.24967216624154E-9,42.0,45.23809523809524,6.7567567567567615,42.0,35440.0,10.0,41.599999999999994,1.9731531449264985,2803.2,1.7688665548562195
56.0,0.154104228,1.408677322798305E-9,56.0,48.214285714285715,13.571048430015967,56.0,35448.0,10.0,55.2,2.244994432064365,2804.0,1.333333333333337
70.0,0.166060774,1.5186208506880535E-9,70.0,47.14285714285714,12.73584905660377,70.0,35544.0,10.0,69.2,2.8237091446063154,2813.6000000000004,1.2220201853215533
84.0,0.17465692,1.5977180047540201E-9,84.0,50.0,19.212273872223488,84.0,35568.0,10.0,84.10000000000001,3.4073450074801643,2816.0,0.0
98.0,0.183869458,1.6825822010967466E-9,98.0,50.0,19.658691651330102,98.0,35608.0,10.0,98.0,3.8528488738133038,2819.9999999999995,1.333333333333356
112.0,0.192535542,1.7624125642495022E-9,112.0,48.214285714285715,16.77130044843049,112.0,35608.0,10.0,112.7,4.457328547210512,2819.9999999999995,1.333333333333356
126.0,0.201587902,1.8458012304786177E-9,126.0,47.61904761904761,15.064855479522013,126.0,35608.0,10.0,125.5,4.78713553878169,2819.9999999999995,1.333333333333356
140.0,0.21003761,1.9236383779346942E-9,140.0,47.85714285714286,15.200796548290743,140.0,35608.0,10.0,139.3,5.206939813577858,2819.9999999999995,1.333333333333356
154.0,0.219286598,2.0088383449365695E-9,154.0,46.75324675324675,15.020188425302827,154.0,35608.0,10.0,153.1,5.852729657556758,2819.9999999999995,1.333333333333356
168.0,0.22779329,2.087200418462356E-9,168.0,45.23809523809524,13.002364066193852,168.0,35608.0,10.0,167.9,6.86610030026749,2819.9999999999995,1.333333333333356
182.0,0.236569108,2.168041630929543E-9,182.0,44.505494505494504,11.955168119551672,182.0,35608.0,10.0,181.2,6.572332581021409,2819.9999999999995,1.333333333333356
196.0,0.244317344,2.2394169480477768E-9,196.0,45.40816326530612,13.674158228369148,196.0,35608.0,10.0,195.29999999999998,6.716563274638467,2819.9999999999995,1.333333333333356
210.0,0.25270789,2.31670910610093E-9,210.0,44.285714285714285,13.186347254610977,210.0,35608.0,10.0,208.9,7.460190643974484,2819.9999999999995,1.333333333333356
224.0,0.260023502,2.3841748731003863E-9,224.0,44.19642857142857,13.11902693310164,224.0,35648.0,10.0,223.3,8.074720497398724,2824.0,1.686548085423131
238.0,0.267789414,2.4557933801412577E-9,238.0,42.857142857142854,10.866332543922452,238.0,35648.0,10.0,239.8,7.38135789976644,2824.0,1.686548085423131
252.0,0.275501784,2.526918114125728E-9,252.0,44.047619047619044,12.426677182432098,252.0,35648.0,10.0,253.39999999999998,7.9179121827242644,2824.0,1.686548085423131
266.0,0.282578744,2.592226933009094E-9,266.0,44.73684210526316,13.037096343741657,266.0,35672.0,10.0,267.3,8.273182915635044,2826.3999999999996,1.2220201853215367
280.0,0.290187002,2.662438767432338E-9,280.0,43.57142857142857,11.558914077805763,280.0,35672.0,10.0,280.19999999999993,8.18643865046198,2826.3999999999996,1.2220201853215367
294.0,0.297223068,2.7273702012747522E-9,294.0,44.21768707482993,12.762800796091911,294.0,35672.0,10.0,294.0,8.550503558920438,2826.3999999999996,1.2220201853215367
308.0,0.304980736,2.798960846745305E-9,308.0,45.12987012987013,13.882500868586934,308.0,35672.0,10.0,310.2,8.725187040338383,2826.3999999999996,1.2220201853215367
322.0,0.312028824,2.864090744654337E-9,322.0,46.273291925465834,15.907855805808829,322.0,35720.0,10.0,323.5,8.888506936238253,2831.2000000000003,1.8666666666666631
