learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
14.0,0.030596987,8.864684672260449E-10,14.0,28.57142857142857,-19.65811965811967,14.0,111992.0,10.0,14.0,1.3416407864998736,3614.4,4.266666666666655,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.05517409,1.610276178980453E-9,28.0,50.0,6.666666666666663,28.0,113840.0,10.0,27.4,1.499629583893599,3631.2000000000003,2.515728301881742,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.070347905,2.064218315250344E-9,42.0,42.857142857142854,-4.999999999999995,42.0,115640.0,10.0,41.599999999999994,1.9731531449264985,3643.2,1.7688665548562195,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.081535047,2.398917694224252E-9,56.0,50.0,13.798790544255088,56.0,115648.0,10.0,55.2,2.244994432064365,3644.0,1.333333333333337,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.092508069,2.7274835018151338E-9,70.0,48.57142857142857,11.516853932584265,70.0,115744.0,10.0,69.2,2.8237091446063154,3653.6000000000004,1.2220201853215533,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,0.103233097,3.0533514826744796E-9,84.0,48.80952380952381,14.285714285714283,84.0,117448.0,10.0,84.10000000000001,3.4073450074801643,3656.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,0.113501324,3.3654463319439028E-9,98.0,51.02040816326531,19.23076923076923,98.0,117488.0,10.0,98.0,3.8528488738133038,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,0.121244377,3.600790462816755E-9,112.0,49.107142857142854,16.636197440585,112.0,117488.0,10.0,112.7,4.457328547210512,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,0.127405515,3.7880535059339475E-9,126.0,48.41269841269841,14.82059282371295,126.0,117488.0,10.0,125.5,4.78713553878169,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.133225863,3.964958499537574E-9,140.0,48.57142857142857,14.814501816952596,140.0,117488.0,10.0,139.3,5.206939813577858,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154.0,0.138830048,4.1352933852829865E-9,154.0,48.05194805194805,14.799446749654225,154.0,117488.0,10.0,153.1,5.852729657556758,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,0.145036097,4.326618719295495E-9,168.0,47.023809523809526,13.276492082825818,168.0,119168.0,10.0,167.9,6.86610030026749,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,0.15481925,4.628222044602864E-9,182.0,45.604395604395606,11.013433425523498,182.0,119168.0,10.0,181.2,6.572332581021409,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196.0,0.161225339,4.825714381134344E-9,196.0,46.93877551020408,13.568521031207602,196.0,119168.0,10.0,195.29999999999998,6.716563274638467,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.167394251,5.015894824262294E-9,210.0,45.714285714285715,12.891605719899571,210.0,119168.0,10.0,208.9,7.460190643974484,3659.9999999999995,1.333333333333356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224.0,0.173025322,5.189552520068569E-9,224.0,45.535714285714285,12.9321056488355,224.0,119208.0,10.0,223.3,8.074720497398724,3664.0,1.686548085423131,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238.0,0.177736206,5.334832389679634E-9,238.0,44.11764705882353,10.584446767040475,238.0,119208.0,10.0,239.8,7.38135789976644,3664.0,1.686548085423131,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
252.0,0.183323046,5.5071260370583165E-9,252.0,45.23809523809524,11.995141208624359,252.0,119208.0,10.0,253.39999999999998,7.9179121827242644,3664.0,1.686548085423131,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,0.188335722,5.6617440517515764E-9,266.0,45.86466165413533,12.575888985255853,266.0,119232.0,10.0,267.3,8.273182915635044,3666.3999999999996,1.2220201853215367,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,0.193002415,5.805690081146442E-9,280.0,44.642857142857146,11.209312792814922,280.0,119232.0,10.0,280.19999999999993,8.18643865046198,3666.3999999999996,1.2220201853215367,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
294.0,0.197667821,5.949596412506782E-9,294.0,45.23809523809524,12.315216183172167,294.0,119232.0,10.0,294.0,8.550503558920438,3666.3999999999996,1.2220201853215367,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308.0,0.202795507,6.107761957076275E-9,308.0,46.42857142857143,13.922764227642281,308.0,119232.0,10.0,310.2,8.725187040338383,3666.3999999999996,1.2220201853215367,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322.0,0.207361057,6.250629149702274E-9,322.0,47.51552795031056,16.088940973293038,322.0,120960.0,10.0,323.5,8.888506936238253,3671.2000000000003,1.8666666666666631,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
336.0,0.211956428,6.394429514136993E-9,336.0,48.214285714285715,17.507619370132065,336.0,120960.0,10.0,337.7,9.446986585973093,3671.2000000000003,1.8666666666666631,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350.0,0.21714631,6.556833577480994E-9,350.0,48.285714285714285,17.57955816918634,350.0,120960.0,10.0,350.8,10.00422133124035,3671.2000000000003,1.8666666666666631,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
364.0,0.2219817,6.7081647364153625E-9,364.0,48.35164835164835,18.2042026248476,364.0,120976.0,10.0,364.40000000000003,9.957911427603682,3672.8,1.8666666666666623,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
378.0,0.228103133,6.899744640048593E-9,378.0,48.148148148148145,17.97528895974492,378.0,120976.0,10.0,380.0,10.307494576493573,3672.8,1.8666666666666623,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
392.0,0.23374706,7.0763802400417624E-9,392.0,48.46938775510204,18.70309339739838,392.0,120976.0,10.0,392.7,10.304314091141093,3672.8,1.8666666666666623,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
