learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
14.0,0.010560088,1.0448979985382822E-10,14.0,7.142857142857142,-28.169014084507037,14.0,38248.0,10.0,9.0
28.0,0.024426114,2.4229378663003447E-10,28.0,3.571428571428571,-25.999999999999996,28.0,38416.0,10.0,6.0
42.0,0.032093068,3.187278802982635E-10,42.0,7.142857142857142,-22.972972972972975,42.0,38536.0,10.0,5.0
56.0,0.03797904,3.7741902821179893E-10,56.0,16.071428571428573,-17.290552584670237,56.0,38544.0,10.0,4.0
70.0,0.043082081,4.2843002437717384E-10,70.0,22.857142857142858,-10.915492957746478,70.0,38640.0,10.0,1.0
84.0,0.048088099,4.785022411040134E-10,84.0,23.809523809523807,-10.731204943357358,84.0,38664.0,10.0,5.0
98.0,0.05261155,5.237944363223181E-10,98.0,30.612244897959183,-3.0303030303030254,98.0,38704.0,10.0,4.0
112.0,0.057262249,5.70360734268195E-10,112.0,35.714285714285715,1.6225448334756667,112.0,38704.0,10.0,3.0
126.0,0.061554247,6.133354478867517E-10,126.0,34.92063492063492,-0.3301611963488123,126.0,38704.0,10.0,4.0
140.0,0.065156147,6.494003810443812E-10,140.0,34.285714285714285,0.6249517784121545,140.0,38704.0,10.0,6.0
154.0,0.068063093,6.785069118150406E-10,154.0,33.76623376623377,-0.19135093761959232,154.0,38704.0,10.0,5.0
168.0,0.071078235,7.086967823530237E-10,168.0,31.547619047619047,-1.3853904282115928,168.0,38704.0,10.0,6.0
182.0,0.073276077,7.307032302891214E-10,182.0,30.21978021978022,-0.7936507936507988,182.0,38704.0,10.0,4.0
196.0,0.075977054,7.577474444442324E-10,196.0,29.081632653061224,-2.784275258432051,196.0,38704.0,10.0,3.0
210.0,0.078169063,7.796954879951145E-10,210.0,28.095238095238095,-3.953579858379228,210.0,38704.0,10.0,4.0
224.0,0.080334604,8.014009230935738E-10,224.0,27.67857142857143,-4.63969549294962,224.0,38744.0,10.0,3.0
238.0,0.082831869,8.264312611851426E-10,238.0,27.73109243697479,-4.364674688965932,238.0,38744.0,10.0,7.0
252.0,0.08489454,8.471056199342839E-10,252.0,27.77777777777778,-4.440497335701595,252.0,38744.0,10.0,5.0
266.0,0.087542913,8.736669719612432E-10,266.0,28.195488721804512,-4.251651824188447,266.0,38768.0,10.0,5.0
280.0,0.08953867,8.936830362532701E-10,280.0,28.57142857142857,-3.7555814944509325,280.0,38768.0,10.0,4.0
294.0,0.091913541,9.175013521210186E-10,294.0,29.25170068027211,-2.97376486040481,294.0,38768.0,10.0,2.0
308.0,0.093978467,9.382111337097982E-10,308.0,31.16883116883117,-1.645417892557485,308.0,38768.0,10.0,3.0
322.0,0.095862665,9.5713173556452E-10,322.0,31.67701863354037,-1.201445734939074,322.0,38816.0,10.0,4.0
336.0,0.098294498,9.815515385630229E-10,336.0,31.845238095238095,-0.21881838074398172,336.0,38816.0,10.0,5.0
350.0,0.100128331,9.999663888394003E-10,350.0,31.71428571428571,-0.311787984170766,350.0,38816.0,10.0,3.0
364.0,0.102395955,1.022746636070725E-9,364.0,31.868131868131865,-0.18200381764105572,364.0,38832.0,10.0,3.0
378.0,0.104670002,1.0455914079004692E-9,378.0,32.01058201058201,-0.1670378619153704,378.0,38832.0,10.0,2.0
392.0,0.107060374,1.0696047651126152E-9,392.0,32.142857142857146,0.06708707902858137,392.0,38832.0,10.0,6.0
406.0,0.108863097,1.0877184100407692E-9,406.0,32.26600985221675,-0.27842644153044793,406.0,38840.0,10.0,6.0
420.0,0.110542631,1.1045942598084607E-9,420.0,32.61904761904762,0.13443118803562495,420.0,38840.0,10.0,3.0
434.0,0.112824798,1.127525327257398E-9,434.0,31.797235023041477,-0.5415897066649938,434.0,38840.0,10.0,7.0
448.0,0.114539108,1.1447506040396788E-9,448.0,31.473214285714285,-0.843934450269462,448.0,38840.0,10.0,6.0
462.0,0.116731812,1.1667827530101769E-9,462.0,31.601731601731604,-0.7501466478037306,462.0,38840.0,10.0,3.0
476.0,0.118404772,1.1835960100156564E-9,476.0,32.773109243697476,0.3584792108224093,476.0,38848.0,10.0,3.0
490.0,0.120584565,1.2055029413993986E-9,490.0,33.06122448979592,0.5020708099374108,490.0,38848.0,10.0,4.0
504.0,0.122373726,1.2234951276539098E-9,504.0,32.73809523809524,0.3220386446373546,504.0,38872.0,10.0,3.0
518.0,0.123989252,1.2397412031557822E-9,518.0,32.818532818532816,0.453927967926843,518.0,38872.0,10.0,6.0
532.0,0.126137375,1.2613431881719991E-9,532.0,32.89473684210527,0.933165721677719,532.0,38872.0,10.0,3.0
546.0,0.127856562,1.2786317008940709E-9,546.0,32.78388278388278,0.7646365500232777,546.0,38872.0,10.0,2.0
560.0,0.130005182,1.3002386838487452E-9,560.0,33.035714285714285,0.4899684411042752,560.0,38872.0,10.0,4.0
574.0,0.131691229,1.3171939336322247E-9,574.0,32.40418118466899,-0.32704765165370553,574.0,38872.0,10.0,7.0
588.0,0.133925692,1.3396641721824803E-9,588.0,32.482993197278915,-0.5128205128205053,588.0,38872.0,10.0,3.0
602.0,0.135605383,1.356555504668504E-9,602.0,32.05980066445183,-0.6573729610400256,602.0,38872.0,10.0,6.0
616.0,0.13741509,1.374754305899971E-9,616.0,31.818181818181817,-0.7304044478360395,616.0,38872.0,10.0,4.0
630.0,0.139645758,1.3972463969596557E-9,630.0,31.428571428571427,-1.22363967716741,630.0,38976.0,10.0,4.0
644.0,0.141295152,1.4138774330624274E-9,644.0,31.832298136645964,-0.4412485700277823,644.0,38976.0,10.0,6.0
658.0,0.143362357,1.4347213072288366E-9,658.0,31.914893617021278,-0.3649833850847037,658.0,38976.0,10.0,4.0
672.0,0.144856532,1.449787251671983E-9,672.0,31.994047619047617,-0.2284565475646503,672.0,38976.0,10.0,4.0
686.0,0.146851822,1.4699059983301493E-9,686.0,31.924198250728864,-0.1801204555546476,686.0,38976.0,10.0,4.0
700.0,0.148282648,1.4843361485087208E-9,700.0,31.571428571428573,-0.6302521008403356,700.0,38984.0,10.0,4.0
714.0,0.149719527,1.4988273443343737E-9,714.0,31.652661064425768,-0.6639047305378886,714.0,38984.0,10.0,5.0
