learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
14.0,0.028914614,8.398803726873464E-10,14.0,14.285714285714285,-13.513513513513514,14.0,112280.0,10.0,9.0,0.0,0.0
28.0,0.050699056,1.4830659186301959E-9,28.0,7.142857142857142,-12.345679012345675,28.0,114128.0,10.0,9.0,0.0,0.0
42.0,0.06309222,1.854745043205718E-9,42.0,7.142857142857142,-12.03830369357045,42.0,115928.0,10.0,9.0,0.0,0.0
56.0,0.073585259,2.16945988803688E-9,56.0,8.928571428571429,-8.841463414634147,56.0,115936.0,10.0,8.0,0.0,0.0
70.0,0.081391155,2.4037738503639895E-9,70.0,10.0,-9.374999999999996,70.0,116032.0,10.0,5.0,0.0,0.0
84.0,0.091492844,2.7114550073341362E-9,84.0,11.904761904761903,-9.436619718309858,84.0,117736.0,10.0,6.0,0.0,0.0
98.0,0.100373133,2.98202618341686E-9,98.0,16.3265306122449,-5.625657202944274,98.0,117776.0,10.0,4.0,0.0,0.0
112.0,0.109218953,3.251547132658048E-9,112.0,22.321428571428573,-3.803131991051446,112.0,117776.0,10.0,1.0,0.0,0.0
126.0,0.118037571,3.5202392713580698E-9,126.0,26.984126984126984,-0.12091898428053585,126.0,117776.0,10.0,1.0,0.0,0.0
140.0,0.124611463,3.7205374474513036E-9,140.0,28.57142857142857,1.463963963963966,140.0,117776.0,10.0,4.0,0.0,0.0
154.0,0.130142582,3.889063648894015E-9,154.0,29.87012987012987,3.020408163265309,154.0,117776.0,10.0,3.0,0.0,0.0
168.0,0.135330664,4.049392776420961E-9,168.0,28.57142857142857,0.9871813761603052,168.0,119456.0,10.0,4.0,0.0,0.0
182.0,0.144521806,4.3334298787328105E-9,182.0,27.472527472527474,0.44753853804078164,182.0,119456.0,10.0,4.0,0.0,0.0
196.0,0.150977912,4.532945199076914E-9,196.0,27.040816326530614,0.6310714032475421,196.0,119456.0,10.0,5.0,0.0,0.0
210.0,0.15677412,4.712067458826221E-9,210.0,26.666666666666668,0.1574511438362552,210.0,119456.0,10.0,5.0,0.0,0.0
224.0,0.162517143,4.889605552732117E-9,224.0,25.892857142857146,-0.8461705359080026,224.0,119496.0,10.0,5.0,0.0,0.0
238.0,0.166726999,5.019747780938115E-9,238.0,25.210084033613445,-0.9291466145709231,238.0,119496.0,10.0,5.0,0.0,0.0
252.0,0.171672557,5.172633280547129E-9,252.0,24.206349206349206,-1.4415781487101624,252.0,119496.0,10.0,5.0,0.0,0.0
266.0,0.176051346,5.308025040047036E-9,266.0,25.18796992481203,-0.5317734645041203,266.0,119520.0,10.0,5.0,0.0,0.0
280.0,0.180178743,5.435643781663643E-9,280.0,25.0,-1.3024602026049248,280.0,119520.0,10.0,5.0,0.0,0.0
294.0,0.184335119,5.5641585513369905E-9,294.0,25.170068027210885,-0.8702161504631791,294.0,119520.0,10.0,5.0,0.0,0.0
308.0,0.188486028,5.692504281865226E-9,308.0,27.5974025974026,1.4279768653396259,308.0,119520.0,10.0,2.0,0.0,0.0
322.0,0.192662293,5.823500953556763E-9,322.0,29.19254658385093,2.5718608169440236,322.0,121248.0,10.0,3.0,0.0,0.0
336.0,0.196825846,5.954098888652192E-9,336.0,29.761904761904763,2.980472764645431,336.0,121248.0,10.0,4.0,0.0,0.0
350.0,0.201558932,6.102561333643065E-9,350.0,30.571428571428573,3.3533709844206325,350.0,121248.0,10.0,4.0,0.0,0.0
364.0,0.205836161,6.2367426418554446E-9,364.0,31.59340659340659,4.541433205544087,364.0,121264.0,10.0,4.0,0.0,0.0
378.0,0.211256503,6.406784643468757E-9,378.0,32.27513227513227,4.815864022662886,378.0,121264.0,10.0,4.0,0.0,0.0
392.0,0.216065094,6.5576353533648775E-9,392.0,32.6530612244898,5.436868363822435,392.0,121264.0,10.0,3.0,0.0,0.0
406.0,0.220416898,6.6941651666495525E-9,406.0,33.743842364532014,6.369808991461193,406.0,121272.0,10.0,3.0,0.0,0.0
420.0,0.224707078,6.828761640745731E-9,420.0,34.285714285714285,6.606509829197547,420.0,121272.0,10.0,3.0,0.0,0.0
434.0,0.228885672,6.959857310176722E-9,434.0,33.87096774193548,6.079022771829281,434.0,121272.0,10.0,5.0,0.0,0.0
