learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
14.0,0.03005771,8.355725985434321E-10,14.0,28.57142857142857,-7.6923076923076925,14.0,107456.0,10.0,0.0
28.0,0.051563016,1.436913489645554E-9,28.0,21.428571428571427,-9.219858156028375,28.0,108088.0,10.0,0.0
42.0,0.063203894,1.7628304405137897E-9,42.0,26.190476190476193,-8.319467554076537,42.0,108224.0,10.0,0.0
56.0,0.074320904,2.074149354423086E-9,56.0,35.714285714285715,-7.006369426751598,56.0,108248.0,10.0,0.0
70.0,0.084631957,2.3631757990601988E-9,70.0,37.142857142857146,-5.1912568306010805,70.0,108352.0,10.0,0.0
84.0,0.09316792,2.602462823703471E-9,84.0,35.714285714285715,-1.8181818181818181,84.0,108360.0,10.0,0.0
98.0,0.101551801,2.8375906705814933E-9,98.0,40.816326530612244,5.07682030728124,98.0,108408.0,10.0,0.0
112.0,0.10999301,3.0743262942404383E-9,112.0,42.857142857142854,4.832713754646832,112.0,108408.0,10.0,0.0
126.0,0.118769996,3.3204970250299408E-9,126.0,44.44444444444444,7.1383449147188855,126.0,108416.0,10.0,0.0
140.0,0.124002468,3.467253719876624E-9,140.0,44.285714285714285,8.458378740883557,140.0,108416.0,10.0,0.0
154.0,0.128847934,3.6031559426027043E-9,154.0,44.15584415584416,9.69589526796673,154.0,108416.0,10.0,0.0
168.0,0.133656968,3.7380363462140995E-9,168.0,41.66666666666667,7.950352230795031,168.0,108416.0,10.0,0.0
182.0,0.142978436,3.9994783252249995E-9,182.0,39.56043956043956,7.056638811513459,182.0,108416.0,10.0,0.0
196.0,0.14960683,4.185386858625959E-9,196.0,39.795918367346935,8.061695023056139,196.0,108416.0,10.0,0.0
210.0,0.155662369,4.355228357855231E-9,210.0,39.523809523809526,7.951956926899973,210.0,108416.0,10.0,0.0
224.0,0.160494378,4.490813150229968E-9,224.0,39.285714285714285,7.958184784579121,224.0,108464.0,10.0,0.0
238.0,0.165196666,4.622758008396874E-9,238.0,38.655462184873954,6.839325451084484,238.0,108464.0,10.0,0.0
252.0,0.169227583,4.735864388067275E-9,252.0,39.682539682539684,7.276688453159043,252.0,108464.0,10.0,0.0
266.0,0.173397568,4.852907496994982E-9,266.0,40.97744360902256,7.960506016661531,266.0,108496.0,10.0,0.0
280.0,0.177304321,4.962562212043752E-9,280.0,40.35714285714286,7.194601567926967,280.0,108496.0,10.0,0.0
294.0,0.181134862,5.070077809225767E-9,294.0,40.816326530612244,7.89009326947315,294.0,108496.0,10.0,0.0
308.0,0.185063894,5.180357851085976E-9,308.0,42.532467532467535,8.735393578196677,308.0,108496.0,10.0,0.0
322.0,0.188898972,5.28806428954626E-9,322.0,43.47826086956522,10.403767065694323,322.0,108560.0,10.0,0.0
336.0,0.192759795,5.396493764736999E-9,336.0,42.55952380952381,9.707602339181287,336.0,108560.0,10.0,0.0
350.0,0.196960682,5.514473784216161E-9,350.0,42.285714285714285,9.049977487618193,350.0,108560.0,10.0,0.0
364.0,0.20128427,5.6359177022654965E-9,364.0,42.30769230769231,9.606924932595424,364.0,108576.0,10.0,0.0
378.0,0.205782475,5.762266382895823E-9,378.0,42.857142857142854,10.231545616465466,378.0,108576.0,10.0,0.0
392.0,0.210162327,5.885290682934637E-9,392.0,42.60204081632653,10.390441647109016,392.0,108576.0,10.0,0.0
406.0,0.214554275,6.0086547437537865E-9,406.0,43.5960591133005,10.77351247600768,406.0,108576.0,10.0,0.0
420.0,0.218594575,6.122141473316069E-9,420.0,43.57142857142857,10.742467718794828,420.0,108576.0,10.0,0.0
434.0,0.222356015,6.2277953911055284E-9,434.0,42.857142857142854,10.07586137753567,434.0,108576.0,10.0,0.0
