learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
11.0,0.006489,5.3557530045509335E-11,11.0,54.54545454545454,6.779661016949152,11.0,31904.0,10.0,11.100000000000001,1.3453624047073707,2208.7999999999997,2.5157283018817616
22.0,0.021674,1.7970535904169082E-10,22.0,63.63636363636363,24.786324786324776,22.0,32112.0,10.0,21.499999999999996,1.8150604520082645,2229.6000000000004,2.6799668322988897
33.0,0.028866,2.3955635312530727E-10,33.0,57.57575757575758,11.49425287356322,33.0,32168.0,10.0,31.7,1.8976593769987045,2235.2000000000003,1.3063945294843806
44.0,0.035251,2.926915863321887E-10,44.0,63.63636363636363,23.311546840958606,44.0,32168.0,10.0,43.699999999999996,2.186066990942613,2235.2000000000003,1.3063945294843806
55.0,0.040831,3.3916234763132196E-10,55.0,60.0,16.66666666666666,55.0,32192.0,10.0,54.300000000000004,2.3192431715731936,2237.6,1.2220201853215542
66.0,0.045822,3.80738191306591E-10,66.0,59.09090909090909,14.899713467048722,66.0,32200.0,10.0,64.5,2.613001679635468,2238.4,1.0666666666666667
77.0,0.050632,4.208062754737006E-10,77.0,59.74025974025974,18.726591760299634,77.0,32200.0,10.0,77.0,3.3499585403736303,2238.4,1.0666666666666667
88.0,0.055152,4.5845861236254374E-10,88.0,63.63636363636363,26.359832635983256,88.0,32200.0,10.0,87.6,3.697446566363212,2238.4,1.0666666666666667
99.0,0.057857,4.809973016381264E-10,99.0,61.61616161616161,22.719802793755118,99.0,32208.0,10.0,98.90000000000002,3.877140985600372,2239.2000000000003,0.7999999999999837
110.0,0.060676,5.044916996525394E-10,110.0,60.909090909090914,21.35018290655139,110.0,32216.0,10.0,110.49999999999999,4.561310727801335,2240.0,0.0
121.0,0.063253,5.259691965248849E-10,121.0,59.50413223140496,18.725154215215902,121.0,32216.0,10.0,121.0,4.439719710872648,2240.0,0.0
132.0,0.065879,5.47855074206988E-10,132.0,59.84848484848485,19.140083217753123,132.0,32216.0,10.0,132.8,5.231953108862247,2240.0,0.0
143.0,0.068632,5.707994082735645E-10,143.0,60.13986013986013,20.34593960715331,143.0,32216.0,10.0,142.79999999999998,5.322488974989886,2240.0,0.0
154.0,0.071179,5.920268760787117E-10,154.0,59.09090909090909,18.181818181818187,154.0,32216.0,10.0,153.1,5.852729657556758,2240.0,0.0
165.0,0.073643,6.125625967979431E-10,165.0,59.3939393939394,18.86238532110093,165.0,32216.0,10.0,164.70000000000002,6.626629778569361,2240.0,0.0
176.0,0.076192,6.338067332075702E-10,176.0,60.79545454545454,21.590909090909083,176.0,32216.0,10.0,175.5,6.730114742294104,2240.0,0.0
187.0,0.078386,6.520921923220157E-10,187.0,60.962566844919785,21.900566393958453,187.0,32216.0,10.0,186.0,6.671664793071598,2240.0,0.0
198.0,0.08055,6.701276223692629E-10,198.0,60.1010101010101,20.13683243132848,198.0,32216.0,10.0,197.7,6.878388054059047,2240.0,0.0
209.0,0.082695,6.88004700673951E-10,209.0,60.76555023923444,21.378108083310384,209.0,32216.0,10.0,208.30000000000004,7.380228843184863,2240.0,0.0
220.0,0.084962,7.068985638519128E-10,220.0,62.272727272727266,24.45805063710076,220.0,32216.0,10.0,219.5,8.15032378361607,2240.0,0.0
231.0,0.087122,7.249230084319909E-10,231.0,63.63636363636363,27.156693445453854,231.0,32256.0,10.0,232.2,7.97328874012056,2244.0,1.333333333333337
242.0,0.089265,7.428055939575036E-10,242.0,62.396694214876035,24.73169731355528,242.0,32256.0,10.0,244.6,7.720391469637044,2244.0,1.333333333333337
253.0,0.091556,7.619231877227624E-10,253.0,61.6600790513834,23.35009526189211,253.0,32256.0,10.0,254.39999999999998,8.026622369755952,2244.0,1.333333333333337
264.0,0.093632,7.792638676861921E-10,264.0,61.74242424242424,23.642611683848806,264.0,32288.0,10.0,265.3,8.212524310804538,2247.2000000000003,0.7999999999999957
275.0,0.095739,7.968634884390565E-10,275.0,62.909090909090914,26.020677286633624,275.0,32288.0,10.0,275.1,8.110966513170782,2247.2000000000003,0.7999999999999957
286.0,0.097885,8.147888734108871E-10,286.0,63.286713286713294,26.76681461249575,286.0,32288.0,10.0,286.0,8.141798873031002,2247.2000000000003,0.7999999999999957
297.0,0.100083,8.331486106746726E-10,297.0,63.2996632996633,26.839024610725655,297.0,32288.0,10.0,298.0,8.529686720833045,2247.2000000000003,0.7999999999999957
308.0,0.102205,8.508954838746123E-10,308.0,62.66233766233766,25.55069783083908,308.0,32328.0,10.0,310.2,8.725187040338383,2251.2,1.3063945294843626
319.0,0.104317,8.685587243073516E-10,319.0,61.75548589341693,23.7529877355903,319.0,32328.0,10.0,320.7,9.09706912509005,2251.2,1.3063945294843626
330.0,0.106431,8.862430664400259E-10,330.0,62.121212121212125,24.486508256141757,330.0,32336.0,10.0,331.9,8.958484494848694,2251.9999999999995,1.3333333333333488
341.0,0.108648,9.047890392442544E-10,341.0,62.17008797653959,24.551052261461674,341.0,32336.0,10.0,342.1,9.593342599022627,2251.9999999999995,1.3333333333333488
352.0,0.110547,9.206748319168885E-10,352.0,61.93181818181818,24.069542820347703,352.0,32336.0,10.0,352.9,10.017151957184902,2251.9999999999995,1.3333333333333488
363.0,0.112289,9.35247265216377E-10,363.0,61.98347107438017,24.251497005988032,363.0,32336.0,10.0,363.2,9.893656778180878,2251.9999999999995,1.3333333333333488
374.0,0.114423,9.530989142755666E-10,374.0,62.56684491978609,25.417355136459452,374.0,32336.0,10.0,375.79999999999995,10.510100961561795,2251.9999999999995,1.3333333333333488
385.0,0.116256,9.684325940907E-10,385.0,63.37662337662338,27.103895580711452,385.0,32336.0,10.0,385.4,10.420279373520762,2251.9999999999995,1.3333333333333488
396.0,0.118188,9.846104371050991E-10,396.0,62.37373737373737,25.083798882681556,396.0,32368.0,10.0,396.4,10.432002044989574,2255.2000000000003,0.7999999999999774
407.0,0.120071,1.0003779725068143E-9,407.0,62.8992628992629,26.11654103701567,407.0,32368.0,10.0,407.59999999999997,11.061645447219863,2255.2000000000003,0.7999999999999774
418.0,0.121768,1.0145880137052798E-9,418.0,62.67942583732058,25.78699383151619,418.0,32368.0,10.0,419.7,10.917926135998133,2255.2000000000003,0.7999999999999774
429.0,0.123537,1.0294009558856484E-9,429.0,62.47086247086248,25.330003567606145,429.0,32368.0,10.0,432.2,11.04717158371318,2255.2000000000003,0.7999999999999774
440.0,0.125156,1.042957854353719E-9,440.0,62.5,25.37006578947369,440.0,32368.0,10.0,444.29999999999995,11.10960545354034,2255.2000000000003,0.7999999999999774
451.0,0.12688,1.0573939834203982E-9,451.0,62.74944567627494,25.91955259195525,451.0,32368.0,10.0,455.3,11.43391640884454,2255.2000000000003,0.7999999999999774
462.0,0.128486,1.0708420247667363E-9,462.0,62.98701298701299,26.445449974861752,462.0,32368.0,10.0,465.5,11.666904759475269,2255.2000000000003,0.7999999999999774
473.0,0.13023,1.0854456263283886E-9,473.0,62.7906976744186,26.058302097951792,473.0,32368.0,10.0,479.8,11.743366922082725,2255.2000000000003,0.7999999999999774
484.0,0.13189,1.099345843411154E-9,484.0,63.22314049586777,26.945254731700697,484.0,32368.0,10.0,490.2,11.342937107390759,2255.2000000000003,0.7999999999999774
495.0,0.133452,1.1124254452685514E-9,495.0,63.030303030303024,26.460679174209883,495.0,32368.0,10.0,501.2,11.400584780323038,2255.2000000000003,0.7999999999999774
506.0,0.135004,1.1254213108784622E-9,506.0,63.04347826086957,26.47748993768357,506.0,32368.0,10.0,510.1,11.487626193237467,2255.2000000000003,0.7999999999999774
517.0,0.136717,1.1397653300729062E-9,517.0,62.66924564796905,25.71894378726858,517.0,32368.0,10.0,522.2,11.931098487193502,2255.2000000000003,0.7999999999999774
528.0,0.138473,1.1544730493591892E-9,528.0,62.5,25.342778793418645,528.0,32376.0,10.0,533.8,12.05524321151958,2256.0,0.0
539.0,0.14041,1.170696769323614E-9,539.0,62.708719851577,25.801812167409764,539.0,32376.0,10.0,545.4,11.98999582985749,2256.0,0.0
550.0,0.142093,1.1847930629220275E-9,550.0,62.54545454545455,25.52128526728196,550.0,32376.0,10.0,556.0,11.600766258216645,2256.0,0.0
561.0,0.14378,1.1989228592978584E-9,561.0,62.745098039215684,25.962807438512304,561.0,32376.0,10.0,567.8,11.035095528962735,2256.0,0.0
572.0,0.145394,1.21244122998582E-9,572.0,62.76223776223776,26.02190756078012,572.0,32376.0,10.0,577.6,10.817886423265252,2256.0,0.0
583.0,0.147309,1.2284806846744485E-9,583.0,62.60720411663808,25.632533645406674,583.0,32376.0,10.0,586.9000000000001,11.41680048583373,2256.0,0.0
594.0,0.148966,1.2423592102196483E-9,594.0,62.2895622895623,24.91196388261852,594.0,32376.0,10.0,598.4000000000001,11.402923601720158,2256.0,0.0
605.0,0.150595,1.2560032163229256E-9,605.0,62.314049586776854,24.93142931777612,605.0,32376.0,10.0,610.4,11.725755128491013,2256.0,0.0
616.0,0.154696,1.2903519388702183E-9,616.0,62.5,25.266275918573132,616.0,32376.0,10.0,621.4,11.586582278173701,2256.0,0.0
627.0,0.158304,1.320571444100804E-9,627.0,62.67942583732058,25.68305457345181,627.0,32376.0,10.0,633.9,11.606942367010836,2256.0,0.0
638.0,0.161936,1.3509919659958947E-9,638.0,63.16614420062696,26.650881089596197,638.0,32376.0,10.0,645.9,11.322004141395537,2256.0,0.0
649.0,0.165481,1.3806838024821548E-9,649.0,63.32819722650231,27.014562877420456,649.0,32376.0,10.0,656.8,11.691212274372766,2256.0,0.0
660.0,0.168676,1.4074441459443836E-9,660.0,63.030303030303024,26.411990495339044,660.0,32376.0,10.0,668.8,11.572764963002093,2256.0,0.0
