learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
11.0,0.119561705,3.1106384958554474E-9,11.0,54.54545454545454,6.779661016949152,11.0,100568.0,10.0,11.100000000000001,1.3453624047073707,3250.3999999999996,45.941798929611934,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
22.0,0.236985977,6.171985939018842E-9,22.0,63.63636363636363,24.786324786324776,22.0,100776.0,10.0,21.499999999999996,1.8150604520082645,3271.2,44.132326272498084,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
33.0,0.264047055,6.87788256144151E-9,33.0,57.57575757575758,11.49425287356322,33.0,100832.0,10.0,31.7,1.8976593769987045,3276.8,43.544306937493744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
44.0,0.281974965,7.345537660624831E-9,44.0,61.36363636363637,17.62114537444935,44.0,100832.0,10.0,43.699999999999996,2.186066990942613,3276.8,43.544306937493744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
55.0,0.297227099,7.743489009698645E-9,55.0,58.18181818181818,12.213740458015254,55.0,100856.0,10.0,54.300000000000004,2.3192431715731936,3279.1999999999994,44.06782651020284,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
66.0,0.31255585,8.143471137179683E-9,66.0,57.57575757575758,11.239193083573495,66.0,100864.0,10.0,64.5,2.613001679635468,3280.0,44.23774155376583,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.327327296,8.528911177079296E-9,77.0,57.14285714285714,12.83018867924528,77.0,100864.0,10.0,77.0,3.3499585403736303,3280.0,44.23774155376583,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
88.0,0.34210091,8.914407787879722E-9,88.0,61.36363636363637,21.263157894736835,88.0,100864.0,10.0,87.6,3.697446566363212,3280.0,44.23774155376583,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
99.0,0.356305288,9.285080385951117E-9,99.0,58.58585858585859,15.945330296127558,99.0,100872.0,10.0,98.90000000000002,3.877140985600372,3280.7999999999997,44.405405076409366,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
110.0,0.370298496,9.650271324231805E-9,110.0,58.18181818181818,15.356306457009028,110.0,100880.0,10.0,110.49999999999999,4.561310727801335,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
121.0,0.384284116,1.0015264232951318E-8,121.0,56.19834710743802,11.263318112633181,121.0,100880.0,10.0,121.0,4.439719710872648,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
132.0,0.398951116,1.0398039611675257E-8,132.0,56.81818181818182,12.22585160989268,132.0,100880.0,10.0,132.8,5.231953108862247,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
143.0,0.413134552,1.0768195068585787E-8,143.0,57.34265734265735,14.185932120019688,143.0,100880.0,10.0,142.79999999999998,5.322488974989886,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154.0,0.426990692,1.1129808843464898E-8,154.0,56.493506493506494,12.692502961584026,154.0,100880.0,10.0,153.1,5.852729657556758,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
165.0,0.441035476,1.1496345798172467E-8,165.0,56.96969696969697,13.891951488423377,165.0,100880.0,10.0,164.70000000000002,6.626629778569361,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
176.0,0.460382414,1.2001256926562634E-8,176.0,58.52272727272727,17.04545454545454,176.0,100880.0,10.0,175.5,6.730114742294104,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
187.0,0.475709535,1.2401259963688334E-8,187.0,58.82352941176471,17.639993136189435,187.0,100880.0,10.0,186.0,6.671664793071598,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
198.0,0.490114539,1.2777197842028816E-8,198.0,58.080808080808076,16.127385934469718,198.0,100880.0,10.0,197.7,6.878388054059047,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
209.0,0.504356063,1.3148869263771918E-8,209.0,58.85167464114832,17.618480154001283,209.0,100880.0,10.0,208.30000000000004,7.380228843184863,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
220.0,0.517827133,1.3500433586473677E-8,220.0,60.45454545454545,20.869852819579943,220.0,100880.0,10.0,219.5,8.15032378361607,3281.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,0.531360923,1.385377480673086E-8,231.0,61.904761904761905,23.745217195588566,231.0,100920.0,10.0,232.2,7.97328874012056,3285.6,43.721136510591506,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
242.0,0.544762613,1.4203667150125318E-8,242.0,60.74380165289256,21.4446798332536,242.0,100920.0,10.0,244.6,7.720391469637044,3285.6,43.721136510591506,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
253.0,0.558326425,1.4557792187045429E-8,253.0,60.079051383399204,20.179302158498107,253.0,100920.0,10.0,254.39999999999998,8.026622369755952,3285.6,43.721136510591506,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
264.0,0.571080813,1.4890890306733132E-8,264.0,60.22727272727273,20.563961485557083,264.0,100952.0,10.0,265.3,8.212524310804538,3288.8,43.825106959367474,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
275.0,0.583764087,1.5222131187979958E-8,275.0,61.45454545454545,23.04646251319957,275.0,100952.0,10.0,275.1,8.110966513170782,3288.8,43.825106959367474,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
286.0,0.596464255,1.555381327892136E-8,286.0,61.88811188811189,23.88788515064212,286.0,100952.0,10.0,286.0,8.141798873031002,3288.8,43.825106959367474,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
297.0,0.609912963,1.5905044505933504E-8,297.0,61.95286195286195,24.03748217559583,297.0,100952.0,10.0,298.0,8.529686720833045,3288.8,43.825106959367474,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308.0,0.622654699,1.6237944053351464E-8,308.0,61.36363636363637,22.857383397878426,308.0,100992.0,10.0,310.2,8.725187040338383,3292.8,44.12829779933356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
319.0,0.635373737,1.6570250576873204E-8,319.0,60.50156739811913,21.135659066828868,319.0,100992.0,10.0,320.7,9.09706912509005,3292.8,44.12829779933356,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
330.0,0.648173971,1.6904704975578932E-8,330.0,60.909090909090914,21.944332392093592,330.0,101000.0,10.0,331.9,8.958484494848694,3293.6,44.30279650064744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
341.0,0.661302341,1.7247733165089866E-8,341.0,60.997067448680355,22.077899764616944,341.0,101000.0,10.0,342.1,9.593342599022627,3293.6,44.30279650064744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
352.0,0.674630407,1.7595979165900496E-8,352.0,60.79545454545454,21.661721068249246,352.0,101000.0,10.0,352.9,10.017151957184902,3293.6,44.30279650064744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
363.0,0.687191551,1.792418643645321E-8,363.0,60.88154269972452,21.90000000000001,363.0,101000.0,10.0,363.2,9.893656778180878,3293.6,44.30279650064744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
374.0,0.701231505,1.8291033196670723E-8,374.0,61.49732620320856,23.119968023753774,374.0,101000.0,10.0,375.79999999999995,10.510100961561795,3293.6,44.30279650064744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
385.0,0.715511483,1.8664151489314515E-8,385.0,62.33766233766234,24.910888425583433,385.0,101000.0,10.0,385.4,10.420279373520762,3293.6,44.30279650064744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
396.0,0.729722969,1.9035597818781513E-8,396.0,61.36363636363637,22.947400549394647,396.0,101032.0,10.0,396.4,10.432002044989574,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
407.0,0.744595081,1.942431096347462E-8,407.0,61.91646191646192,24.046136990259704,407.0,101032.0,10.0,407.59999999999997,11.061645447219863,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
418.0,0.757934586,1.977296628137429E-8,418.0,61.72248803827751,23.75914821823488,418.0,101032.0,10.0,419.7,10.917926135998133,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
429.0,0.771369395,2.0124112564749597E-8,429.0,61.53846153846154,23.365487674169344,429.0,101032.0,10.0,432.2,11.04717158371318,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
440.0,0.784056273,2.0455710137691345E-8,440.0,61.59090909090909,23.466447097571034,440.0,101032.0,10.0,444.29999999999995,11.10960545354034,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
451.0,0.796802139,2.0788849482977138E-8,451.0,61.86252771618626,24.05772130088305,451.0,101032.0,10.0,455.3,11.43391640884454,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
462.0,0.809912847,2.1131524722098057E-8,462.0,62.121212121212125,24.61819605795588,462.0,101032.0,10.0,465.5,11.666904759475269,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
473.0,0.823280639,2.1480919378749607E-8,473.0,61.94503171247357,24.2728809036734,473.0,101032.0,10.0,479.8,11.743366922082725,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
484.0,0.836352797,2.1822587034567772E-8,484.0,62.396694214876035,25.20209224916786,484.0,101032.0,10.0,490.2,11.342937107390759,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
495.0,0.848982325,2.2152685647654446E-8,495.0,62.22222222222222,24.74818506263871,495.0,101032.0,10.0,501.2,11.400584780323038,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
506.0,0.861763973,2.2486760228886783E-8,506.0,62.25296442687747,24.811339837246567,506.0,101032.0,10.0,510.1,11.487626193237467,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
517.0,0.873879757,2.2803431089021675E-8,517.0,61.89555125725339,24.095810882315693,517.0,101032.0,10.0,522.2,11.931098487193502,3296.7999999999997,43.82510695936751,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
528.0,0.886464527,2.313238590550712E-8,528.0,61.74242424242424,23.747426218256695,528.0,101040.0,10.0,533.8,12.05524321151958,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
539.0,0.899270313,2.346711788579614E-8,539.0,61.96660482374769,24.23598302260681,539.0,101040.0,10.0,545.4,11.98999582985749,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
550.0,0.911239405,2.377997942099761E-8,550.0,61.81818181818181,23.98315124391207,550.0,101040.0,10.0,556.0,11.600766258216645,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
561.0,0.923824585,2.4108944954522364E-8,561.0,62.03208556149733,24.452326309200924,561.0,101040.0,10.0,567.8,11.035095528962735,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
572.0,0.937085985,2.4455586283949923E-8,572.0,62.06293706293706,24.541011113002455,572.0,101040.0,10.0,577.6,10.817886423265252,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
583.0,0.949509439,2.4780324442111363E-8,583.0,61.921097770154375,24.181038522823144,583.0,101040.0,10.0,586.9000000000001,11.41680048583373,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
594.0,0.961898283,2.5104157925320574E-8,594.0,61.61616161616161,23.491661770687397,594.0,101040.0,10.0,598.4000000000001,11.402923601720158,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
605.0,0.974477231,2.543296055984786E-8,605.0,61.65289256198348,23.529539956850535,605.0,101040.0,10.0,610.4,11.725755128491013,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
616.0,0.987138429,2.5763913137016602E-8,616.0,61.850649350649356,23.889040778985898,616.0,101040.0,10.0,621.4,11.586582278173701,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
627.0,1.000194679,2.6105192025922645E-8,627.0,62.0414673046252,24.337561984728183,627.0,101040.0,10.0,633.9,11.606942367010836,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
638.0,1.012537747,2.6427828964762796E-8,638.0,62.539184952978054,25.326398887354422,638.0,101040.0,10.0,645.9,11.322004141395537,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
649.0,1.024338187,2.673628208505403E-8,649.0,62.71186440677966,25.713501906140333,649.0,101040.0,10.0,656.8,11.691212274372766,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
660.0,1.036044725,2.7042280689674526E-8,660.0,62.42424242424243,25.13447253832925,660.0,101040.0,10.0,668.8,11.572764963002093,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
671.0,1.048357259,2.7364119496616632E-8,671.0,62.14605067064084,24.596067743819365,671.0,101040.0,10.0,680.3,11.478530684136652,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
682.0,1.060130191,2.767185358198773E-8,682.0,62.023460410557185,24.356569627516986,682.0,101040.0,10.0,691.2,11.987771547150317,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
693.0,1.072479453,2.7994652426538775E-8,693.0,61.904761904761905,24.191369637100454,693.0,101040.0,10.0,702.6,12.329909434649819,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
704.0,1.084129573,2.8299176314272392E-8,704.0,61.64772727272727,23.689619732785193,704.0,101040.0,10.0,714.4000000000001,12.670350341556373,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
715.0,1.095737297,2.860259200786343E-8,715.0,61.39860139860139,23.18531435867093,715.0,101040.0,10.0,725.3,12.519362781086125,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
726.0,1.107280094,2.8904310566793293E-8,726.0,61.15702479338842,22.712893264577303,726.0,101040.0,10.0,735.5,12.833333333333332,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
737.0,1.119481486,2.9223244219631363E-8,737.0,61.46540027137042,23.30174644006186,737.0,101040.0,10.0,747.3,13.16565396949367,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
748.0,1.131758466,2.9544153676291714E-8,748.0,61.49732620320856,23.38900110956216,748.0,101040.0,10.0,757.5,13.604941912571489,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
759.0,1.144253362,2.987075926548283E-8,759.0,61.528326745718054,23.40328467153286,759.0,101040.0,10.0,767.9000000000001,13.697891159672068,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
770.0,1.15645208,3.0189623022313326E-8,770.0,61.42857142857143,23.26096439716789,770.0,101040.0,10.0,778.7000000000002,12.826231801360144,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
781.0,1.16861222,3.050747838416239E-8,781.0,61.33162612035852,23.032090901377757,781.0,101040.0,10.0,789.6999999999999,13.133544837552428,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
792.0,1.180786226,3.0825696191053E-8,792.0,61.36363636363637,23.109235699102125,792.0,101040.0,10.0,800.1,12.920655298139225,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
803.0,1.194815514,3.1192409437259445E-8,803.0,61.27023661270237,22.87120854141767,803.0,101040.0,10.0,812.3000000000001,13.180836257402047,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
814.0,1.206943604,3.150942704030415E-8,814.0,61.056511056511056,22.51436876527713,814.0,101040.0,10.0,821.7999999999998,13.172192933094571,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
825.0,1.218639206,3.1815139787505475E-8,825.0,61.09090909090909,22.61669953977648,825.0,101040.0,10.0,831.9,13.373647387472293,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
836.0,1.230283312,3.211950647456984E-8,836.0,61.1244019138756,22.674544357546996,836.0,101040.0,10.0,843.1999999999999,12.836406558431111,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
847.0,1.241832384,3.242138905647934E-8,847.0,61.038961038961034,22.539504824826366,847.0,101040.0,10.0,852.9,12.653018963428805,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
858.0,1.253471068,3.2725614017233654E-8,858.0,60.95571095571095,22.372024436486193,858.0,101040.0,10.0,864.0,12.610401350560664,3297.6,43.99272667157607,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
