learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
11.0,0.022741762,2.0050320799152054E-10,11.0,54.54545454545454,6.779661016949152,11.0,34080.0,10.0,11.100000000000001,1.3453624047073707,2208.7999999999997,2.5157283018817616
22.0,0.099227378,9.121978358593253E-10,22.0,63.63636363636363,24.786324786324776,22.0,35968.0,10.0,21.499999999999996,1.8150604520082645,2229.6000000000004,2.6799668322988897
33.0,0.148472695,1.3711363451907204E-9,33.0,57.57575757575758,11.49425287356322,33.0,36024.0,10.0,31.7,1.8976593769987045,2235.2000000000003,1.3063945294843806
44.0,0.166320665,1.5452263684674269E-9,44.0,63.63636363636363,23.311546840958606,44.0,37704.0,10.0,43.699999999999996,2.186066990942613,2235.2000000000003,1.3063945294843806
55.0,0.177397175,1.6533359924062257E-9,55.0,60.0,16.66666666666666,55.0,37728.0,10.0,54.300000000000004,2.3192431715731936,2237.6,1.2220201853215542
66.0,0.187012491,1.7472038820572195E-9,66.0,59.09090909090909,14.899713467048722,66.0,37736.0,10.0,64.5,2.613001679635468,2238.4,1.0666666666666667
77.0,0.196435931,1.8432942039623027E-9,77.0,59.74025974025974,18.726591760299634,77.0,39416.0,10.0,77.0,3.3499585403736303,2238.4,1.0666666666666667
88.0,0.205106463,1.931707162602494E-9,88.0,63.63636363636363,26.359832635983256,88.0,39416.0,10.0,87.6,3.697446566363212,2238.4,1.0666666666666667
99.0,0.215016235,2.0327770956460802E-9,99.0,61.61616161616161,22.719802793755118,99.0,39424.0,10.0,98.90000000000002,3.877140985600372,2239.2000000000003,0.7999999999999837
110.0,0.223872229,2.123117857374665E-9,110.0,60.909090909090914,21.35018290655139,110.0,39432.0,10.0,110.49999999999999,4.561310727801335,2240.0,0.0
121.0,0.233177373,2.2180404371499192E-9,121.0,59.50413223140496,18.725154215215902,121.0,39432.0,10.0,121.0,4.439719710872648,2240.0,0.0
132.0,0.242456891,2.312701603879946E-9,132.0,59.84848484848485,19.140083217753123,132.0,39432.0,10.0,132.8,5.231953108862247,2240.0,0.0
143.0,0.251357757,2.4035001087664736E-9,143.0,60.13986013986013,20.34593960715331,143.0,39432.0,10.0,142.79999999999998,5.322488974989886,2240.0,0.0
154.0,0.259234615,2.4838526193652724E-9,154.0,59.09090909090909,18.181818181818187,154.0,39432.0,10.0,153.1,5.852729657556758,2240.0,0.0
165.0,0.268567929,2.5831189825613475E-9,165.0,59.3939393939394,18.86238532110093,165.0,41112.0,10.0,164.70000000000002,6.626629778569361,2240.0,0.0
176.0,0.276614581,2.6687007898319935E-9,176.0,60.79545454545454,21.590909090909083,176.0,41112.0,10.0,175.5,6.730114742294104,2240.0,0.0
187.0,0.285060689,2.758531092800615E-9,187.0,60.962566844919785,21.900566393958453,187.0,41112.0,10.0,186.0,6.671664793071598,2240.0,0.0
198.0,0.293729445,2.850729413949368E-9,198.0,60.1010101010101,20.13683243132848,198.0,41112.0,10.0,197.7,6.878388054059047,2240.0,0.0
209.0,0.301899845,2.9376273682941174E-9,209.0,60.76555023923444,21.378108083310384,209.0,41112.0,10.0,208.30000000000004,7.380228843184863,2240.0,0.0
220.0,0.309898245,3.0226959815849043E-9,220.0,62.272727272727266,24.45805063710076,220.0,41112.0,10.0,219.5,8.15032378361607,2240.0,0.0
231.0,0.317803701,3.106857875906346E-9,231.0,63.63636363636363,27.156693445453854,231.0,41152.0,10.0,232.2,7.97328874012056,2244.0,1.333333333333337
242.0,0.325800775,3.191995140204414E-9,242.0,62.396694214876035,24.73169731355528,242.0,41152.0,10.0,244.6,7.720391469637044,2244.0,1.333333333333337
253.0,0.333130239,3.270024993839778E-9,253.0,61.6600790513834,23.35009526189211,253.0,41152.0,10.0,254.39999999999998,8.026622369755952,2244.0,1.333333333333337
264.0,0.341722203,3.3615666158228296E-9,264.0,61.74242424242424,23.642611683848806,264.0,41184.0,10.0,265.3,8.212524310804538,2247.2000000000003,0.7999999999999957
275.0,0.349005537,3.439165661606111E-9,275.0,62.909090909090914,26.020677286633624,275.0,41184.0,10.0,275.1,8.110966513170782,2247.2000000000003,0.7999999999999957
286.0,0.357179439,3.526253112974681E-9,286.0,63.286713286713294,26.76681461249575,286.0,41184.0,10.0,286.0,8.141798873031002,2247.2000000000003,0.7999999999999957
297.0,0.364887409,3.608376370939531E-9,297.0,63.2996632996633,26.839024610725655,297.0,41184.0,10.0,298.0,8.529686720833045,2247.2000000000003,0.7999999999999957
308.0,0.372954651,3.6944109114942463E-9,308.0,62.66233766233766,25.55069783083908,308.0,41224.0,10.0,310.2,8.725187040338383,2251.2,1.3063945294843626
319.0,0.380205849,3.774894100707025E-9,319.0,61.75548589341693,23.7529877355903,319.0,42904.0,10.0,320.7,9.09706912509005,2251.2,1.3063945294843626
330.0,0.388793347,3.8702270512096595E-9,330.0,62.121212121212125,24.486508256141757,330.0,42912.0,10.0,331.9,8.958484494848694,2251.9999999999995,1.3333333333333488
341.0,0.396721789,3.958243580441923E-9,341.0,62.17008797653959,24.551052261461674,341.0,42912.0,10.0,342.1,9.593342599022627,2251.9999999999995,1.3333333333333488
352.0,0.404383193,4.043295623343439E-9,352.0,61.93181818181818,24.069542820347703,352.0,42912.0,10.0,352.9,10.017151957184902,2251.9999999999995,1.3333333333333488
363.0,0.412049799,4.12840541554615E-9,363.0,61.98347107438017,24.251497005988032,363.0,42912.0,10.0,363.2,9.893656778180878,2251.9999999999995,1.3333333333333488
374.0,0.419711667,4.213462609481068E-9,374.0,62.56684491978609,25.417355136459452,374.0,42912.0,10.0,375.79999999999995,10.510100961561795,2251.9999999999995,1.3333333333333488
385.0,0.427997715,4.3054490534774974E-9,385.0,63.37662337662338,27.103895580711452,385.0,42912.0,10.0,385.4,10.420279373520762,2251.9999999999995,1.3333333333333488
396.0,0.435115167,4.384521407913418E-9,396.0,62.37373737373737,25.083798882681556,396.0,42944.0,10.0,396.4,10.432002044989574,2255.2000000000003,0.7999999999999774
407.0,0.442888915,4.470884976947889E-9,407.0,62.8992628992629,26.11654103701567,407.0,42944.0,10.0,407.59999999999997,11.061645447219863,2255.2000000000003,0.7999999999999774
418.0,0.450545691,4.555949028761439E-9,418.0,62.67942583732058,25.78699383151619,418.0,42944.0,10.0,419.7,10.917926135998133,2255.2000000000003,0.7999999999999774
429.0,0.458289365,4.64197848637692E-9,429.0,62.47086247086248,25.330003567606145,429.0,42944.0,10.0,432.2,11.04717158371318,2255.2000000000003,0.7999999999999774
440.0,0.465364445,4.720580102997937E-9,440.0,62.5,25.37006578947369,440.0,42944.0,10.0,444.29999999999995,11.10960545354034,2255.2000000000003,0.7999999999999774
451.0,0.473884487,4.8152347323277775E-9,451.0,62.74944567627494,25.91955259195525,451.0,42944.0,10.0,455.3,11.43391640884454,2255.2000000000003,0.7999999999999774
462.0,0.481498881,4.8998279352299885E-9,462.0,62.98701298701299,26.445449974861752,462.0,42944.0,10.0,465.5,11.666904759475269,2255.2000000000003,0.7999999999999774
473.0,0.488554493,4.978213269311108E-9,473.0,62.7906976744186,26.058302097951792,473.0,42944.0,10.0,479.8,11.743366922082725,2255.2000000000003,0.7999999999999774
484.0,0.496759015,5.069362583919947E-9,484.0,63.22314049586777,26.945254731700697,484.0,42944.0,10.0,490.2,11.342937107390759,2255.2000000000003,0.7999999999999774
495.0,0.503796659,5.147548299926438E-9,495.0,63.030303030303024,26.460679174209883,495.0,42944.0,10.0,501.2,11.400584780323038,2255.2000000000003,0.7999999999999774
506.0,0.512397303,5.243098388742657E-9,506.0,63.04347826086957,26.47748993768357,506.0,42944.0,10.0,510.1,11.487626193237467,2255.2000000000003,0.7999999999999774
517.0,0.519931407,5.3267995983672655E-9,517.0,62.66924564796905,25.71894378726858,517.0,42944.0,10.0,522.2,11.931098487193502,2255.2000000000003,0.7999999999999774
