learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
11.0,0.039680355,3.13708674783508E-11,11.0,54.54545454545454,6.779661016949152,11.0,3056.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
22.0,0.044545943,3.5247759251958794E-11,22.0,59.09090909090909,19.51219512195122,22.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
33.0,0.046826255,3.706470775521464E-11,33.0,60.60606060606061,19.20903954802261,33.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
44.0,0.04832069,3.825547087730633E-11,44.0,63.63636363636363,23.311546840958606,44.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
55.0,0.049411546,3.912466297753983E-11,55.0,60.0,16.66666666666666,55.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
66.0,0.050574116,4.0050996664083666E-11,66.0,57.57575757575758,11.239193083573495,66.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
77.0,0.051580831,4.085314536674155E-11,77.0,58.44155844155844,15.789473684210531,77.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
88.0,0.052566038,4.163815653365519E-11,88.0,61.36363636363637,21.263157894736835,88.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
99.0,0.053533202,4.2408791070597034E-11,99.0,59.59595959595959,18.215613382899623,99.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
110.0,0.054467476,4.3153218914651205E-11,110.0,59.09090909090909,17.362270450751264,110.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
121.0,0.055415773,4.390882025990221E-11,121.0,58.67768595041323,16.48260629486472,121.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
132.0,0.056625435,4.487267676740884E-11,132.0,59.09090909090909,17.039106145251402,132.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
143.0,0.057604012,4.565240516223841E-11,143.0,59.44055944055944,18.542526026320953,143.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
154.0,0.058491336,4.6359423330674567E-11,154.0,58.44155844155844,16.67230300980725,154.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
165.0,0.059326682,4.70250255221294E-11,165.0,59.3939393939394,18.74310915104742,165.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
176.0,0.060109848,4.764905078336596E-11,176.0,60.79545454545454,21.590909090909083,176.0,3080.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
