learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
11.0,0.028205278,7.456086077085799E-10,11.0,45.45454545454545,-17.857142857142858,11.0,102184.0,10.0,4.0
22.0,0.049389259,1.3067486151908008E-9,22.0,59.09090909090909,16.80672268907564,22.0,102392.0,10.0,2.0
33.0,0.061038049,1.6154808167223301E-9,33.0,57.57575757575758,11.49425287356322,33.0,102448.0,10.0,4.0
44.0,0.071401355,1.8901433590571915E-9,44.0,61.36363636363637,19.396551724137925,44.0,102448.0,10.0,4.0
55.0,0.079435669,2.1031296462544967E-9,55.0,58.18181818181818,13.533834586466162,55.0,102472.0,10.0,3.0
66.0,0.088669744,2.3479402041787077E-9,66.0,59.09090909090909,16.80672268907564,66.0,102480.0,10.0,3.0
77.0,0.097040269,2.569856627357917E-9,77.0,57.14285714285714,13.483146067415738,77.0,102480.0,10.0,3.0
88.0,0.104997894,2.7808263905449876E-9,88.0,59.09090909090909,16.631578947368418,88.0,102480.0,10.0,3.0
99.0,0.112863003,2.9893596796608637E-9,99.0,57.57575757575758,13.662790697674435,99.0,102488.0,10.0,3.0
110.0,0.12091454,3.2028525318702064E-9,110.0,57.27272727272727,13.342272879651377,110.0,102496.0,10.0,4.0
121.0,0.125460808,3.3234004126323595E-9,121.0,55.371900826446286,8.946488294314385,121.0,102496.0,10.0,6.0
132.0,0.130175554,3.4484156204097802E-9,132.0,55.3030303030303,8.720112517580837,132.0,102496.0,10.0,5.0
143.0,0.135165092,3.5807171547412875E-9,143.0,53.84615384615385,6.052160063706928,143.0,102496.0,10.0,4.0
154.0,0.13981229,3.703941274036964E-9,154.0,53.896103896103895,7.007994556897436,154.0,102496.0,10.0,3.0
165.0,0.144449086,3.826889576100641E-9,165.0,53.939393939393945,7.590272660280038,165.0,102496.0,10.0,4.0
176.0,0.152852439,4.0497111069576606E-9,176.0,54.54545454545454,9.090909090909083,176.0,102496.0,10.0,5.0
187.0,0.158346172,4.195381769273016E-9,187.0,55.080213903743314,10.219478737997262,187.0,102496.0,10.0,4.0
198.0,0.163601098,4.334720275683535E-9,198.0,55.55555555555556,11.192660550458724,198.0,102496.0,10.0,5.0
209.0,0.168338049,4.460324266544646E-9,209.0,55.50239234449761,11.21819759740556,209.0,102496.0,10.0,3.0
220.0,0.172708312,4.576205235951476E-9,220.0,56.81818181818182,13.821540491505868,220.0,102496.0,10.0,3.0
231.0,0.176723338,4.682708363802069E-9,231.0,58.44155844155844,17.061859525768558,231.0,102536.0,10.0,4.0
242.0,0.180516649,4.7833302492917414E-9,242.0,59.09090909090909,18.237662958159856,242.0,102536.0,10.0,5.0
253.0,0.184559512,4.890571785204941E-9,253.0,58.89328063241107,17.754438609652414,253.0,102536.0,10.0,7.0
264.0,0.188367443,4.99161300647383E-9,264.0,58.333333333333336,16.479723899913722,264.0,102568.0,10.0,6.0
275.0,0.192722207,5.107164121475071E-9,275.0,58.54545454545455,16.843501326259947,275.0,102568.0,10.0,2.0
286.0,0.196390406,5.204497635873656E-9,286.0,58.04195804195804,15.737785416155168,286.0,102568.0,10.0,2.0
297.0,0.200327721,5.308971985886908E-9,297.0,58.58585858585859,16.673889737916564,297.0,102568.0,10.0,5.0
308.0,0.203974401,5.4057722421590656E-9,308.0,57.467532467532465,14.386352062468166,308.0,102608.0,10.0,5.0
319.0,0.207520386,5.4998995735227235E-9,319.0,57.05329153605015,13.509073997110574,319.0,102608.0,10.0,3.0
330.0,0.211108015,5.59513975997352E-9,330.0,56.666666666666664,12.627291242362517,330.0,102616.0,10.0,4.0
341.0,0.214861221,5.694775491323737E-9,341.0,56.598240469208214,12.424515860345684,341.0,102616.0,10.0,4.0
352.0,0.21836558,5.7878051230249315E-9,352.0,56.81818181818182,12.6892950391645,352.0,102616.0,10.0,3.0
363.0,0.221926382,5.88233313759789E-9,363.0,56.19834710743802,11.443037974683563,363.0,102616.0,10.0,3.0
374.0,0.226182356,5.995315766874702E-9,374.0,56.68449197860963,12.272674620641741,374.0,102616.0,10.0,3.0
385.0,0.230387421,6.106946923451293E-9,385.0,57.66233766233766,14.66432777165859,385.0,102616.0,10.0,3.0
396.0,0.234543123,6.2173020513893845E-9,396.0,57.07070707070707,13.577077128478987,396.0,102648.0,10.0,7.0
407.0,0.238435059,6.320652843916583E-9,407.0,57.49385749385749,14.394961763382819,407.0,102648.0,10.0,4.0
418.0,0.24219515,6.420502477832554E-9,418.0,56.45933014354066,12.340700112921422,418.0,102648.0,10.0,4.0
429.0,0.245867403,6.518019563907552E-9,429.0,56.64335664335665,12.833453496755595,429.0,102648.0,10.0,2.0
440.0,0.249381232,6.6113296830757636E-9,440.0,56.13636363636364,11.890433699937745,440.0,102648.0,10.0,4.0
451.0,0.252941725,6.7058789699441866E-9,451.0,56.31929046563193,12.254209668658337,451.0,102648.0,10.0,5.0
462.0,0.256375364,6.797059634760437E-9,462.0,56.27705627705628,12.147456414504667,462.0,102648.0,10.0,4.0
473.0,0.259936639,6.89162968772567E-9,473.0,56.02536997885835,11.696704243555683,473.0,102648.0,10.0,7.0
484.0,0.263377383,6.982999026605653E-9,484.0,56.40495867768595,12.42110318331504,484.0,102648.0,10.0,3.0
495.0,0.266911301,7.076842611398962E-9,495.0,56.36363636363636,12.311780336581059,495.0,102648.0,10.0,4.0
506.0,0.270348878,7.168127850242373E-9,506.0,55.73122529644269,11.073451646817002,506.0,102648.0,10.0,5.0
517.0,0.274314603,7.273438117855953E-9,517.0,55.705996131528046,11.030201922282108,517.0,102648.0,10.0,5.0
528.0,0.277773703,7.365302061326802E-9,528.0,55.871212121212125,11.309764115577597,528.0,102656.0,10.0,3.0
539.0,0.281573521,7.466214514262975E-9,539.0,56.58627087198516,12.720403022670016,539.0,102656.0,10.0,2.0
550.0,0.285189967,7.562257123875122E-9,550.0,56.18181818181818,11.88124077595032,550.0,102656.0,10.0,4.0
561.0,0.288819442,7.658645746993522E-9,561.0,55.97147950089126,11.460483185625831,561.0,102656.0,10.0,5.0
572.0,0.29250149,7.75643056076848E-9,572.0,55.769230769230774,11.049098910825357,572.0,102656.0,10.0,5.0
583.0,0.295943143,7.84783116110911E-9,583.0,55.40308747855918,10.327855275145224,583.0,102656.0,10.0,5.0
594.0,0.299462689,7.94130037991951E-9,594.0,54.882154882154886,9.315043521852093,594.0,102656.0,10.0,4.0
605.0,0.303091307,8.037666243534122E-9,605.0,54.3801652892562,8.313200087854167,605.0,102656.0,10.0,5.0
616.0,0.306752151,8.134887938851284E-9,616.0,54.05844155844156,7.635901239800784,616.0,102656.0,10.0,2.0
627.0,0.310477563,8.233824378206499E-9,627.0,54.22647527910686,8.09785245524885,627.0,102656.0,10.0,4.0
638.0,0.313964765,8.326434631567034E-9,638.0,54.858934169278996,9.300741413523147,638.0,102656.0,10.0,3.0
649.0,0.317476094,8.419685630024308E-9,649.0,54.853620955315876,9.353653130198941,649.0,102656.0,10.0,3.0
660.0,0.321085089,8.515530362083681E-9,660.0,54.848484848484844,9.350687659009624,660.0,102656.0,10.0,5.0
671.0,0.324838158,8.615201293383208E-9,671.0,54.69448584202683,9.044536001569565,671.0,102656.0,10.0,6.0
682.0,0.32845931,8.711368881087337E-9,682.0,54.98533724340176,9.687966389744378,682.0,102656.0,10.0,4.0
693.0,0.332022027,8.805984599942135E-9,693.0,55.12265512265512,10.013152126260405,693.0,102656.0,10.0,5.0
704.0,0.335487564,8.898019491984613E-9,704.0,54.97159090909091,9.63980305778701,704.0,102656.0,10.0,6.0
715.0,0.339091347,8.993725808018612E-9,715.0,54.82517482517483,9.326302812339287,715.0,102656.0,10.0,3.0
726.0,0.342569162,9.0860867691247E-9,726.0,54.82093663911846,9.314281797201668,726.0,102656.0,10.0,6.0
737.0,0.346219849,9.18303872315834E-9,737.0,54.95251017639078,9.585923008136708,737.0,102656.0,10.0,2.0
