learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
11.0,0.021590202,1.6555127669125796E-10,11.0,36.36363636363637,-18.461538461538463,11.0,29640.0,10.0,0.0
22.0,0.083717632,6.452805874662266E-10,22.0,54.54545454545454,2.6548672566371594,22.0,29848.0,10.0,0.0
33.0,0.125675196,9.698721145010656E-10,33.0,57.57575757575758,4.938271604938272,33.0,29904.0,10.0,0.0
44.0,0.143010818,1.1039837139513757E-9,44.0,59.09090909090909,9.794988610478358,44.0,29904.0,10.0,0.0
55.0,0.155793798,1.2029545944349634E-9,55.0,56.36363636363636,6.249999999999992,55.0,29928.0,10.0,0.0
66.0,0.166780852,1.2880434452990692E-9,66.0,56.060606060606055,6.451612903225801,66.0,29936.0,10.0,0.0
77.0,0.17488303,1.3507904760787885E-9,77.0,57.14285714285714,12.167300380228124,77.0,29936.0,10.0,0.0
88.0,0.181468864,1.4017942344148954E-9,88.0,61.36363636363637,20.76271186440677,88.0,29936.0,10.0,0.0
99.0,0.188002228,1.4524051621804635E-9,99.0,59.59595959595959,17.327766179540706,99.0,29944.0,10.0,0.0
110.0,0.195197658,1.508159698570768E-9,110.0,60.909090909090914,20.39717266913498,110.0,29952.0,10.0,0.0
121.0,0.201702548,1.5585635140786568E-9,121.0,59.50413223140496,17.18117055454674,121.0,29952.0,10.0,0.0
132.0,0.208857432,1.614003875578443E-9,132.0,59.84848484848485,17.61658031088083,132.0,29952.0,10.0,0.0
143.0,0.21486956,1.6605894735703864E-9,143.0,60.83916083916085,20.55555555555556,143.0,29952.0,10.0,0.0
154.0,0.220715234,1.7058852854619423E-9,154.0,59.74025974025974,18.864717878993883,154.0,29952.0,10.0,0.0
165.0,0.227181424,1.7559892300019661E-9,165.0,60.60606060606061,20.994475138121558,165.0,29952.0,10.0,0.0
176.0,0.232994894,1.8010355058560769E-9,176.0,61.93181818181818,23.863636363636353,176.0,29952.0,10.0,0.0
187.0,0.238821522,1.8461837378392616E-9,187.0,62.03208556149733,24.083709760420852,187.0,29952.0,10.0,0.0
198.0,0.245233498,1.8958675995717447E-9,198.0,61.61616161616161,23.255813953488357,198.0,29952.0,10.0,0.0
209.0,0.251062356,1.9410331109414497E-9,209.0,62.20095693779905,24.44515627145015,209.0,29952.0,10.0,0.0
