learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
11.0,0.009473838,7.938918566952149E-11,11.0,45.45454545454545,2.941176470588235,11.0,32392.0,10.0,0.0
22.0,0.021415613,1.8027485992345542E-10,22.0,54.54545454545454,2.6548672566371594,22.0,32656.0,10.0,0.0
33.0,0.027120276,2.2853943613668279E-10,33.0,51.515151515151516,-4.761904761904762,33.0,32704.0,10.0,0.0
44.0,0.032875925,2.7729494148037496E-10,44.0,56.81818181818182,7.9295154185022225,44.0,32744.0,10.0,0.0
55.0,0.037228078,3.142066140700545E-10,55.0,58.18181818181818,12.213740458015254,55.0,32784.0,10.0,0.0
66.0,0.041889581,3.537419595672852E-10,66.0,56.060606060606055,9.631728045325763,66.0,32784.0,10.0,0.0
77.0,0.045576864,3.85014707295017E-10,77.0,54.54545454545454,7.54716981132075,77.0,32784.0,10.0,0.0
88.0,0.049178739,4.1556308891417244E-10,88.0,52.27272727272727,3.3472803347280227,88.0,32784.0,10.0,0.0
99.0,0.053338414,4.508509174610177E-10,99.0,52.52525252525253,4.160659114315145,99.0,32792.0,10.0,0.0
110.0,0.056880731,4.809015043348902E-10,110.0,53.63636363636364,5.9671471672812775,110.0,32792.0,10.0,0.0
121.0,0.060822219,5.143383840823339E-10,121.0,53.71900826446281,5.574136008918609,121.0,32792.0,10.0,0.0
132.0,0.064016491,5.414363959866266E-10,132.0,53.03030303030303,3.399433427762028,132.0,32792.0,10.0,0.0
143.0,0.066786102,5.649318753472634E-10,143.0,52.44755244755245,3.5317460317460276,143.0,32792.0,10.0,0.0
154.0,0.068829544,5.822670351713897E-10,154.0,51.94805194805194,3.1611148878314053,154.0,32792.0,10.0,0.0
165.0,0.071309276,6.033033799959554E-10,165.0,53.333333333333336,6.408839779005532,165.0,32792.0,10.0,0.0
176.0,0.07313992,6.18833307599028E-10,176.0,55.11363636363637,10.22727272727273,176.0,32792.0,10.0,0.0
187.0,0.074853994,6.333743353063862E-10,187.0,55.080213903743314,10.198948090555678,187.0,32792.0,10.0,0.0
198.0,0.077150254,6.528542295719186E-10,198.0,54.54545454545454,9.174311926605501,198.0,32792.0,10.0,0.0
209.0,0.078859474,6.673540792738398E-10,209.0,55.50239234449761,11.21819759740556,209.0,32792.0,10.0,0.0
220.0,0.081100672,6.863668653120598E-10,220.0,55.90909090909091,11.92009245501073,220.0,32792.0,10.0,0.0
231.0,0.082802113,7.00821851187696E-10,231.0,56.709956709956714,13.50906095551894,231.0,32840.0,10.0,0.0
242.0,0.084447174,7.147978477221396E-10,242.0,56.611570247933884,13.24684192557187,242.0,32840.0,10.0,0.0
253.0,0.086631792,7.333577756500906E-10,253.0,55.73122529644269,11.45000000000001,253.0,32840.0,10.0,0.0
264.0,0.088334388,7.478296215004391E-10,264.0,53.78787878787878,7.527993109388442,264.0,32856.0,10.0,0.0
275.0,0.090547786,7.666432183028923E-10,275.0,54.90909090909091,9.721486815630632,275.0,32856.0,10.0,0.0
286.0,0.092142911,7.802015745494929E-10,286.0,55.24475524475524,10.33165139861853,286.0,32856.0,10.0,0.0
297.0,0.093804077,7.943212707568374E-10,297.0,55.55555555555556,10.887848342955857,297.0,32856.0,10.0,0.0
308.0,0.095894679,8.121214044901231E-10,308.0,55.519480519480524,10.70763500931099,308.0,32912.0,10.0,0.0
319.0,0.097402745,8.24961618207809E-10,319.0,55.172413793103445,9.991910183303407,319.0,32912.0,10.0,0.0
330.0,0.099441172,8.423259527960585E-10,330.0,54.54545454545454,8.685064935064926,330.0,32928.0,10.0,0.0
341.0,0.100946695,8.551507461795376E-10,341.0,55.42521994134897,10.368679532406437,341.0,32928.0,10.0,0.0
352.0,0.102465593,8.680894744623867E-10,352.0,54.82954545454546,9.04244945719301,352.0,32928.0,10.0,0.0
363.0,0.104474691,8.852039700477488E-10,363.0,55.64738292011019,10.510358767054074,363.0,32928.0,10.0,0.0
374.0,0.106379298,9.014283593474991E-10,374.0,56.417112299465245,11.876608170227533,374.0,32928.0,10.0,0.0
385.0,0.108468454,9.192248287776279E-10,385.0,57.14285714285714,13.690031385443142,385.0,32928.0,10.0,0.0
396.0,0.110024668,9.324878747988908E-10,396.0,56.56565656565656,12.560336859402263,396.0,32944.0,10.0,0.0
407.0,0.111504452,9.450995357231135E-10,407.0,57.24815724815725,13.932573345324615,407.0,32944.0,10.0,0.0
418.0,0.113516795,9.62250003344897E-10,418.0,56.45933014354066,12.267915215536116,418.0,32944.0,10.0,0.0
429.0,0.115039641,9.752286660360796E-10,429.0,56.64335664335665,12.707581227436823,429.0,32944.0,10.0,0.0
