learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
11.0,0.029467753,7.78372361301962E-10,11.0,36.36363636363637,-8.450704225352112,11.0,102104.0,10.0,0.0
22.0,0.051134692,1.3518569668341013E-9,22.0,59.09090909090909,7.476635514018692,22.0,102312.0,10.0,0.0
33.0,0.062555344,1.6543063798753752E-9,33.0,60.60606060606061,6.535947712418314,33.0,102368.0,10.0,0.0
44.0,0.072949344,1.929567301856975E-9,44.0,59.09090909090909,5.489260143198104,44.0,102368.0,10.0,0.0
55.0,0.082882052,2.1926736481777496E-9,55.0,56.36363636363636,3.225806451612899,55.0,102392.0,10.0,0.0
66.0,0.091593393,2.423445375209881E-9,66.0,56.060606060606055,4.204204204204198,66.0,102400.0,10.0,0.0
77.0,0.099790652,2.6405985800218248E-9,77.0,57.14285714285714,10.810810810810812,77.0,102400.0,10.0,0.0
88.0,0.107735592,2.8510676140048434E-9,88.0,61.36363636363637,19.74248927038627,88.0,102400.0,10.0,0.0
99.0,0.115621817,3.0599975530451366E-9,99.0,59.59595959595959,16.420430561418318,99.0,102408.0,10.0,0.0
110.0,0.121769027,3.2228684502736557E-9,110.0,60.0,18.049441246190312,110.0,102416.0,10.0,0.0
121.0,0.126570385,3.3500808743449544E-9,121.0,58.67768595041323,14.884637028700057,121.0,102416.0,10.0,0.0
132.0,0.131445443,3.479245986729446E-9,132.0,59.09090909090909,15.464895635673626,132.0,102416.0,10.0,0.0
143.0,0.136235944,3.6061707535820697E-9,143.0,60.13986013986013,18.725695483098995,143.0,102416.0,10.0,0.0
154.0,0.140729209,3.7252202251367265E-9,154.0,59.09090909090909,17.345373998977696,154.0,102416.0,10.0,0.0
165.0,0.145453691,3.8503958124812275E-9,165.0,59.3939393939394,18.443378827001123,165.0,102416.0,10.0,0.0
176.0,0.15356807,4.0653870342195856E-9,176.0,60.79545454545454,21.590909090909083,176.0,102416.0,10.0,0.0
187.0,0.159046282,4.210532767592618E-9,187.0,60.962566844919785,21.963070942662785,187.0,102416.0,10.0,0.0
198.0,0.16453639,4.355993686585376E-9,198.0,60.60606060606061,21.26835236541599,198.0,102416.0,10.0,0.0
209.0,0.169395237,4.484729287026243E-9,209.0,61.24401913875598,22.603209436291323,209.0,102416.0,10.0,0.0
220.0,0.173723632,4.5994105126895E-9,220.0,62.272727272727266,24.632656430576187,220.0,102416.0,10.0,0.0
231.0,0.177701796,4.704853501785546E-9,231.0,63.63636363636363,27.347611202635907,231.0,102456.0,10.0,0.0
242.0,0.181472536,4.804798626396804E-9,242.0,62.396694214876035,24.80366045209315,242.0,102456.0,10.0,0.0
253.0,0.185605223,4.914337315671145E-9,253.0,62.055335968379445,24.109486314210724,253.0,102456.0,10.0,0.0
264.0,0.189506664,5.017779025636199E-9,264.0,62.5,24.974164657251123,264.0,102488.0,10.0,0.0
275.0,0.193886061,5.13389312663012E-9,275.0,63.272727272727266,26.48421164077181,275.0,102488.0,10.0,0.0
286.0,0.197680172,5.234489119146019E-9,286.0,63.63636363636363,27.14446676137756,286.0,102488.0,10.0,0.0
297.0,0.201701868,5.3411192363769636E-9,297.0,63.63636363636363,27.090057735145695,297.0,102488.0,10.0,0.0
308.0,0.205514294,5.4422402787477594E-9,308.0,63.31168831168831,26.449704142011832,308.0,102528.0,10.0,0.0
319.0,0.209170198,5.539209721115313E-9,319.0,62.38244514106584,24.553589025976606,319.0,102528.0,10.0,0.0
330.0,0.212852979,5.636899672734239E-9,330.0,62.42424242424243,24.574209245742097,330.0,102536.0,10.0,0.0
341.0,0.216666703,5.738063036248914E-9,341.0,62.17008797653959,23.964185089796576,341.0,102536.0,10.0,0.0
352.0,0.220270389,5.833654903098939E-9,352.0,61.93181818181818,23.44845494676707,352.0,102536.0,10.0,0.0
363.0,0.223860082,5.928875589720489E-9,363.0,62.25895316804407,24.08060453400502,363.0,102536.0,10.0,0.0
374.0,0.228201295,6.044031198467643E-9,374.0,62.56684491978609,24.60111744715165,374.0,102536.0,10.0,0.0
385.0,0.232568911,6.159887176797619E-9,385.0,63.37662337662338,26.49189562485613,385.0,102536.0,10.0,0.0
396.0,0.236827871,6.272896188708641E-9,396.0,62.62626262626263,24.946214527200084,396.0,102568.0,10.0,0.0
