learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div
11.0,0.027521282,2.4463548053883845E-10,11.0,45.45454545454545,-6.451612903225795,11.0,34360.0,10.0,0.0,0.0
22.0,0.092943932,8.5812876071367E-10,22.0,54.54545454545454,5.982905982905963,22.0,36248.0,10.0,0.0,0.0
33.0,0.131422778,1.2195171094768576E-9,33.0,54.54545454545454,3.50877192982455,33.0,36304.0,10.0,0.0,0.0
44.0,0.149153412,1.3937469710906346E-9,44.0,59.09090909090909,13.725490196078438,44.0,37984.0,10.0,0.0,0.0
55.0,0.163506402,1.5348755696788429E-9,55.0,58.18181818181818,13.533834586466162,55.0,38008.0,10.0,0.0,0.0
66.0,0.173588078,1.6340264979377388E-9,66.0,57.57575757575758,12.25071225071225,66.0,38016.0,10.0,0.0,0.0
77.0,0.182712612,1.7277298376585045E-9,77.0,58.44155844155844,16.417910447761187,77.0,39696.0,10.0,0.0,0.0
88.0,0.191036578,1.8132118374978501E-9,88.0,61.36363636363637,21.757322175732213,88.0,39696.0,10.0,0.0,0.0
99.0,0.199625892,1.90143657422728E-9,99.0,61.61616161616161,22.719802793755118,99.0,39704.0,10.0,0.0,0.0
110.0,0.207281684,1.9800885278979937E-9,110.0,62.727272727272734,25.306392845313034,110.0,39712.0,10.0,0.0,0.0
121.0,0.215416786,2.063664683782392E-9,121.0,62.8099173553719,25.359835503769705,121.0,39712.0,10.0,0.0,0.0
132.0,0.223659728,2.148348736365636E-9,132.0,62.878787878787875,25.24271844660194,132.0,39712.0,10.0,0.0,0.0
143.0,0.231116144,2.2249523961544036E-9,143.0,63.63636363636363,27.212216131558332,143.0,39712.0,10.0,0.0,0.0
154.0,0.239021846,2.3061718059082826E-9,154.0,62.98701298701299,25.974025974025984,154.0,39712.0,10.0,0.0,0.0
165.0,0.247206884,2.393818338736892E-9,165.0,63.63636363636363,27.312775330396484,165.0,41392.0,10.0,0.0,0.0
176.0,0.255428662,2.4818582886291876E-9,176.0,64.20454545454545,28.409090909090917,176.0,41392.0,10.0,0.0,0.0
187.0,0.262547814,2.558091164943245E-9,187.0,64.1711229946524,28.327898861621183,187.0,41392.0,10.0,0.0,0.0
198.0,0.271223276,2.65098922662437E-9,198.0,62.121212121212125,24.21149331427987,198.0,41392.0,10.0,0.0,0.0
209.0,0.278377086,2.727593225654629E-9,209.0,62.67942583732058,25.281877348977922,209.0,41392.0,10.0,0.0,0.0
220.0,0.28562614,2.8052171107712724E-9,220.0,64.0909090909091,28.146188192492133,220.0,41392.0,10.0,0.0,0.0
231.0,0.292854778,2.8826971806544403E-9,231.0,65.36796536796537,30.677470177807777,231.0,41432.0,10.0,0.0,0.0
242.0,0.299499774,2.9539214907462405E-9,242.0,64.0495867768595,28.059864689400666,242.0,41432.0,10.0,0.0,0.0
253.0,0.306792922,3.0320930102922855E-9,253.0,63.24110671936759,26.501733670696282,253.0,41432.0,10.0,0.0,0.0
264.0,0.314039756,3.1098281061400976E-9,264.0,63.25757575757576,26.616231086657493,264.0,41464.0,10.0,0.0,0.0
