learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
3.0,0.003921847,5.637032169227799E-11,3.0,33.33333333333333,0.0,3.0,55560.0,10.0,3.2,0.5120763831912405,4078.4000000000005,452.46787976852255
6.0,0.021771908,3.3077986812219026E-10,6.0,16.666666666666664,-66.66666666666667,6.0,59424.0,10.0,6.2,0.9285592184789412,4458.4,215.86514308706717
9.0,0.031361499,4.872510333172977E-10,9.0,22.22222222222222,-61.53846153846153,9.0,63072.0,10.0,9.5,1.194896555262328,4823.2,149.57337849883436
12.0,0.040801375,6.482539782983562E-10,12.0,33.33333333333333,-50.000000000000014,12.0,65928.0,10.0,12.200000000000001,1.4817407180595246,5102.400000000001,80.2290055611643
15.0,0.04941193,7.969656660283606E-10,15.0,46.666666666666664,-36.36363636363634,15.0,66760.0,10.0,15.5,1.3924399049470282,5185.6,70.6218725954565
18.0,0.055033942,8.9493529787908E-10,18.0,50.0,-32.78688524590167,18.0,67360.0,10.0,18.7,1.5567059238447487,5244.000000000001,56.847554428000116
21.0,0.061506048,1.0087769178301097E-9,21.0,52.38095238095239,-29.629629629629594,21.0,67992.0,10.0,21.200000000000003,1.830604029032797,5305.6,45.658442081758885
24.0,0.065739659,1.083656162640287E-9,24.0,58.333333333333336,-10.091743119266017,24.0,68368.0,10.0,23.200000000000003,1.6983652270475997,5343.2,27.258760059841315
27.0,0.070006098,1.1594339058548214E-9,27.0,62.96296296296296,4.255319148936152,27.0,68656.0,10.0,26.0,1.6193277068654826,5372.0,18.523258652599747
30.0,0.074259662,1.235502360430029E-9,30.0,56.666666666666664,-5.405405405405385,30.0,69128.0,10.0,28.900000000000006,1.7091258324392355,5419.200000000001,17.453939383417122
33.0,0.078401853,1.3099134154617788E-9,33.0,57.57575757575758,-4.999999999999977,33.0,69440.0,10.0,31.7,1.8976593769987045,5450.4,20.45004754137369
36.0,0.082546344,1.3844000979512932E-9,36.0,58.333333333333336,-4.651162790697638,36.0,69472.0,10.0,34.6,2.150968773986891,5453.6,19.157360059372586
39.0,0.086692855,1.4590861360169948E-9,39.0,61.53846153846154,13.333333333333327,39.0,69624.0,10.0,38.800000000000004,2.075250988836451,5468.8,15.23504731422473
