learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
3.0,0.003473,1.415266137984064E-11,3.0,33.33333333333333,0.0,3.0,15752.0
6.0,0.013283,5.4514691647556095E-11,6.0,16.666666666666664,-66.66666666666667,6.0,15904.0
9.0,0.01622,6.672626154290306E-11,9.0,22.22222222222222,-61.53846153846153,9.0,16072.0
12.0,0.019323,7.966656444801225E-11,12.0,33.33333333333333,-50.000000000000014,12.0,16120.0
15.0,0.022474,9.28657315671444E-11,15.0,40.0,-42.10526315789471,15.0,16192.0
18.0,0.025005,1.0346779185864662E-10,18.0,50.0,-17.391304347826086,18.0,16192.0
21.0,0.027714,1.1483789939019417E-10,21.0,57.14285714285714,0.0,21.0,16224.0
24.0,0.029984,1.2437954751981632E-10,24.0,62.5,12.903225806451617,24.0,16248.0
27.0,0.032182,1.336185530655914E-10,27.0,66.66666666666666,22.857142857142854,27.0,16248.0
30.0,0.034208,1.4214715816908414E-10,30.0,63.33333333333333,19.51219512195122,30.0,16272.0
33.0,0.036326,1.5107619472675856E-10,33.0,63.63636363636363,18.181818181818173,33.0,16296.0
36.0,0.038443,1.6000101549757854E-10,36.0,66.66666666666666,24.999999999999986,36.0,16296.0
39.0,0.040351,1.6804868562353985E-10,39.0,66.66666666666666,28.691983122362853,39.0,16304.0
42.0,0.042407,1.7672059850560296E-10,42.0,69.04761904761905,33.576642335766415,42.0,16304.0
45.0,0.044604,1.8599177607231672E-10,45.0,68.88888888888889,32.25806451612903,45.0,16312.0
48.0,0.046596,1.9439786879552736E-10,48.0,70.83333333333334,34.502923976608194,48.0,16312.0
51.0,0.048612,2.0290523974431888E-10,51.0,70.58823529411765,33.07086614173229,51.0,16312.0
54.0,0.050948,2.127629870341884E-10,54.0,70.37037037037037,31.428571428571438,54.0,16312.0
57.0,0.052472,2.1919415435857246E-10,57.0,71.9298245614035,33.03964757709251,57.0,16312.0
60.0,0.053782,2.247222575048606E-10,60.0,71.66666666666667,33.59375,60.0,16312.0
63.0,0.054984,2.297946086360349E-10,63.0,73.01587301587301,38.554216867469876,63.0,16312.0
66.0,0.056203,2.3494122135970333E-10,66.0,74.24242424242425,41.379310344827594,66.0,16320.0
69.0,0.057399,2.3999072818292517E-10,69.0,75.36231884057972,42.58443465491924,69.0,16320.0
72.0,0.058677,2.453864386512174E-10,72.0,76.38888888888889,45.062836624775564,72.0,16320.0
75.0,0.059927,2.5066652024785684E-10,75.0,74.66666666666667,41.14002478314747,75.0,16328.0
78.0,0.061122,2.5571427825424414E-10,78.0,73.07692307692307,37.52860411899312,78.0,16328.0
