learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
3.0,0.004723509,7.071814625213543E-11,3.0,33.33333333333333,0.0,3.0,57872.0,10.0,0.0,2.4000000000000004,0.45215533220835114,3978.4,451.2754074103011
6.0,0.023647908,3.8106988242516916E-10,6.0,50.0,0.0,6.0,63392.0,10.0,0.0,5.4,1.0974718422102885,4356.0,231.77383612287022
9.0,0.033887801,5.601892401319411E-10,9.0,66.66666666666666,0.0,9.0,67616.0,10.0,0.0,8.5,0.9574271077563381,4778.399999999999,144.93547989824066
12.0,0.044355772,7.476311228962408E-10,12.0,66.66666666666666,0.0,12.0,69216.0,10.0,0.0,10.6,1.2840906856172147,4933.599999999999,127.61636955256864
15.0,0.053623276,9.14958134719895E-10,15.0,73.33333333333333,0.0,15.0,69792.0,10.0,0.0,13.100000000000001,1.1396880664852502,4991.2,119.87222827290358
18.0,0.059554251,1.026584982160065E-9,18.0,72.22222222222221,0.0,18.0,72752.0,10.0,0.0,15.2,1.20922380981447,5119.2,59.70535058844298
21.0,0.065328522,1.136218541632924E-9,21.0,71.42857142857143,0.0,21.0,73392.0,10.0,0.0,16.8,1.2631530214330944,5183.2,58.45355231102535
24.0,0.069915857,1.2238574226593807E-9,24.0,75.0,19.10112359550559,24.0,73848.0,10.0,0.0,17.800000000000004,1.3968217893171304,5227.200000000001,42.76987517192702
27.0,0.074865753,1.3189453223244186E-9,27.0,77.77777777777779,31.932773109243705,27.0,74256.0,10.0,0.0,21.1,1.286252092104982,5268.0,35.402448126271345
30.0,0.079737051,1.413249228064799E-9,30.0,73.33333333333333,29.41176470588236,30.0,74832.0,10.0,0.0,26.5,1.3354150416006751,5324.0,34.95775227963671
33.0,0.084558961,1.5074353009855585E-9,33.0,72.72727272727273,27.027027027027025,33.0,75504.0,10.0,0.0,28.2,1.3232955494186138,5391.199999999999,23.56494571745645
36.0,0.089181222,1.5998262189266585E-9,36.0,69.44444444444444,19.51219512195122,36.0,77264.0,10.0,0.0,31.0,2.0275875100994063,5399.2,23.685344742172447
39.0,0.094351506,1.7032674627689026E-9,39.0,71.7948717948718,34.70319634703196,39.0,77336.0,10.0,0.0,32.6,1.9390719429665313,5406.400000000001,21.159290053202493
42.0,0.099083635,1.7981776401483353E-9,42.0,71.42857142857143,34.715025906735754,42.0,77528.0,10.0,0.0,34.6,1.7269111795984822,5424.0,16.395121225535345
45.0,0.10365162,1.8899091024758916E-9,45.0,73.33333333333333,39.05191873589163,45.0,77624.0,10.0,0.0,40.7,2.4857370916669543,5433.599999999999,15.028269657179042
48.0,0.108246178,1.982231240969979E-9,48.0,72.91666666666666,36.58536585365854,48.0,77672.0,10.0,0.0,42.9,2.668541007950058,5438.4,14.885638119416399
51.0,0.11291192,2.0761092678643764E-9,51.0,72.54901960784314,34.97267759562842,51.0,77776.0,10.0,0.0,52.9,3.49745939536433,5448.8,14.772948250095506
54.0,0.117506761,2.168627283088863E-9,54.0,72.22222222222221,32.835820895522374,54.0,77832.0,10.0,0.0,57.1,3.6161674002549526,5454.4,12.208558018410248
57.0,0.121750159,2.254121618270874E-9,57.0,71.9298245614035,30.909090909090896,57.0,77880.0,10.0,0.0,58.3,3.7060011392934626,5459.2,11.877897307370784
60.0,0.125410106,2.3278759585548603E-9,60.0,73.33333333333333,34.693877551020414,60.0,77896.0,10.0,0.0,59.9,3.3248224681093035,5460.8,12.056164859154473
63.0,0.128980817,2.399832037194735E-9,63.0,74.60317460317461,40.0,63.0,77896.0,10.0,0.0,61.099999999999994,3.3013465266295348,5460.8,12.056164859154473
66.0,0.132689233,2.4746168374063238E-9,66.0,75.75757575757575,42.85714285714285,66.0,77952.0,10.0,0.0,63.599999999999994,3.183987716335881,5466.4,12.453647390757997
69.0,0.136361105,2.548733076556689E-9,69.0,75.36231884057972,41.14400401404918,69.0,78024.0,10.0,0.0,65.8,3.2687068459016695,5473.6,13.269178991599704
72.0,0.139876996,2.6197008603418035E-9,72.0,73.61111111111111,38.599640933572715,72.0,78024.0,10.0,0.0,72.5,3.177175545109908,5473.6,13.269178991599704
75.0,0.144057811,2.7042111819775564E-9,75.0,72.0,34.944237918215606,75.0,78136.0,10.0,0.0,76.6,2.944675043381038,5484.8,8.779774737682299
78.0,0.147681158,2.7790277041018834E-9,78.0,71.7948717948718,33.847340015420194,78.0,79816.0,10.0,0.0,81.2,3.272104317815473,5484.8,8.779774737682299
81.0,0.151211861,2.8519312706424126E-9,81.0,72.8395061728395,36.40256959314775,81.0,79816.0,10.0,0.0,82.8,3.2754982657435323,5484.8,8.779774737682299
84.0,0.154779726,2.925631711410565E-9,84.0,73.80952380952381,38.76739562624255,84.0,79848.0,10.0,0.0,83.79999999999998,3.2619012860600183,5488.000000000001,8.844332774281051
87.0,0.158300937,2.9983757203962233E-9,87.0,74.71264367816092,40.96236890808142,87.0,79856.0,10.0,0.0,84.4,3.438992100407715,5488.8,8.554141297250911
90.0,0.161819739,3.0710772448550487E-9,90.0,74.44444444444444,40.95835710211067,90.0,79864.0,10.0,0.0,89.2,3.545889639192587,5489.599999999999,8.828237523864981
93.0,0.165769102,3.15268270947246E-9,93.0,75.26881720430107,43.90243902439025,93.0,79872.0,10.0,0.0,90.6,3.6184711320298426,5490.400000000001,8.266666666666662
96.0,0.169262402,3.2248790295856687E-9,96.0,76.04166666666666,45.66929133858267,96.0,79888.0,10.0,0.0,94.8,3.7676989735852784,5492.0,8.453795991545256
99.0,0.172841149,3.2991375537278746E-9,99.0,75.75757575757575,44.61538461538461,99.0,80208.0,10.0,0.0,97.4,3.941798799758528,5524.0,11.011105505100025
