learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.004404806,6.396845749268929E-11,3.0,33.33333333333333,0.0,3.0,56136.0,10.0,0.0
6.0,0.019960871,3.0543036593745157E-10,6.0,50.0,0.0,6.0,60000.0,10.0,0.0
9.0,0.027961947,4.3717434807370107E-10,9.0,66.66666666666666,0.0,9.0,63648.0,10.0,0.0
12.0,0.035793646,5.719158501364291E-10,12.0,66.66666666666666,0.0,12.0,66504.0,10.0,0.0
15.0,0.04304115,6.98166437473976E-10,15.0,73.33333333333333,0.0,15.0,67336.0,10.0,0.0
18.0,0.050142193,8.229679199742775E-10,18.0,72.22222222222221,0.0,18.0,67936.0,10.0,0.0
21.0,0.055724305,9.219867196368675E-10,21.0,71.42857142857143,0.0,21.0,68568.0,10.0,0.0
24.0,0.059441412,9.88284527524892E-10,24.0,70.83333333333334,0.0,24.0,68944.0,10.0,0.0
27.0,0.062614983,1.045124351732019E-9,27.0,70.37037037037037,0.0,27.0,69232.0,10.0,0.0
30.0,0.066029402,1.1066947757949432E-9,30.0,63.33333333333333,-6.451612903225781,30.0,69704.0,10.0,0.0
33.0,0.069501484,1.1695852542337445E-9,33.0,63.63636363636363,-5.882352941176442,33.0,70016.0,10.0,0.0
36.0,0.073003897,1.233054118272331E-9,36.0,63.888888888888886,-5.40540540540543,36.0,70048.0,10.0,0.0
39.0,0.076690178,1.2999998941500154E-9,39.0,64.1025641025641,10.784313725490199,39.0,70200.0,10.0,0.0
42.0,0.08033269,1.366150790401217E-9,42.0,66.66666666666666,17.41573033707865,42.0,70200.0,10.0,0.0
45.0,0.083226994,1.4187974990883636E-9,45.0,66.66666666666666,16.563658838071685,45.0,70312.0,10.0,0.0
48.0,0.08656398,1.4795103016764754E-9,48.0,68.75,17.431192660550458,48.0,70328.0,10.0,0.0
51.0,0.090138691,1.544548250068393E-9,51.0,68.62745098039215,16.564417177914127,51.0,70328.0,10.0,0.0
54.0,0.094034312,1.6154248041597505E-9,54.0,70.37037037037037,17.24137931034484,54.0,70328.0,10.0,0.0
57.0,0.098142259,1.6901728989204599E-9,57.0,71.9298245614035,17.83783783783783,57.0,70336.0,10.0,0.0
60.0,0.10163675,1.7537585645603637E-9,60.0,73.33333333333333,23.19999999999998,60.0,70336.0,10.0,0.0
63.0,0.104528811,1.806382429883298E-9,63.0,74.60317460317461,31.428571428571452,63.0,70336.0,10.0,0.0
66.0,0.107826569,1.8664838978917234E-9,66.0,75.75757575757575,35.13513513513512,66.0,70448.0,10.0,0.0
69.0,0.111183824,1.927711384795192E-9,69.0,76.81159420289855,35.739231664726404,69.0,70496.0,10.0,0.0
72.0,0.114594433,1.989911908103774E-9,72.0,77.77777777777779,39.04761904761904,72.0,70496.0,10.0,0.0
75.0,0.117546032,2.0437840587438808E-9,75.0,77.33333333333333,37.59177679882525,75.0,70552.0,10.0,0.0
78.0,0.120421073,2.096258884032981E-9,78.0,75.64102564102564,33.54260089686096,78.0,70552.0,10.0,0.0
81.0,0.122900912,2.1415205405693912E-9,81.0,76.5432098765432,36.5360824742268,81.0,70552.0,10.0,0.0
84.0,0.125809923,2.194621401805844E-9,84.0,77.38095238095238,39.26940639269407,84.0,70560.0,10.0,0.0
87.0,0.128839617,2.249981633615162E-9,87.0,78.16091954022988,41.7752729834449,87.0,70632.0,10.0,0.0
90.0,0.131804398,2.3041618753845486E-9,90.0,77.77777777777779,41.74757281553397,90.0,70640.0,10.0,0.0
93.0,0.134663151,2.3564104123930957E-9,93.0,78.49462365591397,45.45454545454544,93.0,70648.0,10.0,0.0
96.0,0.13743933,2.407155515752318E-9,96.0,78.125,45.21739130434783,96.0,70656.0,10.0,0.0
99.0,0.139822805,2.4508457991729174E-9,99.0,77.77777777777779,44.06779661016949,99.0,70856.0,10.0,0.0
102.0,0.142729777,2.5041681409544407E-9,102.0,76.47058823529412,42.291371994342285,102.0,70904.0,10.0,0.0
105.0,0.145383499,2.5528451393834413E-9,105.0,76.19047619047619,42.52244361725421,105.0,70904.0,10.0,0.0
108.0,0.148026395,2.601334496914512E-9,108.0,76.85185185185185,45.255474452554736,108.0,70920.0,10.0,0.0
111.0,0.150653535,2.6495347782514157E-9,111.0,77.47747747747748,47.69085768143261,111.0,70920.0,10.0,0.0
114.0,0.153098242,2.6944081896729762E-9,114.0,76.31578947368422,45.016077170418015,114.0,70952.0,10.0,0.0
117.0,0.155732706,2.742764654045717E-9,117.0,76.06837606837607,45.56331006979062,117.0,70952.0,10.0,0.0
120.0,0.158369996,2.7912221139441757E-9,120.0,75.83333333333333,45.52285535378834,120.0,71024.0,10.0,0.0
123.0,0.160974973,2.8390858560862637E-9,123.0,75.60975609756098,44.76047904191617,123.0,71024.0,10.0,0.0
126.0,0.163621131,2.8877062562584045E-9,126.0,75.39682539682539,44.50127877237852,126.0,71024.0,10.0,0.0
129.0,0.166378028,2.9384811898279515E-9,129.0,75.1937984496124,43.790849673202615,129.0,71192.0,10.0,0.0
132.0,0.168643855,2.980211880312611E-9,132.0,75.75757575757575,45.05723204994798,132.0,71192.0,10.0,0.0
135.0,0.171426034,3.03145244312783E-9,135.0,76.29629629629629,46.902654867256636,135.0,71192.0,10.0,0.0
138.0,0.174085154,3.0804265764935143E-9,138.0,76.08695652173914,46.611957796014075,138.0,71192.0,10.0,0.0
141.0,0.176713165,3.1288332012461286E-9,141.0,75.177304964539,44.55679137175598,141.0,71200.0,10.0,0.0
144.0,0.179301348,3.1765383536244426E-9,144.0,74.30555555555556,43.36734693877552,144.0,71248.0,10.0,0.0
147.0,0.181888776,3.2242349448675905E-9,147.0,74.14965986394559,43.16239316239317,147.0,71256.0,10.0,0.0
150.0,0.183968058,3.262564383844534E-9,150.0,74.66666666666667,43.72037914691945,150.0,71256.0,10.0,0.0
153.0,0.18654011,3.30997753423949E-9,153.0,75.16339869281046,44.79680972274971,153.0,71256.0,10.0,0.0
156.0,0.189091571,3.3570111105901495E-9,156.0,75.64102564102564,45.83333333333333,156.0,71256.0,10.0,0.0
159.0,0.191772689,3.406440330104281E-9,159.0,75.47169811320755,45.76226712149044,159.0,71264.0,10.0,0.0
162.0,0.194501903,3.456795788550128E-9,162.0,75.92592592592592,47.20040113655358,162.0,71320.0,10.0,0.0
165.0,0.197170743,3.5060483612885903E-9,165.0,75.75757575757575,47.08994708994708,165.0,71336.0,10.0,0.0
168.0,0.19924019,3.5442521803018943E-9,168.0,75.59523809523809,46.554934823091244,168.0,71360.0,10.0,0.0
171.0,0.201800436,3.591516582247697E-9,171.0,75.43859649122807,46.31484526835102,171.0,71360.0,10.0,0.0
174.0,0.204382037,3.6391752163507038E-9,174.0,75.28735632183908,46.226821905993965,174.0,71360.0,10.0,0.0
177.0,0.207247011,3.6920651662618743E-9,177.0,75.70621468926554,47.85200411099692,177.0,71360.0,10.0,0.0
180.0,0.209812236,3.739421484944306E-9,180.0,74.44444444444444,45.2091053467443,180.0,71360.0,10.0,0.0
183.0,0.212464588,3.788386244982894E-9,183.0,74.31693989071039,44.769793874012734,183.0,71360.0,10.0,0.0
186.0,0.214468218,3.825375024057509E-9,186.0,74.19354838709677,44.20697412823397,186.0,71360.0,10.0,0.0
189.0,0.217023195,3.87254744340562E-9,189.0,74.07407407407408,44.03215084305312,189.0,71368.0,10.0,0.0
192.0,0.219633903,3.9207488215673284E-9,192.0,74.47916666666666,45.21313766596784,192.0,71368.0,10.0,0.0
195.0,0.22236153,3.971108869688791E-9,195.0,74.87179487179488,45.67627494456762,195.0,71368.0,10.0,0.0
198.0,0.225023829,4.020262770040166E-9,198.0,75.25252525252525,46.46286281867342,198.0,71368.0,10.0,0.0
201.0,0.227557596,4.067043590162775E-9,201.0,75.62189054726367,47.22713390130204,201.0,71368.0,10.0,0.0
204.0,0.229696767,4.106539003025324E-9,204.0,75.98039215686273,47.97001873828856,204.0,71368.0,10.0,0.0
207.0,0.232274845,4.154137935042379E-9,207.0,76.32850241545893,48.37379752633989,207.0,71368.0,10.0,0.0
210.0,0.234876542,4.202172943537846E-9,210.0,76.19047619047619,47.926998611386615,210.0,71368.0,10.0,0.0
213.0,0.237418993,4.249114095941184E-9,213.0,76.05633802816901,47.488761057669066,213.0,71368.0,10.0,0.0
216.0,0.239933537,4.2955400027251885E-9,216.0,75.92592592592592,47.297297297297305,216.0,71368.0,10.0,0.0
219.0,0.24193713,4.332532245394668E-9,219.0,76.25570776255708,47.670250896057354,219.0,71368.0,10.0,0.0
222.0,0.24443962,4.378735599747546E-9,222.0,76.57657657657657,48.35823566252124,222.0,71368.0,10.0,0.0
225.0,0.24695573,4.425190419515385E-9,225.0,76.44444444444444,48.16794888512192,225.0,71368.0,10.0,0.0
228.0,0.249477946,4.471757974072047E-9,228.0,76.75438596491229,48.51738241308795,228.0,71368.0,10.0,0.0
231.0,0.252074027,4.519689294625485E-9,231.0,77.05627705627705,48.85323975435518,231.0,71368.0,10.0,0.0
234.0,0.254746418,4.5690295230949064E-9,234.0,77.35042735042735,49.809793605827615,234.0,71368.0,10.0,0.0
237.0,0.257204428,4.614411645314343E-9,237.0,76.79324894514767,48.864305048840755,237.0,71368.0,10.0,0.0
240.0,0.259741049,4.661245158703789E-9,240.0,77.08333333333334,49.771689497716906,240.0,71368.0,10.0,0.0
243.0,0.262314706,4.708762466007221E-9,243.0,76.95473251028807,49.577590040017796,243.0,71368.0,10.0,0.0
246.0,0.264892763,4.7563610103022705E-9,246.0,77.23577235772358,49.90181104080296,246.0,71368.0,10.0,0.0
249.0,0.267415458,4.802937408613246E-9,249.0,77.51004016064257,50.48998721772475,249.0,71368.0,10.0,0.0
252.0,0.26994973,4.8497275525269396E-9,252.0,77.38095238095238,50.29757785467128,252.0,71368.0,10.0,0.0
255.0,0.272081124,4.889083790152022E-9,255.0,77.25490196078432,50.16174686615448,255.0,71376.0,10.0,0.0
258.0,0.274811811,4.939505986354002E-9,258.0,77.51937984496125,50.724446786090624,258.0,71376.0,10.0,0.0
261.0,0.277444777,4.988123762117076E-9,261.0,77.39463601532567,50.282504116488546,261.0,71376.0,10.0,0.0
264.0,0.280012347,5.035533999285349E-9,264.0,77.65151515151516,50.83333333333333,264.0,71376.0,10.0,0.0
267.0,0.282572261,5.082802868243305E-9,267.0,77.52808988764045,50.64999075842523,267.0,71376.0,10.0,0.0
270.0,0.285064572,5.128823446302363E-9,270.0,77.4074074074074,50.22665457842248,270.0,71376.0,10.0,0.0
273.0,0.287146042,5.167257836156833E-9,273.0,76.92307692307693,49.1108678285055,273.0,71376.0,10.0,0.0
276.0,0.289629173,5.213108905311672E-9,276.0,77.17391304347827,49.89626556016597,276.0,71376.0,10.0,0.0
279.0,0.292096535,5.258668799530713E-9,279.0,77.41935483870968,50.421685047809774,279.0,71376.0,10.0,0.0
282.0,0.294652134,5.305857991917678E-9,282.0,77.6595744680851,51.381971430135174,282.0,71376.0,10.0,0.0
