learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
3.0,0.040944882,1.4885386601338785E-9,3.0,33.33333333333333,0.0,3.0,140528.0,10.0,0.0,0.0,0.0
6.0,0.068832779,2.5588418029662635E-9,6.0,50.0,0.0,6.0,148352.0,10.0,0.0,0.0,0.0
9.0,0.084131616,3.1604304540902375E-9,9.0,66.66666666666666,0.0,9.0,152000.0,10.0,0.0,0.0,0.0
12.0,0.098141874,3.7217004147792854E-9,12.0,66.66666666666666,0.0,12.0,154856.0,10.0,0.0,0.0,0.0
15.0,0.111063417,4.242136194078872E-9,15.0,73.33333333333333,0.0,15.0,155688.0,10.0,0.0,0.0,0.0
18.0,0.123695959,4.758383145226786E-9,18.0,72.22222222222221,0.0,18.0,157968.0,10.0,0.0,0.0,0.0
21.0,0.133265929,5.151038377216706E-9,21.0,71.42857142857143,0.0,21.0,158600.0,10.0,0.0,0.0,0.0
24.0,0.140544773,5.45039688580359E-9,24.0,70.83333333333334,0.0,24.0,158976.0,10.0,0.0,0.0,0.0
27.0,0.147264393,5.727256725064168E-9,27.0,70.37037037037037,0.0,27.0,159264.0,10.0,0.0,0.0,0.0
30.0,0.154544509,6.028098909579631E-9,30.0,63.33333333333333,-6.451612903225781,30.0,159736.0,10.0,0.0,0.0,0.0
33.0,0.162020033,6.337619482715511E-9,33.0,63.63636363636363,-5.882352941176442,33.0,160048.0,10.0,0.0,0.0,0.0
36.0,0.168549037,6.610841505467478E-9,36.0,63.888888888888886,-5.40540540540543,36.0,161760.0,10.0,0.0,0.0,0.0
39.0,0.174503687,6.8602624425147144E-9,39.0,64.1025641025641,10.784313725490199,39.0,161912.0,10.0,0.0,0.0,0.0
42.0,0.180276145,7.102051948770467E-9,42.0,66.66666666666666,17.41573033707865,42.0,161912.0,10.0,0.0,0.0,0.0
45.0,0.185479741,7.320164446025673E-9,45.0,66.66666666666666,16.563658838071685,45.0,162024.0,10.0,0.0,0.0,0.0
48.0,0.191031729,7.552903027284063E-9,48.0,68.75,17.431192660550458,48.0,162040.0,10.0,0.0,0.0,0.0
51.0,0.19706386,7.805769137748413E-9,51.0,68.62745098039215,16.564417177914127,51.0,162040.0,10.0,0.0,0.0,0.0
54.0,0.204113893,8.10130556150236E-9,54.0,70.37037037037037,17.24137931034484,54.0,162040.0,10.0,0.0,0.0,0.0
57.0,0.210612079,8.373722082813166E-9,57.0,71.9298245614035,17.83783783783783,57.0,162048.0,10.0,0.0,0.0,0.0
60.0,0.216741105,8.630662703156056E-9,60.0,73.33333333333333,23.19999999999998,60.0,162048.0,10.0,0.0,0.0,0.0
63.0,0.223380783,8.909010842680515E-9,63.0,73.01587301587301,26.086956521739125,63.0,162048.0,10.0,0.0,0.0,0.0
66.0,0.229953075,9.184724459538441E-9,66.0,74.24242424242425,30.136986301369873,66.0,162160.0,10.0,0.0,0.0,0.0
69.0,0.235945995,9.43620731283186E-9,69.0,75.36231884057972,30.71470761961014,69.0,162208.0,10.0,0.0,0.0,0.0
72.0,0.241489997,9.668852073920682E-9,72.0,76.38888888888889,34.33476394849782,72.0,162208.0,10.0,0.0,0.0,0.0
75.0,0.246463126,9.877613152344193E-9,75.0,76.0,33.03571428571428,75.0,162264.0,10.0,0.0,0.0,0.0
78.0,0.252076362,1.0115684131537046E-8,78.0,74.35897435897436,29.155313351498634,78.0,163944.0,10.0,0.0,0.0,0.0
81.0,0.257599567,1.034993667724025E-8,81.0,75.30864197530865,32.387312186978285,81.0,163944.0,10.0,0.0,0.0,0.0
84.0,0.262586138,1.056143959119295E-8,84.0,76.19047619047619,35.334872979214765,84.0,163952.0,10.0,0.0,0.0,0.0
87.0,0.268102031,1.0795496174444756E-8,87.0,77.01149425287356,38.03418803418803,87.0,164024.0,10.0,0.0,0.0,0.0
90.0,0.273674271,1.1031955269392994E-8,90.0,76.66666666666667,38.194898626553325,90.0,164032.0,10.0,0.0,0.0,0.0
93.0,0.278661422,1.1243596319554166E-8,93.0,77.41935483870968,42.20183486238532,93.0,164040.0,10.0,0.0,0.0,0.0
96.0,0.284439178,1.1488800441537879E-8,96.0,77.08333333333334,42.105263157894754,96.0,164048.0,10.0,0.0,0.0,0.0
99.0,0.289658481,1.1710574237099952E-8,99.0,76.76767676767676,41.02564102564102,99.0,164248.0,10.0,0.0,0.0,0.0
102.0,0.295493164,1.1958568643395684E-8,102.0,75.49019607843137,39.42992874109264,102.0,164296.0,10.0,0.0,0.0,0.0
105.0,0.30115419,1.219918202065966E-8,105.0,75.23809523809524,39.8148148148148,105.0,164296.0,10.0,0.0,0.0,0.0
108.0,0.30618058,1.2412841956621655E-8,108.0,75.92592592592592,42.717258261933914,108.0,164312.0,10.0,0.0,0.0,0.0
111.0,0.31168887,1.2646986320401643E-8,111.0,76.57657657657657,45.299469294920385,111.0,164312.0,10.0,0.0,0.0,0.0
114.0,0.317521426,1.2894962748316012E-8,114.0,75.43859649122807,42.67241379310345,114.0,164344.0,10.0,0.0,0.0,0.0
117.0,0.322463095,1.3105062304420603E-8,117.0,75.21367521367522,43.34613458006344,117.0,164344.0,10.0,0.0,0.0,0.0
120.0,0.327920823,1.3337204236802127E-8,120.0,75.0,43.39622641509433,120.0,164416.0,10.0,0.0,0.0,0.0
123.0,0.332843148,1.3546573050585057E-8,123.0,74.79674796747967,42.67027514659449,123.0,164416.0,10.0,0.0,0.0,0.0
126.0,0.338437432,1.3784523329171869E-8,126.0,74.60317460317461,42.465753424657535,126.0,164416.0,10.0,0.0,0.0,0.0
129.0,0.344371456,1.4037182194176647E-8,129.0,74.4186046511628,41.78859565157937,129.0,164584.0,10.0,0.0,0.0,0.0
132.0,0.349585822,1.4259199461932812E-8,132.0,75.0,43.103448275862064,132.0,164584.0,10.0,0.0,0.0,0.0
135.0,0.355224255,1.4499272653781292E-8,135.0,75.55555555555556,45.033929673041335,135.0,164584.0,10.0,0.0,0.0,0.0
138.0,0.360820575,1.4737552758378701E-8,138.0,75.36231884057972,44.787008707931285,138.0,164584.0,10.0,0.0,0.0,0.0
141.0,0.365876443,1.495283196218105E-8,141.0,74.46808510638297,42.760487144790254,141.0,164592.0,10.0,0.0,0.0,0.0
144.0,0.371374942,1.5187026702461556E-8,144.0,73.61111111111111,41.6506717850288,144.0,164640.0,10.0,0.0,0.0,0.0
147.0,0.376839896,1.541980398810779E-8,147.0,72.78911564625851,39.79111202129839,147.0,164648.0,10.0,0.0,0.0,0.0
150.0,0.381806095,1.56313370262997E-8,150.0,73.33333333333333,40.35785288270377,150.0,164648.0,10.0,0.0,0.0,0.0
153.0,0.387389576,1.5869162916808077E-8,153.0,73.8562091503268,41.50258076849551,153.0,164648.0,10.0,0.0,0.0,0.0
156.0,0.392238746,1.6077818689476698E-8,156.0,74.35897435897436,42.60485651214128,156.0,166328.0,10.0,0.0,0.0,0.0
159.0,0.397780869,1.6316303126362876E-8,159.0,74.21383647798741,42.629587256886374,159.0,166336.0,10.0,0.0,0.0,0.0
162.0,0.40344548,1.6560140438617932E-8,162.0,74.69135802469135,44.175491679273826,162.0,166392.0,10.0,0.0,0.0,0.0
165.0,0.4083772,1.677245033664008E-8,165.0,73.93939393939394,42.970822281167095,165.0,166408.0,10.0,0.0,0.0,0.0
168.0,0.413801965,1.7006019438505175E-8,168.0,73.80952380952381,42.49260930449667,168.0,166432.0,10.0,0.0,0.0,0.0
171.0,0.419174938,1.7237358580008152E-8,171.0,73.68421052631578,42.32931124934421,171.0,166432.0,10.0,0.0,0.0,0.0
174.0,0.428765714,1.7650299774052372E-8,174.0,73.5632183908046,42.3342939481268,174.0,166432.0,10.0,0.0,0.0,0.0
177.0,0.434557226,1.7899659563145708E-8,177.0,74.01129943502825,44.095028838231244,177.0,166432.0,10.0,0.0,0.0,0.0
180.0,0.441482425,1.8184717292692516E-8,180.0,72.77777777777777,41.51193633952254,180.0,159112.0,10.0,0.0,0.0,0.0
183.0,0.44767775,1.843973166531987E-8,183.0,72.6775956284153,41.119691119691126,183.0,159112.0,10.0,0.0,0.0,0.0
186.0,0.454814838,1.8733511252138353E-8,186.0,72.58064516129032,40.58624577226607,186.0,159112.0,10.0,0.0,0.0,0.0
189.0,0.460360445,1.896179315745417E-8,189.0,72.4867724867725,40.47244094488189,189.0,159120.0,10.0,0.0,0.0,0.0
192.0,0.467411515,1.9238679502610532E-8,192.0,72.91666666666666,41.73669467787114,192.0,151792.0,10.0,0.0,0.0,0.0
195.0,0.479171692,1.9737140780890154E-8,195.0,73.33333333333333,42.222222222222214,195.0,163840.0,10.0,0.0,0.0,0.0
198.0,0.487149088,2.0086576293984222E-8,198.0,73.73737373737373,43.05939608450392,198.0,169320.0,10.0,0.0,0.0,0.0
201.0,0.493643993,2.0372324045764075E-8,201.0,74.12935323383084,43.87283857802598,201.0,170064.0,10.0,0.0,0.0,0.0
204.0,0.499504085,2.0630918966051603E-8,204.0,74.50980392156863,44.663536776212844,204.0,170576.0,10.0,0.0,0.0,0.0
207.0,0.505053688,2.0876272005997597E-8,207.0,74.8792270531401,45.08723599632691,207.0,170896.0,10.0,0.0,0.0,0.0
210.0,0.510659706,2.1124119204849832E-8,210.0,74.76190476190476,44.676409185803756,210.0,170896.0,10.0,0.0,0.0,0.0
213.0,0.516244443,2.1371025551168456E-8,213.0,74.64788732394366,44.2732558139535,213.0,170896.0,10.0,0.0,0.0,0.0
216.0,0.522151973,2.1632202872153787E-8,216.0,74.53703703703704,44.13092550790066,216.0,170896.0,10.0,0.0,0.0,0.0
219.0,0.527224935,2.185648317620986E-8,219.0,74.88584474885845,44.521210446317525,219.0,170896.0,10.0,0.0,0.0,0.0
222.0,0.532819622,2.210382942115681E-8,222.0,75.22522522522522,45.2515469464622,222.0,170896.0,10.0,0.0,0.0,0.0
225.0,0.539084694,2.2380814001978273E-8,225.0,75.1111111111111,45.10760651738258,225.0,170896.0,10.0,0.0,0.0,0.0
228.0,0.544227626,2.260851770301246E-8,228.0,75.43859649122807,45.473180731124025,228.0,171144.0,10.0,0.0,0.0,0.0
231.0,0.549812803,2.2855801834677244E-8,231.0,75.75757575757575,45.82460842616634,231.0,171144.0,10.0,0.0,0.0,0.0
234.0,0.555543827,2.3110005930676645E-8,234.0,76.06837606837607,46.84406944669802,234.0,171456.0,10.0,0.0,0.0,0.0
237.0,0.561589856,2.3378420067276393E-8,237.0,75.52742616033755,45.95423448926634,237.0,171608.0,10.0,0.0,0.0,0.0
240.0,0.566633697,2.3602341955041306E-8,240.0,75.83333333333333,46.91885295912141,240.0,171608.0,10.0,0.0,0.0,0.0
243.0,0.57226396,2.385230976579297E-8,243.0,75.7201646090535,46.7639523226022,243.0,171616.0,10.0,0.0,0.0,0.0
246.0,0.577969998,2.4105665391503522E-8,246.0,76.01626016260163,47.10255849551716,246.0,171632.0,10.0,0.0,0.0,0.0
249.0,0.583079212,2.43325212431223E-8,249.0,76.30522088353415,47.72444223036688,249.0,171632.0,10.0,0.0,0.0,0.0
252.0,0.589040393,2.4597205555114068E-8,252.0,76.19047619047619,47.56917955475413,252.0,171632.0,10.0,0.0,0.0,0.0
255.0,0.594834495,2.4855718455461577E-8,255.0,76.07843137254902,47.4759412459902,255.0,172464.0,10.0,0.0,0.0,0.0
258.0,0.600888443,2.512582479049555E-8,258.0,76.35658914728683,48.0696891704613,258.0,172464.0,10.0,0.0,0.0,0.0
261.0,0.60605848,2.5356494057238514E-8,261.0,76.24521072796935,47.64462275139122,261.0,172464.0,10.0,0.0,0.0,0.0
264.0,0.611702955,2.560833111554177E-8,264.0,76.51515151515152,48.22546972860125,264.0,172464.0,10.0,0.0,0.0,0.0
267.0,0.617304572,2.585869653657699E-8,267.0,76.40449438202246,48.07532026547307,267.0,172768.0,10.0,0.0,0.0,0.0
270.0,0.622310335,2.6082430140837607E-8,270.0,76.29629629629629,47.66807995154452,270.0,172768.0,10.0,0.0,0.0,0.0
273.0,0.630997714,2.64844865856837E-8,273.0,75.82417582417582,46.57217411932154,273.0,178896.0,10.0,0.0,0.0,0.0
276.0,0.636194626,2.672500239176261E-8,276.0,76.08695652173914,47.40124740124742,276.0,178896.0,10.0,0.0,0.0,0.0
279.0,0.641946784,2.6991215273193595E-8,279.0,76.34408602150538,47.95364612775579,279.0,178896.0,10.0,0.0,0.0,0.0
282.0,0.647850194,2.7264428176310734E-8,282.0,76.59574468085107,48.96907216494845,282.0,178896.0,10.0,0.0,0.0,0.0
285.0,0.653647044,2.7532709426881946E-8,285.0,76.49122807017544,48.59335038363173,285.0,178896.0,10.0,0.0,0.0,0.0
288.0,0.659090799,2.7784649256134608E-8,288.0,76.38888888888889,48.25344818474871,288.0,178896.0,10.0,0.0,0.0,0.0
291.0,0.664890644,2.805306911687263E-8,291.0,76.6323024054983,48.77291084187637,291.0,178896.0,10.0,0.0,0.0,0.0
294.0,0.670869102,2.832975528069047E-8,294.0,76.87074829931973,49.5049504950495,294.0,178896.0,10.0,0.0,0.0,0.0
297.0,0.67695104,2.8611230553042966E-8,297.0,76.76767676767676,49.388753056234705,297.0,178896.0,10.0,0.0,0.0,0.0
300.0,0.682709536,2.887773676042962E-8,300.0,76.66666666666667,49.02912621359224,300.0,178896.0,10.0,0.0,0.0,0.0
303.0,0.687838981,2.911513015845376E-8,303.0,76.89768976897689,49.51923076923077,303.0,178896.0,10.0,0.0,0.0,0.0
306.0,0.693476335,2.937602985070604E-8,306.0,76.79738562091504,49.612690755600916,306.0,178896.0,10.0,0.0,0.0,0.0
309.0,0.699198695,2.9642415101906903E-8,309.0,76.37540453074433,48.67927103951949,309.0,179944.0,10.0,0.0,0.0,0.0
312.0,0.704906704,2.990813229050073E-8,312.0,76.6025641025641,49.15617465845166,312.0,179944.0,10.0,0.0,0.0,0.0
315.0,0.710072799,3.0148622492847754E-8,315.0,76.82539682539684,49.819967266775784,315.0,179944.0,10.0,0.0,0.0,0.0
318.0,0.715889724,3.042193803569095E-8,318.0,76.72955974842768,49.70505257758401,318.0,181624.0,10.0,0.0,0.0,0.0
321.0,0.721943709,3.070639214101972E-8,321.0,76.94704049844236,50.157371270300885,321.0,181624.0,10.0,0.0,0.0,0.0
324.0,0.727694354,3.097659343463679E-8,324.0,77.1604938271605,50.41568432808041,324.0,181624.0,10.0,0.0,0.0,0.0
327.0,0.733504189,3.1249575844905854E-8,327.0,77.06422018348624,50.48155551517355,327.0,181624.0,10.0,0.0,0.0,0.0
330.0,0.738829,3.1499768792038985E-8,330.0,76.96969696969697,50.15502027188169,330.0,181624.0,10.0,0.0,0.0,0.0
333.0,0.744670526,3.1774240243832265E-8,333.0,77.17717717717719,50.587684017337665,333.0,181624.0,10.0,0.0,0.0,0.0
336.0,0.750409819,3.204390814944066E-8,336.0,77.38095238095238,50.8336863183026,336.0,181624.0,10.0,0.0,0.0,0.0
339.0,0.756290853,3.232029679145042E-8,339.0,77.28613569321534,50.50907229395369,339.0,181664.0,10.0,0.0,0.0,0.0
342.0,0.761508854,3.256552513231626E-8,342.0,77.19298245614034,50.37207917844917,342.0,181664.0,10.0,0.0,0.0,0.0
345.0,0.767247265,3.283521097728568E-8,345.0,76.81159420289855,49.528198376124635,345.0,181664.0,10.0,0.0,0.0,0.0
348.0,0.772948182,3.310313473148271E-8,348.0,76.72413793103449,49.22178988326849,348.0,181664.0,10.0,0.0,0.0,0.0
351.0,0.778642302,3.337073904974386E-8,351.0,76.92307692307693,49.82262932175572,351.0,181664.0,10.0,0.0,0.0,0.0
354.0,0.784427016,3.364260097859427E-8,354.0,76.8361581920904,49.717651134592074,354.0,181664.0,10.0,0.0,0.0,0.0
357.0,0.789778458,3.389410059365754E-8,357.0,77.03081232492998,50.29543602281989,357.0,181664.0,10.0,0.0,0.0,0.0
360.0,0.795522711,3.416406099280342E-8,360.0,77.22222222222223,50.52790346907995,360.0,181664.0,10.0,0.0,0.0,0.0
363.0,0.801256671,3.443354952291275E-8,363.0,77.13498622589532,50.25016099469957,363.0,181672.0,10.0,0.0,0.0,0.0
366.0,0.807387315,3.472168167594199E-8,366.0,77.3224043715847,50.47442042453291,366.0,181672.0,10.0,0.0,0.0,0.0
368.0,0.813309028,3.4999994348527655E-8,368.0,77.44565217391305,50.62079668908434,368.0,181672.0,10.0,0.0,0.0,0.0
