learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
3.0,0.036713625,1.308802495865772E-9,3.0,33.33333333333333,0.0,3.0,137800.0,10.0,0.0
6.0,0.061000388,2.2132030735496016E-9,6.0,50.0,0.0,6.0,143944.0,10.0,0.0
9.0,0.075917351,2.7827648811683883E-9,9.0,66.66666666666666,0.0,9.0,147592.0,10.0,0.0
12.0,0.086052045,3.1772173590026792E-9,12.0,66.66666666666666,0.0,12.0,150448.0,10.0,0.0
15.0,0.099509909,3.7039076107968055E-9,15.0,73.33333333333333,0.0,15.0,151280.0,10.0,0.0
18.0,0.111065432,4.157941033918824E-9,18.0,72.22222222222221,0.0,18.0,151880.0,10.0,0.0
21.0,0.123241732,4.638356505644818E-9,21.0,71.42857142857143,0.0,21.0,152512.0,10.0,0.0
24.0,0.131226432,4.954169235978689E-9,24.0,70.83333333333334,0.0,24.0,152888.0,10.0,0.0
27.0,0.137378982,5.197974739761816E-9,27.0,70.37037037037037,0.0,27.0,153176.0,10.0,0.0
30.0,0.144038748,5.462692762778865E-9,30.0,63.33333333333333,-6.451612903225781,30.0,153648.0,10.0,0.0
33.0,0.150131533,5.705365721345361E-9,33.0,63.63636363636363,-5.882352941176442,33.0,153960.0,10.0,0.0
36.0,0.156636114,5.96449418194178E-9,36.0,63.888888888888886,-5.40540540540543,36.0,153992.0,10.0,0.0
39.0,0.162582926,6.201636173629926E-9,39.0,64.1025641025641,10.784313725490199,39.0,154144.0,10.0,0.0
42.0,0.167680073,6.4048959355842735E-9,42.0,66.66666666666666,17.41573033707865,42.0,154144.0,10.0,0.0
45.0,0.173228192,6.62629993537234E-9,45.0,66.66666666666666,16.563658838071685,45.0,154256.0,10.0,0.0
48.0,0.178020642,6.817567941091127E-9,48.0,68.75,17.431192660550458,48.0,154272.0,10.0,0.0
51.0,0.184034682,7.05758994176156E-9,51.0,68.62745098039215,16.564417177914127,51.0,154272.0,10.0,0.0
54.0,0.189903581,7.291819324957E-9,54.0,70.37037037037037,17.24137931034484,54.0,154272.0,10.0,0.0
57.0,0.195828509,7.528297103312281E-9,57.0,71.9298245614035,17.83783783783783,57.0,154280.0,10.0,0.0
60.0,0.201813709,7.76718047860596E-9,60.0,73.33333333333333,23.19999999999998,60.0,154280.0,10.0,0.0
63.0,0.207164766,7.980753718856723E-9,63.0,73.01587301587301,26.086956521739125,63.0,154280.0,10.0,0.0
66.0,0.213042297,8.215510070137681E-9,66.0,74.24242424242425,30.136986301369873,66.0,154392.0,10.0,0.0
69.0,0.218563431,8.436100013926627E-9,69.0,75.36231884057972,30.71470761961014,69.0,154440.0,10.0,0.0
72.0,0.223944831,8.65110706202686E-9,72.0,76.38888888888889,34.33476394849782,72.0,154440.0,10.0,0.0
75.0,0.229261691,8.863612522474595E-9,75.0,76.0,33.03571428571428,75.0,154496.0,10.0,0.0
