learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
4952.0,1.206180383,3.54604442884386E-7,4952.0,64.7,20.531292210715904,4952.0,1136408.0,10.0,4933.6,21.8063191656812,105868.79999999999,9958.366966526188,6.8,0.69602043392737,3.9,0.348010216963685,3.9,0.348010216963685,2.9,0.348010216963685,0.0,0.0,0.0,0.0,1.0,0.0
9904.0,2.148290881,8.434244695753418E-7,9904.0,65.3,26.068911444617736,9904.0,2005624.0,10.0,9874.2,22.624372305596083,192716.0,11555.426100129564,13.0,0.7888106377466154,7.0,0.3944053188733077,7.0,0.3944053188733077,5.8,0.3590109871423002,0.0,0.0,0.0,0.0,1.0,0.0
14856.0,2.990110267,1.4420265287692038E-6,14856.0,73.3,44.55289280225942,14856.0,2748664.0,10.0,14869.3,26.81005201205111,266955.2,11320.287091765826,18.400000000000002,0.7916228058025278,9.700000000000001,0.3958114029012639,9.700000000000001,0.3958114029012639,8.0,0.4714045207910317,0.0,0.0,0.0,0.0,1.0,0.0
19808.0,3.74340477,2.079810207682643E-6,19808.0,73.7,46.56513364811819,19808.0,3272736.0,10.0,19816.600000000002,23.674271078770463,319311.2,13206.786912459482,23.599999999999998,0.7916228058025278,12.299999999999999,0.3958114029012639,12.299999999999999,0.3958114029012639,9.600000000000001,0.49888765156985865,0.0,0.0,0.0,0.0,1.0,0.0
24760.0,4.55244347,2.970666655534963E-6,24760.0,74.2,47.719093473397535,24760.0,4256384.0,10.0,24730.5,26.571601381926563,417595.2,14391.015379820221,29.4,1.0666666666666667,15.2,0.5333333333333333,15.2,0.5333333333333333,11.500000000000002,0.6871842709362764,0.0,0.0,0.0,0.0,1.0,0.0
29712.0,5.322435499,3.9739016998506105E-6,29712.0,75.2,48.16833586918357,29712.0,5036384.0,10.0,29660.0,33.424541881677314,495526.39999999997,15939.75630874645,35.4,1.0241527663824812,18.2,0.5120763831912406,18.2,0.5120763831912406,13.4,0.6359594676112971,0.0,0.0,0.0,0.0,1.0,0.0
34664.0,6.093065779,5.12394641546473E-6,34664.0,76.6,52.30719060818523,34664.0,5768608.0,10.0,34632.9,33.24269343279309,568684.8,19355.793820398525,41.0,1.2995725793078619,21.0,0.6497862896539309,21.0,0.6497862896539309,14.8,0.7717224601860149,0.0,0.0,0.0,0.0,1.0,0.0
39616.0,6.896889097,6.4379820263370885E-6,39616.0,75.8,50.34328793095665,39616.0,6319008.0,10.0,39539.7,41.96878469635381,623670.4,17089.01040708131,46.60000000000001,1.627540748764494,23.800000000000004,0.813770374382247,23.800000000000004,0.813770374382247,16.7,0.7753135566408671,0.0,0.0,0.0,0.0,1.0,0.0
44568.0,7.682405807,7.866795677510277E-6,44568.0,77.10000000000001,53.66960969175116,44568.0,7031088.0,10.0,44491.0,34.039845932540786,694821.6,17642.764129114108,50.400000000000006,1.3012814197295424,25.700000000000003,0.6506407098647712,25.700000000000003,0.6506407098647712,17.5,0.7923242882669808,0.0,0.0,0.0,0.0,1.0,0.0
49520.0,8.522054746,9.55277058403428E-6,49520.0,75.4,50.17660974108039,49520.0,7761680.0,10.0,49435.6,45.058529837436,767814.4,23546.864198491952,56.2,1.55492050529208,28.6,0.77746025264604,28.6,0.77746025264604,18.6,0.7180219742846004,0.0,0.0,0.0,0.0,1.0,0.0
54472.0,9.337634622,1.1328004101800172E-5,54472.0,77.4,53.35532100207633,54472.0,8413784.0,10.0,54365.7,44.51143423635994,832968.0,22605.89978449579,60.8,1.443760521847181,30.9,0.7218802609235905,30.9,0.7218802609235905,19.5,0.7187952884282608,0.0,0.0,0.0,0.0,1.0,0.0
59424.0,10.195470101,1.3313652591368483E-5,59424.0,78.60000000000001,56.42612803388175,59424.0,8947480.0,10.0,59331.7,44.426731192430054,886288.7999999999,16900.033880833886,65.4,1.292714628644355,33.2,0.6463573143221772,33.2,0.6463573143221772,20.1,0.7520342781785649,0.0,0.0,0.0,0.0,1.0,0.0
64376.0,11.104456844,1.560242503483491E-5,64376.0,75.9,50.354317732366525,64376.0,9733016.0,10.0,64294.8,51.1624428224019,964776.8,14263.823240632226,70.2,1.1234866364235143,35.6,0.5617433182117572,35.6,0.5617433182117572,20.799999999999997,0.6960204339273701,0.0,0.0,0.0,0.0,1.0,0.0
69328.0,12.061483793,1.8225331170631783E-5,69328.0,79.0,57.54350779582067,69328.0,1.0594024E7,10.0,69255.49999999999,54.05023383647827,1050805.6,17081.8368848318,75.80000000000001,1.1623730516108457,38.400000000000006,0.5811865258054228,38.400000000000006,0.5811865258054228,21.599999999999998,0.6531972647421809,0.0,0.0,0.0,0.0,1.0,0.0
