learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
4952.0,0.879047083,4.20599544873606E-8,4952.0,64.60000000000001,20.654488400762087,4952.0,184952.0,10.0,2.0
9904.0,1.770423238,8.470982072941545E-8,9904.0,65.2,26.07792406418476,9904.0,184952.0,10.0,5.0
14856.0,2.629126753,1.257963921514795E-7,14856.0,69.1,34.7925178107168,14856.0,184952.0,10.0,4.0
19808.0,3.440143727,1.646012954093371E-7,19808.0,72.5,42.68922974324775,19808.0,184952.0,10.0,4.0
24760.0,4.288924678,2.0521309978159353E-7,24760.0,71.6,41.89091861454854,24760.0,184952.0,10.0,5.0
29712.0,5.186396898,2.481546457543597E-7,29712.0,70.0,34.7031168378896,29712.0,184952.0,10.0,5.0
34664.0,6.086286999,2.912118805983849E-7,34664.0,69.69999999999999,36.901291128696364,34664.0,184952.0,10.0,4.0
39616.0,6.926418195,3.3140981828629354E-7,39616.0,68.7,33.4229535534701,39616.0,184952.0,10.0,4.0
44568.0,7.753102484,3.709643589282947E-7,44568.0,69.39999999999999,34.830388632375225,44568.0,184952.0,10.0,4.0
49520.0,8.579917446,4.1052515190937875E-7,49520.0,69.8,34.927256429704194,49520.0,184952.0,10.0,4.0
54472.0,9.414042909,4.5043573200117185E-7,54472.0,70.19999999999999,33.37476915922536,54472.0,184952.0,10.0,3.0
59424.0,10.255046677,4.906754198288815E-7,59424.0,69.8,33.75682173127203,59424.0,184952.0,10.0,4.0
64376.0,11.079223321,5.301099766422457E-7,64376.0,67.7,27.183371657874574,64376.0,184952.0,10.0,3.0
69328.0,11.897814109,5.692772658044493E-7,69328.0,66.9,29.353208346139397,69328.0,184952.0,10.0,4.0
74280.0,12.715311734,6.083922501619202E-7,74280.0,70.7,35.73941345217521,74280.0,184952.0,10.0,4.0
