learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
4952.0,0.728396,3.4806495002574394E-8,4952.0,64.60000000000001,20.654488400762087,4952.0,184712.0,10.0,2.0
9904.0,1.450096,6.929302079810036E-8,9904.0,65.2,26.07792406418476,9904.0,184712.0,10.0,5.0
14856.0,2.147045,1.0259681692760851E-7,14856.0,69.1,34.7925178107168,14856.0,184712.0,10.0,4.0
19808.0,2.835678,1.3550323194513719E-7,19808.0,72.5,42.68922974324775,19808.0,184712.0,10.0,4.0
24760.0,3.525833,1.6848237592519987E-7,24760.0,71.6,41.89091861454854,24760.0,184712.0,10.0,5.0
29712.0,4.248619,2.0302079636810557E-7,29712.0,70.0,34.7031168378896,29712.0,184712.0,10.0,5.0
34664.0,4.968862,2.3743769923432008E-7,34664.0,69.69999999999999,36.901291128696364,34664.0,184712.0,10.0,4.0
39616.0,5.692701,2.72026437415431E-7,39616.0,68.7,33.4229535534701,39616.0,184712.0,10.0,4.0
44568.0,6.425414,3.0703922080910875E-7,44568.0,69.39999999999999,34.830388632375225,44568.0,184712.0,10.0,4.0
49520.0,7.150028,3.416649924632576E-7,49520.0,69.8,34.927256429704194,49520.0,184712.0,10.0,4.0
54472.0,7.868059,3.7597619462965266E-7,54472.0,70.19999999999999,33.37476915922536,54472.0,184712.0,10.0,3.0
59424.0,8.586443,4.1030426494570246E-7,59424.0,69.8,33.75682173127203,59424.0,184712.0,10.0,4.0
64376.0,9.294148,4.441220378958517E-7,64376.0,67.7,27.183371657874574,64376.0,184712.0,10.0,3.0
69328.0,10.01443,4.785408043819997E-7,69328.0,66.9,29.353208346139397,69328.0,184712.0,10.0,4.0
74280.0,10.721461,5.123263701568875E-7,74280.0,70.7,35.73941345217521,74280.0,184712.0,10.0,4.0
79232.0,11.424989,5.459445446336436E-7,79232.0,67.5,27.915539191766864,79232.0,184712.0,10.0,4.0
84184.0,12.14355,5.80281072917084E-7,84184.0,66.60000000000001,28.679111521099443,84184.0,184712.0,10.0,4.0
89136.0,12.858166,6.144290888764793E-7,89136.0,67.7,29.339598701423732,89136.0,184712.0,10.0,4.0
94088.0,13.578069,6.488297447996835E-7,94088.0,66.2,22.620819120441396,94088.0,184712.0,10.0,4.0
99040.0,14.296666,6.831679933476779E-7,99040.0,66.60000000000001,27.790965655307787,99040.0,184712.0,10.0,5.0
103992.0,15.004259,7.169804143636591E-7,103992.0,67.2,29.03259307981237,103992.0,184712.0,10.0,5.0
108944.0,15.722032,7.512792879674169E-7,108944.0,66.10000000000001,25.80238482954249,108944.0,184712.0,10.0,5.0
113896.0,16.425967,7.849169109906586E-7,113896.0,68.89999999999999,31.774306774306766,113896.0,184712.0,10.0,5.0
118848.0,17.144197,8.192376223972273E-7,118848.0,68.5,28.360245622015018,118848.0,184712.0,10.0,5.0
123800.0,17.848937,8.529137124473021E-7,123800.0,66.4,27.05800625217089,123800.0,184712.0,10.0,5.0
128752.0,18.560491,8.869154103493524E-7,128752.0,63.800000000000004,23.576775784393607,128752.0,184712.0,10.0,5.0
133704.0,19.282681,9.214253508568638E-7,133704.0,65.9,26.55167660337045,133704.0,184712.0,10.0,5.0
138656.0,19.996094,9.555158813090788E-7,138656.0,68.30000000000001,28.22728178376716,138656.0,184712.0,10.0,5.0
143608.0,20.722897,9.902462546051376E-7,143608.0,66.5,26.046606091110597,143608.0,184712.0,10.0,5.0
148560.0,21.453385,1.0251527160923513E-6,148560.0,66.8,25.834915670724907,148560.0,184712.0,10.0,5.0
153512.0,22.181936,1.0599666177895333E-6,153512.0,66.10000000000001,26.502471598300236,153512.0,184712.0,10.0,5.0
158464.0,22.935313,1.0959668330372208E-6,158464.0,70.8,30.810605881098496,158464.0,184712.0,10.0,5.0
163416.0,23.71103,1.133034568010933E-6,163416.0,66.8,25.46126455413715,163416.0,184712.0,10.0,5.0
168368.0,24.486535,1.1700921725378268E-6,168368.0,68.4,29.025766342041926,168368.0,184712.0,10.0,4.0
173320.0,25.190338,1.2037234879243704E-6,173320.0,68.0,28.896789245639393,173320.0,184712.0,10.0,6.0
178272.0,25.898154,1.2375465650235613E-6,178272.0,64.8,22.53009661729429,178272.0,184712.0,10.0,5.0
183224.0,26.658592,1.2738841910494698E-6,183224.0,67.4,25.223869641808605,183224.0,184712.0,10.0,5.0
188176.0,27.38442,1.3085679738471905E-6,188176.0,65.5,24.35205893961322,188176.0,184712.0,10.0,5.0
193128.0,28.08554,1.342071081739333E-6,193128.0,65.7,26.25495575297345,193128.0,184712.0,10.0,5.0
198080.0,28.814088,1.3768848400811356E-6,198080.0,68.0,30.37060246836215,198080.0,184712.0,10.0,5.0
203032.0,29.543008,1.4117163744899964E-6,203032.0,67.2,26.777542136399173,203032.0,184712.0,10.0,5.0
