learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
4952.0,0.83127873,3.977437184682737E-8,4952.0,64.1,19.071235347159625,4952.0,184952.0,10.0,0.0
9904.0,1.663114586,7.957540062097626E-8,9904.0,64.5,24.4249912716187,9904.0,184952.0,10.0,0.0
14856.0,2.489844794,1.1913213835922794E-7,14856.0,68.30000000000001,32.57901229316434,14856.0,184952.0,10.0,0.0
19808.0,3.309893035,1.583691625879974E-7,19808.0,72.5,42.68922974324775,19808.0,184952.0,10.0,0.0
24760.0,4.135135829,1.978547317092845E-7,24760.0,71.7,42.105952244570624,24760.0,184952.0,10.0,0.0
29712.0,4.965951631,2.3760695374071806E-7,29712.0,70.1,34.8986683620592,29712.0,184952.0,10.0,0.0
34664.0,5.798695528,2.774514297475252E-7,34664.0,69.69999999999999,36.901291128696364,34664.0,184952.0,10.0,0.0
39616.0,6.633393187,3.173893878241649E-7,39616.0,67.4,30.200790486753142,39616.0,184952.0,10.0,0.0
44568.0,7.470001829,3.574187811146408E-7,44568.0,69.39999999999999,34.830388632375225,44568.0,184952.0,10.0,0.0
49520.0,8.294119716,3.968505265692125E-7,49520.0,69.8,34.927256429704194,49520.0,184952.0,10.0,0.0
54472.0,9.111130946,4.3594223828070284E-7,54472.0,70.19999999999999,33.37476915922536,54472.0,184952.0,10.0,0.0
59424.0,9.954805115,4.7630969735832063E-7,59424.0,69.8,33.75682173127203,59424.0,184952.0,10.0,0.0
64376.0,10.859181696,5.195815977740289E-7,64376.0,67.7,27.183371657874574,64376.0,184952.0,10.0,0.0
69328.0,11.655679204,5.576917850252573E-7,69328.0,66.9,29.353208346139397,69328.0,184952.0,10.0,0.0
74280.0,12.450839967,5.957380127515086E-7,74280.0,70.7,35.73941345217521,74280.0,184952.0,10.0,0.0
79232.0,13.24686111,6.338254072643196E-7,79232.0,67.5,27.915539191766864,79232.0,184952.0,10.0,0.0
84184.0,14.042682762,6.719032566884285E-7,84184.0,66.60000000000001,28.679111521099443,84184.0,184952.0,10.0,0.0
