learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes)
7.0,0.006950506,2.0958663775689073E-11,7.0,57.14285714285714,22.222222222222225,7.0,11656.0
14.0,0.016195411,4.8988960408088235E-11,14.0,64.28571428571429,28.57142857142858,14.0,11720.0
21.0,0.018881208,5.7132222735219536E-11,21.0,61.904761904761905,20.000000000000018,21.0,11720.0
28.0,0.021412082,6.480576280504465E-11,28.0,71.42857142857143,40.42553191489362,28.0,11720.0
35.0,0.024346003,7.370133024743861E-11,35.0,68.57142857142857,34.1880341880342,35.0,11720.0
42.0,0.026701323,8.085721918899152E-11,42.0,69.04761904761905,35.15439429928742,42.0,11744.0
49.0,0.028765159,8.712752692194449E-11,49.0,69.38775510204081,34.89813994685562,49.0,11744.0
56.0,0.030610098,9.274042249760694E-11,56.0,71.42857142857143,40.18691588785047,56.0,11760.0
63.0,0.0323253,9.795861655018396E-11,63.0,69.84126984126983,36.565977742448325,63.0,11760.0
70.0,0.034521852,1.0464123153231211E-10,70.0,70.0,37.12574850299399,70.0,11760.0
77.0,0.036150955,1.0959748483987319E-10,77.0,70.12987012987013,37.57490306661967,77.0,11760.0
84.0,0.037735112,1.1441699801426796E-10,84.0,72.61904761904762,43.44262295081966,84.0,11760.0
91.0,0.039272985,1.190957004307873E-10,91.0,72.52747252747253,43.72990353697748,91.0,11760.0
98.0,0.040807073,1.2377876245106263E-10,98.0,71.42857142857143,41.66666666666668,98.0,11800.0
105.0,0.04279476,1.2985473927938278E-10,105.0,72.38095238095238,43.45403899721448,105.0,11816.0
112.0,0.044296226,1.3444443203508856E-10,112.0,74.10714285714286,46.68417596848325,112.0,11816.0
119.0,0.045787817,1.3900393881524605E-10,119.0,73.94957983193278,46.38860630722279,119.0,11816.0
126.0,0.047346173,1.437675333581865E-10,126.0,75.39682539682539,49.10086004691164,126.0,11816.0
133.0,0.04885341,1.4837486695084308E-10,133.0,75.93984962406014,49.811320754716995,133.0,11816.0
140.0,0.05088498,1.5458498566928838E-10,140.0,75.0,48.09322033898305,140.0,11816.0
147.0,0.052283978,1.588614534586668E-10,147.0,74.82993197278913,47.78727080733418,147.0,11816.0
154.0,0.053719839,1.6325060434846415E-10,154.0,74.02597402597402,46.087869770698404,154.0,11816.0
161.0,0.055130238,1.6756192280186547E-10,161.0,73.91304347826086,46.21380846325166,161.0,11816.0
168.0,0.056467203,1.716487676422629E-10,168.0,74.40476190476191,47.80346820809249,168.0,11816.0
175.0,0.058320805,1.773148724167711E-10,175.0,74.85714285714286,48.65982130950792,175.0,11816.0
182.0,0.060017135,1.8250022693847614E-10,182.0,74.72527472527473,48.26989619377163,182.0,11816.0
189.0,0.060889048,1.851654972674118E-10,189.0,74.60317460317461,47.621247113163975,189.0,11816.0
196.0,0.062259751,1.8935830949909155E-10,196.0,73.9795918367347,46.28116938950989,196.0,11824.0
203.0,0.063128046,1.9201431732624768E-10,203.0,73.89162561576354,45.98082040467942,203.0,11824.0
210.0,0.063946974,1.9451931755989788E-10,210.0,73.80952380952381,45.6981664315938,210.0,11824.0
217.0,0.064765747,1.9702384366757338E-10,217.0,73.73271889400922,45.6474930790526,217.0,11824.0
224.0,0.065612362,1.996135350358155E-10,224.0,74.10714285714286,46.38052001650847,224.0,11824.0
231.0,0.066916711,2.0360337852603858E-10,231.0,73.59307359307358,45.27554468134684,231.0,11824.0
238.0,0.067752423,2.0615971895555653E-10,238.0,72.68907563025209,43.30425859415084,238.0,11824.0
245.0,0.068595931,2.0873990639216367E-10,245.0,73.06122448979592,43.95147313691508,245.0,11824.0
252.0,0.069394268,2.1118192128423185E-10,252.0,73.4126984126984,44.44590681758356,252.0,11824.0
259.0,0.070221761,2.1371312080158126E-10,259.0,73.35907335907336,44.64612048939136,259.0,11824.0
266.0,0.071633836,2.1803248490310375E-10,266.0,74.06015037593986,46.1222333118065,266.0,11824.0
