learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.038820917,1.2782729116371936E-9,7.0,14.285714285714285,0.0,7.0,127280.0,10.0,5.1,0.8089774066341063,5388.799999999999,113.78388872478095,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.066573505,2.209210428458949E-9,14.0,28.57142857142857,0.0,14.0,129664.0,10.0,12.1,1.1874342087037917,5627.200000000001,70.80690487359111,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.083657782,2.7856119379152855E-9,21.0,38.095238095238095,0.0,21.0,130416.0,10.0,20.5,1.3601470508735443,5702.400000000001,9.891859728528777,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.099065888,3.305716705587175E-9,28.0,50.0,14.035087719298241,28.0,130480.0,10.0,24.900000000000006,1.6960738977611396,5708.799999999999,10.062913207526988,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.112838321,3.770722904656496E-9,35.0,54.285714285714285,20.679886685552404,35.0,130512.0,10.0,30.8,2.2939534045447005,5712.0,10.327955589886452,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.126725264,4.24071624694806E-9,42.0,54.761904761904766,15.286624203821662,42.0,130824.0,10.0,44.0,2.245984070389736,5743.200000000001,7.490438349433744,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.135683083,4.544072414905661E-9,49.0,57.14285714285714,18.26846703733121,49.0,130904.0,10.0,48.699999999999996,2.2412793965352327,5751.200000000001,2.215099696778232,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.143037565,4.793207746417159E-9,56.0,57.14285714285714,19.32773109243697,56.0,130944.0,10.0,55.1,2.8807792155749956,5755.2,2.969474326842697,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.150475523,5.045478725818297E-9,63.0,57.14285714285714,17.706821480406383,63.0,131104.0,10.0,64.8,3.863792034891227,5771.199999999999,3.2000000000000233,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.157285002,5.27643377242403E-9,70.0,60.0,22.222222222222225,70.0,131104.0,10.0,71.10000000000001,4.006799775936457,5771.199999999999,3.2000000000000233,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.16450581,5.521339740732479E-9,77.0,59.74025974025974,21.5060835251562,77.0,131104.0,10.0,83.5,3.975620147292188,5771.199999999999,3.2000000000000233,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,0.171222754,5.749184108488263E-9,84.0,61.904761904761905,25.167037861915365,84.0,131120.0,10.0,87.80000000000001,3.9322032274822987,5772.799999999999,2.4440403706431115,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91.0,0.176994794,5.9449765409487825E-9,91.0,63.73626373626373,28.8894151077433,91.0,131120.0,10.0,92.6,4.256237253203298,5772.799999999999,2.4440403706431115,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,0.182851627,6.144372503111761E-9,98.0,64.28571428571429,29.39481268011529,98.0,131600.0,10.0,101.69999999999999,4.107040026317954,5820.8,2.133333333333309,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105.0,0.188665462,6.342424921219549E-9,105.0,64.76190476190476,30.188679245283023,105.0,131680.0,10.0,110.39999999999999,3.8244825358035914,5828.799999999999,3.414999593297497,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,0.193831396,6.518406131640078E-9,112.0,66.96428571428571,34.30564362714012,112.0,131680.0,10.0,113.6,3.748184745832159,5828.799999999999,3.414999593297497,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119.0,0.199770185,6.720715196496912E-9,119.0,68.90756302521008,38.06442537628358,119.0,131680.0,10.0,118.5,4.112987559751022,5828.799999999999,3.414999593297497,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,0.205648302,6.920957426586086E-9,126.0,70.63492063492063,41.26984126984128,126.0,131680.0,10.0,122.0,4.533823502911814,5828.799999999999,3.414999593297497,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133.0,0.211116828,7.107269283764893E-9,133.0,71.42857142857143,42.59427532939574,133.0,131696.0,10.0,129.5,4.798726682962655,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.217019812,7.308383059567876E-9,140.0,70.71428571428572,40.99506578947369,140.0,131696.0,10.0,146.20000000000002,5.072365216433935,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
147.0,0.222642025,7.49993100968914E-9,147.0,70.06802721088435,39.7877490225284,147.0,131696.0,10.0,158.8,5.726740395334467,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154.0,0.22765544,7.670737303644419E-9,154.0,68.83116883116884,37.153545315422555,154.0,131696.0,10.0,171.70000000000002,6.236184731067544,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
161.0,0.233228588,7.8606136166056E-9,161.0,69.56521739130434,38.78326996197719,161.0,131696.0,10.0,177.5,6.164864601559025,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,0.243523741,8.211367928712732E-9,168.0,70.23809523809523,40.34090909090908,168.0,131696.0,10.0,183.4,5.9688078094931685,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,0.251347075,8.477907739782499E-9,175.0,70.85714285714285,41.48692060578246,175.0,131696.0,10.0,190.1,5.871683461041362,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,0.258179937,8.710702318992052E-9,182.0,70.87912087912088,41.375957214051304,182.0,131696.0,10.0,195.6,6.231104770958892,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189.0,0.265068152,8.945382766574622E-9,189.0,70.8994708994709,41.15482592697423,189.0,131696.0,10.0,206.3,6.844381312840157,5830.400000000001,2.6127890589687532,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196.0,0.270586499,9.13349480494236E-9,196.0,70.40816326530613,40.06748207507381,196.0,131768.0,10.0,216.60000000000002,7.307834456557183,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203.0,0.276156198,9.323357354721261E-9,203.0,70.44334975369459,39.97634535777647,203.0,131768.0,10.0,225.2,7.276751411935898,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.282103153,9.526079986540394E-9,210.0,70.47619047619048,39.88919667590029,210.0,131768.0,10.0,230.8,7.600877142365432,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
217.0,0.287189172,9.699454622326626E-9,217.0,70.50691244239631,39.96195746152515,217.0,131768.0,10.0,236.79999999999998,7.667825999300946,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224.0,0.2928155,9.891247568403681E-9,224.0,70.98214285714286,40.86108854589765,224.0,131768.0,10.0,242.70000000000002,7.576352097883989,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,0.298808793,1.0095549792016132E-8,231.0,70.56277056277057,39.940353292039454,231.0,131768.0,10.0,253.5,7.851751396981439,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238.0,0.303909795,1.0269435175435825E-8,238.0,69.74789915966386,38.15058110156643,238.0,131768.0,10.0,266.7,8.129575634681064,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
245.0,0.30941947,1.0457251598541108E-8,245.0,69.79591836734694,38.08905887173884,245.0,131768.0,10.0,271.2,8.607232101230014,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
252.0,0.314883979,1.0643528381546753E-8,252.0,70.23809523809523,38.771543345859776,252.0,131768.0,10.0,275.20000000000005,8.774711138012213,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
259.0,0.32009826,1.0821275273420745E-8,259.0,70.27027027027027,39.047648155505975,259.0,131768.0,10.0,281.6,8.970569163164123,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,0.325778434,1.10149037475677E-8,266.0,70.67669172932331,39.82947624847746,266.0,131768.0,10.0,286.09999999999997,9.041201984987028,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
273.0,0.33136932,1.1205488529884153E-8,273.0,70.6959706959707,39.76501737547577,273.0,131768.0,10.0,292.9,8.984492813237209,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,0.336323054,1.1374353771644335E-8,280.0,71.07142857142857,40.49118387909319,280.0,131768.0,10.0,297.1000000000001,9.073098209052464,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
287.0,0.341835899,1.156227825521802E-8,287.0,71.0801393728223,40.848253085346784,287.0,131768.0,10.0,302.0,8.810347451844462,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
294.0,0.347434884,1.1753139120100275E-8,294.0,71.08843537414967,40.72861818699303,294.0,131768.0,10.0,309.29999999999995,9.194261495326552,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
301.0,0.352430479,1.1923431339547454E-8,301.0,70.7641196013289,40.1563417830193,301.0,131768.0,10.0,319.09999999999997,9.085336170628654,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308.0,0.357757632,1.2105025865866081E-8,308.0,70.45454545454545,39.53227476700035,308.0,131768.0,10.0,327.9,9.367141150496952,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
315.0,0.363093879,1.2286930392783966E-8,315.0,70.7936507936508,40.052128583840144,315.0,131768.0,10.0,331.80000000000007,9.533333333333331,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322.0,0.367874927,1.244990903200582E-8,322.0,71.11801242236024,40.401225968236275,322.0,131768.0,10.0,338.1000000000001,9.157207240444238,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
329.0,0.373302357,1.2634921848415917E-8,329.0,70.82066869300911,39.952089433058276,329.0,131768.0,10.0,346.40000000000003,8.90218450094632,5837.6,3.780652501002098,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
