learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.021047814,2.5326177187263965E-10,7.0,57.14285714285714,22.222222222222225,7.0,46512.0,10.0,5.0
14.0,0.103529558,1.2981451750215557E-9,14.0,42.857142857142854,-21.739130434782624,14.0,48968.0,10.0,2.0
21.0,0.135047539,1.6977428918621608E-9,21.0,52.38095238095239,-7.142857142857142,21.0,49008.0,10.0,1.0
28.0,0.152838507,1.923598545578619E-9,28.0,64.28571428571429,22.222222222222225,28.0,49072.0,10.0,0.0
35.0,0.164260985,2.0687246640937197E-9,35.0,62.857142857142854,19.182948490230896,35.0,49112.0,10.0,0.0
42.0,0.172945577,2.1795144355711013E-9,42.0,64.28571428571429,23.357664233576646,42.0,49312.0,10.0,0.0
49.0,0.181763881,2.2921559809727805E-9,49.0,65.3061224489796,24.478694469628266,49.0,49376.0,10.0,0.0
56.0,0.189890919,2.3961862234315942E-9,56.0,67.85714285714286,31.428571428571434,56.0,49480.0,10.0,0.0
63.0,0.197213455,2.490039666978022E-9,63.0,66.66666666666666,28.756058158319863,63.0,49544.0,10.0,0.0
70.0,0.205656157,2.598285300706824E-9,70.0,67.14285714285714,30.303030303030294,70.0,49560.0,10.0,0.0
77.0,0.214247445,2.7084359863648815E-9,77.0,66.23376623376623,28.14070351758794,77.0,49560.0,10.0,0.0
84.0,0.221969173,2.80746982474294E-9,84.0,69.04761904761905,35.15439429928742,84.0,49576.0,10.0,0.0
91.0,0.230470019,2.916496121556395E-9,91.0,70.32967032967034,38.77398455021182,91.0,49576.0,10.0,0.0
98.0,0.237906565,3.0124264677779545E-9,98.0,69.38775510204081,37.12574850299401,98.0,49864.0,10.0,0.0
105.0,0.245965081,3.116797084005343E-9,105.0,70.47619047619048,39.21568627450982,105.0,50064.0,10.0,0.0
112.0,0.253873021,3.2192175012247435E-9,112.0,72.32142857142857,42.668428005284014,112.0,50064.0,10.0,0.0
119.0,0.261112449,3.3129796233690453E-9,119.0,72.26890756302521,42.6128890837352,119.0,50064.0,10.0,0.0
126.0,0.269026157,3.4154911236299413E-9,126.0,73.80952380952381,45.50458715596331,126.0,50072.0,10.0,0.0
133.0,0.276348433,3.510341413542629E-9,133.0,74.43609022556392,46.33277949204843,133.0,50072.0,10.0,0.0
140.0,0.283770537,3.606515563304226E-9,140.0,73.57142857142858,44.846678023850096,140.0,50088.0,10.0,0.0
147.0,0.291296989,3.704072987304794E-9,147.0,73.46938775510205,44.69952734638758,147.0,50104.0,10.0,0.0
154.0,0.297844363,3.788953210877048E-9,154.0,72.72727272727273,43.1534540341009,154.0,50112.0,10.0,0.0
161.0,0.305133803,3.8834535856710544E-9,161.0,72.67080745341616,43.46368715083801,161.0,50112.0,10.0,0.0
168.0,0.312464095,3.978635274353955E-9,168.0,73.21428571428571,45.24913093858632,168.0,50192.0,10.0,0.0
175.0,0.319172897,4.065747097921041E-9,175.0,73.71428571428571,46.20422346966052,175.0,50192.0,10.0,0.0
182.0,0.327040885,4.1679106112404E-9,182.0,73.07692307692307,44.71171729696216,182.0,50192.0,10.0,0.0
189.0,0.333680401,4.254122776447071E-9,189.0,73.01587301587301,44.12497826212972,189.0,50192.0,10.0,0.0
196.0,0.341054955,4.35006234322985E-9,196.0,72.44897959183673,42.90030211480363,196.0,50288.0,10.0,0.0
203.0,0.348424191,4.445932725270589E-9,203.0,72.41379310344827,42.70738836810805,203.0,50288.0,10.0,0.0
210.0,0.355127965,4.533145751762721E-9,210.0,72.38095238095238,42.525481313703274,210.0,50288.0,10.0,0.0
217.0,0.362529177,4.629432126904528E-9,217.0,72.35023041474655,42.5976545278194,217.0,50288.0,10.0,0.0
224.0,0.369887427,4.725159586121639E-9,224.0,72.76785714285714,43.42497515733687,224.0,50288.0,10.0,0.0
231.0,0.376399209,4.809874884709716E-9,231.0,72.2943722943723,42.4029920523609,231.0,50288.0,10.0,0.0
238.0,0.383564275,4.9030891086492275E-9,238.0,71.42857142857143,40.504374678332475,238.0,50288.0,10.0,0.0
245.0,0.390098351,4.988094441956944E-9,245.0,71.83673469387755,41.21431303682581,245.0,50288.0,10.0,0.0
252.0,0.397157341,5.079928665765458E-9,252.0,72.22222222222221,41.76295807197094,252.0,50288.0,10.0,0.0
259.0,0.404301383,5.172869377103117E-9,259.0,71.81467181467181,41.211405118000066,259.0,50288.0,10.0,0.0
266.0,0.410822131,5.257701319240862E-9,266.0,72.55639097744361,42.78390005303788,266.0,50288.0,10.0,0.0
273.0,0.417484185,5.344371587658923E-9,273.0,72.52747252747253,42.642238843600296,273.0,50288.0,10.0,0.0
280.0,0.423480999,5.4223873886466036E-9,280.0,73.21428571428571,44.101362862010205,280.0,50288.0,10.0,0.0
