learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.008907802,1.1380319327529933E-10,7.0,57.14285714285714,22.222222222222225,7.0,49384.0,10.0,5.0
14.0,0.023881971,3.1462244868692424E-10,14.0,42.857142857142854,-21.739130434782624,14.0,51840.0,10.0,2.0
21.0,0.032275232,4.272717039845884E-10,21.0,52.38095238095239,-7.142857142857142,21.0,51880.0,10.0,1.0
28.0,0.038972689,5.172717959351011E-10,28.0,64.28571428571429,22.222222222222225,28.0,51944.0,10.0,0.0
35.0,0.045326638,6.027215954206057E-10,35.0,62.857142857142854,19.182948490230896,35.0,51984.0,10.0,0.0
42.0,0.051552299,6.867682562458019E-10,42.0,64.28571428571429,23.357664233576646,42.0,52184.0,10.0,0.0
49.0,0.057025323,7.607449048943818E-10,49.0,65.3061224489796,24.478694469628266,49.0,52248.0,10.0,0.0
56.0,0.061269235,8.182223263900313E-10,56.0,67.85714285714286,31.428571428571434,56.0,52352.0,10.0,0.0
63.0,0.064751038,8.654357724409137E-10,63.0,66.66666666666666,28.756058158319863,63.0,52416.0,10.0,0.0
70.0,0.067725885,9.057871799150275E-10,70.0,67.14285714285714,30.303030303030294,70.0,52432.0,10.0,0.0
77.0,0.070095147,9.379243138163454E-10,77.0,66.23376623376623,28.14070351758794,77.0,52432.0,10.0,0.0
84.0,0.072940814,9.765352772817843E-10,84.0,69.04761904761905,35.15439429928742,84.0,52448.0,10.0,0.0
91.0,0.075828632,1.0157181596404148E-9,91.0,70.32967032967034,38.77398455021182,91.0,52448.0,10.0,0.0
98.0,0.078215146,1.0482769904844462E-9,98.0,69.38775510204081,37.12574850299401,98.0,52736.0,10.0,0.0
105.0,0.081255072,1.0899075035026504E-9,105.0,70.47619047619048,39.21568627450982,105.0,52936.0,10.0,0.0
112.0,0.083820921,1.1250457306164834E-9,112.0,72.32142857142857,42.668428005284014,112.0,52936.0,10.0,0.0
119.0,0.086758279,1.1652716178447007E-9,119.0,72.26890756302521,42.6128890837352,119.0,52936.0,10.0,0.0
126.0,0.089724329,1.2058965685466924E-9,126.0,73.80952380952381,45.50458715596331,126.0,52944.0,10.0,0.0
133.0,0.09227621,1.240848791139821E-9,133.0,74.43609022556392,46.33277949204843,133.0,52944.0,10.0,0.0
140.0,0.095304292,1.2823359063474667E-9,140.0,73.57142857142858,44.846678023850096,140.0,52960.0,10.0,0.0
147.0,0.098145368,1.3212726514579519E-9,147.0,73.46938775510205,44.69952734638758,147.0,52976.0,10.0,0.0
154.0,0.100469268,1.353126345719728E-9,154.0,72.72727272727273,43.1534540341009,154.0,52984.0,10.0,0.0
161.0,0.103337902,1.392446708207329E-9,161.0,72.67080745341616,43.46368715083801,161.0,52984.0,10.0,0.0
168.0,0.10616231,1.431219319080313E-9,168.0,73.21428571428571,45.24913093858632,168.0,53064.0,10.0,0.0
175.0,0.10849012,1.4631747841959198E-9,175.0,73.71428571428571,46.20422346966052,175.0,53064.0,10.0,0.0
182.0,0.111689234,1.5070912446578343E-9,182.0,73.07692307692307,44.71171729696216,182.0,53064.0,10.0,0.0
189.0,0.114682402,1.5481805412967998E-9,189.0,73.01587301587301,44.12497826212972,189.0,53064.0,10.0,0.0
196.0,0.117044949,1.5806715398343899E-9,196.0,72.44897959183673,42.90030211480363,196.0,53160.0,10.0,0.0
203.0,0.119963339,1.6208067859150468E-9,203.0,72.41379310344827,42.70738836810805,203.0,53160.0,10.0,0.0
210.0,0.122270485,1.6525358805370826E-9,210.0,72.38095238095238,42.525481313703274,210.0,53160.0,10.0,0.0
217.0,0.1250561,1.6908451344445347E-9,217.0,72.35023041474655,42.5976545278194,217.0,53160.0,10.0,0.0
224.0,0.127806754,1.7286735861500103E-9,224.0,72.76785714285714,43.42497515733687,224.0,53160.0,10.0,0.0
231.0,0.129742669,1.7552973153007526E-9,231.0,72.2943722943723,42.4029920523609,231.0,53160.0,10.0,0.0
238.0,0.13218001,1.7888169205685456E-9,238.0,71.42857142857143,40.504374678332475,238.0,53160.0,10.0,0.0
245.0,0.134535713,1.821213796790689E-9,245.0,71.83673469387755,41.21431303682581,245.0,53160.0,10.0,0.0
252.0,0.13632114,1.8457679352040091E-9,252.0,72.22222222222221,41.76295807197094,252.0,53160.0,10.0,0.0
259.0,0.138869204,1.880810261853039E-9,259.0,71.81467181467181,41.211405118000066,259.0,53160.0,10.0,0.0
266.0,0.141348613,1.9149084085536496E-9,266.0,72.55639097744361,42.78390005303788,266.0,53160.0,10.0,0.0
273.0,0.143157445,1.9397844249320523E-9,273.0,72.52747252747253,42.642238843600296,273.0,53160.0,10.0,0.0
280.0,0.145499145,1.971988724476347E-9,280.0,73.21428571428571,44.101362862010205,280.0,53160.0,10.0,0.0
287.0,0.147797291,2.0035940463282166E-9,287.0,72.82229965156795,43.72266076725828,287.0,53160.0,10.0,0.0
294.0,0.149609092,2.028510893968244E-9,294.0,72.78911564625851,43.48599163823347,294.0,53160.0,10.0,0.0
301.0,0.152029134,2.0617925942192472E-9,301.0,72.75747508305648,43.60462459443404,301.0,53160.0,10.0,0.0
308.0,0.153870003,2.087109200401852E-9,308.0,72.40259740259741,42.92814788978026,308.0,53160.0,10.0,0.0
315.0,0.156101757,2.1178014642807343E-9,315.0,72.6984126984127,43.34295394654284,315.0,53160.0,10.0,0.0
322.0,0.158330955,2.148458576692889E-9,322.0,72.98136645962732,43.563399008823886,322.0,53160.0,10.0,0.0
329.0,0.160127313,2.173163044011841E-9,329.0,72.3404255319149,42.50571313348569,329.0,53160.0,10.0,0.0
336.0,0.162398908,2.2044032224391896E-9,336.0,72.32142857142857,42.40212342402123,336.0,53160.0,10.0,0.0
343.0,0.164608273,2.2347875809234875E-9,343.0,72.8862973760933,43.26141477383895,343.0,53160.0,10.0,0.0
350.0,0.166327283,2.2584283175505693E-9,350.0,72.57142857142857,42.671898993345856,350.0,53160.0,10.0,0.0
357.0,0.168552083,2.2890249463357027E-9,357.0,72.26890756302521,42.11095277873322,357.0,53160.0,10.0,1.0
364.0,0.171163273,2.32493541519468E-9,364.0,72.52747252747253,42.37588652482269,364.0,53160.0,10.0,1.0
371.0,0.172852123,2.3481613755164042E-9,371.0,72.50673854447439,42.44212575670004,371.0,53160.0,10.0,1.0
378.0,0.175106289,2.3791618610980606E-9,378.0,73.01587301587301,43.680981595092014,378.0,53160.0,10.0,1.0
385.0,0.176821913,2.4027560316585E-9,385.0,73.50649350649351,44.573041637261824,385.0,53160.0,10.0,0.0
392.0,0.179037042,2.4332196597258245E-9,392.0,73.72448979591837,44.93781365917523,392.0,53160.0,10.0,1.0
399.0,0.181210829,2.4631147306971246E-9,399.0,73.43358395989975,44.38805028138642,399.0,53160.0,10.0,1.0
406.0,0.182886379,2.4861577823696033E-9,406.0,73.39901477832512,44.26621247171873,406.0,53160.0,10.0,1.0
413.0,0.185063341,2.516096517623712E-9,413.0,73.36561743341404,44.69737546866631,413.0,53160.0,10.0,1.0
420.0,0.187253209,2.5462127430302395E-9,420.0,73.57142857142858,45.23026315789474,420.0,53160.0,10.0,1.0
427.0,0.188976681,2.569914843446264E-9,427.0,74.00468384074942,46.478539245909424,427.0,53160.0,10.0,1.0
434.0,0.191168368,2.600056084704895E-9,434.0,73.73271889400922,46.00340507268521,434.0,53160.0,10.0,1.0
441.0,0.193386237,2.6305573947044704E-9,441.0,73.69614512471655,45.882701421800945,441.0,53160.0,10.0,1.0
448.0,0.195063599,2.6536253659613423E-9,448.0,74.10714285714286,46.72352989420159,448.0,53160.0,10.0,1.0
455.0,0.197366905,2.685301650868107E-9,455.0,73.84615384615385,46.22871046228711,455.0,53160.0,10.0,1.0
462.0,0.19965516,2.7167709464455634E-9,462.0,73.59307359307358,45.7516843118383,462.0,53160.0,10.0,1.0
469.0,0.201326782,2.7397599781801294E-9,469.0,73.34754797441366,45.18620328555535,469.0,53160.0,10.0,1.0
476.0,0.203509195,2.769773678475369E-9,476.0,73.31932773109243,45.01564432802153,476.0,53160.0,10.0,1.0
483.0,0.205172812,2.792652621207137E-9,483.0,73.29192546583852,44.84886036733792,483.0,53160.0,10.0,1.0
490.0,0.207340048,2.822457599354286E-9,490.0,73.67346938775509,45.53022077452044,490.0,53160.0,10.0,1.0
497.0,0.209521502,2.852458110973238E-9,497.0,73.64185110663985,45.4244448728803,497.0,53160.0,10.0,1.0
504.0,0.211187929,2.8753756983143576E-9,504.0,73.80952380952381,45.64705882352943,504.0,53160.0,10.0,1.0
511.0,0.213371874,2.9054104674855856E-9,511.0,73.97260273972603,45.86217609151086,511.0,53160.0,10.0,1.0
518.0,0.215579284,2.9357679397736975E-9,518.0,73.74517374517374,45.265251577213526,518.0,53160.0,10.0,1.0
525.0,0.217341952,2.9600090843563265E-9,525.0,73.71428571428571,45.271189001359716,525.0,53160.0,10.0,1.0
532.0,0.219574579,2.9907133541939146E-9,532.0,73.87218045112782,45.58485900983106,532.0,53160.0,10.0,1.0
539.0,0.221813471,3.0215037836320684E-9,539.0,74.21150278293135,46.49761127734175,539.0,53160.0,10.0,1.0
546.0,0.22364643,3.0467116073022274E-9,546.0,74.17582417582418,46.42663289307038,546.0,53160.0,10.0,1.0
553.0,0.226147421,3.081106561105697E-9,553.0,73.96021699819168,45.86613370314476,553.0,53160.0,10.0,1.0
560.0,0.228379299,3.1118005302983012E-9,560.0,74.10714285714286,46.1567025621983,560.0,53160.0,10.0,1.0
567.0,0.230053531,3.1348254561362154E-9,567.0,74.07407407407408,46.24275219772069,567.0,53160.0,10.0,1.0
574.0,0.232220406,3.164625469620028E-9,574.0,74.0418118466899,46.14163906346428,574.0,53160.0,10.0,1.0
581.0,0.233881655,3.187471846360712E-9,581.0,74.18244406196214,46.41803157739414,581.0,53160.0,10.0,1.0
588.0,0.236036859,3.2171113540666787E-9,588.0,74.14965986394559,46.26198006229032,588.0,53160.0,10.0,1.0
595.0,0.238203779,3.246911986414342E-9,595.0,74.11764705882354,46.343034490835635,595.0,53160.0,10.0,1.0
602.0,0.239906243,3.270325173679738E-9,602.0,74.4186046511628,46.96884760150556,602.0,53160.0,10.0,1.0
609.0,0.242080654,3.3002288262297698E-9,609.0,74.54844006568145,47.223200657508514,609.0,53160.0,10.0,1.0
616.0,0.244310254,3.330891467158992E-9,616.0,74.67532467532467,47.4718763323895,616.0,53160.0,10.0,1.0
623.0,0.245981379,3.3538736638861387E-9,623.0,74.95987158908507,47.898528970279195,623.0,53160.0,10.0,1.0
630.0,0.248175939,3.384054416163513E-9,630.0,74.92063492063492,47.73815524193549,630.0,53160.0,10.0,1.0
637.0,0.250444933,3.4152588242602835E-9,637.0,74.88226059654632,47.82857961874731,637.0,53160.0,10.0,1.0
644.0,0.252195833,3.4393490000876276E-9,644.0,75.15527950310559,48.32030975714959,644.0,53184.0,10.0,1.0
651.0,0.254471425,3.470658276112128E-9,651.0,75.26881720430107,48.62281437037691,651.0,53184.0,10.0,1.0
658.0,0.256200003,3.4944413293711828E-9,658.0,75.22796352583586,48.50934718528261,658.0,53184.0,10.0,1.0
665.0,0.258382611,3.524471262823789E-9,665.0,75.18796992481202,48.47502993590195,665.0,53184.0,10.0,1.0
672.0,0.260673614,3.5559925747724855E-9,672.0,75.29761904761905,48.69049261763488,672.0,53184.0,10.0,1.0
679.0,0.262385901,3.5795514844171685E-9,679.0,75.55228276877762,49.22289596266296,679.0,53184.0,10.0,1.0
686.0,0.264611904,3.610178478341548E-9,686.0,75.80174927113703,49.523944610911165,686.0,53184.0,10.0,1.0
690.0,0.266914583,3.6418604373248896E-9,690.0,75.94202898550725,49.76712364813305,690.0,53184.0,10.0,1.0
