learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.039958442,1.326975641010536E-9,7.0,42.857142857142854,12.500000000000005,7.0,128368.0,10.0,0.0
14.0,0.063716788,2.1310593363104596E-9,14.0,57.14285714285714,19.23076923076923,14.0,130824.0,10.0,0.0
21.0,0.076993311,2.5805308498111036E-9,21.0,61.904761904761905,20.000000000000018,21.0,130864.0,10.0,0.0
28.0,0.089778392,3.013576466486686E-9,28.0,71.42857142857143,40.42553191489362,28.0,130928.0,10.0,0.0
35.0,0.102908819,3.458455229316735E-9,35.0,68.57142857142857,34.1880341880342,35.0,130968.0,10.0,0.0
42.0,0.113934509,3.832592784131153E-9,42.0,69.04761904761905,35.15439429928742,42.0,131168.0,10.0,0.0
49.0,0.125636832,4.229884452908818E-9,49.0,69.38775510204081,34.89813994685562,49.0,131232.0,10.0,0.0
56.0,0.134641901,4.535847135037185E-9,56.0,71.42857142857143,40.18691588785047,56.0,131336.0,10.0,0.0
63.0,0.140196295,4.724659172035755E-9,63.0,69.84126984126983,36.565977742448325,63.0,131400.0,10.0,0.0
70.0,0.146376816,4.9347808981707534E-9,70.0,70.0,37.12574850299399,70.0,131416.0,10.0,0.0
77.0,0.151953995,5.124390557039944E-9,77.0,68.83116883116884,34.46808510638298,77.0,131416.0,10.0,0.0
84.0,0.157537056,5.314223298163464E-9,84.0,71.42857142857143,40.70588235294118,84.0,131432.0,10.0,0.0
91.0,0.163596646,5.520258765048865E-9,91.0,72.52747252747253,43.72990353697748,91.0,131432.0,10.0,0.0
98.0,0.169098707,5.707747315917578E-9,98.0,71.42857142857143,41.66666666666668,98.0,131720.0,10.0,0.0
105.0,0.174323208,5.8860480325006775E-9,105.0,72.38095238095238,43.45403899721448,105.0,131920.0,10.0,0.0
112.0,0.179505535,6.06290944331636E-9,112.0,74.10714285714286,46.68417596848325,112.0,131920.0,10.0,0.0
119.0,0.184114397,6.220199756253924E-9,119.0,73.94957983193278,46.38860630722279,119.0,131920.0,10.0,0.0
126.0,0.188738839,6.378031351061331E-9,126.0,75.39682539682539,49.10086004691164,126.0,131928.0,10.0,0.0
133.0,0.194041261,6.559002313742207E-9,133.0,75.93984962406014,49.811320754716995,133.0,131928.0,10.0,0.0
140.0,0.198705046,6.718195984336651E-9,140.0,75.0,48.09322033898305,140.0,131944.0,10.0,0.0
147.0,0.203293231,6.874828115457461E-9,147.0,74.82993197278913,47.78727080733418,147.0,131960.0,10.0,0.0
154.0,0.208374845,7.0483155149428376E-9,154.0,74.02597402597402,46.087869770698404,154.0,131968.0,10.0,0.0
161.0,0.212892467,7.202548105737401E-9,161.0,73.91304347826086,46.21380846325166,161.0,131968.0,10.0,0.0
168.0,0.217769105,7.369138507491184E-9,168.0,74.40476190476191,47.80346820809249,168.0,132048.0,10.0,0.0
175.0,0.230448295,7.799988241377804E-9,175.0,74.85714285714286,48.65982130950792,175.0,131352.0,10.0,0.0
182.0,0.238389916,8.069900631751452E-9,182.0,74.72527472527473,48.26989619377163,182.0,131376.0,10.0,0.0
189.0,0.247899611,8.404561783096029E-9,189.0,74.60317460317461,47.621247113163975,189.0,136032.0,10.0,0.0
196.0,0.254147232,8.626907991911802E-9,196.0,73.9795918367347,46.28116938950989,196.0,137568.0,10.0,0.0
203.0,0.259830436,8.829214245954321E-9,203.0,73.89162561576354,45.98082040467942,203.0,137600.0,10.0,0.0
210.0,0.265011738,9.013772140658563E-9,210.0,73.80952380952381,45.6981664315938,210.0,137688.0,10.0,0.0
217.0,0.270495759,9.209203679410534E-9,217.0,74.19354838709677,46.65964357826354,217.0,137752.0,10.0,0.0
224.0,0.275371316,9.38295166593045E-9,224.0,74.55357142857143,47.361477572559366,224.0,137752.0,10.0,0.0
231.0,0.280571064,9.568349551140435E-9,231.0,74.02597402597402,46.22905027932961,231.0,137824.0,10.0,0.0
238.0,0.285186998,9.7329314504688E-9,238.0,73.52941176470588,45.16129032258065,238.0,137824.0,10.0,0.0
245.0,0.289737031,9.895163638612465E-9,245.0,73.87755102040816,45.76646375207527,245.0,137824.0,10.0,0.0
252.0,0.295024621,1.0083693545034364E-8,252.0,74.20634920634922,46.224556795797774,252.0,137824.0,10.0,0.0
259.0,0.299829183,1.0255020894370975E-8,259.0,74.5173745173745,47.20489221076038,259.0,137840.0,10.0,0.0
266.0,0.305130799,1.0444072844679986E-8,266.0,75.18796992481202,48.6095661846496,266.0,137840.0,10.0,0.0
273.0,0.309765587,1.0609346170901426E-8,273.0,75.0915750915751,48.32999331997328,273.0,137840.0,10.0,0.0
280.0,0.314371705,1.077359714480324E-8,280.0,75.71428571428571,49.63762365762047,280.0,137840.0,10.0,0.0
287.0,0.319371102,1.0951872175137202E-8,287.0,75.60975609756098,49.787553111722076,287.0,137840.0,10.0,0.0
294.0,0.324075765,1.1119637195405862E-8,294.0,75.51020408163265,49.448345035105305,294.0,137840.0,10.0,0.0
301.0,0.329250863,1.130417760156509E-8,301.0,75.41528239202658,49.39337483527971,301.0,137840.0,10.0,0.0
308.0,0.333723915,1.1463683534177641E-8,308.0,75.0,48.56870229007634,308.0,137840.0,10.0,0.0
315.0,0.338358021,1.1628951722296576E-8,315.0,75.23809523809524,48.89554473979782,315.0,137856.0,10.0,0.0
322.0,0.343415572,1.1809321418218315E-8,322.0,75.46583850931677,49.06491530175005,322.0,137856.0,10.0,0.0
329.0,0.347981162,1.1972146089685461E-8,329.0,74.77203647416414,47.84062040379731,329.0,137856.0,10.0,0.0
336.0,0.353025428,1.2152041996729873E-8,336.0,75.0,48.284960422163586,336.0,137856.0,10.0,0.0
343.0,0.357410497,1.2308428667299452E-8,343.0,75.51020408163265,49.08641102668314,343.0,137856.0,10.0,0.0
350.0,0.361899782,1.2468550621635387E-8,350.0,75.42857142857143,48.99169632265718,350.0,137872.0,10.0,0.0
357.0,0.366897698,1.2646814215398499E-8,357.0,75.07002801120449,48.35422051006974,357.0,137872.0,10.0,0.0
364.0,0.371668468,1.2816976059898736E-8,364.0,75.27472527472527,48.5681989449887,364.0,137872.0,10.0,0.0
371.0,0.376571835,1.2991867319167491E-8,371.0,74.93261455525607,48.0306065581178,371.0,137872.0,10.0,0.0
378.0,0.386237069,1.3332862271616859E-8,378.0,75.39682539682539,49.118541033434646,378.0,136376.0,10.0,0.0
385.0,0.395495177,1.3681719921852154E-8,385.0,75.84415584415585,49.940580216707446,385.0,145656.0,10.0,0.0
392.0,0.402872838,1.3958467817515551E-8,392.0,76.27551020408163,50.73513513513513,392.0,145000.0,10.0,0.0
399.0,0.409805723,1.4228302670624109E-8,399.0,76.44110275689223,51.1666059059424,399.0,150448.0,10.0,0.0
406.0,0.417366719,1.4512757115022592E-8,406.0,76.60098522167488,51.53670243510165,406.0,145424.0,10.0,0.0
413.0,0.42591164,1.4856563761706155E-8,413.0,76.75544794188862,52.21290135956031,413.0,155528.0,10.0,0.0
420.0,0.437083998,1.533297719759246E-8,420.0,77.14285714285715,53.09446254071661,420.0,164832.0,10.0,0.0
427.0,0.442418591,1.556084216365177E-8,427.0,77.51756440281031,54.09219190968956,427.0,165112.0,10.0,0.0
434.0,0.452429295,1.6004667664126806E-8,434.0,77.41935483870968,53.95773794059063,434.0,171376.0,10.0,0.0
441.0,0.458317354,1.627169861862643E-8,441.0,77.55102040816327,54.23728813559321,441.0,175304.0,10.0,0.0
448.0,0.464537957,1.6554068349825427E-8,448.0,77.90178571428571,54.94697492990939,448.0,175464.0,10.0,0.0
455.0,0.470722722,1.683497769911877E-8,455.0,78.24175824175825,55.69707401032702,455.0,175568.0,10.0,0.0
462.0,0.47659965,1.7103024214106717E-8,462.0,78.13852813852814,55.54052251462546,462.0,176304.0,10.0,0.0
469.0,0.485695839,1.7526937381486512E-8,469.0,78.25159914712152,55.77843923903196,469.0,180144.0,10.0,0.0
476.0,0.492336748,1.7838102973726474E-8,476.0,77.73109243697479,54.717929388114094,476.0,181120.0,10.0,0.0
483.0,0.498703701,1.8136484826606595E-8,483.0,77.84679089026915,54.909043318937314,483.0,181152.0,10.0,0.0
490.0,0.505215726,1.84421235847618E-8,490.0,78.16326530612245,55.49462675924827,490.0,181424.0,10.0,0.0
497.0,0.511396384,1.8732363290610825E-8,497.0,78.26961770623743,55.7245611719678,497.0,181520.0,10.0,0.0
504.0,0.516929768,1.899224178344632E-8,504.0,77.97619047619048,55.121293800539085,504.0,181544.0,10.0,0.0
511.0,0.522994486,1.9277074676538918E-8,511.0,78.08219178082192,55.30007185479084,511.0,181544.0,10.0,0.0
518.0,0.528948267,1.9556820570801692E-8,518.0,78.18532818532819,55.474585811869595,518.0,181624.0,10.0,0.0
525.0,0.535501954,1.986726305997206E-8,525.0,77.71428571428571,54.56361094467746,525.0,183104.0,10.0,0.0
532.0,0.541536987,2.01531373574088E-8,532.0,77.81954887218046,54.79383002318784,532.0,183104.0,10.0,0.0
539.0,0.547545037,2.0437733493455582E-8,539.0,78.10760667903524,55.47263333286659,539.0,183104.0,10.0,0.0
546.0,0.553462381,2.0718032964674962E-8,546.0,78.2051282051282,55.68363184961872,546.0,183104.0,10.0,0.0
553.0,0.56011686,2.1033346288810586E-8,553.0,78.30018083182641,55.84595321108243,553.0,183160.0,10.0,0.0
560.0,0.566242013,2.132366696588488E-8,560.0,78.57142857142857,56.39534883720929,560.0,183216.0,10.0,0.0
567.0,0.572225371,2.16074401926063E-8,567.0,78.65961199294532,56.64014359116965,567.0,183328.0,10.0,0.0
574.0,0.578577417,2.1908699216335597E-8,574.0,78.74564459930313,56.82614056720099,574.0,183328.0,10.0,0.0
581.0,0.584477856,2.2188539836619878E-8,581.0,79.00172117039587,57.34317076693466,581.0,183328.0,10.0,0.0
588.0,0.590385474,2.2468720935945295E-8,588.0,79.08163265306123,57.47848172710598,588.0,183328.0,10.0,0.0
595.0,0.596134803,2.27414186471473E-8,595.0,79.15966386554622,57.69495412844036,595.0,183344.0,10.0,0.0
602.0,0.602207136,2.3029436833401104E-8,602.0,79.40199335548172,58.183671868873034,602.0,183344.0,10.0,0.0
609.0,0.608188529,2.3313141624151415E-8,609.0,79.47454844006569,58.34085797310831,609.0,183344.0,10.0,0.0
616.0,0.614395156,2.3607529539190642E-8,616.0,79.70779220779221,58.81119479630264,616.0,183344.0,10.0,0.0
623.0,0.620673214,2.3905305513985865E-8,623.0,79.93579454253612,59.202757710220396,623.0,183344.0,10.0,0.0
630.0,0.627086836,2.4209723833921464E-8,630.0,79.84126984126985,58.97301787527306,630.0,183472.0,10.0,0.0
637.0,0.633116508,2.4495968137604902E-8,637.0,79.90580847723704,59.15848527349229,637.0,183504.0,10.0,0.0
644.0,0.638603844,2.4756511759085368E-8,644.0,79.96894409937887,59.26369056959045,644.0,183536.0,10.0,0.0
651.0,0.644865825,2.5053836218054505E-8,651.0,80.18433179723502,59.73253801192022,651.0,183536.0,10.0,0.0
658.0,0.651164321,2.5352907477288192E-8,658.0,80.24316109422493,59.837358674830035,658.0,183544.0,10.0,0.0
665.0,0.657103483,2.5634916493112423E-8,665.0,80.45112781954887,60.28938906752411,665.0,183544.0,10.0,0.0
672.0,0.663186211,2.592374244815566E-8,672.0,80.65476190476191,60.700693675942674,672.0,183544.0,10.0,0.0
679.0,0.669115217,2.6205269226996844E-8,679.0,80.8541973490427,61.10357105086898,679.0,183544.0,10.0,0.0
686.0,0.675116246,2.6490215871358906E-8,686.0,80.90379008746356,61.122887771788506,686.0,183544.0,10.0,0.0
690.0,0.68071746,2.6756178114443186E-8,690.0,81.01449275362319,61.32518676353554,690.0,183544.0,10.0,0.0
