learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.029372451,8.442430849870046E-10,7.0,42.857142857142854,-40.0,7.0,111104.0,10.0,7.199999999999999,0.8537498983243798,4352.0,42.66666666666669,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.052598578,1.5156698339184125E-9,14.0,35.714285714285715,-39.99999999999998,14.0,111744.0,10.0,14.0,1.3416407864998736,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.066408478,1.914889913101991E-9,21.0,38.095238095238095,-15.189873417721515,21.0,111744.0,10.0,21.200000000000003,1.830604029032797,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.07848154,2.2639010404547054E-9,28.0,50.0,5.769230769230775,28.0,111744.0,10.0,27.4,1.499629583893599,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.092800815,2.6778462608655292E-9,35.0,57.14285714285714,17.322834645669296,35.0,111744.0,10.0,33.4,2.050474199897293,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.103221856,2.979100347657998E-9,42.0,59.523809523809526,21.192052980132452,42.0,111744.0,10.0,41.599999999999994,1.9731531449264985,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.11307791,3.264021647473176E-9,49.0,61.224489795918366,22.73858921161825,49.0,111744.0,10.0,47.7,2.1031722072463137,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.122457462,3.5351681070526438E-9,56.0,60.71428571428571,21.42857142857142,56.0,111744.0,10.0,55.2,2.244994432064365,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.128014652,3.69581675996383E-9,63.0,65.07936507936508,28.776978417266186,63.0,111744.0,10.0,60.900000000000006,2.258071940591993,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.134123259,3.87240591486295E-9,70.0,67.14285714285714,33.30571665285832,70.0,111744.0,10.0,69.2,2.8237091446063154,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.139725577,4.034359139402707E-9,77.0,67.53246753246754,34.052757793765,77.0,111744.0,10.0,77.0,3.3499585403736303,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,0.145313084,4.1958842038114864E-9,84.0,67.85714285714286,34.22273781902553,84.0,111744.0,10.0,84.10000000000001,3.4073450074801643,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91.0,0.151780952,4.382858966489633E-9,91.0,70.32967032967034,38.31282952548331,91.0,111744.0,10.0,91.3,3.7328868780669526,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,0.15747167,4.54736768056949E-9,98.0,70.40816326530613,38.564634673584095,98.0,111744.0,10.0,98.0,3.8528488738133038,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105.0,0.162157817,4.682836002310117E-9,105.0,69.52380952380952,35.99999999999999,105.0,111744.0,10.0,105.69999999999999,4.582696925513524,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,0.167252021,4.830100538929303E-9,112.0,69.64285714285714,36.448598130841106,112.0,111744.0,10.0,112.7,4.457328547210512,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119.0,0.171899351,4.964446729024251E-9,119.0,67.22689075630252,31.71987641606592,119.0,111744.0,10.0,119.2,4.312256434345661,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,0.176735976,5.1042651068170865E-9,126.0,67.46031746031747,31.900870023727933,126.0,111744.0,10.0,125.5,4.78713553878169,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133.0,0.181928812,5.254380922218164E-9,133.0,67.66917293233082,32.43945658594212,133.0,111744.0,10.0,133.99999999999997,5.223876806442593,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.186458185,5.385317181547483E-9,140.0,68.57142857142857,33.734939759036145,140.0,111744.0,10.0,139.3,5.206939813577858,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
147.0,0.19088723,5.513353133698305E-9,147.0,68.70748299319727,33.66686286050617,147.0,111744.0,10.0,146.10000000000002,5.3217582725177515,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154.0,0.19577374,5.654613599677882E-9,154.0,67.53246753246754,31.32358187656083,154.0,111744.0,10.0,153.1,5.852729657556758,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
161.0,0.200153905,5.781236516435942E-9,161.0,68.32298136645963,33.33603962003735,161.0,111744.0,10.0,160.5,6.312685640834652,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,0.204558645,5.9085698535045E-9,168.0,67.85714285714286,32.288401253918494,168.0,111744.0,10.0,167.9,6.86610030026749,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,0.214065173,6.183386967380843E-9,175.0,68.0,31.92553487079745,175.0,111744.0,10.0,174.8,6.659662987802845,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,0.219954521,6.353637727697692E-9,182.0,68.68131868131869,33.67855772919064,182.0,111744.0,10.0,181.2,6.572332581021409,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189.0,0.225934758,6.526515930195651E-9,189.0,67.72486772486772,31.768953068592044,189.0,111744.0,10.0,187.89999999999998,6.695686837227545,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196.0,0.231739526,6.694321630497775E-9,196.0,68.36734693877551,32.36112657241456,196.0,111744.0,10.0,195.29999999999998,6.716563274638467,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203.0,0.236543643,6.833200258811316E-9,203.0,67.98029556650246,31.100203644718285,203.0,111744.0,10.0,202.69999999999996,6.947501549318127,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.241760643,6.984014613231024E-9,210.0,68.57142857142857,31.958762886597942,210.0,111744.0,10.0,208.9,7.460190643974484,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
217.0,0.246432283,7.1190635629494996E-9,217.0,69.12442396313364,32.77384750543302,217.0,111744.0,10.0,216.10000000000002,7.99784693249099,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224.0,0.251603234,7.268546721239885E-9,224.0,69.19642857142857,32.74151436031331,224.0,111744.0,10.0,223.3,8.074720497398724,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,0.256019097,7.396201604803404E-9,231.0,69.26406926406926,33.065338938089205,231.0,111744.0,10.0,232.2,7.97328874012056,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238.0,0.260412509,7.523207469185195E-9,238.0,69.32773109243698,33.0275229357798,238.0,111744.0,10.0,239.8,7.38135789976644,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
245.0,0.265180384,7.661038404603802E-9,245.0,68.9795918367347,32.61436016213087,245.0,111744.0,10.0,246.7,7.800356117226671,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
252.0,0.269821114,7.795193800230823E-9,252.0,69.44444444444444,33.937082936129656,252.0,111744.0,10.0,253.39999999999998,7.9179121827242644,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
259.0,0.274216714,7.922262915869557E-9,259.0,69.88416988416989,34.5705402254178,259.0,111744.0,10.0,259.6000000000001,8.166598639172452,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,0.279240855,8.067502053578698E-9,266.0,69.92481203007519,34.50292397660819,266.0,111744.0,10.0,267.3,8.273182915635044,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
273.0,0.283587032,8.193142436643446E-9,273.0,69.96336996336996,35.026412027631046,273.0,111744.0,10.0,273.2,8.024684140547562,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
