learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
7.0,0.140174186,4.1206556433273685E-9,7.0,42.857142857142854,-7.69230769230769,7.0,113632.0,10.0,0.0,7.3,0.9551032521262935,4384.0,31.999999999999986,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
14.0,0.256283628,7.543499746653768E-9,14.0,50.0,0.0,14.0,113952.0,10.0,0.0,13.4,1.077032961426901,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
21.0,0.28385192,8.368179869237873E-9,21.0,52.38095238095239,5.4054054054054115,21.0,115632.0,10.0,0.0,19.099999999999998,1.6224124698183942,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
28.0,0.30420373,8.976985564041468E-9,28.0,64.28571428571429,28.57142857142858,28.0,115632.0,10.0,0.0,24.6,1.9390719429665313,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
35.0,0.325399266,9.611030546832416E-9,35.0,65.71428571428571,31.147540983606554,35.0,115632.0,10.0,0.0,32.99999999999999,2.9851484236317485,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
42.0,0.34376644,1.0168450369147791E-8,42.0,61.904761904761905,22.401847575057733,42.0,117312.0,10.0,0.0,41.199999999999996,2.882128842828971,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
49.0,0.359755486,1.0653697102276816E-8,49.0,61.224489795918366,20.359281437125752,49.0,117312.0,10.0,0.0,52.300000000000004,3.461053147365536,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
56.0,0.37557818,1.113389526874655E-8,56.0,62.5,24.42159383033419,56.0,117312.0,10.0,0.0,58.9,2.6053364039558833,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
63.0,0.390648358,1.1591255554167762E-8,63.0,63.49206349206349,25.116279069767426,63.0,117312.0,10.0,0.0,65.0,2.7968235951204043,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
70.0,0.406957412,1.2086214113541776E-8,70.0,67.14285714285714,32.63598326359831,70.0,117312.0,10.0,0.0,71.5,2.944863701807304,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
77.0,0.422028446,1.255015050806933E-8,77.0,67.53246753246754,33.460076045627375,77.0,118992.0,10.0,0.0,80.20000000000002,3.0287511177601454,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
84.0,0.43780304,1.30357448120498E-8,84.0,66.66666666666666,30.8235294117647,84.0,118992.0,10.0,0.0,89.8,3.0324174441451084,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
91.0,0.452366304,1.348405036246611E-8,91.0,69.23076923076923,34.99999999999999,91.0,118992.0,10.0,0.0,93.30000000000001,3.1799720473963635,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
98.0,0.468413608,1.3978039584416482E-8,98.0,68.36734693877551,33.05420890260026,98.0,118992.0,10.0,0.0,102.60000000000001,3.396730454095198,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
105.0,0.483676026,1.4447867412997617E-8,105.0,67.61904761904762,30.679611650485448,105.0,118992.0,10.0,0.0,114.5,4.867693955503411,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
112.0,0.499435278,1.493298943935169E-8,112.0,67.85714285714286,31.428571428571434,112.0,118992.0,10.0,0.0,120.8,4.615914499497003,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
119.0,0.514517252,1.539726260335081E-8,119.0,65.54621848739495,27.05935117356855,119.0,118992.0,10.0,0.0,129.6,4.789340014843149,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
126.0,0.5301401,1.5878185662337474E-8,126.0,65.07936507936508,25.98130841121496,126.0,118992.0,10.0,0.0,136.10000000000002,5.012096478631583,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
133.0,0.54545908,1.63497546568099E-8,133.0,65.41353383458647,26.870666985417174,133.0,118992.0,10.0,0.0,143.1,5.248174285723876,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
140.0,0.56073901,1.6820121562812064E-8,140.0,66.42857142857143,28.384849804092283,140.0,118992.0,10.0,0.0,147.39999999999998,5.586093844937124,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
147.0,0.57561798,1.72781455906315E-8,147.0,65.98639455782312,27.37154150197626,147.0,118992.0,10.0,0.0,154.6,5.704189493501928,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
154.0,0.590841954,1.7746789985431565E-8,154.0,64.93506493506493,25.32327586206896,154.0,118992.0,10.0,0.0,164.1,6.39348626859139,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
161.0,0.61548109,1.851597287489308E-8,161.0,64.59627329192547,25.018383854890107,161.0,120672.0,10.0,0.0,170.50000000000003,7.058879357077708,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
168.0,0.633048438,1.9064389162494075E-8,168.0,64.28571428571429,24.290220820189283,168.0,120672.0,10.0,0.0,177.7,7.872667202980757,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
175.0,0.647586088,1.9518224541826378E-8,175.0,65.14285714285715,25.604571747160104,175.0,120672.0,10.0,0.0,182.7,7.986168598826903,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
182.0,0.663551052,2.0016617713554035E-8,182.0,65.93406593406593,27.648114901256733,182.0,120672.0,10.0,0.0,189.0,7.747400997897437,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
189.0,0.680367083,2.0541579437611828E-8,189.0,65.07936507936508,25.970326409495552,189.0,120672.0,10.0,0.0,197.79999999999998,8.243246393934314,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
196.0,0.695765991,2.1022301511226426E-8,196.0,65.3061224489796,25.81542914393854,196.0,120672.0,10.0,0.0,203.5,8.286870472151849,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
203.0,0.712259255,2.153718711680008E-8,203.0,65.02463054187191,24.74022244269229,203.0,120672.0,10.0,0.0,210.8,8.398147943974843,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
210.0,0.729205231,2.206620545512272E-8,210.0,65.71428571428571,25.773195876288664,210.0,120672.0,10.0,0.0,214.7,8.54796921951511,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
217.0,0.745209395,2.256582236981226E-8,217.0,66.3594470046083,26.75359504323299,217.0,120672.0,10.0,0.0,219.9,8.86121386216985,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
224.0,0.762762407,2.3113791117130052E-8,224.0,66.96428571428571,27.653631284916187,224.0,120672.0,10.0,0.0,226.20000000000002,9.132116707289475,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
231.0,0.780738413,2.367496486267282E-8,231.0,67.09956709956711,28.155180880667864,231.0,120672.0,10.0,0.0,235.7,9.007466039039194,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
238.0,0.795519627,2.4136403806565536E-8,238.0,67.22689075630252,28.246753246753244,238.0,120672.0,10.0,0.0,242.1,8.45307307696109,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
245.0,0.809463173,2.457169248720838E-8,245.0,67.75510204081633,29.779051627181364,245.0,120672.0,10.0,0.0,249.3,8.957988365451007,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
252.0,0.823343409,2.5005004760531914E-8,252.0,68.65079365079364,31.896551724137932,252.0,120672.0,10.0,0.0,254.9,9.082889897432914,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
259.0,0.838428491,2.5475929835198653E-8,259.0,69.1119691119691,32.57403189066058,259.0,120672.0,10.0,0.0,260.1,9.363581935705303,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
266.0,0.852505675,2.5915390417931806E-8,266.0,69.54887218045113,33.215547703180206,266.0,120672.0,10.0,0.0,267.8,9.251786614246761,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
273.0,0.866903365,2.636485653540326E-8,273.0,69.59706959706959,33.79014113315606,273.0,120672.0,10.0,0.0,272.70000000000005,9.001296202955068,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
280.0,0.880747929,2.6797055202631483E-8,280.0,69.64285714285714,33.741648106904215,280.0,120672.0,10.0,0.0,279.4,9.12895272075487,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
287.0,0.895205495,2.7248390525041352E-8,287.0,70.38327526132404,35.217887776509,287.0,120672.0,10.0,0.0,283.3,9.160361467880087,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
294.0,0.909477337,2.769392792811824E-8,294.0,70.06802721088435,34.81481481481481,294.0,120672.0,10.0,0.0,289.4,9.482381323040933,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
301.0,0.924005471,2.814746623760296E-8,301.0,70.09966777408638,34.74804894498508,301.0,120672.0,10.0,0.0,296.4,9.421252570651102,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
308.0,0.937762609,2.8576935645846854E-8,308.0,70.77922077922078,36.102531003642056,308.0,120672.0,10.0,0.0,303.0,9.531235200352809,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
315.0,0.952213333,2.902805737516118E-8,315.0,70.7936507936508,35.742793791574286,315.0,120672.0,10.0,0.0,313.1,9.922421299483531,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
322.0,0.966649065,2.9484985102671713E-8,322.0,71.42857142857143,37.28246602023967,322.0,122352.0,10.0,0.0,317.7,9.572007800526139,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
329.0,0.981188023,2.994518019629849E-8,329.0,71.12462006079028,36.62685780328069,329.0,122352.0,10.0,0.0,325.19999999999993,10.09928490317782,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
336.0,0.995283335,3.039133276277118E-8,336.0,70.53571428571429,35.21850899742931,336.0,122352.0,10.0,0.0,337.0,10.518766298594358,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
343.0,1.009765401,3.08497270795289E-8,343.0,70.8454810495627,36.3919590534827,343.0,122352.0,10.0,0.0,341.9,10.761505470890208,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
350.0,1.026135207,3.136787318083975E-8,350.0,70.57142857142857,36.02938566916281,350.0,122352.0,10.0,0.0,350.2,10.752570752047054,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
357.0,1.041309433,3.184817612653805E-8,357.0,70.86834733893558,36.44859813084112,357.0,122352.0,10.0,0.0,357.0,10.442434794838052,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
364.0,1.057312395,3.235471067983243E-8,364.0,70.87912087912088,36.36363636363637,364.0,122352.0,10.0,0.0,366.40000000000003,10.504179062534005,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
371.0,1.073663579,3.2872267347358994E-8,371.0,70.08086253369272,34.84328275556541,371.0,122352.0,10.0,0.0,378.09999999999997,10.847887659201985,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
378.0,1.087461391,3.330900328023566E-8,378.0,69.84126984126983,34.322989697006626,378.0,122352.0,10.0,0.0,387.90000000000003,10.931554733380283,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
385.0,1.105701383,3.3886345537238645E-8,385.0,70.12987012987013,34.953795524997425,385.0,122352.0,10.0,0.0,392.59999999999997,11.167611900292542,4416.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
