learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.007618487,6.475615441178282E-11,7.0,57.14285714285714,8.69565217391303,7.0,32856.0,10.0,9.0
14.0,0.020236222,1.7409436933282349E-10,14.0,57.14285714285714,19.23076923076923,14.0,33496.0,10.0,9.0
21.0,0.026543688,2.2875133218036756E-10,21.0,47.61904761904761,-8.450704225352123,21.0,33496.0,10.0,7.0
28.0,0.032576529,2.8102854879986905E-10,28.0,50.0,-4.255319148936175,28.0,33496.0,10.0,1.0
35.0,0.037190623,3.2101169961401156E-10,35.0,54.285714285714285,5.084745762711856,35.0,33496.0,10.0,2.0
42.0,0.041761649,3.6062164729461073E-10,42.0,57.14285714285714,9.352517985611499,42.0,33496.0,10.0,0.0
49.0,0.045773587,3.9538685192871423E-10,49.0,57.14285714285714,9.17917034421889,49.0,33496.0,10.0,0.0
56.0,0.050129318,4.331311738863587E-10,56.0,58.92857142857143,16.36363636363637,56.0,33496.0,10.0,0.0
63.0,0.054152712,4.679956497914261E-10,63.0,63.49206349206349,22.47191011235955,63.0,33496.0,10.0,0.0
70.0,0.058163121,5.027476049690611E-10,70.0,65.71428571428571,27.896995708154492,70.0,33496.0,10.0,0.0
77.0,0.06143231,5.310765633359552E-10,77.0,66.23376623376623,29.207920792079207,77.0,33496.0,10.0,0.0
84.0,0.063856587,5.5208398817521E-10,84.0,66.66666666666666,29.49640287769783,84.0,33496.0,10.0,0.0
91.0,0.065754995,5.685345271912713E-10,91.0,69.23076923076923,33.57664233576642,91.0,33496.0,10.0,0.0
98.0,0.067694021,5.853370390149454E-10,98.0,70.40816326530613,36.13483146067416,98.0,33496.0,10.0,0.0
105.0,0.070300488,6.079232202139165E-10,105.0,69.52380952380952,33.465346534653456,105.0,33496.0,10.0,0.0
112.0,0.072287889,6.251449226567314E-10,112.0,69.64285714285714,33.98058252427184,112.0,33496.0,10.0,0.0
119.0,0.074734182,6.463431258044309E-10,119.0,67.22689075630252,29.47880261358457,119.0,33496.0,10.0,1.0
126.0,0.076575488,6.622988509138425E-10,126.0,67.46031746031747,29.52251023192361,126.0,33496.0,10.0,0.0
133.0,0.079043427,6.836846261574989E-10,133.0,67.66917293233082,30.264601877819768,133.0,33496.0,10.0,0.0
140.0,0.080979445,7.004610723401936E-10,140.0,68.57142857142857,31.61634103019538,140.0,33496.0,10.0,0.0
147.0,0.082622771,7.147012138056257E-10,147.0,68.70748299319727,31.68316831683168,147.0,33496.0,10.0,0.0
154.0,0.084741677,7.330624648245671E-10,154.0,67.53246753246754,29.409607627429413,154.0,33496.0,10.0,0.0
161.0,0.086441017,7.477879921988479E-10,161.0,68.32298136645963,31.60349854227404,161.0,33496.0,10.0,0.0
168.0,0.088750287,7.677988308771615E-10,168.0,67.85714285714286,30.54662379421223,168.0,33496.0,10.0,0.0
175.0,0.090594231,7.83777415415065E-10,175.0,68.0,30.099857346647667,175.0,33496.0,10.0,0.0
182.0,0.0925842,8.010213707056309E-10,182.0,68.68131868131869,32.080659945004584,182.0,33496.0,10.0,0.0
189.0,0.094909787,8.211736033546426E-10,189.0,67.72486772486772,30.216088614490648,189.0,33496.0,10.0,0.0
196.0,0.096491906,8.348833592856922E-10,196.0,68.36734693877551,30.69465039352115,196.0,33496.0,10.0,0.0
203.0,0.09860153,8.531641776983935E-10,203.0,67.48768472906403,28.55162116040954,203.0,33496.0,10.0,1.0
210.0,0.100311226,8.679794443605673E-10,210.0,68.0952380952381,29.47368421052631,210.0,33496.0,10.0,0.0
217.0,0.102424166,8.862889973695078E-10,217.0,68.66359447004609,30.30417532590214,217.0,33496.0,10.0,1.0
224.0,0.103969954,8.996839292306037E-10,224.0,68.75,30.323498044792046,224.0,33496.0,10.0,0.0
231.0,0.1056157,9.139450410587918E-10,231.0,68.83116883116884,30.798036115503024,231.0,33496.0,10.0,0.0
238.0,0.107827696,9.331129578087062E-10,238.0,68.90756302521008,30.80308030803079,238.0,33496.0,10.0,0.0
245.0,0.109442671,9.471074254086444E-10,245.0,68.57142857142857,30.513094404950465,245.0,33496.0,10.0,0.0
252.0,0.111582987,9.656542034799023E-10,252.0,69.04761904761905,31.94377120698013,252.0,33496.0,10.0,1.0
259.0,0.113242594,9.800354269602229E-10,259.0,69.4980694980695,32.61649925901533,259.0,33496.0,10.0,1.0
266.0,0.114976921,9.950641320542326E-10,266.0,69.92481203007519,33.25387365911799,266.0,33496.0,10.0,1.0
273.0,0.117051445,1.0130407935525805E-9,273.0,70.32967032967034,34.50134770889488,273.0,33496.0,10.0,1.0
280.0,0.118751645,1.027773773204535E-9,280.0,70.35714285714286,34.42437923250565,280.0,33496.0,10.0,1.0
287.0,0.120811042,1.0456193526047797E-9,287.0,71.0801393728223,35.89439974165075,287.0,33496.0,10.0,1.0
294.0,0.122372027,1.0591459731447197E-9,294.0,71.08843537414967,36.36363636363637,294.0,33496.0,10.0,1.0
301.0,0.124455843,1.0772031539036993E-9,301.0,70.7641196013289,35.38566619505292,301.0,33496.0,10.0,1.0
308.0,0.125974968,1.0903670391605958E-9,308.0,71.1038961038961,36.150190999720486,308.0,33496.0,10.0,1.0
315.0,0.127479737,1.1034065233729779E-9,315.0,71.11111111111111,35.764705882352956,315.0,33496.0,10.0,1.0
322.0,0.129605084,1.121823588485519E-9,322.0,71.73913043478261,37.32728750481242,322.0,33496.0,10.0,1.0
