learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.030678997,8.870031852068173E-10,7.0,14.285714285714285,-61.53846153846153,7.0,111760.0,10.0,0.0
14.0,0.05189425,1.503899471503165E-9,14.0,28.57142857142857,-39.99999999999998,14.0,112400.0,10.0,0.0
21.0,0.06395905,1.8547192479587264E-9,21.0,38.095238095238095,-28.169014084507047,21.0,112400.0,10.0,0.0
28.0,0.074738017,2.1681496233782835E-9,28.0,46.42857142857143,-10.526315789473673,28.0,112400.0,10.0,0.0
35.0,0.08542436,2.47888668179512E-9,35.0,51.42857142857142,-1.7094017094017064,35.0,112400.0,10.0,0.0
42.0,0.094894986,2.7542731694463226E-9,42.0,54.761904761904766,3.389830508474588,42.0,112400.0,10.0,0.0
49.0,0.103962918,3.0179501369181605E-9,49.0,57.14285714285714,7.713004484304929,49.0,112400.0,10.0,0.0
56.0,0.113039582,3.2818810131400822E-9,56.0,60.71428571428571,19.791666666666654,56.0,112400.0,10.0,0.0
63.0,0.121544791,3.52919514351007E-9,63.0,63.49206349206349,22.47191011235955,63.0,112400.0,10.0,0.0
70.0,0.126929444,3.6857698701322077E-9,70.0,65.71428571428571,27.896995708154492,70.0,112400.0,10.0,0.0
77.0,0.132540381,3.848924473942154E-9,77.0,64.93506493506493,26.14564831261102,77.0,112400.0,10.0,0.0
84.0,0.137540731,3.994324453154372E-9,84.0,65.47619047619048,26.62650602409639,84.0,112400.0,10.0,0.0
91.0,0.142569793,4.14055931876517E-9,91.0,68.13186813186813,30.82568807339451,91.0,112400.0,10.0,0.0
98.0,0.147686259,4.289335714425478E-9,98.0,69.38775510204081,33.60433604336043,98.0,112400.0,10.0,0.0
105.0,0.152630159,4.4330942427739505E-9,105.0,68.57142857142857,31.04477611940298,105.0,112400.0,10.0,0.0
112.0,0.157672541,4.57971642681708E-9,112.0,68.75,31.03448275862069,112.0,112400.0,10.0,0.0
119.0,0.16262215,4.7236409612413915E-9,119.0,66.38655462184873,26.15575550729134,119.0,112400.0,10.0,0.0
126.0,0.167398748,4.862534688661496E-9,126.0,67.46031746031747,27.62678621462596,126.0,112400.0,10.0,0.0
133.0,0.172759679,5.018419627907376E-9,133.0,66.9172932330827,26.574654956085325,133.0,112400.0,10.0,0.0
140.0,0.177552513,5.157785465092295E-9,140.0,67.85714285714286,28.049337597076303,140.0,112400.0,10.0,0.0
147.0,0.18214577,5.291348010177414E-9,147.0,67.3469387755102,26.51530931056028,147.0,112400.0,10.0,0.0
154.0,0.186687876,5.423423188510868E-9,154.0,65.5844155844156,22.75222411508614,154.0,112400.0,10.0,0.0
161.0,0.191298035,5.557477209282418E-9,161.0,65.83850931677019,23.762376237623766,161.0,112400.0,10.0,0.0
168.0,0.195920594,5.691891796762744E-9,168.0,66.07142857142857,23.99999999999999,168.0,112400.0,10.0,0.0
175.0,0.205196935,5.961628872880505E-9,175.0,66.28571428571428,23.535510627268003,175.0,112400.0,10.0,0.0
182.0,0.211292159,6.1388655548915265E-9,182.0,67.03296703296702,26.05633802816901,182.0,112400.0,10.0,0.0
189.0,0.217254588,6.312240829153193E-9,189.0,66.13756613756614,23.97234443746073,189.0,112400.0,10.0,0.0
196.0,0.223195493,6.484990229395528E-9,196.0,67.3469387755102,25.23542734533316,196.0,112400.0,10.0,0.0
203.0,0.228266898,6.632456343082917E-9,203.0,66.99507389162561,24.004023020617964,203.0,112400.0,10.0,0.0
210.0,0.233135192,6.774016403158505E-9,210.0,67.61904761904762,25.039370078740152,210.0,112400.0,10.0,0.0
217.0,0.237964113,6.914431576699846E-9,217.0,68.20276497695853,25.865227509036014,217.0,112400.0,10.0,0.0
224.0,0.24277124,7.054213025172551E-9,224.0,68.30357142857143,25.501217912685025,224.0,112400.0,10.0,0.0
231.0,0.247882765,7.202845746630595E-9,231.0,67.96536796536796,25.118275801647084,231.0,112400.0,10.0,0.0
238.0,0.252492285,7.336881186585459E-9,238.0,67.64705882352942,24.027858386535126,238.0,112400.0,10.0,0.0
245.0,0.257041607,7.469166191481053E-9,245.0,66.93877551020408,22.988862586829136,245.0,112400.0,10.0,0.0
252.0,0.261865693,7.60944077308393E-9,252.0,66.66666666666666,22.97503820682629,252.0,112400.0,10.0,0.0
259.0,0.266459665,7.743024108910725E-9,259.0,67.18146718146718,23.836706452170898,259.0,112400.0,10.0,0.0
266.0,0.271069571,7.877070772958297E-9,266.0,67.66917293233082,24.65581977471838,266.0,112400.0,10.0,0.0
273.0,0.275690221,8.011429850612248E-9,273.0,67.76556776556777,25.617685305591674,273.0,112400.0,10.0,0.0
280.0,0.280186036,8.142158981081511E-9,280.0,67.85714285714286,25.707547169811324,280.0,112400.0,10.0,0.0
287.0,0.284586234,8.27010776421262E-9,287.0,68.6411149825784,27.4071159575066,287.0,112400.0,10.0,0.0
294.0,0.289640061,8.417062745512358E-9,294.0,69.04761904761905,28.826815642458104,294.0,112400.0,10.0,0.0
301.0,0.294172012,8.5488426371581E-9,301.0,68.77076411960132,27.920721455138324,301.0,112400.0,10.0,0.0
308.0,0.29857458,8.676860335055323E-9,308.0,69.15584415584416,28.863172226004092,308.0,112400.0,10.0,0.0
315.0,0.303053525,8.807098920332886E-9,315.0,69.2063492063492,28.484493856056165,315.0,112400.0,10.0,0.0
322.0,0.307554457,8.93797684272544E-9,322.0,69.87577639751554,30.33412142570372,322.0,112400.0,10.0,0.0
329.0,0.311946889,9.065699806416197E-9,329.0,69.6048632218845,30.06249734280005,329.0,112400.0,10.0,0.0
336.0,0.316363175,9.194116395773984E-9,336.0,69.04761904761905,28.755504811613115,336.0,112400.0,10.0,0.0
343.0,0.32071731,9.320725760815869E-9,343.0,69.09620991253644,29.467680608365022,343.0,112400.0,10.0,0.0
350.0,0.325622026,9.463344898364607E-9,350.0,68.85714285714286,29.228657292323685,350.0,112400.0,10.0,0.0
357.0,0.329953703,9.589301230572161E-9,357.0,68.34733893557423,27.97150356205474,357.0,112400.0,10.0,0.0
364.0,0.334319168,9.71624004890521E-9,364.0,68.4065934065934,28.011281557405244,364.0,112400.0,10.0,0.0
371.0,0.339324448,9.861783382462128E-9,371.0,67.9245283018868,27.497413495804107,371.0,112400.0,10.0,0.0
378.0,0.344054207,9.99931512729575E-9,378.0,67.98941798941799,27.599962009687516,378.0,112400.0,10.0,0.0
385.0,0.348371899,1.0124864804227316E-8,385.0,68.31168831168831,28.40593848123647,385.0,112400.0,10.0,0.0
392.0,0.35326389,1.0267113924730153E-8,392.0,68.87755102040816,29.589823621212574,392.0,112400.0,10.0,0.0
399.0,0.358136333,1.0408794629263378E-8,399.0,68.92230576441104,29.6536427230848,399.0,112400.0,10.0,0.0
406.0,0.362965407,1.0549214251732658E-8,406.0,68.96551724137932,29.93288590604027,406.0,112400.0,10.0,0.0
413.0,0.367310305,1.0675555023654465E-8,413.0,69.00726392251816,29.886734396137822,413.0,112400.0,10.0,0.0
420.0,0.371865695,1.0808016473613677E-8,420.0,69.28571428571428,30.324074074074066,420.0,112400.0,10.0,0.0
427.0,0.376203807,1.0934159922496309E-8,427.0,69.08665105386417,29.994783515910278,427.0,112400.0,10.0,0.0
434.0,0.380708244,1.1065139763140013E-8,434.0,69.35483870967742,30.106797762332604,434.0,112400.0,10.0,0.0
441.0,0.385009919,1.1190223698380089E-8,441.0,69.38775510204081,30.362719754833723,441.0,112400.0,10.0,0.0
448.0,0.389316118,1.1315439182312948E-8,448.0,69.41964285714286,30.060622635489327,448.0,112400.0,10.0,0.0
455.0,0.394254127,1.145902641239679E-8,455.0,69.67032967032966,30.957512315270925,455.0,112400.0,10.0,0.0
462.0,0.398591864,1.158515895704428E-8,462.0,69.91341991341992,31.33967710894901,462.0,112400.0,10.0,0.0
469.0,0.403059894,1.1715080156384239E-8,469.0,70.1492537313433,32.182032266727276,469.0,112400.0,10.0,0.0
476.0,0.407375979,1.1840583105033466E-8,476.0,69.9579831932773,31.811989100817424,476.0,112400.0,10.0,0.0
483.0,0.411653569,1.1964966697597665E-8,483.0,69.77225672877847,31.45340020996151,483.0,112400.0,10.0,0.0
490.0,0.415914183,1.2088856662706364E-8,490.0,69.59183673469389,31.46274149034039,490.0,112400.0,10.0,0.0
497.0,0.420211806,1.221382277405096E-8,497.0,69.81891348088531,32.025821981508834,497.0,112400.0,10.0,0.0
504.0,0.424489465,1.2338208372994425E-8,504.0,70.03968253968253,32.73942093541203,504.0,112400.0,10.0,0.0
511.0,0.429385294,1.248056909470922E-8,511.0,70.0587084148728,32.509517191371074,511.0,112400.0,10.0,0.0
518.0,0.433659288,1.2604848122927874E-8,518.0,70.27027027027027,32.80207561156412,518.0,112400.0,10.0,0.0
525.0,0.437992802,1.2730857871348655E-8,525.0,70.66666666666667,33.43487567923596,525.0,112400.0,10.0,0.0
532.0,0.442321115,1.2856716385297473E-8,532.0,70.86466165413535,33.907216825366305,532.0,112400.0,10.0,0.0
539.0,0.446831135,1.2987858568194007E-8,539.0,71.05751391465677,34.20245398773005,539.0,112400.0,10.0,0.0
546.0,0.451190651,1.3114624401740725E-8,546.0,71.42857142857143,34.989085469172174,546.0,112400.0,10.0,0.0
553.0,0.455796958,1.3248566414208871E-8,553.0,71.42857142857143,34.90724875214185,553.0,112400.0,10.0,0.0
560.0,0.460094597,1.3373532990800833E-8,560.0,71.07142857142857,34.01509971924414,560.0,112400.0,10.0,0.0
567.0,0.465343662,1.3526165094930259E-8,567.0,71.42857142857143,34.962331482950034,567.0,112400.0,10.0,0.0
574.0,0.469904754,1.3658792347419588E-8,574.0,71.602787456446,35.22700524763579,574.0,112400.0,10.0,0.0
581.0,0.47419586,1.3783568957696353E-8,581.0,71.77280550774526,35.664996691558734,581.0,112400.0,10.0,0.0
588.0,0.478480865,1.3908168163336808E-8,588.0,71.42857142857143,34.852801519468194,588.0,112400.0,10.0,0.0
595.0,0.48298596,1.4039167137278446E-8,595.0,71.42857142857143,34.779805274356825,595.0,112400.0,10.0,0.0
602.0,0.487558494,1.4172127099790502E-8,602.0,71.42857142857143,34.73102961384754,602.0,112400.0,10.0,0.0
609.0,0.49211905,1.4304738766493063E-8,609.0,71.75697865353038,35.4340027367876,609.0,112400.0,10.0,0.0
616.0,0.496421653,1.4429849686080378E-8,616.0,71.9155844155844,35.50245721064225,616.0,112400.0,10.0,0.0
623.0,0.501447429,1.457598900151335E-8,623.0,72.07062600321026,36.247618151450276,623.0,112400.0,10.0,0.0
630.0,0.505884893,1.4705021403916174E-8,630.0,72.06349206349206,36.01994183631076,630.0,112400.0,10.0,0.0
