learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
7.0,0.140384654,3.94322086557746E-9,7.0,28.57142857142857,-52.17391304347827,7.0,108576.0,10.0,0.0
14.0,0.260265025,7.330351714003418E-9,14.0,35.714285714285715,-34.04255319148937,14.0,109216.0,10.0,0.0
21.0,0.288872303,8.138629107500116E-9,21.0,52.38095238095239,5.4054054054054115,21.0,109216.0,10.0,0.0
28.0,0.306207225,8.628414454104173E-9,28.0,60.71428571428571,22.222222222222214,28.0,109216.0,10.0,0.0
35.0,0.322329379,9.083933941581184E-9,35.0,60.0,18.333333333333346,35.0,109216.0,10.0,0.0
42.0,0.338539851,9.541948788555133E-9,42.0,61.904761904761905,19.424460431654676,42.0,109216.0,10.0,0.0
49.0,0.350977067,9.893353089615703E-9,49.0,61.224489795918366,16.502242152466373,49.0,109216.0,10.0,0.0
56.0,0.363350605,1.0242958216079408E-8,56.0,60.71428571428571,19.371727748691093,56.0,109216.0,10.0,0.0
63.0,0.375306319,1.0580758035737608E-8,63.0,65.07936507936508,24.509803921568622,63.0,109216.0,10.0,0.0
70.0,0.387427665,1.0923237664542265E-8,70.0,67.14285714285714,29.816913687881414,70.0,109216.0,10.0,0.0
77.0,0.399437595,1.1262569317014681E-8,77.0,67.53246753246754,30.978845464324138,77.0,109216.0,10.0,0.0
84.0,0.411770029,1.1611013080485994E-8,84.0,67.85714285714286,31.02189781021898,84.0,109216.0,10.0,0.0
91.0,0.423598157,1.1945208052471281E-8,91.0,70.32967032967034,34.87940630797775,91.0,109216.0,10.0,0.0
98.0,0.435376523,1.2277997036104402E-8,98.0,71.42857142857143,37.408759124087595,98.0,109216.0,10.0,0.0
105.0,0.447242165,1.2613251938298346E-8,105.0,70.47619047619048,34.57286432160805,105.0,109216.0,10.0,0.0
112.0,0.459049855,1.2946869449772769E-8,112.0,70.53571428571429,34.97536945812809,112.0,109216.0,10.0,0.0
119.0,0.471517139,1.329912329984208E-8,119.0,68.0672268907563,30.43076923076924,119.0,109216.0,10.0,0.0
126.0,0.483260337,1.363091863775419E-8,126.0,68.25396825396825,30.3290019353055,126.0,109216.0,10.0,0.0
133.0,0.495252719,1.3969754484519363E-8,133.0,67.66917293233082,29.698832206515053,133.0,109216.0,10.0,0.0
140.0,0.506931167,1.4299720359270772E-8,140.0,68.57142857142857,31.065353625783352,140.0,109216.0,10.0,0.0
147.0,0.518667749,1.4631328767016531E-8,147.0,68.70748299319727,31.168566775244287,147.0,109216.0,10.0,0.0
154.0,0.530513749,1.4966028699088428E-8,154.0,67.53246753246754,28.914327917282122,154.0,109216.0,10.0,0.0
161.0,0.542834837,1.5314151889756322E-8,161.0,68.32298136645963,31.156200217992776,161.0,109216.0,10.0,0.0
168.0,0.554545733,1.5645034558648864E-8,168.0,67.85714285714286,30.09708737864079,168.0,109216.0,10.0,0.0
175.0,0.573119453,1.6169821222697695E-8,175.0,68.0,29.628033893436744,175.0,109216.0,10.0,0.0
182.0,0.587306469,1.6570664823196E-8,182.0,68.68131868131869,31.669081807403515,182.0,109216.0,10.0,0.0
