learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
7.0,0.028062088,8.427619912723699E-10,7.0,28.57142857142857,-52.17391304347827,7.0,116088.0,10.0,0.0,0.0,0.0
14.0,0.047879725,1.441207404838254E-9,14.0,35.714285714285715,-34.04255319148937,14.0,116728.0,10.0,0.0,0.0,0.0
21.0,0.059625708,1.8010131079662178E-9,21.0,52.38095238095239,5.4054054054054115,21.0,118408.0,10.0,0.0,0.0,0.0
28.0,0.070006732,2.1190070672209065E-9,28.0,60.71428571428571,22.222222222222214,28.0,118408.0,10.0,0.0,0.0,0.0
35.0,0.078010906,2.3641928004225097E-9,35.0,60.0,18.333333333333346,35.0,118408.0,10.0,0.0,0.0,0.0
42.0,0.088176391,2.6800024131747585E-9,42.0,61.904761904761905,19.424460431654676,42.0,120088.0,10.0,0.0,0.0,0.0
49.0,0.097024366,2.954881138429046E-9,49.0,63.26530612244898,21.530249110320298,49.0,120088.0,10.0,0.0,0.0,0.0
56.0,0.106322681,3.243750509580391E-9,56.0,62.5,23.237597911227162,56.0,120088.0,10.0,0.0,0.0,0.0
63.0,0.114937862,3.5113970582104396E-9,63.0,66.66666666666666,28.370330265295063,63.0,120088.0,10.0,0.0,0.0,0.0
70.0,0.122082984,3.733373502215578E-9,70.0,68.57142857142857,33.21769297484822,70.0,120088.0,10.0,0.0,0.0,0.0
77.0,0.127127675,3.892288677777267E-9,77.0,68.83116883116884,34.04710920770878,77.0,121768.0,10.0,0.0,0.0,0.0
84.0,0.132043725,4.047151472905858E-9,84.0,69.04761904761905,33.89830508474576,84.0,121768.0,10.0,0.0,0.0,0.0
91.0,0.136952616,4.201788749020133E-9,91.0,71.42857142857143,37.638376383763834,91.0,121768.0,10.0,0.0,0.0,0.0
98.0,0.142526419,4.377371729680648E-9,98.0,72.44897959183673,39.945528824330474,98.0,121768.0,10.0,0.0,0.0,0.0
105.0,0.147557703,4.5358645650516786E-9,105.0,71.42857142857143,37.00000000000001,105.0,121768.0,10.0,0.0,0.0,0.0
112.0,0.152577616,4.693999197222293E-9,112.0,71.42857142857143,37.25490196078431,112.0,121768.0,10.0,0.0,0.0,0.0
119.0,0.157113955,4.836900538175057E-9,119.0,68.90756302521008,32.54174965527806,119.0,121768.0,10.0,0.0,0.0,0.0
126.0,0.161290475,4.968467052167075E-9,126.0,69.04761904761905,32.369942196531795,126.0,121768.0,10.0,0.0,0.0,0.0
133.0,0.165573653,5.1033934498060914E-9,133.0,68.42105263157895,31.611165523996082,133.0,121768.0,10.0,0.0,0.0,0.0
140.0,0.169691093,5.2330988570282035E-9,140.0,69.28571428571428,32.902362906821224,140.0,121768.0,10.0,0.0,0.0,0.0
147.0,0.174302694,5.378371061517133E-9,147.0,69.38775510204081,32.91755400060845,147.0,121768.0,10.0,0.0,0.0,0.0
154.0,0.17843465,5.508533744058675E-9,154.0,68.18181818181817,30.57957681692731,154.0,121768.0,10.0,0.0,0.0,0.0
161.0,0.182704485,5.64489556133954E-9,161.0,68.94409937888199,32.726057161958884,161.0,123448.0,10.0,0.0,0.0,0.0
168.0,0.186778007,5.7749879097917835E-9,168.0,68.45238095238095,31.61290322580646,168.0,123448.0,10.0,0.0,0.0,0.0
175.0,0.195222478,6.044671260913212E-9,175.0,68.57142857142857,31.117154512273686,175.0,123448.0,10.0,0.0,0.0,0.0
182.0,0.201253551,6.237280126228514E-9,182.0,69.23076923076923,33.07065931179405,182.0,123448.0,10.0,0.0,0.0,0.0
189.0,0.206021548,6.389551287926733E-9,189.0,68.25396825396825,31.164258832099083,189.0,123448.0,10.0,0.0,0.0,0.0
196.0,0.211449545,6.562900266309993E-9,196.0,68.87755102040816,31.601830663615576,196.0,123448.0,10.0,0.0,0.0,0.0
203.0,0.21598145,6.707631573619114E-9,203.0,68.4729064039409,30.29294988732698,203.0,123448.0,10.0,0.0,0.0,0.0
210.0,0.220302071,6.845615296957807E-9,210.0,69.04761904761905,31.164901664145226,210.0,123448.0,10.0,0.0,0.0,0.0
217.0,0.225157129,7.000666846229384E-9,217.0,69.5852534562212,31.936127744510983,217.0,123448.0,10.0,0.0,0.0,0.0
