learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
57.0,0.102989604,2.95913193029662E-9,57.0,50.877192982456144,1.602959309494458,57.0,111064.0,10.0,55.400000000000006,2.2568414506414336,9448.0,0.0
114.0,0.2686427,7.790728067068591E-9,114.0,50.877192982456144,1.602959309494458,114.0,112744.0,10.0,115.10000000000001,4.212283624512164,9448.0,0.0
171.0,0.319650986,9.300653447951708E-9,171.0,55.55555555555556,7.593856655290107,171.0,114424.0,10.0,170.5,6.701989754294368,9448.0,0.0
228.0,0.359544772,1.048157217203743E-8,228.0,52.63157894736842,3.047484053862508,228.0,114424.0,10.0,227.79999999999998,8.13879597975032,9448.0,0.0
285.0,0.39866935,1.1639721131179897E-8,285.0,52.28070175438596,1.9726858877086355,285.0,114424.0,10.0,285.50000000000006,8.280163712820604,9448.0,0.0
342.0,0.438154142,1.2825693760286604E-8,342.0,51.461988304093566,-0.413880929640261,342.0,116104.0,10.0,343.2,9.621503693983248,9448.0,0.0
399.0,0.474312582,1.3911755455918611E-8,399.0,51.8796992481203,-0.45633359559400805,399.0,116104.0,10.0,399.09999999999997,10.721162872251,9448.0,0.0
456.0,0.510091648,1.4986422202827202E-8,456.0,50.6578947368421,-2.95829486613415,456.0,116104.0,10.0,460.9,11.450812683434792,9448.0,0.0
513.0,0.546885664,1.6091574178578126E-8,513.0,50.682261208576996,-0.7936816109717545,513.0,116104.0,10.0,518.2,11.687410130373438,9448.0,0.0
570.0,0.580627774,1.71050585324607E-8,570.0,50.526315789473685,0.1614906832298032,570.0,116104.0,10.0,576.3,10.651082365447914,9448.0,0.0
627.0,0.613086414,1.8079992340343696E-8,627.0,49.122807017543856,-2.3100098722742626,627.0,116104.0,10.0,633.9,11.606942367010836,9448.0,0.0
684.0,0.644932884,1.9050379918788874E-8,684.0,48.68421052631579,-2.686010504525156,684.0,117784.0,10.0,693.0,11.599808427536876,9448.0,0.0
741.0,0.676794968,2.0021243268383877E-8,741.0,48.043184885290145,-3.6228120198611795,741.0,117784.0,10.0,750.7,13.368329073680906,9448.0,0.0
798.0,0.707605204,2.096005596264369E-8,798.0,48.7468671679198,-2.909627499574348,798.0,117784.0,10.0,806.7,13.38494178794464,9448.0,0.0
855.0,0.738560402,2.1903285765743092E-8,855.0,48.654970760233915,-2.8694758478931055,855.0,117784.0,10.0,860.8000000000001,12.410389912399117,9448.0,0.0
912.0,0.769815177,2.285564392120267E-8,912.0,48.24561403508772,-3.490356921331143,912.0,117784.0,10.0,918.6999999999999,12.685994026659651,9448.0,0.0
969.0,0.800309669,2.3784835641597296E-8,969.0,48.19401444788441,-3.1130763621563977,969.0,117784.0,10.0,977.9,12.471701300677998,9448.0,0.0
1026.0,0.829320845,2.466882952934959E-8,1026.0,48.3,-2.587506944995645,1026.0,117784.0,10.0,1033.7,11.892154276384634,9448.0,0.0
1083.0,0.857677741,2.553288697878313E-8,1083.0,48.4,-2.174980594674227,1083.0,117784.0,10.0,1091.6000000000004,11.160645142642963,9448.0,0.0
1140.0,0.886007415,2.6396114951961986E-8,1140.0,47.9,-2.9497778972162054,1140.0,117784.0,10.0,1146.2,10.245649483235963,9448.0,0.0
1197.0,0.914431471,2.726221882066172E-8,1197.0,47.699999999999996,-2.928442100291271,1197.0,117784.0,10.0,1200.7,9.640251264590793,9448.0,0.0
1254.0,0.942843269,2.812794917823333E-8,1254.0,48.1,-2.1532889816163565,1254.0,117784.0,10.0,1255.4000000000003,10.250420045593787,9448.0,0.0
1311.0,0.972193279,2.9035023629948914E-8,1311.0,47.4,-3.2340114852744324,1311.0,119464.0,10.0,1313.8000000000002,10.297572529484802,9448.0,0.0
1368.0,1.000673353,2.991521234226517E-8,1368.0,48.1,-1.910177665373309,1368.0,119464.0,10.0,1369.1000000000001,10.37031018501054,9448.0,0.0
1425.0,1.029141889,3.079504446781965E-8,1425.0,46.6,-4.992037120780159,1425.0,119464.0,10.0,1424.9,11.22145761971728,9448.0,0.0
1482.0,1.057803635,3.168084783000458E-8,1482.0,47.4,-2.793802667166951,1482.0,119464.0,10.0,1481.2,10.985647201892316,9448.0,0.0
1539.0,1.086006035,3.2552454910106546E-8,1539.0,47.199999999999996,-3.1749753786990653,1539.0,119464.0,10.0,1536.1000000000001,10.484326926947247,9448.0,0.0
1596.0,1.114278343,3.342622252646627E-8,1596.0,48.1,-1.8717711163104729,1596.0,119464.0,10.0,1593.6000000000001,10.785999155283568,9448.0,0.0
1653.0,1.142566319,3.430047436898161E-8,1653.0,48.9,-0.7436497985127,1653.0,119464.0,10.0,1647.3,10.164262010703103,9448.0,0.0
1710.0,1.170951789,3.5177739304732536E-8,1710.0,49.4,-0.31402651779483093,1710.0,119464.0,10.0,1705.5,11.332598015361606,9448.0,0.0
1767.0,1.199424717,3.605770716690148E-8,1767.0,49.2,-0.9378477189635992,1767.0,119464.0,10.0,1762.0000000000002,10.99595885364759,9448.0,0.0
1824.0,1.227717379,3.693210383222542E-8,1824.0,49.3,-0.5066964816709094,1824.0,119464.0,10.0,1820.1,11.534922819180215,9448.0,0.0
1881.0,1.255971845,3.780532003404159E-8,1881.0,48.8,-1.5244531163248203,1881.0,119464.0,10.0,1879.2,12.890823609581101,9448.0,0.0
1938.0,1.284218023,3.867828009171826E-8,1938.0,48.9,-1.0432567961971468,1938.0,119464.0,10.0,1932.2,14.163960525847912,9448.0,0.0
1995.0,1.313021799,3.956847295102353E-8,1995.0,49.3,-0.48916619758509383,1995.0,119464.0,10.0,1988.7,14.716619478973042,9448.0,0.0
2052.0,1.341253375,4.044098172772469E-8,2052.0,49.5,-0.1149835454581549,2052.0,119464.0,10.0,2046.6000000000001,15.428112867964986,9448.0,0.0
2109.0,1.369443325,4.13122040353198E-8,2109.0,49.3,-0.31022966492030857,2109.0,119464.0,10.0,2104.7,17.58474717854463,9448.0,0.0
2166.0,1.397521943,4.217998558044641E-8,2166.0,48.6,-2.1012192554159395,2166.0,119464.0,10.0,2156.7999999999997,17.951663494568493,9448.0,0.0
2223.0,1.425652651,4.3049376989017346E-8,2223.0,48.8,-1.7516385591014034,2223.0,119464.0,10.0,2215.0,18.395047642715625,9448.0,0.0
2280.0,1.453797941,4.391921906045535E-8,2280.0,48.699999999999996,-1.926469886986799,2280.0,119464.0,10.0,2272.7000000000003,18.51128784762904,9448.0,0.0
2337.0,1.481959189,4.478955432062141E-8,2337.0,48.9,-1.542007789523883,2337.0,119464.0,10.0,2332.6000000000004,18.86042299513868,9448.0,0.0
2394.0,1.510021729,4.565683896836928E-8,2394.0,49.2,-0.9438648782911032,2394.0,119464.0,10.0,2384.3999999999996,20.541664976335273,9448.0,0.0
2451.0,1.538399111,4.653385394106516E-8,2451.0,48.9,-1.4670023748441274,2451.0,119464.0,10.0,2442.8,21.07542012234473,9448.0,0.0
2508.0,1.566747377,4.740996907148718E-8,2508.0,48.6,-1.2580425283778625,2508.0,119464.0,10.0,2494.7999999999997,21.165380538353958,9448.0,0.0
2565.0,1.594984339,4.8294916574195446E-8,2565.0,48.199999999999996,-1.592133081771864,2565.0,121144.0,10.0,2554.2,20.273025318278354,9448.0,0.0
2622.0,1.623899109,4.920110660635556E-8,2622.0,47.9,-1.9298190696800819,2622.0,121144.0,10.0,2612.4,20.05835929924924,9448.0,0.0
2679.0,1.652206059,5.0088247535744065E-8,2679.0,46.6,-4.470312041475101,2679.0,121144.0,10.0,2669.2999999999993,20.406453227676135,9448.0,0.0
2736.0,1.680516621,5.0975501665355023E-8,2736.0,46.7,-4.1503829920275095,2736.0,121144.0,10.0,2720.0,20.73536967491913,9448.0,0.0
2793.0,1.708999107,5.186814389990643E-8,2793.0,47.3,-2.8822652058816636,2793.0,121144.0,10.0,2777.7,20.326255598773393,9448.0,0.0
2850.0,1.737372045,5.275735289581741E-8,2850.0,47.699999999999996,-1.8064315191154625,2850.0,121144.0,10.0,2836.3,20.632256299299883,9448.0,0.0
2907.0,1.765470509,5.3637959865743505E-8,2907.0,47.5,-1.778901330686428,2907.0,121144.0,10.0,2894.2,19.75505561172184,9448.0,0.0
2964.0,1.793685411,5.452221600718176E-8,2964.0,47.599999999999994,-1.5578666645993289,2964.0,121144.0,10.0,2951.2999999999997,20.228170675789947,9448.0,0.0
3021.0,1.821832339,5.540434184077921E-8,3021.0,47.699999999999996,-1.5005783398153894,3021.0,121144.0,10.0,3007.0,20.83159992788732,9448.0,0.0
3078.0,1.850207255,5.62936128272882E-8,3078.0,47.5,-1.342743087459745,3078.0,121144.0,10.0,3062.8,21.777562357211192,9448.0,0.0
3135.0,1.878351339,5.717564952981349E-8,3135.0,47.699999999999996,-0.6869041568482526,3135.0,121144.0,10.0,3119.4,22.019284477223355,9448.0,0.0
3192.0,1.907195909,5.807963949120501E-8,3192.0,48.1,0.4106382162182753,3192.0,121144.0,10.0,3176.2,23.235891776875416,9448.0,0.0
3249.0,1.936626751,5.900200324019832E-8,3249.0,48.5,0.3212944683157085,3249.0,121144.0,10.0,3231.8999999999996,24.048307863779335,9448.0,0.0
3306.0,1.964846077,5.988639802997104E-8,3306.0,47.699999999999996,-1.9175305947462806,3306.0,121144.0,10.0,3285.4,24.479106737515284,9448.0,0.0
3363.0,1.993263177,6.077699106470372E-8,3363.0,47.599999999999994,-2.9991626403953267,3363.0,121144.0,10.0,3344.3,25.277152617422022,9448.0,0.0
3420.0,2.021267451,6.165464611631509E-8,3420.0,48.3,-2.0770810298530984,3420.0,121144.0,10.0,3399.3,24.570103784884598,9448.0,0.0
3477.0,2.049231471,6.253103960597889E-8,3477.0,48.6,-1.6473193980263927,3477.0,121144.0,10.0,3458.6,22.703010079429255,9448.0,0.0
3534.0,2.077283923,6.341020455801033E-8,3534.0,48.9,-1.2161787426217237,3534.0,121144.0,10.0,3515.4000000000005,22.2352073173255,9448.0,0.0
3591.0,2.105472069,6.429362216535336E-8,3591.0,49.5,-0.2636636541241117,3591.0,121144.0,10.0,3569.7000000000003,23.06177693837914,9448.0,0.0
3648.0,2.133509135,6.5172304919538E-8,3648.0,49.6,0.007935878104920245,3648.0,121144.0,10.0,3625.6,23.564191289138495,9448.0,0.0
3705.0,2.161535221,6.605064356008961E-8,3705.0,49.9,0.7173714874559097,3705.0,121144.0,10.0,3678.8,24.319082585035517,9448.0,0.0
3762.0,2.189604687,6.693034173155206E-8,3762.0,50.0,0.8330027766759186,3762.0,121144.0,10.0,3740.6,24.54755022853038,9448.0,0.0
3819.0,2.218594281,6.783887675082314E-8,3819.0,49.2,-0.08668925841279769,3819.0,121144.0,10.0,3798.1,25.758472176914694,9448.0,0.0
3876.0,2.246719481,6.872032162804367E-8,3876.0,49.6,0.37162963548667527,3876.0,121144.0,10.0,3861.1,25.829548109782237,9448.0,0.0
3933.0,2.274611033,6.959444396772942E-8,3933.0,49.4,0.10897203051216794,3933.0,121144.0,10.0,3915.7999999999997,25.193826404277868,9448.0,0.0
3990.0,2.302696889,7.047465580243827E-8,3990.0,50.3,1.247029462958695,3990.0,121144.0,10.0,3973.2000000000003,23.44677186972892,9448.0,0.0
4047.0,2.330730051,7.135321620510894E-8,4047.0,50.8,1.8857088159280215,4047.0,121144.0,10.0,4032.8999999999996,24.375511390646864,9448.0,0.0
4104.0,2.358656097,7.22284195881151E-8,4104.0,50.8,0.9984666835693718,4104.0,121144.0,10.0,4087.6000000000004,25.89088213595239,9448.0,0.0
4161.0,2.386607393,7.310441430711707E-8,4161.0,50.1,-0.5715852016671805,4161.0,121144.0,10.0,4142.8,24.707084004390328,9448.0,0.0
4218.0,2.414669343,7.39838769268431E-8,4218.0,50.2,-1.3443387587150029,4218.0,121144.0,10.0,4203.0,23.617319445224457,9448.0,0.0
4275.0,2.442746617,7.486381980133349E-8,4275.0,50.5,-1.3596527152100866,4275.0,121144.0,10.0,4257.900000000001,22.589304253709717,9448.0,0.0
4332.0,2.470873661,7.574532246958674E-8,4332.0,51.4,0.70284406668846,4332.0,121144.0,10.0,4321.9,21.672024978452427,9448.0,0.0
4389.0,2.499707429,7.664897389587224E-8,4389.0,51.300000000000004,0.5611048947621987,4389.0,121144.0,10.0,4374.3,22.37411699064595,9448.0,0.0
4446.0,2.527858659,7.753123455431935E-8,4446.0,51.2,0.5218525766470985,4446.0,121144.0,10.0,4432.6,22.68930242304608,9448.0,0.0
4503.0,2.555980061,7.841256040207008E-8,4503.0,51.1,0.5094566880432206,4503.0,121144.0,10.0,4488.0,22.72883630985098,9448.0,0.0
4560.0,2.584122961,7.929455999798867E-8,4560.0,51.7,0.5845545858718825,4560.0,121144.0,10.0,4548.8,23.32418868423464,9448.0,0.0
4617.0,2.612350983,8.017922732074436E-8,4617.0,51.9,0.6099778490428938,4617.0,121144.0,10.0,4602.0,24.37485042689149,9448.0,0.0
4674.0,2.640499237,8.106139471123411E-8,4674.0,51.0,0.49710832412762473,4674.0,121144.0,10.0,4657.8,24.034142381204287,9448.0,0.0
4731.0,2.668370679,8.193488680272675E-8,4731.0,50.9,0.4848072121153059,4731.0,121144.0,10.0,4714.8,24.29851390060263,9448.0,0.0
4788.0,2.696437697,8.281450825377265E-8,4788.0,50.7,0.2775238079826608,4788.0,121144.0,10.0,4771.299999999999,22.501382673565228,9448.0,0.0
4845.0,2.724493575,8.369378057677921E-8,4845.0,51.7,0.41072842438638035,4845.0,121144.0,10.0,4830.6,21.896828791199688,9448.0,0.0
