learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes)
57.0,0.029557,8.717527137034468E-10,57.0,52.63157894736842,5.640711220110353,57.0,114008.0,10.0,0.0,63.0,2.832352771499733,9480.0,0.0
114.0,0.072811,2.1662830085390142E-9,114.0,52.63157894736842,5.350553505535049,114.0,115688.0,10.0,0.0,126.8,5.341244133054478,9480.0,0.0
171.0,0.098651,2.9508677228457395E-9,171.0,51.461988304093566,3.271314659578824,171.0,117368.0,10.0,0.0,186.1,8.430697875423284,9480.0,0.0
228.0,0.122562,3.6768818522493043E-9,228.0,50.0,-0.4250057955335769,228.0,117368.0,10.0,0.0,242.9,10.174532476291533,9480.0,0.0
285.0,0.137431,4.1283520580165915E-9,285.0,51.578947368421055,1.6799160041998027,285.0,117368.0,10.0,0.0,302.59999999999997,10.974920905814713,9480.0,0.0
342.0,0.150837,4.54122740154465E-9,342.0,51.16959064327485,0.9366219169528478,342.0,119048.0,10.0,0.0,361.40000000000003,12.423275646051561,9480.0,0.0
399.0,0.164613,4.965497932086388E-9,399.0,51.37844611528822,-0.031014964720471275,399.0,119048.0,10.0,0.0,415.9,12.959295248327871,9480.0,0.0
456.0,0.180301,5.448653861466381E-9,456.0,51.31578947368421,0.13416462789047431,456.0,119048.0,10.0,0.0,475.8,14.348673961186948,9480.0,0.0
513.0,0.19326,5.847762587169806E-9,513.0,49.902534113060426,-2.0765103477109763,513.0,119048.0,10.0,0.0,531.7,14.581609421916818,9480.0,0.0
570.0,0.206418,6.253000075618426E-9,570.0,49.122807017543856,-3.896920175989951,570.0,119048.0,10.0,0.0,589.6,14.268224214043673,9480.0,0.0
627.0,0.219956,6.6699407291081214E-9,627.0,49.441786283891545,-3.8725052129877793,627.0,119048.0,10.0,0.0,645.4,15.756621183207745,9480.0,0.0
684.0,0.233338,7.08789297276073E-9,684.0,49.26900584795322,-4.110959048320863,684.0,120728.0,10.0,0.0,701.5,15.725598381125103,9480.0,0.0
741.0,0.24621,7.489916682243347E-9,741.0,49.122807017543856,-4.260639469136877,741.0,120728.0,10.0,0.0,762.5,16.909070544138924,9480.0,0.0
798.0,0.259142,7.893814336922434E-9,798.0,49.62406015037594,-3.7771739130434847,798.0,120728.0,10.0,0.0,819.6,17.11152957641264,9480.0,0.0
855.0,0.279116,8.517650692827173E-9,855.0,49.35672514619883,-3.5494021397105078,855.0,120728.0,10.0,0.0,874.2,16.472063892812248,9480.0,0.0
912.0,0.296842,9.071276568704182E-9,912.0,49.122807017543856,-3.5790339398745985,912.0,120728.0,10.0,0.0,934.2,16.544754119928434,9480.0,0.0
969.0,0.306632,9.377041959928142E-9,969.0,49.22600619195047,-3.4914818609659197,969.0,120728.0,10.0,0.0,991.0,16.932545913450557,9480.0,0.0
1026.0,0.316638,9.689553553859393E-9,1026.0,49.9,-2.935616956228728,1026.0,120728.0,10.0,0.0,1047.2,16.71579426105076,9480.0,0.0
1083.0,0.325936,9.979952594472303E-9,1083.0,49.3,-4.040976138294476,1083.0,120728.0,10.0,0.0,1109.3999999999999,16.235215496636386,9480.0,0.0
1140.0,0.335555,1.0280377241886325E-8,1140.0,48.699999999999996,-4.588008872651351,1140.0,120728.0,10.0,0.0,1166.3,15.760040891091903,9480.0,0.0
1197.0,0.345158,1.0580302170581288E-8,1197.0,49.0,-3.719250292854347,1197.0,120728.0,10.0,0.0,1222.1,14.591816580231239,9480.0,0.0
1254.0,0.354644,1.0876572906143136E-8,1254.0,48.6,-4.650215815620158,1254.0,120728.0,10.0,0.0,1276.2,15.107613974417012,9480.0,0.0
1311.0,0.364101,1.1176048076401155E-8,1311.0,48.4,-4.849492211470871,1311.0,122408.0,10.0,0.0,1333.4,14.38919347596969,9480.0,0.0
1368.0,0.373632,1.1477866607407729E-8,1368.0,48.1,-5.255899603313036,1368.0,122408.0,10.0,0.0,1390.8999999999999,13.896802190112341,9480.0,0.0
1425.0,0.383966,1.180511376923985E-8,1425.0,47.199999999999996,-6.70762514904712,1425.0,122408.0,10.0,0.0,1446.4999999999998,14.779302344081666,9480.0,0.0
1482.0,0.393672,1.2112474031746388E-8,1482.0,47.599999999999994,-6.429650813252525,1482.0,122408.0,10.0,0.0,1501.9,15.567380426177467,9480.0,0.0
1539.0,0.403239,1.2415432576090097E-8,1539.0,48.199999999999996,-5.419970368440759,1539.0,122408.0,10.0,0.0,1556.8,15.123785534345856,9480.0,0.0
1596.0,0.415082,1.2790465296970473E-8,1596.0,47.8,-6.329237688622362,1596.0,122408.0,10.0,0.0,1613.3999999999996,15.752389589448901,9480.0,0.0
