learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,change detections,[avg] model training instances,[err] model training instances,[avg] model serialized size (bytes),[err] model serialized size (bytes),[avg] tree size (nodes),[err] tree size (nodes),[avg] tree size (leaves),[err] tree size (leaves),[avg] active learning leaves,[err] active learning leaves,[avg] tree depth,[err] tree depth,[avg] active leaf byte size estimate,[err] active leaf byte size estimate,[avg] inactive leaf byte size estimate,[err] inactive leaf byte size estimate,[avg] byte size estimate overhead,[err] byte size estimate overhead
57.0,0.088816788,5.480282251685857E-9,57.0,52.63157894736842,5.0586057988895705,57.0,238512.0,10.0,0.0,60.5,2.7658633371878665,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
114.0,0.143961129,8.90683260977268E-9,114.0,54.385964912280706,8.631319358816283,114.0,240192.0,10.0,0.0,121.7,5.270568175148566,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
171.0,0.187301064,1.1618718932084737E-8,171.0,53.216374269005854,6.900775826868117,171.0,241872.0,10.0,0.0,179.7,7.489325737341112,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
228.0,0.214671273,1.3331340222954748E-8,228.0,53.07017543859649,5.014795203239368,228.0,241872.0,10.0,0.0,238.70000000000002,9.185798217296572,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
285.0,0.236262967,1.468238561871151E-8,285.0,51.2280701754386,1.211939851874021,285.0,241872.0,10.0,0.0,296.1,9.821122361748907,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
342.0,0.25760104,1.602683521832029E-8,342.0,50.58479532163743,-0.37511722413253784,342.0,243552.0,10.0,0.0,355.4,11.320777358467922,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
399.0,0.278285704,1.7330115427027145E-8,399.0,52.38095238095239,1.3815173275054624,399.0,243552.0,10.0,0.0,412.1,11.020637206824496,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
456.0,0.297873201,1.8564266350542503E-8,456.0,52.63157894736842,2.5332488917036082,456.0,243552.0,10.0,0.0,470.4,13.02408026183295,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
513.0,0.315445643,1.9671454549357294E-8,513.0,52.046783625730995,2.551311948850218,513.0,243552.0,10.0,0.0,527.3,12.638609276516323,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
570.0,0.334803945,2.0891164565955596E-8,570.0,51.05263157894737,0.32591664055155267,570.0,243552.0,10.0,0.0,585.6,11.912831550708487,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
627.0,0.353843885,2.2090815523639318E-8,627.0,51.674641148325364,0.9044675690477988,627.0,243552.0,10.0,0.0,641.1,12.597574722496745,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
684.0,0.371236903,2.319425804555416E-8,684.0,51.461988304093566,0.9015771053527206,684.0,245232.0,10.0,0.0,699.8,12.530673476624383,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
741.0,0.388966134,2.4319030489660797E-8,741.0,51.14709851551957,0.4106212037958219,741.0,245232.0,10.0,0.0,757.0999999999999,14.223181391267175,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
798.0,0.407130196,2.5471389348916706E-8,798.0,50.0,-1.4917665959033837,798.0,245232.0,10.0,0.0,812.4,14.097438695655951,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
855.0,0.425700307,2.664950864449143E-8,855.0,49.941520467836256,-0.8099173553718984,855.0,245232.0,10.0,0.0,869.1,13.053266938884603,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
912.0,0.443390673,2.77718154271692E-8,912.0,49.45175438596491,-1.8942551912674341,912.0,245232.0,10.0,0.0,927.1,13.114411072472063,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
969.0,0.46232086,2.8972778554074462E-8,969.0,49.63880288957688,-1.664480897813524,969.0,245232.0,10.0,0.0,986.1,13.069429979918784,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1026.0,0.482327567,3.0242037933170794E-8,1026.0,50.4,-0.437388627895685,1026.0,245232.0,10.0,0.0,1038.9,12.23968953854632,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1083.0,0.499618598,3.133901022706181E-8,1083.0,49.7,-1.8226868233750904,1083.0,245232.0,10.0,0.0,1099.7,11.647651169990356,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1140.0,0.517778863,3.249112819820643E-8,1140.0,49.2,-2.2886069016619857,1140.0,245232.0,10.0,0.0,1155.0,10.591401124392265,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1197.0,0.537084354,3.371590124655515E-8,1197.0,49.1,-2.13172383902916,1197.0,245232.0,10.0,0.0,1212.6,10.900764499183836,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1254.0,0.555640028,3.4893104634396735E-8,1254.0,49.3,-1.3472994043097524,1254.0,245232.0,10.0,0.0,1267.5,11.574157036739702,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1311.0,0.572557305,3.597371788105617E-8,1311.0,49.2,-1.5159447977074945,1311.0,246912.0,10.0,0.0,1327.2999999999997,11.459154516028775,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1368.0,0.590794779,3.713866044184814E-8,1368.0,48.8,-2.143823291185713,1368.0,246912.0,10.0,0.0,1382.0,11.191266436129755,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1425.0,0.609722342,3.8347683342210954E-8,1425.0,47.9,-3.9629644410743596,1425.0,246912.0,10.0,0.0,1437.3999999999996,11.459299959227701,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1482.0,0.627957523,3.951247943462184E-8,1482.0,47.699999999999996,-4.646044259474173,1482.0,246912.0,10.0,0.0,1493.4999999999998,10.872237835678348,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1539.0,0.645322476,4.062168857267748E-8,1539.0,48.0,-3.741062308478037,1539.0,246912.0,10.0,0.0,1548.3999999999999,10.662707598604278,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1596.0,0.665325329,4.189939703147859E-8,1596.0,48.5,-2.873260143503217,1596.0,246912.0,10.0,0.0,1605.0,11.030261405182866,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1653.0,0.683733274,4.3075228650880366E-8,1653.0,47.3,-4.909025759445797,1653.0,246912.0,10.0,0.0,1660.5,10.16120071645079,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1710.0,0.702098821,4.424835204244903E-8,1710.0,47.5,-4.7887458882892115,1710.0,246912.0,10.0,0.0,1719.0,10.764137989949152,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1767.0,0.720818671,4.544410700262836E-8,1767.0,48.3,-3.1277427591159395,1767.0,246912.0,10.0,0.0,1776.8999999999999,10.839690442484468,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1824.0,0.74091974,4.672808913718911E-8,1824.0,48.6,-2.54732339515434,1824.0,246912.0,10.0,0.0,1836.4,10.967831751687896,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1881.0,0.759941412,4.794312337330234E-8,1881.0,48.1,-3.7726040325354093,1881.0,246912.0,10.0,0.0,1894.4,12.193987589518594,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1938.0,0.777803087,4.9084061280302725E-8,1938.0,48.9,-2.2220799692733646,1938.0,246912.0,10.0,0.0,1947.1000000000001,13.362842345682132,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1995.0,0.797918168,5.036893844973298E-8,1995.0,48.0,-3.7625911913541783,1995.0,246912.0,10.0,0.0,2003.5,14.6729153355577,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2052.0,0.816938342,5.158387699913236E-8,2052.0,47.3,-4.872282673586515,2052.0,246912.0,10.0,0.0,2061.5,15.41445930143369,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2109.0,0.835594668,5.277557428053272E-8,2109.0,48.4,-2.716820078351433,2109.0,246912.0,10.0,0.0,2119.3,17.674243658184878,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2166.0,0.855501018,5.4047118483694914E-8,2166.0,48.0,-4.181275419229471,2166.0,246912.0,10.0,0.0,2172.3,18.25501453178155,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2223.0,0.875637592,5.5333368546677157E-8,2223.0,48.0,-4.236408173738035,2223.0,246912.0,10.0,0.0,2230.5,18.6280851285245,15808.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
