learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),tree size (nodes),tree size (leaves),active learning leaves,tree depth,active leaf byte size estimate,inactive leaf byte size estimate,byte size estimate overhead
57.0,0.070394253,2.8788017715017E-10,57.0,56.14035087719298,12.199630314232897,57.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
114.0,0.083432273,3.4119969326588844E-10,114.0,56.14035087719298,12.09130166563849,114.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
171.0,0.090090176,3.6842745992872453E-10,171.0,57.89473684210527,12.457337883959049,171.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
228.0,0.10249699,4.1916563328769473E-10,228.0,55.26315789473685,7.794782332883991,228.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
285.0,0.10799741,4.416598258746995E-10,285.0,55.78947368421052,7.638888888888881,285.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
342.0,0.112662535,4.607380453911093E-10,342.0,53.50877192982456,2.516940948693126,342.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
399.0,0.116334212,4.757535186741088E-10,399.0,54.63659147869674,2.8962123351216116,399.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
456.0,0.121266004,4.959222837951449E-10,456.0,54.166666666666664,1.906212688871502,456.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
513.0,0.124219917,5.080024318397046E-10,513.0,53.41130604288499,0.9388457529752958,513.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
570.0,0.126982619,5.193006146781975E-10,570.0,53.1578947368421,0.5619078732440231,570.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
627.0,0.131330785,5.370826173987654E-10,627.0,53.74800637958532,0.8333424230194205,627.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
684.0,0.134110336,5.484497049119737E-10,684.0,53.50877192982456,0.5604878896213727,684.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
741.0,0.136170695,5.568756273223294E-10,741.0,53.57624831309041,0.5120679426733574,741.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
798.0,0.138098514,5.647595219810804E-10,798.0,54.01002506265664,0.6715370057589239,798.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
855.0,0.141368354,5.781316664152675E-10,855.0,53.567251461988306,0.37860444640105456,855.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
912.0,0.14346384,5.867012421290079E-10,912.0,53.289473684210535,0.20395267475971013,912.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
969.0,0.145714604,5.959058335754606E-10,969.0,53.25077399380805,0.15603569259603184,969.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1026.0,0.149443469,6.111551795237594E-10,1026.0,53.6,-0.20732550103661906,1026.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1083.0,0.151746668,6.205742060475878E-10,1083.0,52.800000000000004,-1.0014551057091539,1083.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1140.0,0.153954498,6.296032171448071E-10,1140.0,52.300000000000004,-1.5957129590976202,1140.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1197.0,0.156601335,6.404275653262932E-10,1197.0,51.800000000000004,-1.6603111396078678,1197.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1254.0,0.159514003,6.523390402562088E-10,1254.0,51.9,-1.3989257194896931,1254.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1311.0,0.161641418,6.610391909215184E-10,1311.0,51.9,-0.799691523605159,1311.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1368.0,0.163747375,6.696515882180796E-10,1368.0,51.9,0.0,1368.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1425.0,0.167098811,6.833574228319856E-10,1425.0,51.5,0.0,1425.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1482.0,0.169459416,6.930112135410307E-10,1482.0,52.2,0.0,1482.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1539.0,0.171105383,6.997424629165065E-10,1539.0,52.6,0.0,1539.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
1596.0,0.172683074,7.061944947971236E-10,1596.0,52.800000000000004,0.0,1596.0,15808.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0
