learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights
57.0,0.088511182,5.283371258204182E-9,57.0,43.859649122807014,-12.039312039312046,57.0,230736.0,10.0,3.0
114.0,0.135760764,8.103772905319929E-9,114.0,43.859649122807014,-12.592592592592593,114.0,230736.0,10.0,2.0
171.0,0.166589071,9.943962895584604E-9,171.0,50.29239766081871,-4.44061220090538,171.0,230736.0,10.0,0.0
228.0,0.203191688,1.2128830505112806E-8,228.0,50.0,-4.326884482620224,228.0,230736.0,10.0,1.0
285.0,0.220906031,1.3186227418693403E-8,285.0,50.526315789473685,-5.232147065755347,285.0,230736.0,10.0,1.0
342.0,0.237706247,1.4189058658095696E-8,342.0,50.877192982456144,-4.827586206896553,342.0,230736.0,10.0,1.0
399.0,0.256638909,1.531917894337326E-8,399.0,52.63157894736842,-3.3806292412091343,399.0,230736.0,10.0,2.0
456.0,0.2744839,1.63843744409581E-8,456.0,52.41228070175439,-3.3981191222570413,456.0,230736.0,10.0,3.0
513.0,0.287590665,1.7166737798042593E-8,513.0,51.85185185185185,-3.5245961910831203,513.0,230736.0,10.0,5.0
570.0,0.301849487,1.8017869244130947E-8,570.0,51.75438596491229,-3.363006923837776,570.0,230736.0,10.0,6.0
627.0,0.316533715,1.8894393841487664E-8,627.0,52.472089314194584,-2.8604459124690242,627.0,230736.0,10.0,2.0
684.0,0.328653164,1.9617822758207716E-8,684.0,52.33918128654971,-2.7566566206762944,684.0,230736.0,10.0,3.0
741.0,0.341222099,2.0368082199158764E-8,741.0,52.4966261808367,-2.5524887945270356,741.0,230736.0,10.0,3.0
798.0,0.355223772,2.1203864018172022E-8,798.0,53.00751879699248,-2.251060950857987,798.0,230736.0,10.0,3.0
855.0,0.368175338,2.1976963303561008E-8,855.0,52.63157894736842,-2.259136212624587,855.0,230736.0,10.0,3.0
912.0,0.380859101,2.2734077007907127E-8,912.0,52.41228070175439,-2.2141650784796716,912.0,230736.0,10.0,3.0
969.0,0.393417722,2.34837207900236E-8,969.0,52.218782249742,-2.514846643710257,969.0,230736.0,10.0,3.0
1026.0,0.407806879,2.4342632136655346E-8,1026.0,52.7,-2.443039071298638,1026.0,230736.0,10.0,3.0
1083.0,0.419502915,2.504078686740249E-8,1083.0,52.300000000000004,-2.5215574679539703,1083.0,230736.0,10.0,3.0
1140.0,0.430943593,2.572369887867321E-8,1140.0,52.2,-1.966372428975504,1140.0,230736.0,10.0,4.0
1197.0,0.444124704,2.6510500065088266E-8,1197.0,52.1,-1.0156394985912496,1197.0,230736.0,10.0,4.0
1254.0,0.455942,2.7215892995397242E-8,1254.0,52.400000000000006,-0.18015591062919195,1254.0,230736.0,10.0,5.0
1311.0,0.467515864,2.7906755087872337E-8,1311.0,52.1,-0.2066893718149312,1311.0,230736.0,10.0,3.0
1368.0,0.478379207,2.8555205067607254E-8,1368.0,51.800000000000004,-0.010374520178440604,1368.0,230736.0,10.0,6.0
1425.0,0.492021493,2.936953451299418E-8,1425.0,51.5,0.2960282871474379,1425.0,230736.0,10.0,3.0
1482.0,0.502224539,2.9978570329310986E-8,1482.0,51.6,-0.5150357202193134,1482.0,230736.0,10.0,3.0
1539.0,0.513053168,3.062494817594686E-8,1539.0,51.6,-1.1553445133675486,1539.0,230736.0,10.0,3.0
1596.0,0.525274468,3.1354456738581255E-8,1596.0,51.800000000000004,-1.0872118385289014,1596.0,230736.0,10.0,3.0
1653.0,0.536597984,3.203037516633669E-8,1653.0,51.6,-1.1553445133675486,1653.0,230736.0,10.0,3.0
1710.0,0.547409504,3.2675731749931967E-8,1710.0,51.4,-1.2230071980805093,1710.0,230736.0,10.0,3.0
1767.0,0.558210704,3.3320472316543255E-8,1767.0,51.0,-1.356941916266757,1767.0,230736.0,10.0,3.0
1824.0,0.570740621,3.4068402711885664E-8,1824.0,51.2,-1.2902047390531854,1824.0,230736.0,10.0,3.0
1881.0,0.581869104,3.4732679314017286E-8,1881.0,51.2,-1.2902047390531854,1881.0,230736.0,10.0,3.0
1938.0,0.592050205,3.5340405198869596E-8,1938.0,51.9,-0.7253903370635979,1938.0,230736.0,10.0,2.0
1995.0,0.604600242,3.608953658856451E-8,1995.0,51.2,-1.2162543348764623,1995.0,230736.0,10.0,3.0
2052.0,0.615464803,3.6738059272629515E-8,2052.0,50.4,-1.9238119505669473,2052.0,230736.0,10.0,3.0
2109.0,0.626462206,3.7394511503999425E-8,2109.0,51.4,-1.6872551973485905,2109.0,230736.0,10.0,2.0
2166.0,0.638073314,3.808759674924115E-8,2166.0,51.5,-1.6456110053903548,2166.0,230736.0,10.0,3.0
2223.0,0.651021569,3.886049839584777E-8,2223.0,50.9,-2.703335871284074,2223.0,230736.0,10.0,4.0
