learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),model training instances,model serialized size (bytes),ensemble size,negative weights,KL-div,L1-Diff
57.0,0.034821541,1.0262320932414796E-9,57.0,56.14035087719298,12.307692307692301,57.0,113920.0,10.0,0.0,0.0,0.0
114.0,0.073788346,2.191565674398508E-9,114.0,54.385964912280706,8.687615526802224,114.0,115600.0,10.0,0.0,0.0,0.0
171.0,0.097576639,2.9133124721340004E-9,171.0,57.89473684210527,12.717992343683548,171.0,117280.0,10.0,0.0,0.0,0.0
228.0,0.115447664,3.4555268742351067E-9,228.0,52.63157894736842,3.215156041191717,228.0,117280.0,10.0,0.0,0.0,0.0
285.0,0.132285157,3.966383481501705E-9,285.0,52.28070175438596,2.136039993940315,285.0,117280.0,10.0,0.0,0.0,0.0
342.0,0.147462079,4.433453818762468E-9,342.0,51.75438596491229,0.3813155386081947,342.0,118960.0,10.0,0.0,0.0,0.0
399.0,0.162887915,4.90818449360215E-9,399.0,53.383458646616546,1.7631641648796774,399.0,118960.0,10.0,0.0,0.0,0.0
456.0,0.177837077,5.368245508418315E-9,456.0,52.63157894736842,-0.040627285284791016,456.0,118960.0,10.0,0.0,0.0,0.0
513.0,0.193447092,5.848644298811753E-9,513.0,51.461988304093566,-0.5003894540562165,513.0,118960.0,10.0,0.0,0.0,0.0
570.0,0.208872325,6.323356416304078E-9,570.0,50.877192982456144,-0.3142677561282183,570.0,118960.0,10.0,0.0,0.0,0.0
627.0,0.223784489,6.782278816298478E-9,627.0,51.196172248803826,0.20908750468106901,627.0,118960.0,10.0,0.0,0.0,0.0
684.0,0.239290008,7.266200703692933E-9,684.0,50.58479532163743,-0.834794441682144,684.0,120640.0,10.0,0.0,0.0,0.0
741.0,0.254059056,7.727137585791449E-9,741.0,49.122807017543856,-3.6386705200167686,741.0,120640.0,10.0,0.0,0.0,0.0
798.0,0.268538187,8.179026258550583E-9,798.0,49.74937343358396,-3.0768636091300974,798.0,120640.0,10.0,0.0,0.0,0.0
855.0,0.283034502,8.631451238008836E-9,855.0,49.590643274853804,-3.0278884462151323,855.0,120640.0,10.0,0.0,0.0,0.0
912.0,0.297152194,9.072059524535304E-9,912.0,49.01315789473684,-4.047263876894098,912.0,120640.0,10.0,0.0,0.0,0.0
969.0,0.311676377,9.525354254638983E-9,969.0,48.40041279669763,-4.998764720415054,969.0,120640.0,10.0,0.0,0.0,0.0
1026.0,0.325953369,9.970934239091973E-9,1026.0,48.699999999999996,-4.832513201131293,1026.0,120640.0,10.0,0.0,0.0,0.0
1083.0,0.340204261,1.0415699651568301E-8,1083.0,48.199999999999996,-5.4594612202352,1083.0,120640.0,10.0,0.0,0.0,0.0
1140.0,0.354419983,1.0859367420503663E-8,1140.0,47.599999999999994,-6.074162844083121,1140.0,120640.0,10.0,0.0,0.0,0.0
1197.0,0.368046098,1.1284633758809003E-8,1197.0,47.4,-5.697199627045632,1197.0,120640.0,10.0,0.0,0.0,0.0
1254.0,0.38220258,1.1726452667824923E-8,1254.0,48.1,-4.114007847668562,1254.0,120640.0,10.0,0.0,0.0,0.0
1311.0,0.396410095,1.2176039129537012E-8,1311.0,47.599999999999994,-4.617129258056912,1311.0,122320.0,10.0,0.0,0.0,0.0
1368.0,0.41023313,1.2613459001750581E-8,1368.0,47.099999999999994,-5.303808454562104,1368.0,122320.0,10.0,0.0,0.0,0.0
1425.0,0.424486079,1.3064483189293079E-8,1425.0,46.400000000000006,-6.783544177706936,1425.0,122320.0,10.0,0.0,0.0,0.0
1482.0,0.438240785,1.3499740840080711E-8,1482.0,47.599999999999994,-4.286078206597885,1482.0,122320.0,10.0,0.0,0.0,0.0
1539.0,0.452449127,1.3949353471605313E-8,1539.0,47.699999999999996,-4.523906595998111,1539.0,122320.0,10.0,0.0,0.0,0.0
1596.0,0.466063865,1.4380181937002473E-8,1596.0,48.699999999999996,-3.1197234059660874,1596.0,122320.0,10.0,0.0,0.0,0.0
1653.0,0.480349706,1.4832246967922481E-8,1653.0,48.5,-3.5275765299968653,1653.0,122320.0,10.0,0.0,0.0,0.0
1710.0,0.494640399,1.528446553684771E-8,1710.0,49.4,-2.0227111426543734,1710.0,122320.0,10.0,0.0,0.0,0.0
1767.0,0.508354049,1.571842400042547E-8,1767.0,49.1,-2.496979460330239,1767.0,122320.0,10.0,0.0,0.0,0.0
1824.0,0.522616395,1.6169745549187063E-8,1824.0,49.4,-1.9717219920357294,1824.0,122320.0,10.0,0.0,0.0,0.0
1881.0,0.536387259,1.6605514508113264E-8,1881.0,49.2,-2.666084622722345,1881.0,122320.0,10.0,0.0,0.0,0.0
1938.0,0.550622888,1.7055990616873734E-8,1938.0,50.1,-1.4433828013823937,1938.0,122320.0,10.0,0.0,0.0,0.0
1995.0,0.564871088,1.7506864525770975E-8,1995.0,50.1,-1.1259636351845408,1995.0,122320.0,10.0,0.0,0.0,0.0
2052.0,0.57860755,1.794154485846973E-8,2052.0,49.7,-1.3859438366214885,2052.0,122320.0,10.0,0.0,0.0,0.0
2109.0,0.592762239,1.8389459679896632E-8,2109.0,50.8,-0.058570870753602705,2109.0,122320.0,10.0,0.0,0.0,0.0
2166.0,0.606746791,1.883199063990679E-8,2166.0,50.2,-1.9777123409413777,2166.0,122320.0,10.0,0.0,0.0,0.0
2223.0,0.621063058,1.928501847943084E-8,2223.0,49.7,-3.139712275061103,2223.0,122320.0,10.0,0.0,0.0,0.0
2280.0,0.635273285,1.973469076040718E-8,2280.0,49.2,-4.478594228174672,2280.0,122320.0,10.0,0.0,0.0,0.0
2337.0,0.649030026,2.0170012807287275E-8,2337.0,49.3,-4.0751475937497394,2337.0,122320.0,10.0,0.0,0.0,0.0
2394.0,0.663050153,2.0613669512255323E-8,2394.0,49.0,-4.454685099846401,2394.0,122320.0,10.0,0.0,0.0,0.0
2451.0,0.676766275,2.104770620047218E-8,2451.0,48.9,-4.30274330502939,2451.0,122320.0,10.0,0.0,0.0,0.0
2508.0,0.690538945,2.1483532308952676E-8,2508.0,48.9,-4.45625511038431,2508.0,122320.0,10.0,0.0,0.0,0.0
